Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
CB1 6NU,No,52.081801,0.272466,555813,245041,TL558450,1/1/1980 12:00:00 AM,9/1/2006 12:00:00 AM,67,,,Great Chesterford,5.9,Hadstock,Affinity Water,,Uttlesford,Ashdon,Thaxted
CB1 6NX,No,52.080169,0.273142,555865,244861,TL558448,1/1/1991 12:00:00 AM,9/1/2006 12:00:00 AM,73,,,Great Chesterford,5.9,Hadstock,Affinity Water,,Uttlesford,Ashdon,Thaxted
CB1 6NY,No,52.081596,0.272820,555838,245019,TL558450,1/1/1980 12:00:00 AM,9/1/2006 12:00:00 AM,68,,,Great Chesterford,5.9,Hadstock,Affinity Water,,Uttlesford,Ashdon,Thaxted
CB1 6NZ,No,52.081192,0.273281,555871,244975,TL558449,1/1/1980 12:00:00 AM,9/1/2006 12:00:00 AM,69,,,Great Chesterford,5.9,Hadstock,,,Uttlesford,Ashdon,Thaxted
CB1 6PA,No,52.078504,0.270868,555715,244671,TL557446,1/1/1980 12:00:00 AM,9/1/2006 12:00:00 AM,81,,,Great Chesterford,5.7,Hadstock,,,Uttlesford,Ashdon,Thaxted
CB1 6PB,No,52.080723,0.274732,555972,244926,TL559449,1/1/1980 12:00:00 AM,9/1/2006 12:00:00 AM,76,,,Great Chesterford,6.0,Hadstock,,,Uttlesford,Ashdon,Thaxted
CB1 6PD,No,52.080895,0.277441,556157,244951,TL561449,1/1/1980 12:00:00 AM,9/1/2006 12:00:00 AM,84,,,Great Chesterford,6.2,Hadstock,Affinity Water,,Uttlesford,Ashdon,Thaxted
CB1 6PE,No,52.081941,0.276385,556081,245065,TL560450,1/1/1980 12:00:00 AM,9/1/2006 12:00:00 AM,78,,,Great Chesterford,6.2,Hadstock,Affinity Water,,Uttlesford,Ashdon,Thaxted
CB1 6PF,No,52.080666,0.278597,556237,244928,TL562449,1/1/1980 12:00:00 AM,9/1/2006 12:00:00 AM,82,,,Great Chesterford,6.3,Hadstock,Affinity Water,,Uttlesford,Ashdon,Thaxted
CB1 6PG,No,52.081698,0.293537,557257,245075,TL572450,1/1/1980 12:00:00 AM,9/1/2006 12:00:00 AM,61,,,Great Chesterford,7.3,,Affinity Water,,Uttlesford,Ashdon,Thaxted
