Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
RG14 9AE,No,51.324845,-1.245546,452667,158686,SU526586,1/1/2005 12:00:00 AM,2/1/2012 12:00:00 AM,105,,,Thatcham,7.7,Kingsclere,,,Basingstoke and Deane,"Tadley North, Kingsclere & Baughurst",Whitchurch & The Cleres
RG14 9BN,No,51.324845,-1.245546,452667,158686,SU526586,9/1/2005 12:00:00 AM,10/1/2013 12:00:00 AM,105,,,Thatcham,7.7,Kingsclere,,,Basingstoke and Deane,"Tadley North, Kingsclere & Baughurst",Whitchurch & The Cleres
RG14 9BW,No,51.324845,-1.245546,452667,158686,SU526586,1/1/2006 12:00:00 AM,3/1/2012 12:00:00 AM,105,,,Thatcham,7.7,Kingsclere,,,Basingstoke and Deane,"Tadley North, Kingsclere & Baughurst",Whitchurch & The Cleres
RG14 9DS,No,51.324845,-1.245546,452667,158686,SU526586,3/1/2011 12:00:00 AM,10/1/2012 12:00:00 AM,105,,,Thatcham,7.7,Kingsclere,,,Basingstoke and Deane,"Tadley North, Kingsclere & Baughurst",Whitchurch & The Cleres
RG14 9ED,No,51.324845,-1.245546,452667,158686,SU526586,1/1/2007 12:00:00 AM,2/1/2012 12:00:00 AM,105,,,Thatcham,7.7,Kingsclere,,,Basingstoke and Deane,"Tadley North, Kingsclere & Baughurst",Whitchurch & The Cleres
RG14 9EN,No,51.324845,-1.245546,452667,158686,SU526586,6/1/2011 12:00:00 AM,6/1/2012 12:00:00 AM,105,,,Thatcham,7.7,Kingsclere,,,Basingstoke and Deane,"Tadley North, Kingsclere & Baughurst",Whitchurch & The Cleres
RG14 9FT,No,51.324845,-1.245546,452667,158686,SU526586,7/1/2008 12:00:00 AM,8/1/2012 12:00:00 AM,105,,,Thatcham,7.7,Kingsclere,,,Basingstoke and Deane,"Tadley North, Kingsclere & Baughurst",Whitchurch & The Cleres
RG14 9GG,No,51.324845,-1.245546,452667,158686,SU526586,2/1/2009 12:00:00 AM,3/1/2012 12:00:00 AM,105,,,Thatcham,7.7,Kingsclere,,,Basingstoke and Deane,"Tadley North, Kingsclere & Baughurst",Whitchurch & The Cleres
RG14 9GL,No,51.324845,-1.245546,452667,158686,SU526586,5/1/2009 12:00:00 AM,4/1/2014 12:00:00 AM,105,,,Thatcham,7.7,Kingsclere,,,Basingstoke and Deane,"Tadley North, Kingsclere & Baughurst",Whitchurch & The Cleres
RG14 9GU,No,51.324845,-1.245546,452667,158686,SU526586,9/1/2009 12:00:00 AM,10/1/2013 12:00:00 AM,105,,,Thatcham,7.7,Kingsclere,,,Basingstoke and Deane,"Tadley North, Kingsclere & Baughurst",Whitchurch & The Cleres
RG14 9GW,No,51.324845,-1.245546,452667,158686,SU526586,9/1/2009 12:00:00 AM,10/1/2011 12:00:00 AM,105,,,Thatcham,7.7,Kingsclere,,,Basingstoke and Deane,"Tadley North, Kingsclere & Baughurst",Whitchurch & The Cleres
RG14 9GY,No,51.324845,-1.245546,452667,158686,SU526586,11/1/2009 12:00:00 AM,10/1/2013 12:00:00 AM,105,,,Thatcham,7.7,Kingsclere,,,Basingstoke and Deane,"Tadley North, Kingsclere & Baughurst",Whitchurch & The Cleres
RG14 9GZ,No,51.324845,-1.245546,452667,158686,SU526586,11/1/2009 12:00:00 AM,12/1/2011 12:00:00 AM,105,,,Thatcham,7.7,Kingsclere,,,Basingstoke and Deane,"Tadley North, Kingsclere & Baughurst",Whitchurch & The Cleres
RG14 9HH,No,51.324845,-1.245546,452667,158686,SU526586,7/1/2010 12:00:00 AM,8/1/2013 12:00:00 AM,105,,,Thatcham,7.7,Kingsclere,,,Basingstoke and Deane,"Tadley North, Kingsclere & Baughurst",Whitchurch & The Cleres
RG14 9HJ,No,51.324845,-1.245546,452667,158686,SU526586,8/1/2010 12:00:00 AM,3/1/2012 12:00:00 AM,105,,,Thatcham,7.7,Kingsclere,,,Basingstoke and Deane,"Tadley North, Kingsclere & Baughurst",Whitchurch & The Cleres
RG14 9HN,No,51.324845,-1.245546,452667,158686,SU526586,8/1/2010 12:00:00 AM,9/1/2011 12:00:00 AM,105,,,Thatcham,7.7,Kingsclere,,,Basingstoke and Deane,"Tadley North, Kingsclere & Baughurst",Whitchurch & The Cleres
RG14 9HP,No,51.324845,-1.245546,452667,158686,SU526586,8/1/2010 12:00:00 AM,9/1/2011 12:00:00 AM,105,,,Thatcham,7.7,Kingsclere,,,Basingstoke and Deane,"Tadley North, Kingsclere & Baughurst",Whitchurch & The Cleres
RG14 9HQ,No,51.324845,-1.245546,452667,158686,SU526586,9/1/2010 12:00:00 AM,9/1/2011 12:00:00 AM,105,,,Thatcham,7.7,Kingsclere,,,Basingstoke and Deane,"Tadley North, Kingsclere & Baughurst",Whitchurch & The Cleres
RG14 9HR,No,51.324845,-1.245546,452667,158686,SU526586,9/1/2010 12:00:00 AM,10/1/2013 12:00:00 AM,105,,,Thatcham,7.7,Kingsclere,,,Basingstoke and Deane,"Tadley North, Kingsclere & Baughurst",Whitchurch & The Cleres
RG14 9HS,No,51.324845,-1.245546,452667,158686,SU526586,10/1/2010 12:00:00 AM,11/1/2013 12:00:00 AM,105,,,Thatcham,7.7,Kingsclere,,,Basingstoke and Deane,"Tadley North, Kingsclere & Baughurst",Whitchurch & The Cleres
RG14 9HT,No,51.324845,-1.245546,452667,158686,SU526586,11/1/2010 12:00:00 AM,2/1/2012 12:00:00 AM,105,,,Thatcham,7.7,Kingsclere,,,Basingstoke and Deane,"Tadley North, Kingsclere & Baughurst",Whitchurch & The Cleres
RG14 9JB,No,51.324845,-1.245546,452667,158686,SU526586,3/1/2011 12:00:00 AM,2/1/2012 12:00:00 AM,105,,,Thatcham,7.7,Kingsclere,,,Basingstoke and Deane,"Tadley North, Kingsclere & Baughurst",Whitchurch & The Cleres
RG14 9JD,No,51.324845,-1.245546,452667,158686,SU526586,5/1/2011 12:00:00 AM,5/1/2013 12:00:00 AM,105,,,Thatcham,7.7,Kingsclere,,,Basingstoke and Deane,"Tadley North, Kingsclere & Baughurst",Whitchurch & The Cleres
RG14 9JF,No,51.324845,-1.245546,452667,158686,SU526586,5/1/2011 12:00:00 AM,2/1/2012 12:00:00 AM,105,,,Thatcham,7.7,Kingsclere,,,Basingstoke and Deane,"Tadley North, Kingsclere & Baughurst",Whitchurch & The Cleres
RG14 9JH,No,51.324845,-1.245546,452667,158686,SU526586,8/1/2011 12:00:00 AM,8/1/2012 12:00:00 AM,105,,,Thatcham,7.7,Kingsclere,,,Basingstoke and Deane,"Tadley North, Kingsclere & Baughurst",Whitchurch & The Cleres
RG14 9JJ,No,51.324845,-1.245546,452667,158686,SU526586,8/1/2011 12:00:00 AM,9/1/2012 12:00:00 AM,105,,,Thatcham,7.7,Kingsclere,,,Basingstoke and Deane,"Tadley North, Kingsclere & Baughurst",Whitchurch & The Cleres
RG14 9JL,No,51.324845,-1.245546,452667,158686,SU526586,9/1/2011 12:00:00 AM,10/1/2012 12:00:00 AM,105,,,Thatcham,7.7,Kingsclere,,,Basingstoke and Deane,"Tadley North, Kingsclere & Baughurst",Whitchurch & The Cleres
RG14 9JN,No,51.324845,-1.245546,452667,158686,SU526586,12/1/2011 12:00:00 AM,10/1/2012 12:00:00 AM,105,,,Thatcham,7.7,Kingsclere,,,Basingstoke and Deane,"Tadley North, Kingsclere & Baughurst",Whitchurch & The Cleres
RG14 9JQ,No,51.324845,-1.245546,452667,158686,SU526586,3/1/2012 12:00:00 AM,4/1/2013 12:00:00 AM,105,,,Thatcham,7.7,Kingsclere,,,Basingstoke and Deane,"Tadley North, Kingsclere & Baughurst",Whitchurch & The Cleres
RG14 9JR,No,51.324845,-1.245546,452667,158686,SU526586,7/1/2012 12:00:00 AM,2/1/2013 12:00:00 AM,105,,,Thatcham,7.7,Kingsclere,,,Basingstoke and Deane,"Tadley North, Kingsclere & Baughurst",Whitchurch & The Cleres
RG14 9JX,No,51.324845,-1.245546,452667,158686,SU526586,3/1/2013 12:00:00 AM,4/1/2014 12:00:00 AM,105,,,Thatcham,7.7,Kingsclere,,,Basingstoke and Deane,"Tadley North, Kingsclere & Baughurst",Whitchurch & The Cleres
RG14 9JY,No,51.324845,-1.245546,452667,158686,SU526586,7/1/2013 12:00:00 AM,7/1/2013 12:00:00 AM,105,,,Thatcham,7.7,Kingsclere,,,Basingstoke and Deane,"Tadley North, Kingsclere & Baughurst",Whitchurch & The Cleres
RG15 0AA,No,51.349286,-1.404918,441540,161302,SU415613,1/1/1980 12:00:00 AM,7/1/1995 12:00:00 AM,153,,,Kintbury,6.6,,,,Basingstoke and Deane,Evingar,Whitchurch & The Cleres
RG15 0AB,No,51.348658,-1.405271,441516,161232,SU415612,1/1/1980 12:00:00 AM,7/1/1995 12:00:00 AM,155,,,Kintbury,6.6,,,,Basingstoke and Deane,Evingar,Whitchurch & The Cleres
RG15 0AD,No,51.348368,-1.408462,441294,161198,SU412611,1/1/1980 12:00:00 AM,7/1/1995 12:00:00 AM,158,,,Kintbury,6.6,,,,Basingstoke and Deane,Evingar,Whitchurch & The Cleres
RG15 0AE,No,51.348096,-1.407877,441335,161168,SU413611,1/1/1980 12:00:00 AM,7/1/1995 12:00:00 AM,158,,,Kintbury,6.6,,,,Basingstoke and Deane,Evingar,Whitchurch & The Cleres
RG15 0AF,No,51.348741,-1.407466,441363,161240,SU413612,1/1/1980 12:00:00 AM,7/1/1995 12:00:00 AM,156,,,Kintbury,6.5,,,,Basingstoke and Deane,Evingar,Whitchurch & The Cleres
RG15 0AG,No,51.351283,-1.406988,441394,161523,SU413615,1/1/1980 12:00:00 AM,7/1/1995 12:00:00 AM,153,,,Kintbury,6.3,,,,Basingstoke and Deane,Evingar,Whitchurch & The Cleres
