Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
DE11 7BS,Yes,52.767069,-1.509197,433213,318943,SK332189,1/1/1980 12:00:00 AM,,173,20,9,Burton-On-Trent,9.9,Woodville,Severn Trent,,North West Leicestershire,Blackfordby,Ashby de la Zouch
DE11 7BT,Yes,52.766564,-1.510818,433104,318886,SK331188,1/1/1980 12:00:00 AM,,169,33,15,Burton-On-Trent,9.9,Woodville,Severn Trent,,North West Leicestershire,Blackfordby,Ashby de la Zouch
DE11 7BY,Yes,52.766768,-1.517063,432682,318906,SK326189,1/1/1980 12:00:00 AM,,170,109,47,Burton-On-Trent,9.5,Woodville,Severn Trent,,North West Leicestershire,Blackfordby,Ashby de la Zouch
DE11 7DL,Yes,52.762713,-1.525577,432111,318451,SK321184,1/1/1980 12:00:00 AM,,147,5,3,Burton-On-Trent,9.2,Woodville,Severn Trent,,North West Leicestershire,Blackfordby,Ashby de la Zouch
DE11 8AA,Yes,52.765169,-1.508329,433273,318732,SK332187,1/1/1980 12:00:00 AM,,170,93,42,Burton-On-Trent,10.1,Woodville,Severn Trent,,North West Leicestershire,Blackfordby,Ashby de la Zouch
DE11 8AB,Yes,52.759881,-1.512323,433007,318142,SK330181,1/1/1980 12:00:00 AM,,159,12,5,Burton-On-Trent,10.1,Blackfordby,Severn Trent,,North West Leicestershire,Blackfordby,Ashby de la Zouch
DE11 8AD,Yes,52.758929,-1.512326,433008,318036,SK330180,7/1/1986 12:00:00 AM,,145,40,15,Burton-On-Trent,10.2,Blackfordby,Severn Trent,,North West Leicestershire,Blackfordby,Ashby de la Zouch
DE11 8AE,Yes,52.757469,-1.513661,432919,317873,SK329178,7/1/1986 12:00:00 AM,,135,17,10,Burton-On-Trent,10.2,Blackfordby,Severn Trent,,North West Leicestershire,Blackfordby,Ashby de la Zouch
DE11 8AF,Yes,52.757638,-1.511007,433098,317893,SK330178,1/1/1980 12:00:00 AM,,139,18,8,Burton-On-Trent,10.3,Blackfordby,Severn Trent,,North West Leicestershire,Blackfordby,Ashby de la Zouch
DE11 8AG,Yes,52.759275,-1.513611,432921,318074,SK329180,1/1/1980 12:00:00 AM,,144,13,6,Burton-On-Trent,10.1,Blackfordby,Severn Trent,,North West Leicestershire,Blackfordby,Ashby de la Zouch
DE11 8AH,Yes,52.758162,-1.516209,432747,317949,SK327179,1/1/1980 12:00:00 AM,,132,83,33,Burton-On-Trent,10.0,Blackfordby,Severn Trent,,North West Leicestershire,Blackfordby,Ashby de la Zouch
DE11 8AJ,Yes,52.758669,-1.514759,432844,318006,SK328180,1/1/1980 12:00:00 AM,,138,63,25,Burton-On-Trent,10.1,Blackfordby,Severn Trent,,North West Leicestershire,Blackfordby,Ashby de la Zouch
DE11 8AL,Yes,52.757064,-1.511369,433074,317829,SK330178,1/1/1980 12:00:00 AM,,136,44,19,Burton-On-Trent,10.3,Blackfordby,Severn Trent,,North West Leicestershire,Blackfordby,Ashby de la Zouch
DE11 8AN,Yes,52.756479,-1.513331,432942,317763,SK329177,1/1/1980 12:00:00 AM,,132,68,33,Burton-On-Trent,10.3,Blackfordby,Severn Trent,,North West Leicestershire,Blackfordby,Ashby de la Zouch
DE11 8AP,Yes,52.757779,-1.514895,432835,317907,SK328179,1/1/1980 12:00:00 AM,,136,33,17,Burton-On-Trent,10.1,Blackfordby,Severn Trent,,North West Leicestershire,Blackfordby,Ashby de la Zouch
DE11 8AQ,Yes,52.759317,-1.514944,432831,318078,SK328180,1/1/1980 12:00:00 AM,,139,9,4,Burton-On-Trent,10.0,Blackfordby,Severn Trent,,North West Leicestershire,Blackfordby,Ashby de la Zouch
DE11 8AR,Yes,52.759451,-1.516958,432695,318092,SK326180,1/1/1980 12:00:00 AM,,133,56,27,Burton-On-Trent,9.9,Blackfordby,Severn Trent,,North West Leicestershire,Blackfordby,Ashby de la Zouch
DE11 8AS,Yes,52.758508,-1.517087,432687,317987,SK326179,1/1/1980 12:00:00 AM,,131,33,18,Burton-On-Trent,9.9,Blackfordby,Severn Trent,,North West Leicestershire,Blackfordby,Ashby de la Zouch
DE11 8AT,Yes,52.758754,-1.513558,432925,318016,SK329180,1/1/1980 12:00:00 AM,,141,19,10,Burton-On-Trent,10.1,Blackfordby,Severn Trent,,North West Leicestershire,Blackfordby,Ashby de la Zouch
DE11 8AW,Yes,52.757465,-1.515136,432819,317872,SK328178,1/1/1980 12:00:00 AM,,132,33,16,Burton-On-Trent,10.1,Blackfordby,Severn Trent,,North West Leicestershire,Blackfordby,Ashby de la Zouch
DE11 8AY,Yes,52.758141,-1.511016,433097,317949,SK330179,6/1/1981 12:00:00 AM,,142,43,17,Burton-On-Trent,10.3,Blackfordby,Severn Trent,,North West Leicestershire,Blackfordby,Ashby de la Zouch
DE11 8AZ,Yes,52.758635,-1.510877,433106,318004,SK331180,1/1/1980 12:00:00 AM,,145,26,11,Burton-On-Trent,10.3,Blackfordby,Severn Trent,,North West Leicestershire,Blackfordby,Ashby de la Zouch
