Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
NR21 7RD,No,52.856397,0.746305,585000,332300,TF849322,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,67,,,Kings Lynn,25.7,,,,King's Lynn and West Norfolk,Bircham with Rudhams,Docking
NR21 9AB,Yes,52.885526,0.764380,586092,335586,TF860355,1/1/1980 12:00:00 AM,,27,7,4,Kings Lynn,28.3,,Anglian Water,,King's Lynn and West Norfolk,Bircham with Rudhams,Docking
NR21 9AD,Yes,52.907015,0.755128,585378,337952,TF853379,1/1/1980 12:00:00 AM,,21,19,10,Kings Lynn,29.1,North Creake,Anglian Water,,King's Lynn and West Norfolk,Bircham with Rudhams,North Coast
NR21 9FE,Yes,52.911303,0.719716,582979,338338,TF829383,7/1/2020 12:00:00 AM,,41,,,Kings Lynn,27.5,,,,King's Lynn and West Norfolk,Bircham with Rudhams,North Coast
NR21 9FH,Yes,52.911275,0.720130,583007,338336,TF830383,7/1/2020 12:00:00 AM,,45,,,Kings Lynn,27.5,,,,King's Lynn and West Norfolk,Bircham with Rudhams,North Coast
NR21 9JA,Yes,52.867344,0.794295,588183,333642,TF881336,1/1/1980 12:00:00 AM,,42,17,8,Sheringham,29.1,,Anglian Water,,King's Lynn and West Norfolk,Bircham with Rudhams,Docking
NR21 9JB,Yes,52.876656,0.793645,588099,334676,TF880346,1/1/1980 12:00:00 AM,,37,34,12,Sheringham,28.8,,Anglian Water,,King's Lynn and West Norfolk,Bircham with Rudhams,Docking
NR21 9JD,Yes,52.886308,0.777854,586995,335708,TF869357,1/1/1980 12:00:00 AM,,44,7,3,Kings Lynn,29.1,,Anglian Water,,King's Lynn and West Norfolk,Bircham with Rudhams,Docking
NR21 9JE,Yes,52.889720,0.760737,585829,336043,TF858360,1/1/1980 12:00:00 AM,,25,10,6,Kings Lynn,28.3,,Anglian Water,,King's Lynn and West Norfolk,Bircham with Rudhams,Docking
NR21 9JF,Yes,52.891719,0.759823,585759,336263,TF857362,1/1/1980 12:00:00 AM,,28,6,3,Kings Lynn,28.4,,Anglian Water,,King's Lynn and West Norfolk,Bircham with Rudhams,Docking
NR21 9JG,Yes,52.894252,0.758362,585650,336541,TF856365,1/1/1980 12:00:00 AM,,25,19,7,Kings Lynn,28.5,,Anglian Water,,King's Lynn and West Norfolk,Bircham with Rudhams,Docking
NR21 9JH,Yes,52.903414,0.755702,585432,337553,TF854375,1/1/1980 12:00:00 AM,,24,5,2,Kings Lynn,28.9,North Creake,Anglian Water,,King's Lynn and West Norfolk,Bircham with Rudhams,North Coast
NR21 9JJ,Yes,52.905823,0.755797,585428,337821,TF854378,1/1/1980 12:00:00 AM,,28,7,5,Kings Lynn,29.1,North Creake,Anglian Water,,King's Lynn and West Norfolk,Bircham with Rudhams,North Coast
NR21 9JL,Yes,52.906400,0.756503,585473,337887,TF854378,1/1/1980 12:00:00 AM,,32,,,Kings Lynn,29.1,North Creake,Anglian Water,,King's Lynn and West Norfolk,Bircham with Rudhams,North Coast
NR21 9JN,Yes,52.907595,0.755700,585414,338018,TF854380,1/1/1980 12:00:00 AM,,23,17,9,Kings Lynn,29.2,North Creake,Anglian Water,,King's Lynn and West Norfolk,Bircham with Rudhams,North Coast
NR21 9JP,Yes,52.909373,0.755472,585391,338215,TF853382,1/1/1980 12:00:00 AM,,21,7,3,Kings Lynn,29.3,North Creake,Anglian Water,,King's Lynn and West Norfolk,Bircham with Rudhams,North Coast
NR21 9JQ,Yes,52.900256,0.755413,585426,337201,TF854372,1/1/1980 12:00:00 AM,,24,13,4,Kings Lynn,28.7,,Anglian Water,,King's Lynn and West Norfolk,Bircham with Rudhams,North Coast
