Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
NN1 1AA,No,52.245270,-0.898245,475320,261359,SP753613,1/1/1993 12:00:00 AM,10/1/2016 12:00:00 AM,85,,,Northampton,1.0,Northampton,,,West Northamptonshire,St. George,
NN1 1AB,No,52.236611,-0.894359,475600,260400,SP756603,1/1/1980 12:00:00 AM,12/1/1991 12:00:00 AM,80,,,Northampton,0.8,Northampton,,,West Northamptonshire,Castle,
NN1 1AD,No,52.236611,-0.894359,475600,260400,SP756603,3/1/1982 12:00:00 AM,1/1/1995 12:00:00 AM,80,,,Northampton,0.8,Northampton,,,West Northamptonshire,Castle,
NN1 1AE,No,52.245270,-0.898245,475320,261359,SP753613,10/1/1984 12:00:00 AM,7/1/2007 12:00:00 AM,85,,,Northampton,1.0,Northampton,,,West Northamptonshire,St. George,
NN1 1AF,Yes,52.237003,-0.893046,475689,260445,SP756604,7/1/1986 12:00:00 AM,,82,,,Northampton,0.9,Northampton,,,West Northamptonshire,Castle,
NN1 1AG,Yes,52.235583,-0.894019,475625,260286,SP756602,3/1/2008 12:00:00 AM,,74,155,99,Northampton,0.9,Northampton,Anglian Water,,West Northamptonshire,Castle,
NN1 1AH,No,52.245270,-0.898245,475320,261359,SP753613,6/1/1997 12:00:00 AM,11/1/2003 12:00:00 AM,85,,,Northampton,1.0,Northampton,,,West Northamptonshire,St. George,
NN1 1AJ,Yes,52.236146,-0.900389,475189,260342,SP751603,12/1/2001 12:00:00 AM,,70,,,Northampton,0.5,Northampton,Anglian Water,,West Northamptonshire,Castle,
NN1 1AL,Yes,52.245270,-0.898245,475320,261359,SP753613,5/1/1994 12:00:00 AM,,85,,,Northampton,1.0,Northampton,,,West Northamptonshire,St. George,
NN1 1AN,No,52.245270,-0.898245,475320,261359,SP753613,5/1/1994 12:00:00 AM,6/1/2011 12:00:00 AM,85,,,Northampton,1.0,Northampton,,,West Northamptonshire,St. George,
