Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
NN1 5AD,No,52.236473,-0.879719,476600,260400,SP765603,10/1/1984 12:00:00 AM,1/1/1995 12:00:00 AM,81,,,Northampton,1.8,Northampton,,,West Northamptonshire,Delapre and Rushmere,
NN1 5AE,No,52.236350,-0.879092,476643,260387,SP766603,12/1/1995 12:00:00 AM,10/1/2022 12:00:00 AM,80,,,Northampton,1.9,Northampton,Anglian Water,,West Northamptonshire,Delapre and Rushmere,
NN1 5AR,Yes,52.236076,-0.877649,476742,260358,SP767603,10/1/2011 12:00:00 AM,,78,,,Northampton,2.0,Northampton,Anglian Water,,West Northamptonshire,Delapre and Rushmere,
NN1 5AS,No,52.237427,-0.885552,476200,260500,SP762604,1/1/1980 12:00:00 AM,12/1/1991 12:00:00 AM,81,,,Northampton,1.4,Northampton,,,West Northamptonshire,Delapre and Rushmere,
NN1 5AU,Yes,52.237737,-0.881180,476498,260539,SP764605,9/1/2013 12:00:00 AM,,84,,,Northampton,1.7,Northampton,Anglian Water,,West Northamptonshire,Delapre and Rushmere,
NN1 5AX,No,52.237414,-0.884088,476300,260500,SP763605,8/1/1993 12:00:00 AM,12/1/1994 12:00:00 AM,80,,,Northampton,1.5,Northampton,,,West Northamptonshire,Delapre and Rushmere,
NN1 5BB,Yes,52.234758,-0.886000,476174,260203,SP761602,1/1/1980 12:00:00 AM,,69,,,Northampton,1.4,Northampton,Anglian Water,,West Northamptonshire,Delapre and Rushmere,
NN1 5BD,Yes,52.236068,-0.883829,476320,260351,SP763603,1/1/1980 12:00:00 AM,,78,28,1,Northampton,1.6,Northampton,Anglian Water,,West Northamptonshire,Delapre and Rushmere,
NN1 5BE,Yes,52.237196,-0.882366,476418,260478,SP764604,1/1/1980 12:00:00 AM,,82,3,2,Northampton,1.7,Northampton,Anglian Water,,West Northamptonshire,Delapre and Rushmere,
NN1 5BF,Yes,52.235455,-0.879524,476615,260287,SP766602,8/1/2004 12:00:00 AM,,76,,,Northampton,1.9,Northampton,Anglian Water,,West Northamptonshire,Delapre and Rushmere,
NN1 5BG,Yes,52.237076,-0.881710,476463,260465,SP764604,6/1/2001 12:00:00 AM,,82,13,9,Northampton,1.7,Northampton,Anglian Water,,West Northamptonshire,Delapre and Rushmere,
NN1 5BH,Yes,52.237785,-0.881531,476474,260544,SP764605,6/1/2002 12:00:00 AM,,84,29,17,Northampton,1.7,Northampton,Anglian Water,,West Northamptonshire,Delapre and Rushmere,
NN1 5BJ,Yes,52.237520,-0.877334,476761,260519,SP767605,6/1/1981 12:00:00 AM,,83,97,39,Northampton,2.0,Northampton,Anglian Water,,West Northamptonshire,Delapre and Rushmere,
NN1 5BL,Yes,52.237744,-0.881927,476447,260539,SP764605,6/1/2002 12:00:00 AM,,84,23,18,Northampton,1.7,Northampton,Anglian Water,,West Northamptonshire,Delapre and Rushmere,
NN1 5BN,No,52.237476,-0.883999,476306,260507,SP763605,2/1/2003 12:00:00 AM,11/1/2016 12:00:00 AM,80,,,Northampton,1.5,Northampton,Anglian Water,,West Northamptonshire,Delapre and Rushmere,
NN1 5BP,No,52.237598,-0.885489,476204,260519,SP762605,1/1/1980 12:00:00 AM,2/1/2020 12:00:00 AM,81,8,0,Northampton,1.4,Northampton,Anglian Water,,West Northamptonshire,Delapre and Rushmere,
NN1 5BQ,No,52.236459,-0.878254,476700,260400,SP767603,8/1/1992 12:00:00 AM,5/1/1994 12:00:00 AM,81,,,Northampton,1.9,Northampton,,,West Northamptonshire,Delapre and Rushmere,
NN1 5BT,Yes,52.236378,-0.877334,476763,260392,SP767603,1/1/1980 12:00:00 AM,,79,132,54,Northampton,2.0,Northampton,Anglian Water,,West Northamptonshire,Delapre and Rushmere,
NN1 5BU,Yes,52.234904,-0.879509,476617,260226,SP766602,1/1/1980 12:00:00 AM,,72,,,Northampton,1.9,Northampton,Anglian Water,,West Northamptonshire,Delapre and Rushmere,
NN1 5BW,Yes,52.236349,-0.879239,476633,260387,SP766603,1/1/1980 12:00:00 AM,,79,,,Northampton,1.9,Northampton,Anglian Water,,West Northamptonshire,Delapre and Rushmere,
NN1 5BX,Yes,52.237404,-0.880237,476563,260503,SP765605,1/1/1980 12:00:00 AM,,84,13,7,Northampton,1.8,Northampton,Anglian Water,,West Northamptonshire,Delapre and Rushmere,
NN1 5BY,Yes,52.237839,-0.879596,476606,260552,SP766605,1/1/1980 12:00:00 AM,,86,53,28,Northampton,1.8,Northampton,Anglian Water,,West Northamptonshire,Delapre and Rushmere,
NN1 5BZ,Yes,52.237110,-0.879615,476606,260471,SP766604,1/1/1980 12:00:00 AM,,83,49,27,Northampton,1.8,Northampton,Anglian Water,,West Northamptonshire,Delapre and Rushmere,
NN1 5DD,Yes,52.236003,-0.878515,476683,260349,SP766603,12/1/2014 12:00:00 AM,,79,,,Northampton,1.9,Northampton,Anglian Water,,West Northamptonshire,Delapre and Rushmere,
NN1 5DF,Yes,52.238285,-0.876759,476799,260605,SP767606,1/1/1980 12:00:00 AM,,84,1,1,Northampton,2.0,Northampton,Anglian Water,,West Northamptonshire,Delapre and Rushmere,
NN1 5DG,Yes,52.238142,-0.873701,477008,260592,SP770605,1/1/1980 12:00:00 AM,,86,477,0,Northampton,2.2,Northampton,Anglian Water,,West Northamptonshire,Delapre and Rushmere,
NN1 5DL,Yes,52.237248,-0.880197,476566,260486,SP765604,4/1/2017 12:00:00 AM,,85,,,Northampton,1.8,Northampton,Anglian Water,,West Northamptonshire,Delapre and Rushmere,
NN1 5DN,No,52.234889,-0.879524,476616,260224,SP766602,1/1/1980 12:00:00 AM,1/1/2010 12:00:00 AM,72,,,Northampton,1.9,Northampton,,,West Northamptonshire,Delapre and Rushmere,
NN1 5DP,No,52.237386,-0.881160,476500,260500,SP764605,1/1/1980 12:00:00 AM,12/1/1991 12:00:00 AM,83,,,Northampton,1.7,Northampton,,,West Northamptonshire,Delapre and Rushmere,
NN1 5DR,Yes,52.236143,-0.874323,476969,260369,SP769603,1/1/1980 12:00:00 AM,,84,,,Northampton,2.2,Northampton,Anglian Water,,West Northamptonshire,Delapre and Rushmere,
NN1 5DT,Yes,52.237763,-0.880433,476549,260543,SP765605,1/1/1980 12:00:00 AM,,85,61,45,Northampton,1.8,Northampton,Anglian Water,,West Northamptonshire,Delapre and Rushmere,
NN1 5DU,No,52.237386,-0.881160,476500,260500,SP764605,5/1/1994 12:00:00 AM,12/1/1995 12:00:00 AM,83,,,Northampton,1.7,Northampton,,,West Northamptonshire,Delapre and Rushmere,
NN1 5DW,No,52.237400,-0.882624,476400,260500,SP764605,1/1/1992 12:00:00 AM,5/1/1994 12:00:00 AM,82,,,Northampton,1.6,Northampton,,,West Northamptonshire,Delapre and Rushmere,
NN1 5FS,Yes,52.232352,-0.875913,476867,259946,SP768599,10/1/2019 12:00:00 AM,,61,,,Northampton,2.2,Northampton,,,West Northamptonshire,Delapre and Rushmere,
NN1 5FU,Yes,52.237491,-0.883984,476307,260509,SP763605,9/1/2021 12:00:00 AM,,76,,,Northampton,1.5,Northampton,,,West Northamptonshire,Delapre and Rushmere,
NN1 5FW,No,52.231405,-0.880051,476586,259836,SP765598,11/1/2010 12:00:00 AM,11/1/2015 12:00:00 AM,59,,,Northampton,1.9,Northampton,Anglian Water,,West Northamptonshire,Delapre and Rushmere,
NN1 5FY,Yes,52.231170,-0.878915,476664,259811,SP766598,4/1/2014 12:00:00 AM,,59,,,Northampton,2.0,,Anglian Water,,West Northamptonshire,Delapre and Rushmere,
NN1 5GB,Yes,52.231544,-0.879843,476600,259852,SP765598,5/1/2022 12:00:00 AM,,57,,,Northampton,1.9,Northampton,,,West Northamptonshire,Delapre and Rushmere,
NN1 5GE,Yes,52.231424,-0.887123,476103,259831,SP761598,8/1/2022 12:00:00 AM,,58,,,Northampton,1.5,Northampton,,,West Northamptonshire,Delapre and Rushmere,
NN1 5HL,Yes,52.234686,-0.883703,476331,260197,SP763601,6/1/1998 12:00:00 AM,,86,,,Northampton,1.6,Northampton,Anglian Water,,West Northamptonshire,Delapre and Rushmere,
NN1 5HN,Yes,52.234992,-0.878130,476711,260237,SP767602,12/1/2001 12:00:00 AM,,72,74,41,Northampton,2.0,Northampton,Anglian Water,,West Northamptonshire,Delapre and Rushmere,
NN1 5HQ,Yes,52.235138,-0.878610,476678,260253,SP766602,6/1/2001 12:00:00 AM,,73,34,17,Northampton,1.9,Northampton,Anglian Water,,West Northamptonshire,Delapre and Rushmere,
NN1 5LA,No,52.233248,-0.880927,476523,260040,SP765600,3/1/2004 12:00:00 AM,7/1/2013 12:00:00 AM,65,,,Northampton,1.8,Northampton,,,West Northamptonshire,Delapre and Rushmere,
NN1 5LG,No,52.232905,-0.882737,476400,260000,SP763599,1/1/1983 12:00:00 AM,12/1/1992 12:00:00 AM,62,,,Northampton,1.7,Northampton,,,West Northamptonshire,Delapre and Rushmere,
NN1 5NG,Yes,52.233822,-0.885892,476183,260099,SP761600,10/1/2002 12:00:00 AM,,63,92,50,Northampton,1.5,Northampton,Anglian Water,,West Northamptonshire,Delapre and Rushmere,
NN1 5NJ,Yes,52.233959,-0.884775,476259,260115,SP762601,6/1/2003 12:00:00 AM,,63,107,64,Northampton,1.5,Northampton,Anglian Water,,West Northamptonshire,Delapre and Rushmere,
NN1 5NP,No,52.235602,-0.882669,476400,260300,SP764603,1/1/1992 12:00:00 AM,1/1/1995 12:00:00 AM,77,,,Northampton,1.6,Northampton,,,West Northamptonshire,Delapre and Rushmere,
NN1 5NQ,Yes,52.234146,-0.885590,476203,260135,SP762601,6/1/2002 12:00:00 AM,,65,111,59,Northampton,1.5,Northampton,Anglian Water,,West Northamptonshire,Delapre and Rushmere,
NN1 5NR,No,52.237400,-0.882624,476400,260500,SP764605,7/1/1990 12:00:00 AM,7/1/1995 12:00:00 AM,82,,,Northampton,1.6,Northampton,,,West Northamptonshire,Delapre and Rushmere,
NN1 5NS,Yes,52.233770,-0.883169,476369,260096,SP763600,2/1/2012 12:00:00 AM,,62,,,Northampton,1.7,Northampton,Anglian Water,,West Northamptonshire,Delapre and Rushmere,
NN1 5NT,Yes,52.234187,-0.882324,476426,260143,SP764601,1/1/1980 12:00:00 AM,,68,5,2,Northampton,1.7,Northampton,Anglian Water,,West Northamptonshire,Delapre and Rushmere,
NN1 5NW,No,52.232919,-0.884201,476300,260000,SP762599,1/1/1980 12:00:00 AM,6/1/1998 12:00:00 AM,62,,,Northampton,1.6,Northampton,,,West Northamptonshire,Delapre and Rushmere,
NN1 5NX,Yes,52.233191,-0.880900,476525,260034,SP765600,1/1/1980 12:00:00 AM,,65,1,1,Northampton,1.8,Northampton,Anglian Water,,West Northamptonshire,Delapre and Rushmere,
NN1 5NZ,No,52.230324,-0.885437,476220,259710,SP762597,1/1/1980 12:00:00 AM,5/1/2005 12:00:00 AM,60,,,Northampton,1.6,Northampton,,,West Northamptonshire,Delapre and Rushmere,
NN1 5PA,Yes,52.231301,-0.887038,476109,259817,SP761598,1/1/1980 12:00:00 AM,,63,,,Northampton,1.5,Northampton,Anglian Water,,West Northamptonshire,Delapre and Rushmere,
NN1 5PB,No,52.231149,-0.887174,476100,259800,SP760597,1/1/1980 12:00:00 AM,1/1/1995 12:00:00 AM,63,,,Northampton,1.5,Northampton,,,West Northamptonshire,Delapre and Rushmere,
NN1 5PE,No,52.233248,-0.880927,476523,260040,SP765600,1/1/2004 12:00:00 AM,7/1/2013 12:00:00 AM,65,,,Northampton,1.8,Northampton,,,West Northamptonshire,Delapre and Rushmere,
NN1 5PH,Yes,52.231606,-0.890179,475894,259848,SP758598,7/1/2018 12:00:00 AM,,87,,,Northampton,1.3,Northampton,,,West Northamptonshire,Delapre and Rushmere,
NN1 5PL,No,52.236515,-0.884111,476300,260400,SP762604,1/1/1991 12:00:00 AM,12/1/1992 12:00:00 AM,77,,,Northampton,1.5,Northampton,,,West Northamptonshire,Delapre and Rushmere,
NN1 5PN,No,52.237742,-0.882689,476395,260538,SP763605,3/1/1988 12:00:00 AM,2/1/2017 12:00:00 AM,83,,,Northampton,1.6,Northampton,Anglian Water,,West Northamptonshire,Delapre and Rushmere,
NN1 5RH,No,52.236291,-0.860686,477900,260400,SP778604,12/1/1995 12:00:00 AM,12/1/1996 12:00:00 AM,64,,,Northampton,3.1,Northampton,,,West Northamptonshire,Delapre and Rushmere,
NN1 5RN,Yes,52.237130,-0.857223,478135,260497,SP781604,2/1/1990 12:00:00 AM,,63,205,69,Northampton,3.4,Northampton,Anglian Water,,West Northamptonshire,Delapre and Rushmere,
NN1 5RP,No,52.238284,-0.864076,477665,260618,SP776606,12/1/1995 12:00:00 AM,6/1/1997 12:00:00 AM,82,,,Northampton,2.9,Northampton,,,West Northamptonshire,Delapre and Rushmere,
NN1 5RT,Yes,52.239216,-0.867553,477426,260718,SP774607,1/1/1980 12:00:00 AM,,90,,,Northampton,2.7,Northampton,Anglian Water,,West Northamptonshire,Delapre and Rushmere,
NN1 5RU,Yes,52.238893,-0.872657,477078,260677,SP770606,1/1/1980 12:00:00 AM,,90,,,Northampton,2.3,Northampton,Anglian Water,,West Northamptonshire,Delapre and Rushmere,
NN1 5RW,Yes,52.236795,-0.862606,477768,260454,SP777604,4/1/1987 12:00:00 AM,,72,6,2,Northampton,3.0,Northampton,Anglian Water,,West Northamptonshire,Delapre and Rushmere,
NN1 5RX,Yes,52.239533,-0.864996,477600,260756,SP776607,1/1/1980 12:00:00 AM,,89,99,52,Northampton,2.8,Northampton,Anglian Water,,West Northamptonshire,Delapre and Rushmere,
NN1 5RY,Yes,52.237738,-0.861571,477837,260560,SP778605,1/1/1980 12:00:00 AM,,76,86,38,Northampton,3.1,Northampton,Anglian Water,,West Northamptonshire,Delapre and Rushmere,
NN1 5RZ,Yes,52.238242,-0.860665,477898,260617,SP778606,1/1/1980 12:00:00 AM,,79,48,21,Northampton,3.1,Northampton,Anglian Water,,West Northamptonshire,Delapre and Rushmere,
NN1 5SA,Yes,52.238765,-0.859920,477948,260676,SP779606,1/1/1980 12:00:00 AM,,82,27,16,Northampton,3.2,Northampton,Anglian Water,,West Northamptonshire,Delapre and Rushmere,
NN1 5SB,Yes,52.238886,-0.858525,478043,260691,SP780606,1/1/1980 12:00:00 AM,,81,40,18,Northampton,3.3,Northampton,Anglian Water,,West Northamptonshire,Delapre and Rushmere,
NN1 5SD,Yes,52.239252,-0.862895,477744,260727,SP777607,1/1/1980 12:00:00 AM,,86,97,34,Northampton,3.0,Northampton,Anglian Water,,West Northamptonshire,Delapre and Rushmere,
NN1 5SE,Yes,52.238808,-0.864385,477643,260676,SP776606,1/1/1980 12:00:00 AM,,86,25,10,Northampton,2.9,Northampton,Anglian Water,,West Northamptonshire,Delapre and Rushmere,
NN1 5SF,Yes,52.238408,-0.862975,477740,260633,SP777606,1/1/1980 12:00:00 AM,,81,73,28,Northampton,3.0,Northampton,Anglian Water,,West Northamptonshire,Delapre and Rushmere,
NN1 5SG,Yes,52.237936,-0.857876,478089,260586,SP780605,1/1/1980 12:00:00 AM,,73,95,34,Northampton,3.3,Northampton,Anglian Water,,West Northamptonshire,Delapre and Rushmere,
NN1 5SQ,Yes,52.238270,-0.857999,478080,260623,SP780606,1/1/1980 12:00:00 AM,,76,56,26,Northampton,3.3,Northampton,Anglian Water,,West Northamptonshire,Delapre and Rushmere,
NN1 5SW,No,52.236350,-0.879092,476643,260387,SP766603,6/1/1999 12:00:00 AM,7/1/2005 12:00:00 AM,80,,,Northampton,1.9,Northampton,,,West Northamptonshire,Delapre and Rushmere,
NN1 5SY,No,52.236790,-0.879037,476646,260436,SP766604,12/1/1999 12:00:00 AM,10/1/2022 12:00:00 AM,82,,,Northampton,1.9,Northampton,Anglian Water,,West Northamptonshire,Delapre and Rushmere,
NN1 5SZ,Yes,52.232760,-0.878758,476672,259988,SP766599,6/1/1999 12:00:00 AM,,63,,,Northampton,2.0,Northampton,Anglian Water,,West Northamptonshire,Delapre and Rushmere,
NN1 5WF,No,52.236790,-0.879037,476646,260436,SP766604,8/1/2002 12:00:00 AM,9/1/2003 12:00:00 AM,82,,,Northampton,1.9,Northampton,,,West Northamptonshire,Delapre and Rushmere,
