Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
NR1 1AG,No,52.648071,1.330580,625400,310800,TG253108,12/1/1994 12:00:00 AM,11/1/2004 12:00:00 AM,41,,,Norwich,2.8,Norwich,,,Broadland,Sprowston East,Sprowston
NR1 1AJ,No,52.648071,1.330580,625400,310800,TG253108,1/1/1995 12:00:00 AM,1/1/2004 12:00:00 AM,41,,,Norwich,2.8,Norwich,,,Broadland,Sprowston East,Sprowston
NR1 1AQ,No,52.647719,1.322938,624885,310737,TG248107,12/1/2000 12:00:00 AM,5/1/2009 12:00:00 AM,42,,,Norwich,2.5,Norwich,,,Broadland,Sprowston East,Sprowston
NR1 1BB,No,52.648071,1.330580,625400,310800,TG253108,7/1/1995 12:00:00 AM,11/1/2004 12:00:00 AM,41,,,Norwich,2.8,Norwich,,,Broadland,Sprowston East,Sprowston
NR1 1BE,No,52.648071,1.330580,625400,310800,TG253108,1/1/1991 12:00:00 AM,12/1/2001 12:00:00 AM,41,,,Norwich,2.8,Norwich,,,Broadland,Sprowston East,Sprowston
NR1 1BN,No,52.647710,1.322937,624885,310736,TG248107,12/1/1997 12:00:00 AM,2/1/2019 12:00:00 AM,42,,,Norwich,2.5,Norwich,Anglian Water,,Broadland,Sprowston East,Sprowston
NR1 1DF,No,52.647710,1.322937,624885,310736,TG248107,6/1/2001 12:00:00 AM,2/1/2019 12:00:00 AM,42,,,Norwich,2.5,Norwich,Anglian Water,,Broadland,Sprowston East,Sprowston
NR1 1DQ,No,52.647710,1.322937,624885,310736,TG248107,3/1/2008 12:00:00 AM,5/1/2021 12:00:00 AM,42,,,Norwich,2.5,Norwich,Anglian Water,,Broadland,Sprowston East,Sprowston
NR1 1EJ,No,52.647710,1.322937,624885,310736,TG248107,12/1/1997 12:00:00 AM,1/1/2018 12:00:00 AM,42,,,Norwich,2.5,Norwich,Anglian Water,,Broadland,Sprowston East,Sprowston
NR1 1JD,No,52.647710,1.322937,624885,310736,TG248107,6/1/2009 12:00:00 AM,5/1/2016 12:00:00 AM,42,,,Norwich,2.5,Norwich,,,Broadland,Sprowston East,Sprowston
NR1 1JQ,No,52.647719,1.322938,624885,310737,TG248107,7/1/2006 12:00:00 AM,5/1/2010 12:00:00 AM,42,,,Norwich,2.5,Norwich,,,Broadland,Sprowston East,Sprowston
NR1 1JX,No,52.647719,1.322938,624885,310737,TG248107,12/1/1999 12:00:00 AM,2/1/2012 12:00:00 AM,42,,,Norwich,2.5,Norwich,,,Broadland,Sprowston East,Sprowston
NR1 1JY,No,52.647719,1.322938,624885,310737,TG248107,6/1/2001 12:00:00 AM,4/1/2012 12:00:00 AM,42,,,Norwich,2.5,Norwich,,,Broadland,Sprowston East,Sprowston
NR1 1JZ,Yes,52.647710,1.322937,624885,310736,TG248107,1/1/1980 12:00:00 AM,,42,,,Norwich,2.5,Norwich,Anglian Water,,Broadland,Sprowston East,Sprowston
NR1 1LE,No,52.647719,1.322938,624885,310737,TG248107,3/1/2005 12:00:00 AM,4/1/2006 12:00:00 AM,42,,,Norwich,2.5,Norwich,,,Broadland,Sprowston East,Sprowston
NR1 1NG,No,52.648071,1.330580,625400,310800,TG253108,12/1/1995 12:00:00 AM,9/1/2003 12:00:00 AM,41,,,Norwich,2.8,Norwich,,,Broadland,Sprowston East,Sprowston
NR1 1NU,No,52.648071,1.330580,625400,310800,TG253108,6/1/2001 12:00:00 AM,4/1/2002 12:00:00 AM,41,,,Norwich,2.8,Norwich,,,Broadland,Sprowston East,Sprowston
NR1 1QF,No,52.647719,1.322938,624885,310737,TG248107,7/1/1995 12:00:00 AM,2/1/2006 12:00:00 AM,42,,,Norwich,2.5,Norwich,,,Broadland,Sprowston East,Sprowston
NR1 1RP,No,52.647710,1.322937,624885,310736,TG248107,8/1/1992 12:00:00 AM,3/1/2024 12:00:00 AM,42,,,Norwich,2.5,Norwich,Anglian Water,,Broadland,Sprowston East,Sprowston
NR1 1RZ,No,52.647710,1.322937,624885,310736,TG248107,6/1/2001 12:00:00 AM,2/1/2019 12:00:00 AM,42,,,Norwich,2.5,Norwich,Anglian Water,,Broadland,Sprowston East,Sprowston
NR1 1SD,No,52.647719,1.322938,624885,310737,TG248107,12/1/1994 12:00:00 AM,12/1/2005 12:00:00 AM,42,,,Norwich,2.5,Norwich,,,Broadland,Sprowston East,Sprowston
NR1 1TE,No,52.647719,1.322938,624885,310737,TG248107,12/1/1999 12:00:00 AM,5/1/2009 12:00:00 AM,42,,,Norwich,2.5,Norwich,,,Broadland,Sprowston East,Sprowston
NR1 1TT,No,52.648071,1.330580,625400,310800,TG253108,12/1/1999 12:00:00 AM,10/1/2003 12:00:00 AM,41,,,Norwich,2.8,Norwich,,,Broadland,Sprowston East,Sprowston
NR1 1TY,Yes,52.625026,1.323560,625044,308216,TG250082,1/1/1980 12:00:00 AM,,6,4,1,Norwich,1.2,Norwich,Anglian Water,,Broadland,Thorpe St Andrew South East,Thorpe St. Andrew
NR1 1UJ,No,52.647719,1.322938,624885,310737,TG248107,12/1/2001 12:00:00 AM,3/1/2012 12:00:00 AM,42,,,Norwich,2.5,Norwich,,,Broadland,Sprowston East,Sprowston
NR1 1UQ,No,52.648071,1.330580,625400,310800,TG253108,6/1/1997 12:00:00 AM,11/1/2001 12:00:00 AM,41,,,Norwich,2.8,Norwich,,,Broadland,Sprowston East,Sprowston
NR1 1UR,No,52.647710,1.322937,624885,310736,TG248107,6/1/2001 12:00:00 AM,2/1/2019 12:00:00 AM,42,,,Norwich,2.5,Norwich,Anglian Water,,Broadland,Sprowston East,Sprowston
NR1 1US,No,52.648071,1.330580,625400,310800,TG253108,8/1/2003 12:00:00 AM,6/1/2004 12:00:00 AM,41,,,Norwich,2.8,Norwich,,,Broadland,Sprowston East,Sprowston
NR1 1UT,No,52.648071,1.330580,625400,310800,TG253108,12/1/2000 12:00:00 AM,12/1/2001 12:00:00 AM,41,,,Norwich,2.8,Norwich,,,Broadland,Sprowston East,Sprowston
NR1 1UU,No,52.647719,1.322938,624885,310737,TG248107,12/1/2000 12:00:00 AM,2/1/2006 12:00:00 AM,42,,,Norwich,2.5,Norwich,,,Broadland,Sprowston East,Sprowston
NR1 1UW,No,52.647710,1.322937,624885,310736,TG248107,6/1/2000 12:00:00 AM,2/1/2019 12:00:00 AM,42,,,Norwich,2.5,Norwich,Anglian Water,,Broadland,Sprowston East,Sprowston
NR1 1WA,No,52.648071,1.330580,625400,310800,TG253108,6/1/2001 12:00:00 AM,1/1/2004 12:00:00 AM,41,,,Norwich,2.8,Norwich,,,Broadland,Sprowston East,Sprowston
NR1 1WL,No,52.647719,1.322938,624885,310737,TG248107,12/1/2000 12:00:00 AM,3/1/2011 12:00:00 AM,42,,,Norwich,2.5,Norwich,,,Broadland,Sprowston East,Sprowston
NR1 1WN,No,52.635610,1.320807,624803,309384,TG248093,12/1/2001 12:00:00 AM,5/1/2004 12:00:00 AM,45,,,Norwich,1.3,Norwich,,,Norwich,Crome,Crome
NR1 1WP,No,52.647719,1.322938,624885,310737,TG248107,6/1/2002 12:00:00 AM,2/1/2010 12:00:00 AM,42,,,Norwich,2.5,Norwich,,,Broadland,Sprowston East,Sprowston
NR1 1XF,No,52.647710,1.322937,624885,310736,TG248107,3/1/1988 12:00:00 AM,12/1/2020 12:00:00 AM,42,,,Norwich,2.5,Norwich,Anglian Water,,Broadland,Sprowston East,Sprowston
NR1 1XH,No,52.647719,1.322938,624885,310737,TG248107,1/1/1993 12:00:00 AM,2/1/2006 12:00:00 AM,42,,,Norwich,2.5,Norwich,,,Broadland,Sprowston East,Sprowston
NR1 1XJ,Yes,52.647710,1.322937,624885,310736,TG248107,9/1/2004 12:00:00 AM,,42,,,Norwich,2.5,Norwich,Anglian Water,,Broadland,Sprowston East,Sprowston
NR1 1XL,No,52.648071,1.330580,625400,310800,TG253108,12/1/1996 12:00:00 AM,11/1/2004 12:00:00 AM,41,,,Norwich,2.8,Norwich,,,Broadland,Sprowston East,Sprowston
