Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
M10 0HZ,No,53.522300,-2.167263,389008,402861,SD890028,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,106,,,Moston,0.3,Chadderton,,,Oldham,Chadderton South,
M10 0JB,No,53.523896,-2.169818,388839,403039,SD888030,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,106,,,Moston,0.1,Chadderton,,,Oldham,Chadderton South,
M10 0RX,No,53.520885,-2.163320,389269,402703,SD892027,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,109,,,Moston,0.6,Chadderton,,,Oldham,Chadderton South,
M24 1DD,Yes,53.540251,-2.172630,388657,404859,SD886048,6/1/1996 12:00:00 AM,,103,,,Mills Hill (Manchester),1.2,Chadderton,United Utilities,,Oldham,Chadderton South,
M24 1FD,No,53.539270,-2.173395,388606,404750,SD886047,4/1/2007 12:00:00 AM,11/1/2012 12:00:00 AM,100,,,Mills Hill (Manchester),1.3,Chadderton,,,Oldham,Chadderton South,
M24 1GJ,No,53.538830,-2.167449,389000,404700,SD889047,7/1/1995 12:00:00 AM,12/1/1996 12:00:00 AM,101,,,Mills Hill (Manchester),1.4,Chadderton,,,Oldham,Chadderton South,
M24 1GN,Yes,53.540534,-2.163200,389282,404889,SD892048,1/1/1980 12:00:00 AM,,103,6,4,Mills Hill (Manchester),1.3,Chadderton,United Utilities,,Oldham,Chadderton South,
M24 1GQ,Yes,53.540426,-2.170020,388830,404878,SD888048,1/1/1980 12:00:00 AM,,103,1,1,Mills Hill (Manchester),1.2,Chadderton,United Utilities,,Oldham,Chadderton North,
M24 1GR,Yes,53.539800,-2.173926,388571,404809,SD885048,9/1/1991 12:00:00 AM,,99,,,Mills Hill (Manchester),1.3,Chadderton,,,Oldham,Chadderton South,
M24 1GS,Yes,53.538883,-2.172667,388654,404707,SD886047,9/1/1991 12:00:00 AM,,102,,,Mills Hill (Manchester),1.4,Chadderton,United Utilities,,Oldham,Chadderton South,
M24 1GW,Yes,53.539758,-2.165385,389137,404803,SD891048,1/1/1980 12:00:00 AM,,100,4,1,Mills Hill (Manchester),1.3,Chadderton,United Utilities,,Oldham,Chadderton South,
