Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
BR2 6AA,Yes,51.347723,0.043539,542414,162942,TQ424629,1/1/1980 12:00:00 AM,,124,8,4,Hayes,3.9,Bromley,Thames Water,,Bromley,Darwin,
BR2 6AB,Yes,51.347003,0.044067,542453,162863,TQ424628,1/1/1980 12:00:00 AM,,123,2,1,Hayes,4.0,Bromley,Thames Water,,Bromley,Darwin,
BR5 1AA,Yes,51.386370,0.064750,543770,167281,TQ437672,1/1/1980 12:00:00 AM,,84,72,36,Petts Wood,0.7,Bromley,Thames Water,,Bromley,Petts Wood & Knoll,
BR5 1AB,Yes,51.387720,0.065687,543831,167433,TQ438674,1/1/1980 12:00:00 AM,,84,76,30,Petts Wood,0.6,Bromley,Thames Water,,Bromley,Petts Wood & Knoll,
BR5 1AD,Yes,51.384708,0.064143,543733,167095,TQ437670,3/1/1983 12:00:00 AM,,83,36,25,Petts Wood,0.8,Bromley,Thames Water,,Bromley,Petts Wood & Knoll,
BR5 1AE,Yes,51.385474,0.063531,543688,167179,TQ436671,1/1/1980 12:00:00 AM,,81,59,24,Petts Wood,0.8,Bromley,Thames Water,,Bromley,Petts Wood & Knoll,
BR5 1AF,Yes,51.385158,0.062611,543625,167142,TQ436671,1/1/1980 12:00:00 AM,,78,60,36,Petts Wood,0.9,Bromley,Thames Water,,Bromley,Petts Wood & Knoll,
BR5 1AG,Yes,51.383680,0.064830,543784,166982,TQ437669,1/1/1980 12:00:00 AM,,87,51,20,Petts Wood,0.9,Bromley,Thames Water,,Bromley,Petts Wood & Knoll,
BR5 1AH,Yes,51.384631,0.064944,543789,167088,TQ437670,1/1/1980 12:00:00 AM,,85,46,20,Petts Wood,0.8,Bromley,Thames Water,,Bromley,Petts Wood & Knoll,
BR5 1AJ,Yes,51.384993,0.065291,543812,167129,TQ438671,1/1/1980 12:00:00 AM,,85,58,27,Petts Wood,0.8,Bromley,Thames Water,,Bromley,Petts Wood & Knoll,
BR5 1AL,Yes,51.383341,0.067186,543949,166949,TQ439669,1/1/1980 12:00:00 AM,,89,67,33,Petts Wood,0.8,Bromley,Thames Water,,Bromley,Petts Wood & Knoll,
BR5 1AN,Yes,51.382922,0.065988,543867,166900,TQ438669,1/1/1980 12:00:00 AM,,90,20,6,Petts Wood,0.9,Bromley,Thames Water,,Bromley,Petts Wood & Knoll,
BR5 1AP,Yes,51.382610,0.068877,544069,166871,TQ440668,1/1/1980 12:00:00 AM,,87,55,23,Petts Wood,0.8,Bromley,Thames Water,,Bromley,Petts Wood & Knoll,
BR5 1AQ,Yes,51.383933,0.063203,543670,167007,TQ436670,1/1/1980 12:00:00 AM,,83,50,21,Petts Wood,0.9,Bromley,Thames Water,,Bromley,Petts Wood & Knoll,
BR5 1AR,Yes,51.388493,0.071313,544220,167530,TQ442675,1/1/1980 12:00:00 AM,,86,84,34,Petts Wood,0.2,Bromley,Thames Water,,Bromley,Petts Wood & Knoll,
BR5 1AS,Yes,51.386878,0.069602,544106,167347,TQ441673,1/1/1980 12:00:00 AM,,87,88,32,Petts Wood,0.4,Bromley,Thames Water,,Bromley,Petts Wood & Knoll,
BR5 1AT,Yes,51.385526,0.068750,544051,167195,TQ440671,1/1/1980 12:00:00 AM,,89,91,31,Petts Wood,0.5,Bromley,Thames Water,,Bromley,Petts Wood & Knoll,
BR5 1AU,Yes,51.384810,0.067036,543934,167112,TQ439671,1/1/1980 12:00:00 AM,,88,77,32,Petts Wood,0.7,Bromley,Thames Water,,Bromley,Petts Wood & Knoll,
BR5 1AW,Yes,51.382463,0.067003,543939,166851,TQ439668,1/1/1980 12:00:00 AM,,91,17,9,Petts Wood,0.9,Bromley,Thames Water,,Bromley,Petts Wood & Knoll,
BR5 1AX,Yes,51.386947,0.067693,543973,167351,TQ439673,1/1/1980 12:00:00 AM,,88,74,26,Petts Wood,0.5,Bromley,Thames Water,,Bromley,Petts Wood & Knoll,
BR5 1AY,Yes,51.386922,0.067074,543930,167347,TQ439673,1/1/1980 12:00:00 AM,,88,57,22,Petts Wood,0.5,Bromley,Thames Water,,Bromley,Petts Wood & Knoll,
BR5 1AZ,Yes,51.384683,0.066556,543901,167097,TQ439670,1/1/1980 12:00:00 AM,,88,103,39,Petts Wood,0.7,Bromley,Thames Water,,Bromley,Petts Wood & Knoll,
BR5 1BA,Yes,51.383709,0.070278,544163,166996,TQ441669,1/1/1980 12:00:00 AM,,85,107,42,Petts Wood,0.6,Bromley,Thames Water,,Bromley,Petts Wood & Knoll,
BR5 1BB,Yes,51.385932,0.072735,544327,167248,TQ443672,1/1/1980 12:00:00 AM,,81,95,37,Petts Wood,0.3,Bromley,Thames Water,,Bromley,Petts Wood & Knoll,
BR5 1BD,Yes,51.386139,0.072227,544291,167270,TQ442672,1/1/1980 12:00:00 AM,,82,87,39,Petts Wood,0.3,Bromley,Thames Water,,Bromley,Petts Wood & Knoll,
BR5 1BE,Yes,51.384010,0.070047,544146,167029,TQ441670,1/1/1980 12:00:00 AM,,85,92,34,Petts Wood,0.6,Bromley,Thames Water,,Bromley,Petts Wood & Knoll,
BR5 1BF,No,51.385533,0.070892,544200,167200,TQ441671,1/1/1993 12:00:00 AM,1/1/1995 12:00:00 AM,84,,,Petts Wood,0.4,Bromley,,,Bromley,Petts Wood & Knoll,
BR5 1BG,Yes,51.388029,0.072140,544279,167480,TQ442674,1/1/1980 12:00:00 AM,,85,45,19,Petts Wood,0.2,Bromley,Thames Water,,Bromley,Petts Wood & Knoll,
BR5 1BH,Yes,51.385870,0.070677,544184,167237,TQ441672,1/1/1980 12:00:00 AM,,85,99,38,Petts Wood,0.4,Bromley,Thames Water,,Bromley,Petts Wood & Knoll,
BR5 1BJ,Yes,51.387992,0.069707,544110,167471,TQ441674,1/1/1980 12:00:00 AM,,87,88,40,Petts Wood,0.3,Bromley,Thames Water,,Bromley,Petts Wood & Knoll,
BR5 1BL,Yes,51.389382,0.066323,543870,167619,TQ438676,1/1/1980 12:00:00 AM,,85,45,23,Petts Wood,0.6,Bromley,Thames Water,,Bromley,Petts Wood & Knoll,
BR5 1BN,Yes,51.388302,0.065828,543839,167498,TQ438674,1/1/1980 12:00:00 AM,,83,49,20,Petts Wood,0.6,Bromley,Thames Water,,Bromley,Petts Wood & Knoll,
BR5 1BP,Yes,51.389474,0.069230,544072,167635,TQ440676,1/1/1980 12:00:00 AM,,88,78,27,Petts Wood,0.4,Bromley,Thames Water,,Bromley,Petts Wood & Knoll,
BR5 1BQ,Yes,51.386263,0.070293,544156,167280,TQ441672,1/1/1980 12:00:00 AM,,86,91,31,Petts Wood,0.4,Bromley,Thames Water,,Bromley,Petts Wood & Knoll,
BR5 1BS,No,51.376829,0.099138,546193,166288,TQ461662,6/1/1999 12:00:00 AM,5/1/2014 12:00:00 AM,62,,,Orpington,0.8,Bromley,,,Bromley,Orpington,
BR5 1BT,No,51.390407,0.071931,544257,167744,TQ442677,1/1/1980 12:00:00 AM,5/1/2016 12:00:00 AM,84,,,Petts Wood,0.3,Bromley,,,Bromley,Petts Wood & Knoll,
BR5 1BU,Yes,51.390151,0.071115,544201,167714,TQ442677,1/1/1980 12:00:00 AM,,85,27,12,Petts Wood,0.3,Bromley,Thames Water,,Bromley,Petts Wood & Knoll,
BR5 1BW,Yes,51.389125,0.069660,544103,167597,TQ441675,1/1/1980 12:00:00 AM,,87,73,26,Petts Wood,0.3,Bromley,Thames Water,,Bromley,Petts Wood & Knoll,
BR5 1BX,Yes,51.389607,0.067325,543939,167646,TQ439676,1/1/1980 12:00:00 AM,,87,87,28,Petts Wood,0.5,Bromley,Thames Water,,Bromley,Petts Wood & Knoll,
BR5 1BY,Yes,51.390722,0.069373,544078,167774,TQ440677,1/1/1980 12:00:00 AM,,87,95,39,Petts Wood,0.4,Bromley,Thames Water,,Bromley,Petts Wood & Knoll,
BR5 1BZ,Yes,51.390370,0.069429,544083,167735,TQ440677,1/1/1980 12:00:00 AM,,87,81,28,Petts Wood,0.4,Bromley,Thames Water,,Bromley,Petts Wood & Knoll,
BR5 1DA,Yes,51.390788,0.067133,543922,167777,TQ439677,1/1/1980 12:00:00 AM,,86,73,33,Petts Wood,0.6,Bromley,Thames Water,,Bromley,Petts Wood & Knoll,
BR5 1DB,Yes,51.388760,0.073593,544378,167564,TQ443675,1/1/1980 12:00:00 AM,,83,,,Petts Wood,0.1,Bromley,Thames Water,,Bromley,Petts Wood & Knoll,
BR5 1DD,No,51.389127,0.071054,544200,167600,TQ441675,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,86,,,Petts Wood,0.2,Bromley,,,Bromley,Petts Wood & Knoll,
BR5 1DE,Yes,51.389735,0.072275,544283,167670,TQ442676,1/1/1980 12:00:00 AM,,85,19,9,Petts Wood,0.2,Bromley,Thames Water,,Bromley,Petts Wood & Knoll,
BR5 1DF,Yes,51.389131,0.072920,544330,167604,TQ443676,1/1/1980 12:00:00 AM,,84,64,20,Petts Wood,0.1,Bromley,Thames Water,,Bromley,Petts Wood & Knoll,
BR5 1DG,Yes,51.389510,0.071819,544252,167644,TQ442676,1/1/1980 12:00:00 AM,,85,19,9,Petts Wood,0.2,Bromley,Thames Water,,Bromley,Petts Wood & Knoll,
BR5 1DH,Yes,51.388057,0.074139,544418,167487,TQ444674,1/1/1980 12:00:00 AM,,82,,,Petts Wood,0.1,Bromley,Thames Water,,Bromley,Petts Wood & Knoll,
BR5 1DJ,Yes,51.383661,0.076053,544565,167002,TQ445670,1/1/1980 12:00:00 AM,,79,63,23,Petts Wood,0.6,Bromley,Thames Water,,Bromley,Petts Wood & Knoll,
BR5 1DL,Yes,51.383986,0.073467,544384,167033,TQ443670,1/1/1980 12:00:00 AM,,80,50,27,Petts Wood,0.5,Bromley,Thames Water,,Bromley,Petts Wood & Knoll,
BR5 1DN,Yes,51.384200,0.074080,544426,167058,TQ444670,1/1/1980 12:00:00 AM,,78,51,29,Petts Wood,0.5,Bromley,Thames Water,,Bromley,Petts Wood & Knoll,
BR5 1DP,Yes,51.383373,0.073008,544354,166964,TQ443669,1/1/1980 12:00:00 AM,,81,61,30,Petts Wood,0.6,Bromley,Thames Water,,Bromley,Petts Wood & Knoll,
BR5 1DQ,Yes,51.388419,0.072963,544335,167525,TQ443675,1/1/1980 12:00:00 AM,,84,44,19,Petts Wood,0.1,Bromley,Thames Water,,Bromley,Petts Wood & Knoll,
BR5 1DR,Yes,51.384620,0.075709,544538,167108,TQ445671,1/1/1980 12:00:00 AM,,77,84,32,Petts Wood,0.5,Bromley,Thames Water,,Bromley,Petts Wood & Knoll,
