Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
HD4 6AQ,Yes,53.611511,-1.750492,416605,412802,SE166128,6/1/2014 12:00:00 AM,,245,,,Honley,2.0,,Yorkshire Water,,Kirklees,Kirkburton,
HD4 6AX,Yes,53.611755,-1.751307,416551,412829,SE165128,6/1/2015 12:00:00 AM,,246,,,Honley,2.0,,Yorkshire Water,,Kirklees,Kirkburton,
HD4 6BE,Yes,53.611772,-1.750868,416580,412831,SE165128,6/1/2015 12:00:00 AM,,245,,,Honley,2.0,,Yorkshire Water,,Kirklees,Kirkburton,
HD4 6BR,Yes,53.612038,-1.750173,416626,412861,SE166128,6/1/2015 12:00:00 AM,,258,,,Honley,2.1,,Yorkshire Water,,Kirklees,Kirkburton,
HD4 6BS,Yes,53.612203,-1.750790,416585,412879,SE165128,8/1/2014 12:00:00 AM,,244,,,Honley,2.0,,Yorkshire Water,,Kirklees,Kirkburton,
HD4 6BT,Yes,53.612175,-1.749914,416643,412876,SE166128,6/1/2015 12:00:00 AM,,242,,,Honley,2.1,,Yorkshire Water,,Kirklees,Kirkburton,
HD4 6BX,Yes,53.611331,-1.747487,416804,412783,SE168127,12/1/2018 12:00:00 AM,,234,,,Brockholes,2.2,,,,Kirklees,Kirkburton,
HD4 6EG,Yes,53.610936,-1.747837,416781,412739,SE167127,9/1/2018 12:00:00 AM,,235,,,Brockholes,2.1,,,,Kirklees,Kirkburton,
HD4 6SJ,Yes,53.624726,-1.739029,417358,414275,SE173142,1/1/1980 12:00:00 AM,,156,11,3,Honley,3.3,,Yorkshire Water,,Kirklees,Kirkburton,
HD4 6ST,Yes,53.624375,-1.747347,416808,414234,SE168142,1/1/1980 12:00:00 AM,,113,6,3,Honley,2.9,,Yorkshire Water,,Kirklees,Kirkburton,
HD4 6SU,Yes,53.621930,-1.751428,416539,413961,SE165139,1/1/1980 12:00:00 AM,,127,9,5,Honley,2.5,,Yorkshire Water,,Kirklees,Kirkburton,
HD4 6SX,Yes,53.621301,-1.752658,416458,413891,SE164138,1/1/1980 12:00:00 AM,,129,6,3,Honley,2.4,,Yorkshire Water,,Kirklees,Kirkburton,
HD4 6SY,Yes,53.619090,-1.751475,416537,413645,SE165136,1/1/1980 12:00:00 AM,,165,2,2,Honley,2.3,,Yorkshire Water,,Kirklees,Kirkburton,
HD4 6TG,Yes,53.589518,-1.751075,416575,410355,SE165103,12/1/1997 12:00:00 AM,,255,12,4,Brockholes,1.5,,Yorkshire Water,,Kirklees,Kirkburton,
HD4 6TY,Yes,53.613074,-1.768243,415430,412972,SE154129,1/1/1980 12:00:00 AM,,208,20,10,Honley,1.0,,Yorkshire Water,,Kirklees,Kirkburton,
HD4 6TZ,Yes,53.609777,-1.755142,416298,412608,SE162126,1/1/1980 12:00:00 AM,,257,20,10,Honley,1.7,,Yorkshire Water,,Kirklees,Kirkburton,
HD4 6UA,Yes,53.609436,-1.755446,416278,412570,SE162125,1/1/1980 12:00:00 AM,,258,15,8,Brockholes,1.7,,Yorkshire Water,,Kirklees,Kirkburton,
HD4 6UB,Yes,53.609025,-1.756885,416183,412524,SE161125,1/1/1980 12:00:00 AM,,260,8,4,Brockholes,1.6,,Yorkshire Water,,Kirklees,Kirkburton,
HD4 6UD,Yes,53.611226,-1.752913,416445,412770,SE164127,1/1/1980 12:00:00 AM,,246,18,10,Honley,1.9,,Yorkshire Water,,Kirklees,Kirkburton,
HD4 6UE,Yes,53.612458,-1.752345,416482,412907,SE164129,1/1/1980 12:00:00 AM,,241,36,12,Honley,1.9,,Yorkshire Water,,Kirklees,Kirkburton,
HD4 6UF,Yes,53.619657,-1.747768,416782,413709,SE167137,1/1/1980 12:00:00 AM,,196,8,3,Honley,2.5,,Yorkshire Water,,Kirklees,Kirkburton,
HD4 6UG,Yes,53.611510,-1.751128,416563,412802,SE165128,1/1/1980 12:00:00 AM,,246,18,9,Honley,2.0,,Yorkshire Water,,Kirklees,Kirkburton,
HD4 6UH,Yes,53.610766,-1.750919,416577,412719,SE165127,1/1/1980 12:00:00 AM,,247,10,5,Brockholes,2.0,,Yorkshire Water,,Kirklees,Kirkburton,
HD4 6UJ,Yes,53.620755,-1.735622,417585,413834,SE175138,1/1/1980 12:00:00 AM,,191,3,1,Stocksmoor,3.1,,Yorkshire Water,,Kirklees,Kirkburton,
HD4 6UL,Yes,53.611264,-1.745673,416924,412776,SE169127,1/1/1980 12:00:00 AM,,226,91,37,Brockholes,2.2,,Yorkshire Water,,Kirklees,Kirkburton,
HD4 6UN,Yes,53.605784,-1.742714,417122,412167,SE171121,1/1/1980 12:00:00 AM,,242,,,Stocksmoor,1.8,,Yorkshire Water,,Kirklees,Kirkburton,
HD4 6UQ,Yes,53.611172,-1.751960,416508,412764,SE165127,1/1/1980 12:00:00 AM,,247,12,6,Honley,1.9,,Yorkshire Water,,Kirklees,Kirkburton,
HD4 6UR,Yes,53.608861,-1.755843,416252,412506,SE162125,1/1/1980 12:00:00 AM,,260,15,12,Brockholes,1.6,,Yorkshire Water,,Kirklees,Kirkburton,
HD4 6UU,Yes,53.609873,-1.754023,416372,412619,SE163126,1/1/1993 12:00:00 AM,,255,24,9,Brockholes,1.8,,Yorkshire Water,,Kirklees,Kirkburton,
HD4 6UW,Yes,53.605401,-1.756014,416242,412121,SE162121,1/1/1980 12:00:00 AM,,270,14,5,Brockholes,1.3,,Yorkshire Water,,Kirklees,Kirkburton,
HD4 6UY,Yes,53.588656,-1.756065,416245,410258,SE162102,1/1/2007 12:00:00 AM,,263,12,4,Brockholes,1.3,,Yorkshire Water,,Kirklees,Kirkburton,
HD4 6WR,Yes,53.590718,-1.748937,416716,410489,SE167104,8/1/2012 12:00:00 AM,,243,,,Brockholes,1.5,,Yorkshire Water,,Kirklees,Kirkburton,
HD4 6XA,Yes,53.599572,-1.740922,417243,411476,SE172114,1/1/1980 12:00:00 AM,,226,65,20,Stocksmoor,1.3,,Yorkshire Water,,Kirklees,Kirkburton,
HD4 6XB,Yes,53.597347,-1.751240,416561,411226,SE165112,1/1/1980 12:00:00 AM,,245,13,3,Brockholes,1.2,,Yorkshire Water,,Kirklees,Kirkburton,
HD4 6XD,Yes,53.593038,-1.749664,416667,410747,SE166107,1/1/1980 12:00:00 AM,,236,39,16,Brockholes,1.4,,Yorkshire Water,,Kirklees,Kirkburton,
HD4 6XE,Yes,53.591106,-1.750038,416643,410532,SE166105,1/1/1980 12:00:00 AM,,243,18,8,Brockholes,1.5,,Yorkshire Water,,Kirklees,Kirkburton,
HD4 6XF,Yes,53.591911,-1.747782,416792,410622,SE167106,1/1/1980 12:00:00 AM,,232,74,28,Brockholes,1.6,,Yorkshire Water,,Kirklees,Kirkburton,
HD4 6XG,Yes,53.592921,-1.741113,417233,410736,SE172107,1/1/1980 12:00:00 AM,,223,17,6,Stocksmoor,1.2,,Yorkshire Water,,Kirklees,Kirkburton,
HD4 6XH,Yes,53.593446,-1.727650,418124,410798,SE181107,1/1/1980 12:00:00 AM,,197,59,25,Stocksmoor,0.3,,Yorkshire Water,,Kirklees,Kirkburton,
HD4 6XJ,Yes,53.594809,-1.728939,418038,410949,SE180109,1/1/1980 12:00:00 AM,,193,75,28,Stocksmoor,0.4,,Yorkshire Water,,Kirklees,Kirkburton,
HD4 6XL,Yes,53.594750,-1.727051,418163,410943,SE181109,1/1/1980 12:00:00 AM,,190,3,1,Stocksmoor,0.3,,Yorkshire Water,,Kirklees,Kirkburton,
HD4 6XN,Yes,53.593917,-1.724080,418360,410851,SE183108,1/1/1980 12:00:00 AM,,187,42,18,Stocksmoor,0.1,,Yorkshire Water,,Kirklees,Kirkburton,
HD4 6XP,Yes,53.592350,-1.722957,418435,410677,SE184106,1/1/1980 12:00:00 AM,,182,9,3,Stocksmoor,0.2,,Yorkshire Water,,Kirklees,Kirkburton,
HD4 6XQ,Yes,53.594419,-1.731480,417870,410905,SE178109,1/1/1980 12:00:00 AM,,200,47,19,Stocksmoor,0.5,,Yorkshire Water,,Kirklees,Kirkburton,
HD4 6XR,Yes,53.592594,-1.728577,418063,410703,SE180107,1/1/1980 12:00:00 AM,,200,13,7,Stocksmoor,0.4,,Yorkshire Water,,Kirklees,Kirkburton,
HD4 6XS,Yes,53.590946,-1.730036,417967,410519,SE179105,1/1/1980 12:00:00 AM,,206,18,5,Stocksmoor,0.6,,Yorkshire Water,,Kirklees,Kirkburton,
HD4 6XT,Yes,53.586791,-1.745093,416972,410053,SE169100,1/1/1980 12:00:00 AM,,258,4,2,Stocksmoor,1.7,,Yorkshire Water,,Kirklees,Kirkburton,
HD4 6XU,Yes,53.590364,-1.751568,416542,410449,SE165104,1/1/1980 12:00:00 AM,,251,18,11,Brockholes,1.4,,Yorkshire Water,,Kirklees,Kirkburton,
HD4 6XW,Yes,53.592686,-1.724420,418338,410714,SE183107,1/1/1980 12:00:00 AM,,192,20,10,Stocksmoor,0.2,,Yorkshire Water,,Kirklees,Kirkburton,
HD4 6XX,Yes,53.590191,-1.750889,416587,410430,SE165104,1/1/1980 12:00:00 AM,,250,85,38,Brockholes,1.5,,Yorkshire Water,,Kirklees,Kirkburton,
HD4 6XY,Yes,53.590000,-1.754199,416368,410408,SE163104,1/1/1980 12:00:00 AM,,247,8,3,Brockholes,1.3,,Yorkshire Water,,Kirklees,Kirkburton,
HD4 6XZ,Yes,53.588926,-1.756441,416220,410288,SE162102,1/1/1980 12:00:00 AM,,258,64,23,Brockholes,1.3,,Yorkshire Water,,Kirklees,Kirkburton,
