Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
OX1 1PW,No,51.740307,-1.233826,453000,204900,SP529049,7/1/1986 12:00:00 AM,12/1/1990 12:00:00 AM,65,,,Oxford,2.9,Oxford,,,Oxford,Donnington,Iffley Fields and St. Mary's
OX1 1RP,Yes,51.748010,-1.261638,451071,205737,SP510057,1/1/1980 12:00:00 AM,,58,19,7,Oxford,0.8,Oxford,Thames Water,,Oxford,Hinksey Park,Isis
OX1 1RS,Yes,51.747903,-1.260365,451159,205726,SP511057,1/1/1980 12:00:00 AM,,59,48,14,Oxford,0.9,Oxford,Thames Water,,Oxford,Hinksey Park,Isis
OX1 1RT,Yes,51.747738,-1.261236,451099,205707,SP510057,1/1/1980 12:00:00 AM,,58,92,33,Oxford,0.9,Oxford,Thames Water,,Oxford,Hinksey Park,Isis
OX1 1RU,Yes,51.747580,-1.260457,451153,205690,SP511056,1/1/1980 12:00:00 AM,,59,107,51,Oxford,0.9,Oxford,Thames Water,,Oxford,Hinksey Park,Isis
OX1 1SN,Yes,51.746584,-1.257880,451332,205581,SP513055,10/1/1984 12:00:00 AM,,59,51,26,Oxford,1.1,Oxford,Thames Water,,Oxford,Hinksey Park,Isis
OX1 1SU,Yes,51.747164,-1.258595,451282,205645,SP512056,10/1/1984 12:00:00 AM,,58,24,17,Oxford,1.1,Oxford,Thames Water,,Oxford,Hinksey Park,Isis
OX1 1SW,Yes,51.746946,-1.256831,451404,205622,SP514056,10/1/1984 12:00:00 AM,,60,83,54,Oxford,1.2,Oxford,Thames Water,,Oxford,Hinksey Park,Isis
OX1 1TN,Yes,51.747620,-1.262426,451017,205693,SP510056,6/1/1981 12:00:00 AM,,57,56,28,Oxford,0.8,Oxford,Thames Water,,Oxford,Hinksey Park,Isis
OX1 1TQ,Yes,51.747032,-1.261929,451052,205628,SP510056,2/1/1990 12:00:00 AM,,58,27,14,Oxford,0.9,Oxford,Thames Water,,Oxford,Hinksey Park,Isis
OX1 1TR,Yes,51.747766,-1.259976,451186,205711,SP511057,9/1/1981 12:00:00 AM,,60,16,8,Oxford,0.9,Oxford,Thames Water,,Oxford,Hinksey Park,Isis
OX1 1TS,Yes,51.748468,-1.262890,450984,205787,SP509057,9/1/1981 12:00:00 AM,,58,41,18,Oxford,0.7,Oxford,Thames Water,,Oxford,Hinksey Park,Isis
OX1 1TU,Yes,51.747029,-1.262914,450984,205627,SP509056,3/1/1982 12:00:00 AM,,58,54,30,Oxford,0.9,Oxford,Thames Water,,Oxford,Hinksey Park,Isis
OX1 1TX,Yes,51.747354,-1.263053,450974,205663,SP509056,1/1/1983 12:00:00 AM,,57,40,19,Oxford,0.8,Oxford,Thames Water,,Oxford,Hinksey Park,Isis
OX1 1TY,Yes,51.748050,-1.263621,450934,205740,SP509057,1/1/1983 12:00:00 AM,,58,51,23,Oxford,0.8,Oxford,Thames Water,,Oxford,Hinksey Park,Isis
OX1 1UE,No,51.750700,-1.240618,452519,206051,SP525060,6/1/2006 12:00:00 AM,7/1/2006 12:00:00 AM,61,,,Oxford,2.1,Oxford,,,Oxford,St Clement's,St. Clement's and Cowley Marsh
OX1 4BP,No,51.741161,-1.254899,451544,204980,SP515049,12/1/1994 12:00:00 AM,6/1/1998 12:00:00 AM,57,,,Oxford,1.7,Oxford,,,Oxford,Hinksey Park,Isis
OX1 4FA,Yes,51.745138,-1.256760,451411,205421,SP514054,8/1/2004 12:00:00 AM,,59,8,5,Oxford,1.3,Oxford,Thames Water,,Oxford,Hinksey Park,Isis
OX1 4FD,No,51.741279,-1.254955,451540,204993,SP515049,12/1/1999 12:00:00 AM,11/1/2000 12:00:00 AM,57,,,Oxford,1.7,Oxford,,,Oxford,Hinksey Park,Isis
OX1 4FH,No,51.741279,-1.254955,451540,204993,SP515049,12/1/1999 12:00:00 AM,11/1/2000 12:00:00 AM,57,,,Oxford,1.7,Oxford,,,Oxford,Hinksey Park,Isis
OX1 4FR,Yes,51.744115,-1.258960,451260,205306,SP512053,4/1/2005 12:00:00 AM,,58,7,5,Oxford,1.3,Oxford,Thames Water,,Oxford,Hinksey Park,Isis
OX1 4FS,Yes,51.744084,-1.259152,451247,205302,SP512053,5/1/2006 12:00:00 AM,,58,4,3,Oxford,1.3,Oxford,Thames Water,,Oxford,Hinksey Park,Isis
OX1 4HB,No,51.741170,-1.254884,451545,204981,SP515049,5/1/1994 12:00:00 AM,6/1/1999 12:00:00 AM,57,,,Oxford,1.7,Oxford,,,Oxford,Hinksey Park,Isis
OX1 4HD,No,51.741216,-1.254927,451542,204986,SP515049,12/1/1998 12:00:00 AM,6/1/2000 12:00:00 AM,57,,,Oxford,1.7,Oxford,,,Oxford,Hinksey Park,Isis
OX1 4JS,Yes,51.745679,-1.255505,451497,205482,SP514054,6/1/2000 12:00:00 AM,,59,8,4,Oxford,1.3,Oxford,Thames Water,,Oxford,Hinksey Park,Isis
