Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
OX1 1AA,Yes,51.750231,-1.267367,450673,205980,SP506059,11/1/2011 12:00:00 AM,,59,,,Oxford,0.4,Oxford,Thames Water,,Oxford,Osney & St Thomas,Jericho and Osney
OX1 1AB,Yes,51.751023,-1.258836,451261,206074,SP512060,10/1/1987 12:00:00 AM,,71,,,Oxford,0.8,Oxford,Thames Water,,Oxford,Osney & St Thomas,Jericho and Osney
OX1 1AD,Yes,51.758377,-1.273059,450271,206882,SP502068,10/1/2004 12:00:00 AM,,57,161,29,Oxford,0.6,Oxford,Thames Water,,Oxford,Osney & St Thomas,Jericho and Osney
OX1 1AE,Yes,51.758644,-1.272707,450295,206912,SP502069,10/1/2004 12:00:00 AM,,57,9,5,Oxford,0.6,Oxford,Thames Water,,Oxford,Osney & St Thomas,Jericho and Osney
OX1 1AF,Yes,51.758719,-1.273112,450267,206920,SP502069,10/1/2004 12:00:00 AM,,57,54,27,Oxford,0.6,Oxford,Thames Water,,Oxford,Osney & St Thomas,Jericho and Osney
OX1 1AG,Yes,51.756899,-1.272518,450310,206718,SP503067,4/1/2008 12:00:00 AM,,58,21,10,Oxford,0.4,Oxford,Thames Water,,Oxford,Osney & St Thomas,Jericho and Osney
OX1 1AH,No,51.749826,-1.261492,451079,205939,SP510059,5/1/1994 12:00:00 AM,12/1/1998 12:00:00 AM,63,,,Oxford,0.7,Oxford,,,Oxford,Osney & St Thomas,Jericho and Osney
OX1 1AJ,No,51.759417,-1.269725,450500,207000,SP504070,1/1/1995 12:00:00 AM,7/1/1995 12:00:00 AM,60,,,Oxford,0.7,Oxford,,,Oxford,Carfax & Jericho,Jericho and Osney
OX1 1AL,No,51.758482,-1.263944,450900,206900,SP509069,4/1/1987 12:00:00 AM,5/1/1994 12:00:00 AM,65,,,Oxford,0.7,Oxford,,,Oxford,Carfax & Jericho,Jericho and Osney
OX1 1AN,Yes,51.749254,-1.259803,451196,205877,SP511058,4/1/2009 12:00:00 AM,,61,16,13,Oxford,0.9,Oxford,Thames Water,,Oxford,Osney & St Thomas,Jericho and Osney
OX1 1AP,No,51.750236,-1.267348,450674,205981,SP506059,3/1/2021 12:00:00 AM,4/1/2024 12:00:00 AM,60,,,Oxford,0.4,Oxford,,,Oxford,Osney & St Thomas,Jericho and Osney
OX1 1AQ,No,51.751244,-1.256819,451400,206100,SP513061,10/1/1987 12:00:00 AM,5/1/1994 12:00:00 AM,69,,,Oxford,1.0,Oxford,,,Oxford,Holywell,Isis
OX1 1AR,No,51.759417,-1.269725,450500,207000,SP504070,1/1/1995 12:00:00 AM,12/1/1995 12:00:00 AM,60,,,Oxford,0.7,Oxford,,,Oxford,Carfax & Jericho,Jericho and Osney
OX1 1AS,No,51.750231,-1.267367,450673,205980,SP506059,4/1/1987 12:00:00 AM,2/1/2019 12:00:00 AM,59,,,Oxford,0.4,Oxford,,,Oxford,Osney & St Thomas,Jericho and Osney
OX1 1AT,No,51.749826,-1.261492,451079,205939,SP510059,7/1/1995 12:00:00 AM,12/1/1998 12:00:00 AM,63,,,Oxford,0.7,Oxford,,,Oxford,Osney & St Thomas,Jericho and Osney
OX1 1AU,No,51.751262,-1.259716,451200,206100,SP511060,7/1/1995 12:00:00 AM,6/1/1996 12:00:00 AM,73,,,Oxford,0.8,Oxford,,,Oxford,Osney & St Thomas,Jericho and Osney
OX1 1AW,Yes,51.748783,-1.258742,451270,205825,SP512058,9/1/2008 12:00:00 AM,,61,27,14,Oxford,0.9,Oxford,Thames Water,,Oxford,Osney & St Thomas,Jericho and Osney
OX1 1AX,No,51.749826,-1.261492,451079,205939,SP510059,7/1/1995 12:00:00 AM,6/1/2000 12:00:00 AM,63,,,Oxford,0.7,Oxford,,,Oxford,Osney & St Thomas,Jericho and Osney
OX1 1AY,Yes,51.751120,-1.261989,451043,206083,SP510060,9/1/2005 12:00:00 AM,,66,97,24,Oxford,0.6,Oxford,Thames Water,,Oxford,Osney & St Thomas,Jericho and Osney
OX1 1AZ,Yes,51.751951,-1.263514,450937,206174,SP509061,9/1/2005 12:00:00 AM,,62,9,5,Oxford,0.5,Oxford,Thames Water,,Oxford,Osney & St Thomas,Jericho and Osney
OX1 1BA,No,51.750879,-1.264546,450867,206054,SP508060,1/1/1980 12:00:00 AM,4/1/2002 12:00:00 AM,60,,,Oxford,0.5,Oxford,Thames Water,,Oxford,Osney & St Thomas,Jericho and Osney
OX1 1BB,No,51.750513,-1.262162,451032,206015,SP510060,12/1/1995 12:00:00 AM,1/1/2004 12:00:00 AM,65,,,Oxford,0.6,Oxford,Thames Water,,Oxford,Osney & St Thomas,Jericho and Osney
OX1 1BD,No,51.751483,-1.257626,451344,206126,SP513061,7/1/1990 12:00:00 AM,10/1/2023 12:00:00 AM,71,,,Oxford,0.9,Oxford,Thames Water,,Oxford,Osney & St Thomas,Jericho and Osney
OX1 1BE,No,51.750513,-1.262162,451032,206015,SP510060,10/1/2006 12:00:00 AM,9/1/2019 12:00:00 AM,65,,,Oxford,0.6,Oxford,Thames Water,,Oxford,Osney & St Thomas,Jericho and Osney
OX1 1BF,No,51.750231,-1.267367,450673,205980,SP506059,12/1/2001 12:00:00 AM,2/1/2006 12:00:00 AM,59,,,Oxford,0.4,Oxford,,,Oxford,Osney & St Thomas,Jericho and Osney
OX1 1BG,No,51.750231,-1.267367,450673,205980,SP506059,3/1/1988 12:00:00 AM,2/1/2006 12:00:00 AM,59,,,Oxford,0.4,Oxford,,,Oxford,Osney & St Thomas,Jericho and Osney
OX1 1BH,No,51.750363,-1.259731,451200,206000,SP511059,8/1/1992 12:00:00 AM,5/1/1994 12:00:00 AM,69,,,Oxford,0.8,Oxford,,,Oxford,Osney & St Thomas,Jericho and Osney
OX1 1BJ,No,51.750363,-1.259731,451200,206000,SP511059,2/1/1990 12:00:00 AM,5/1/1994 12:00:00 AM,69,,,Oxford,0.8,Oxford,,,Oxford,Osney & St Thomas,Jericho and Osney
OX1 1BL,No,51.750715,-1.258580,451279,206040,SP512060,3/1/1983 12:00:00 AM,6/1/1998 12:00:00 AM,69,,,Oxford,0.9,Oxford,Thames Water,,Oxford,Osney & St Thomas,Jericho and Osney
OX1 1BN,Yes,51.747848,-1.255904,451467,205723,SP514057,2/1/1990 12:00:00 AM,,62,,,Oxford,1.2,Oxford,Thames Water,,Oxford,Holywell,Isis
OX1 1BP,Yes,51.750558,-1.257917,451325,206023,SP513060,1/1/1980 12:00:00 AM,,68,48,6,Oxford,0.9,Oxford,Thames Water,,Oxford,Osney & St Thomas,Jericho and Osney
OX1 1BQ,No,51.750363,-1.259731,451200,206000,SP511059,3/1/1988 12:00:00 AM,12/1/1991 12:00:00 AM,69,,,Oxford,0.8,Oxford,,,Oxford,Osney & St Thomas,Jericho and Osney
OX1 1BS,Yes,51.751232,-1.256989,451388,206099,SP513060,1/1/1980 12:00:00 AM,,69,,,Oxford,0.9,Oxford,Thames Water,,Oxford,Holywell,Isis
OX1 1BT,Yes,51.750761,-1.257290,451368,206046,SP513060,1/1/1980 12:00:00 AM,,68,2,1,Oxford,0.9,Oxford,Thames Water,,Oxford,Osney & St Thomas,Jericho and Osney
OX1 1BU,Yes,51.751199,-1.257482,451354,206095,SP513060,1/1/1980 12:00:00 AM,,70,,,Oxford,0.9,Oxford,Thames Water,,Oxford,Osney & St Thomas,Jericho and Osney
OX1 1BW,No,51.747648,-1.256878,451400,205700,SP513057,2/1/1990 12:00:00 AM,1/1/1995 12:00:00 AM,61,,,Oxford,1.1,Oxford,,,Oxford,Osney & St Thomas,Jericho and Osney
OX1 1BX,Yes,51.751649,-1.256914,451393,206145,SP513061,1/1/1980 12:00:00 AM,,70,,,Oxford,0.9,Oxford,Thames Water,,Oxford,Holywell,Isis
OX1 1BY,Yes,51.752312,-1.263653,450927,206214,SP509062,1/1/2011 12:00:00 AM,,62,,,Oxford,0.5,Oxford,Thames Water,,Oxford,Osney & St Thomas,Jericho and Osney
OX1 1BZ,Yes,51.751278,-1.270026,450488,206095,SP504060,12/1/2014 12:00:00 AM,,59,,,Oxford,0.2,Oxford,Thames Water,,Oxford,Osney & St Thomas,Jericho and Osney
OX1 1DA,Yes,51.750635,-1.257148,451378,206032,SP513060,1/1/1980 12:00:00 AM,,68,,,Oxford,0.9,Oxford,Thames Water,,Oxford,Osney & St Thomas,Jericho and Osney
OX1 1DB,Yes,51.748585,-1.255805,451473,205805,SP514058,3/1/1982 12:00:00 AM,,62,,,Oxford,1.1,Oxford,Thames Water,,Oxford,Holywell,Isis
OX1 1DD,No,51.750354,-1.258282,451300,206000,SP513060,1/1/1980 12:00:00 AM,1/1/1995 12:00:00 AM,68,,,Oxford,0.9,Oxford,Thames Water,,Oxford,Osney & St Thomas,Jericho and Osney
OX1 1DE,Yes,51.751814,-1.257346,451363,206163,SP513061,9/1/2014 12:00:00 AM,,71,,,Oxford,0.9,Oxford,Thames Water,,Oxford,Holywell,Isis
OX1 1DF,Yes,51.751356,-1.257556,451349,206112,SP513061,1/1/1980 12:00:00 AM,,70,,,Oxford,0.9,Oxford,Thames Water,,Oxford,Osney & St Thomas,Jericho and Osney
OX1 1DG,Yes,51.747452,-1.255838,451472,205679,SP514056,9/1/1981 12:00:00 AM,,62,20,9,Oxford,1.2,Oxford,Thames Water,,Oxford,Holywell,Isis
OX1 1DH,No,51.749826,-1.261492,451079,205939,SP510059,7/1/1995 12:00:00 AM,6/1/1999 12:00:00 AM,63,,,Oxford,0.7,Oxford,,,Oxford,Osney & St Thomas,Jericho and Osney
OX1 1DJ,No,51.751444,-1.260549,451142,206120,SP511061,11/1/2017 12:00:00 AM,8/1/2021 12:00:00 AM,71,,,Oxford,0.7,Oxford,Thames Water,,Oxford,Osney & St Thomas,Jericho and Osney
OX1 1DL,No,51.751227,-1.257007,451387,206098,SP513060,1/1/1980 12:00:00 AM,2/1/2018 12:00:00 AM,69,1,1,Oxford,0.9,Oxford,Thames Water,,Oxford,Holywell,Isis
OX1 1DN,Yes,51.750166,-1.261801,451057,205977,SP510059,9/1/2017 12:00:00 AM,,59,,,Oxford,0.7,Oxford,,,Oxford,Osney & St Thomas,Jericho and Osney
OX1 1DP,Yes,51.749902,-1.256551,451420,205951,SP514059,1/1/1980 12:00:00 AM,,65,501,9,Oxford,1.0,Oxford,Thames Water,,Oxford,Holywell,Isis
OX1 1DQ,Yes,51.747491,-1.256243,451444,205683,SP514056,1/1/1980 12:00:00 AM,,61,44,33,Oxford,1.2,Oxford,Thames Water,,Oxford,Holywell,Isis
OX1 1DR,No,51.749394,-1.257139,451380,205894,SP513058,6/1/1996 12:00:00 AM,7/1/1997 12:00:00 AM,63,,,Oxford,1.0,Oxford,,,Oxford,Osney & St Thomas,Jericho and Osney
OX1 1DS,Yes,51.751356,-1.257556,451349,206112,SP513061,1/1/1980 12:00:00 AM,,70,,,Oxford,0.9,Oxford,Thames Water,,Oxford,Osney & St Thomas,Jericho and Osney
OX1 1DT,No,51.747657,-1.258326,451300,205700,SP513057,1/1/1980 12:00:00 AM,12/1/1982 12:00:00 AM,59,,,Oxford,1.0,Oxford,,,Oxford,Osney & St Thomas,Jericho and Osney
OX1 1DU,Yes,51.750838,-1.261443,451081,206052,SP510060,5/1/2018 12:00:00 AM,,62,,,Oxford,0.7,Oxford,,,Oxford,Osney & St Thomas,Jericho and Osney
OX1 1DW,Yes,51.750295,-1.258935,451255,205993,SP512059,1/1/1980 12:00:00 AM,,68,237,0,Oxford,0.8,Oxford,Thames Water,,Oxford,Osney & St Thomas,Jericho and Osney
OX1 1DX,No,51.750231,-1.267367,450673,205980,SP506059,12/1/1994 12:00:00 AM,5/1/2005 12:00:00 AM,59,,,Oxford,0.4,Oxford,,,Oxford,Osney & St Thomas,Jericho and Osney
OX1 1DY,No,51.751356,-1.257556,451349,206112,SP513061,1/1/1980 12:00:00 AM,6/1/1998 12:00:00 AM,70,,,Oxford,0.9,Oxford,,,Oxford,Osney & St Thomas,Jericho and Osney
OX1 1DZ,Yes,51.751335,-1.257078,451382,206110,SP513061,1/1/1980 12:00:00 AM,,69,,,Oxford,0.9,Oxford,Thames Water,,Oxford,Holywell,Isis
OX1 1EA,Yes,51.751632,-1.257692,451339,206143,SP513061,1/1/1980 12:00:00 AM,,71,,,Oxford,0.9,Oxford,Thames Water,,Oxford,Osney & St Thomas,Jericho and Osney
OX1 1EB,Yes,51.749423,-1.263784,450921,205893,SP509058,1/1/2018 12:00:00 AM,,71,,,Oxford,0.6,Oxford,Thames Water,,Oxford,Osney & St Thomas,Jericho and Osney
OX1 1ED,No,51.751253,-1.258267,451300,206100,SP513061,4/1/1987 12:00:00 AM,1/1/1995 12:00:00 AM,71,,,Oxford,0.9,Oxford,,,Oxford,Osney & St Thomas,Jericho and Osney
OX1 1EE,Yes,51.748795,-1.258275,451302,205827,SP513058,8/1/2020 12:00:00 AM,,71,,,Oxford,1.0,Oxford,,,Oxford,Osney & St Thomas,Jericho and Osney
OX1 1EF,Yes,51.751356,-1.257556,451349,206112,SP513061,10/1/1984 12:00:00 AM,,70,,,Oxford,0.9,Oxford,Thames Water,,Oxford,Osney & St Thomas,Jericho and Osney
OX1 1EG,No,51.751253,-1.258267,451300,206100,SP513061,6/1/1981 12:00:00 AM,12/1/1986 12:00:00 AM,71,,,Oxford,0.9,Oxford,,,Oxford,Osney & St Thomas,Jericho and Osney
OX1 1EH,Yes,51.750574,-1.262345,451019,206022,SP510060,11/1/2020 12:00:00 AM,,71,,,Oxford,0.6,Oxford,,,Oxford,Osney & St Thomas,Jericho and Osney
OX1 1EJ,Yes,51.751725,-1.258125,451309,206153,SP513061,1/1/1980 12:00:00 AM,,71,,,Oxford,0.9,Oxford,Thames Water,,Oxford,Osney & St Thomas,Jericho and Osney
OX1 1EL,No,51.749826,-1.261492,451079,205939,SP510059,7/1/1995 12:00:00 AM,9/1/2000 12:00:00 AM,63,,,Oxford,0.7,Oxford,,,Oxford,Osney & St Thomas,Jericho and Osney
OX1 1EN,Yes,51.750236,-1.267348,450674,205981,SP506059,8/1/2023 12:00:00 AM,,59,,,Oxford,0.4,Oxford,,,Oxford,Osney & St Thomas,
OX1 1EP,Yes,51.751347,-1.259421,451220,206110,SP512061,1/1/1980 12:00:00 AM,,73,,,Oxford,0.8,Oxford,Thames Water,,Oxford,Osney & St Thomas,Jericho and Osney
OX1 1EQ,Yes,51.747263,-1.257836,451334,205657,SP513056,10/1/2015 12:00:00 AM,,59,,,Oxford,1.1,Oxford,Thames Water,,Oxford,Osney & St Thomas,Jericho and Osney
OX1 1ER,Yes,51.751852,-1.259214,451234,206166,SP512061,1/1/1980 12:00:00 AM,,73,6,3,Oxford,0.8,Oxford,Thames Water,,Oxford,Carfax & Jericho,Jericho and Osney
OX1 1ES,Yes,51.747367,-1.257998,451323,205668,SP513056,3/1/2016 12:00:00 AM,,73,,,Oxford,1.1,Oxford,Thames Water,,Oxford,Osney & St Thomas,Jericho and Osney
OX1 1ET,Yes,51.751898,-1.258412,451289,206172,SP512061,1/1/1980 12:00:00 AM,,72,,,Oxford,0.8,Oxford,Thames Water,,Oxford,Carfax & Jericho,Jericho and Osney
OX1 1EU,No,51.751707,-1.260346,451156,206149,SP511061,1/1/1980 12:00:00 AM,1/1/2020 12:00:00 AM,72,,,Oxford,0.7,Oxford,Thames Water,,Oxford,Carfax & Jericho,Jericho and Osney
OX1 1EW,Yes,51.747467,-1.258213,451308,205679,SP513056,3/1/2016 12:00:00 AM,,73,,,Oxford,1.1,Oxford,Thames Water,,Oxford,Osney & St Thomas,Jericho and Osney
OX1 1EX,Yes,51.747619,-1.258685,451275,205696,SP512056,3/1/2016 12:00:00 AM,,73,,,Oxford,1.0,Oxford,Thames Water,,Oxford,Osney & St Thomas,Jericho and Osney
OX1 1EY,No,51.751262,-1.259716,451200,206100,SP511060,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,73,,,Oxford,0.8,Oxford,,,Oxford,Osney & St Thomas,Jericho and Osney
OX1 1EZ,Yes,51.748650,-1.259595,451211,205810,SP512058,9/1/2023 12:00:00 AM,,73,,,Oxford,0.9,Oxford,,,Oxford,Osney & St Thomas,Jericho and Osney
OX1 1FA,No,51.750949,-1.257718,451338,206067,SP513060,3/1/2024 12:00:00 AM,4/1/2024 12:00:00 AM,65,,,Oxford,0.9,Oxford,,,Oxford,Osney & St Thomas,Jericho and Osney
OX1 1FB,No,51.750231,-1.267367,450673,205980,SP506059,6/1/1998 12:00:00 AM,8/1/2001 12:00:00 AM,59,,,Oxford,0.4,Oxford,,,Oxford,Osney & St Thomas,Jericho and Osney
OX1 1FD,No,51.750231,-1.267367,450673,205980,SP506059,12/1/1998 12:00:00 AM,3/1/2004 12:00:00 AM,59,,,Oxford,0.4,Oxford,,,Oxford,Osney & St Thomas,Jericho and Osney
OX1 1FH,No,51.751262,-1.259716,451200,206100,SP511060,11/1/1998 12:00:00 AM,9/1/2000 12:00:00 AM,73,,,Oxford,0.8,Oxford,,,Oxford,Osney & St Thomas,Jericho and Osney
OX1 1FJ,No,51.749826,-1.261492,451079,205939,SP510059,12/1/1999 12:00:00 AM,1/1/2001 12:00:00 AM,63,,,Oxford,0.7,Oxford,,,Oxford,Osney & St Thomas,Jericho and Osney
