Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
SE1 4AF,No,51.493526,-0.092768,532500,178900,TQ324789,2/1/1990 12:00:00 AM,12/1/1992 12:00:00 AM,5,,,Elephant and Castle,0.4,Southwark,,,Southwark,North Walworth,
SE1 4AH,No,51.493526,-0.092768,532500,178900,TQ324789,5/1/1994 12:00:00 AM,6/1/1997 12:00:00 AM,5,,,Elephant and Castle,0.4,Southwark,,,Southwark,North Walworth,
SE1 4AZ,Yes,51.493657,-0.085851,532980,178927,TQ329789,5/1/2023 12:00:00 AM,,9,,,Elephant and Castle,0.9,Southwark,Thames Water,,Southwark,North Walworth,
SE1 4NS,No,51.492989,-0.084680,533063,178855,TQ330788,1/1/2008 12:00:00 AM,9/1/2008 12:00:00 AM,4,,,Elephant and Castle,1.0,Southwark,,,Southwark,North Walworth,
SE1 4NU,Yes,51.492989,-0.084680,533063,178855,TQ330788,1/1/1980 12:00:00 AM,,4,68,28,Elephant and Castle,1.0,Southwark,Thames Water,,Southwark,North Walworth,
SE1 4NX,Yes,51.492372,-0.083755,533129,178788,TQ331787,10/1/2005 12:00:00 AM,,5,,,Elephant and Castle,1.1,Southwark,Thames Water,,Southwark,North Walworth,
SE1 4NY,Yes,51.492372,-0.083755,533129,178788,TQ331787,10/1/2005 12:00:00 AM,,5,155,65,Elephant and Castle,1.1,Southwark,Thames Water,,Southwark,North Walworth,
SE1 4NZ,Yes,51.492548,-0.084093,533105,178807,TQ331788,1/1/1980 12:00:00 AM,,5,29,16,Elephant and Castle,1.0,Southwark,Thames Water,,Southwark,North Walworth,
SE1 4RG,No,51.493408,-0.085570,533000,178900,TQ329788,1/1/1980 12:00:00 AM,12/1/1986 12:00:00 AM,4,,,Elephant and Castle,0.9,Southwark,,,Southwark,North Walworth,
SE1 4SA,No,51.485250,-0.081591,533300,178000,TQ332780,2/1/1984 12:00:00 AM,12/1/1986 12:00:00 AM,7,,,Elephant and Castle,1.5,Southwark,,,Southwark,Faraday,
SE1 4SJ,No,51.493408,-0.085570,533000,178900,TQ329788,1/1/1980 12:00:00 AM,12/1/1981 12:00:00 AM,4,,,Elephant and Castle,0.9,Southwark,,,Southwark,North Walworth,
SE1 4YL,Yes,51.493489,-0.087742,532849,178905,TQ328789,6/1/1998 12:00:00 AM,,5,109,45,Elephant and Castle,0.8,Southwark,Thames Water,,Southwark,North Walworth,
SE1 4YS,Yes,51.493915,-0.091282,532602,178946,TQ326789,1/1/1980 12:00:00 AM,,4,25,11,Elephant and Castle,0.5,Southwark,Thames Water,,Southwark,North Walworth,
SE1 4YT,Yes,51.493923,-0.090634,532647,178948,TQ326789,2/1/2012 12:00:00 AM,,3,,,Elephant and Castle,0.6,Southwark,Thames Water,,Southwark,North Walworth,
SE1 4YU,Yes,51.493754,-0.087471,532867,178935,TQ328789,1/1/1980 12:00:00 AM,,5,96,32,Elephant and Castle,0.8,Southwark,Thames Water,,Southwark,North Walworth,
SE1 4YX,Yes,51.493522,-0.086487,532936,178911,TQ329789,1/1/1980 12:00:00 AM,,5,54,22,Elephant and Castle,0.8,Southwark,Thames Water,,Southwark,North Walworth,
SE1 4YY,Yes,51.493710,-0.089202,532747,178927,TQ327789,12/1/1994 12:00:00 AM,,4,16,9,Elephant and Castle,0.7,Southwark,Thames Water,,Southwark,North Walworth,
SE1 5AA,Yes,51.487027,-0.074706,533773,178210,TQ337782,1/1/1980 12:00:00 AM,,6,80,39,South Bermondsey,1.4,Southwark,Thames Water,,Southwark,Old Kent Road,
SE1 5AD,Yes,51.486620,-0.075728,533703,178163,TQ337781,1/1/1980 12:00:00 AM,,6,56,16,South Bermondsey,1.5,Southwark,Thames Water,,Southwark,Old Kent Road,
SE1 5AG,Yes,51.485950,-0.072185,533951,178095,TQ339780,1/1/1980 12:00:00 AM,,4,,,South Bermondsey,1.2,Southwark,Thames Water,,Southwark,Old Kent Road,
SE1 5AH,No,51.485418,-0.071026,534033,178038,TQ340780,2/1/1990 12:00:00 AM,5/1/2007 12:00:00 AM,4,,,South Bermondsey,1.2,Southwark,,,Southwark,Old Kent Road,
SE1 5AN,Yes,51.484728,-0.071058,534033,177961,TQ340779,1/1/1980 12:00:00 AM,,4,,,South Bermondsey,1.2,Southwark,Thames Water,,Southwark,Old Kent Road,
SE1 5AS,No,51.484583,-0.069981,534108,177947,TQ341779,1/1/1980 12:00:00 AM,8/1/2022 12:00:00 AM,5,,,South Bermondsey,1.1,Southwark,Thames Water,,Southwark,Old Kent Road,
SE1 5AU,No,51.483319,-0.070207,534096,177806,TQ340778,4/1/1986 12:00:00 AM,3/1/2008 12:00:00 AM,5,,,South Bermondsey,1.2,Southwark,,,Southwark,Old Kent Road,
SE1 5AW,No,51.483606,-0.071304,534019,177836,TQ340778,7/1/2007 12:00:00 AM,10/1/2007 12:00:00 AM,5,,,South Bermondsey,1.2,Southwark,,,Southwark,Old Kent Road,
SE1 5AY,Yes,51.483715,-0.069070,534174,177852,TQ341778,9/1/2021 12:00:00 AM,,5,,,South Bermondsey,1.1,Southwark,Thames Water,,Southwark,Old Kent Road,
SE1 5BA,Yes,51.484387,-0.068434,534216,177928,TQ342779,1/1/1980 12:00:00 AM,,5,1,1,South Bermondsey,1.0,Southwark,Thames Water,,Southwark,Old Kent Road,
SE1 5BB,No,51.484018,-0.070062,534104,177884,TQ341778,1/1/1980 12:00:00 AM,6/1/2009 12:00:00 AM,5,,,South Bermondsey,1.1,Southwark,,,Southwark,Old Kent Road,
SE1 5DU,Yes,51.487110,-0.066103,534370,178235,TQ343782,1/1/1980 12:00:00 AM,,5,1,1,South Bermondsey,0.8,Southwark,Thames Water,,Southwark,Old Kent Road,
SE1 5DX,Yes,51.488623,-0.072835,533898,178391,TQ338783,1/1/1980 12:00:00 AM,,4,125,40,Bermondsey,1.2,Southwark,Thames Water,,Southwark,Old Kent Road,
SE1 5DZ,No,51.488410,-0.071404,533998,178370,TQ339783,1/1/1980 12:00:00 AM,4/1/2006 12:00:00 AM,5,,,South Bermondsey,1.2,Southwark,,,Southwark,Old Kent Road,
SE1 5EE,No,51.487484,-0.072480,533926,178265,TQ339782,1/1/1980 12:00:00 AM,4/1/2006 12:00:00 AM,4,,,South Bermondsey,1.2,Southwark,,,Southwark,Old Kent Road,
SE1 5EF,No,51.486987,-0.071291,534010,178212,TQ340782,1/1/1980 12:00:00 AM,1/1/2008 12:00:00 AM,4,,,South Bermondsey,1.1,Southwark,,,Southwark,Old Kent Road,
SE1 5EG,Yes,51.486891,-0.072534,533924,178199,TQ339781,1/1/1980 12:00:00 AM,,4,79,29,South Bermondsey,1.2,Southwark,Thames Water,,Southwark,Old Kent Road,
SE1 5EH,No,51.486624,-0.072732,533911,178169,TQ339781,3/1/2004 12:00:00 AM,3/1/2008 12:00:00 AM,5,,,South Bermondsey,1.2,Southwark,Thames Water,,Southwark,Old Kent Road,
SE1 5EN,Yes,51.488024,-0.070887,534035,178328,TQ340783,6/1/1996 12:00:00 AM,,5,76,24,South Bermondsey,1.1,Southwark,Thames Water,,Southwark,Old Kent Road,
SE1 5EQ,Yes,51.486624,-0.072732,533911,178169,TQ339781,1/1/1980 12:00:00 AM,,5,77,29,South Bermondsey,1.2,Southwark,Thames Water,,Southwark,Old Kent Road,
SE1 5ES,Yes,51.485592,-0.069002,534173,178061,TQ341780,1/1/1980 12:00:00 AM,,5,54,20,South Bermondsey,1.0,Southwark,Thames Water,,Southwark,Old Kent Road,
SE1 5ET,Yes,51.485743,-0.069961,534106,178076,TQ341780,1/1/1980 12:00:00 AM,,6,104,45,South Bermondsey,1.1,Southwark,Thames Water,,Southwark,Old Kent Road,
SE1 5EU,Yes,51.486121,-0.069469,534139,178119,TQ341781,1/1/1980 12:00:00 AM,,6,101,44,South Bermondsey,1.0,Southwark,Thames Water,,Southwark,Old Kent Road,
