Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
BB10 3FS,Yes,53.831959,-2.158272,389681,437312,SD896373,8/1/2022 12:00:00 AM,,313,,,Colne,3.0,,,,Pendle,Marsden & Southfield,Pendle Central
BB10 3RD,Yes,53.823584,-2.153028,390024,436379,SD900363,1/1/1980 12:00:00 AM,,279,,,Colne,3.9,,United Utilities,,Pendle,Marsden & Southfield,Nelson East
BB10 3RE,Yes,53.827359,-2.157191,389751,436800,SD897367,1/1/1980 12:00:00 AM,,269,5,2,Colne,3.4,,United Utilities,,Pendle,Marsden & Southfield,Nelson East
BB10 3RF,Yes,53.836650,-2.154899,389904,437833,SD899378,1/1/1980 12:00:00 AM,,275,17,7,Colne,2.7,,United Utilities,,Pendle,Marsden & Southfield,Pendle Central
BB10 3RG,Yes,53.840535,-2.170219,388897,438268,SD888382,1/1/1980 12:00:00 AM,,280,7,3,Colne,1.8,,United Utilities,,Pendle,Marsden & Southfield,Pendle Central
BB10 3RH,Yes,53.829170,-2.185654,387878,437006,SD878370,1/1/1980 12:00:00 AM,,244,48,18,Nelson,2.0,,United Utilities,,Pendle,Marsden & Southfield,Nelson East
BB10 3RJ,Yes,53.829136,-2.181064,388180,437001,SD881370,1/1/1980 12:00:00 AM,,264,9,5,Nelson,2.2,,United Utilities,,Pendle,Marsden & Southfield,Nelson East
BB10 3RL,Yes,53.824967,-2.179907,388255,436537,SD882365,1/1/1980 12:00:00 AM,,242,10,6,Nelson,2.5,,United Utilities,,Pendle,Marsden & Southfield,Nelson East
BB10 3RN,Yes,53.824699,-2.179040,388312,436507,SD883365,1/1/1980 12:00:00 AM,,241,36,11,Nelson,2.5,,United Utilities,,Pendle,Marsden & Southfield,Nelson East
BB10 3RQ,Yes,53.834909,-2.172884,388720,437642,SD887376,1/1/1980 12:00:00 AM,,288,22,9,Colne,2.3,,United Utilities,,Pendle,Marsden & Southfield,Pendle Central
BB12 7FS,Yes,53.797298,-2.338087,377828,433497,SD778334,7/1/2020 12:00:00 AM,,73,,,Hapton,2.2,Simonstone,,,Ribble Valley,"East Whalley, Read & Simonstone",Ribble Valley North East
BB12 7GT,No,53.796717,-2.341300,377616,433433,SD776334,8/1/1993 12:00:00 AM,7/1/2006 12:00:00 AM,69,,,Hapton,2.3,Simonstone,,,Ribble Valley,"East Whalley, Read & Simonstone",Ribble Valley North East
BB12 7HN,Yes,53.804351,-2.337156,377893,434281,SD778342,1/1/1980 12:00:00 AM,,107,25,10,Hapton,2.9,,United Utilities,,Ribble Valley,"East Whalley, Read & Simonstone",Ribble Valley North East
BB12 7HP,Yes,53.806069,-2.339660,377729,434473,SD777344,1/1/1980 12:00:00 AM,,108,11,3,Hapton,3.1,Read,United Utilities,,Ribble Valley,"East Whalley, Read & Simonstone",Ribble Valley North East
BB12 7HR,Yes,53.806352,-2.343126,377501,434506,SD775345,1/1/1980 12:00:00 AM,,111,29,11,Hapton,3.2,Read,United Utilities,,Ribble Valley,"East Whalley, Read & Simonstone",Ribble Valley North East
BB12 7HS,Yes,53.805705,-2.344380,377418,434434,SD774344,1/1/1980 12:00:00 AM,,106,11,7,Hapton,3.2,Read,United Utilities,,Ribble Valley,"East Whalley, Read & Simonstone",Ribble Valley North East
BB12 7HT,Yes,53.806549,-2.347819,377192,434529,SD771345,1/1/1980 12:00:00 AM,,113,11,6,Hapton,3.4,Read,United Utilities,,Ribble Valley,"East Whalley, Read & Simonstone",Ribble Valley North East
