Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
HD7 1RZ,No,53.530644,-1.773671,415100,403800,SE151038,1/1/1980 12:00:00 AM,1/1/2001 12:00:00 AM,383,,,Brockholes,7.4,,,,Barnsley,Penistone West,
HD7 1TR,No,53.538589,-1.746303,416911,404690,SE169046,1/1/1980 12:00:00 AM,1/1/2001 12:00:00 AM,371,,,Shepley,6.2,,,,Barnsley,Penistone West,
HD7 1TW,No,53.551535,-1.723359,418426,406136,SE184061,1/1/1980 12:00:00 AM,1/1/2001 12:00:00 AM,340,,,Shepley,4.3,,,,Barnsley,Penistone West,
HD8 8YF,Yes,53.555719,-1.714608,419004,406604,SE190066,1/1/1980 12:00:00 AM,,283,20,8,Shepley,3.7,,Yorkshire Water,,Barnsley,Penistone West,
HD8 8YJ,Yes,53.558396,-1.649483,423317,406921,SE233069,1/1/1980 12:00:00 AM,,235,4,2,Denby Dale,1.8,,Yorkshire Water,,Barnsley,Penistone West,
HD9 2DE,Yes,53.535077,-1.775881,414952,404293,SE149042,6/1/2001 12:00:00 AM,,388,8,2,Brockholes,6.9,,Yorkshire Water,,Barnsley,Penistone West,
HD9 2RZ,Yes,53.530955,-1.771648,415234,403835,SE152038,6/1/2001 12:00:00 AM,,389,6,3,Brockholes,7.3,,Yorkshire Water,,Barnsley,Penistone West,
HD9 2TE,Yes,53.534033,-1.769142,415399,404178,SE153041,6/1/2001 12:00:00 AM,,406,9,3,Brockholes,7.0,,Yorkshire Water,,Barnsley,Penistone West,
HD9 2TF,Yes,53.536583,-1.746512,416898,404467,SE168044,6/1/2001 12:00:00 AM,,372,7,2,Shepley,6.4,,Yorkshire Water,,Barnsley,Penistone West,
HD9 7TA,Yes,53.551474,-1.723963,418386,406129,SE183061,6/1/2001 12:00:00 AM,,337,2,1,Shepley,4.3,,Yorkshire Water,,Barnsley,Penistone West,
HD9 7TE,Yes,53.551207,-1.725203,418304,406099,SE183060,6/1/2001 12:00:00 AM,,344,7,3,Shepley,4.4,,Yorkshire Water,,Barnsley,Penistone West,
HD9 7TF,Yes,53.547825,-1.720259,418633,405724,SE186057,6/1/2001 12:00:00 AM,,350,9,2,Shepley,4.7,,Yorkshire Water,,Barnsley,Penistone West,
HD9 7TG,Yes,53.551551,-1.723360,418426,406138,SE184061,6/1/2001 12:00:00 AM,,340,6,2,Shepley,4.3,,Yorkshire Water,,Barnsley,Penistone West,
HD9 7TS,Yes,53.544650,-1.732233,417841,405368,SE178053,6/1/2001 12:00:00 AM,,342,15,5,Shepley,5.2,,Yorkshire Water,,Barnsley,Penistone West,
HD9 7TW,Yes,53.546687,-1.719076,418712,405598,SE187055,6/1/2001 12:00:00 AM,,341,4,2,Denby Dale,4.7,,Yorkshire Water,,Barnsley,Penistone West,
