Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
BH1 3NF,No,50.723356,-1.906292,406711,91530,SZ067915,2/1/1990 12:00:00 AM,7/1/2007 12:00:00 AM,47,,,Branksome,1.0,Bournemouth,,,"Bournemouth, Christchurch and Poole",Canford Cliffs,
BH11 8QL,No,50.752799,-1.994278,400500,94800,SZ004947,1/1/1980 12:00:00 AM,1/1/1995 12:00:00 AM,22,,,Hamworthy,3.5,Poole,,,"Bournemouth, Christchurch and Poole",Creekmoor,
BH11 8QR,No,50.752799,-1.994278,400500,94800,SZ004947,1/1/1980 12:00:00 AM,12/1/1991 12:00:00 AM,22,,,Hamworthy,3.5,Poole,,,"Bournemouth, Christchurch and Poole",Creekmoor,
BH12 1AA,Yes,50.724156,-1.909270,406501,91619,SZ065916,1/1/1980 12:00:00 AM,,47,49,31,Branksome,0.8,Poole,Bournemouth Water,,"Bournemouth, Christchurch and Poole",Canford Cliffs,
BH12 1AB,Yes,50.724246,-1.909638,406475,91629,SZ064916,1/1/1980 12:00:00 AM,,47,32,14,Branksome,0.8,Poole,Bournemouth Water,,"Bournemouth, Christchurch and Poole",Canford Cliffs,
BH12 1AD,Yes,50.725952,-1.917838,405896,91818,SZ058918,1/1/1980 12:00:00 AM,,47,,,Branksome,0.2,Poole,Bournemouth Water,,"Bournemouth, Christchurch and Poole",Canford Cliffs,
BH12 1AE,Yes,50.726324,-1.919178,405801,91859,SZ058918,11/1/2014 12:00:00 AM,,47,,,Branksome,0.1,Poole,,,"Bournemouth, Christchurch and Poole",Canford Cliffs,
BH12 1AF,No,50.726468,-1.919972,405745,91875,SZ057918,1/1/1980 12:00:00 AM,12/1/1999 12:00:00 AM,46,,,Branksome,0.1,Poole,,,"Bournemouth, Christchurch and Poole",Canford Cliffs,
BH12 1AU,Yes,50.724845,-1.913642,406192,91695,SZ061916,12/1/1994 12:00:00 AM,,49,,,Branksome,0.5,Poole,Bournemouth Water,,"Bournemouth, Christchurch and Poole",Canford Cliffs,
BH12 1AX,No,50.723987,-1.907863,406600,91600,SZ066916,2/1/1990 12:00:00 AM,12/1/1991 12:00:00 AM,48,,,Branksome,0.9,Poole,,,"Bournemouth, Christchurch and Poole",Canford Cliffs,
BH12 1DH,Yes,50.727199,-1.922506,405566,91956,SZ055919,1/1/1980 12:00:00 AM,,47,19,10,Branksome,0.2,Poole,Bournemouth Water,,"Bournemouth, Christchurch and Poole",Penn Hill,
BH12 1DQ,Yes,50.726919,-1.921218,405657,91925,SZ056919,1/1/1980 12:00:00 AM,,46,20,11,Branksome,0.1,Poole,Bournemouth Water,,"Bournemouth, Christchurch and Poole",Penn Hill,
BH12 1QH,No,50.723086,-1.906448,406700,91500,SZ067914,1/1/1980 12:00:00 AM,12/1/1991 12:00:00 AM,47,,,Branksome,1.0,Bournemouth,,,"Bournemouth, Christchurch and Poole",Canford Cliffs,
BH12 1YQ,No,50.725791,-1.916360,406000,91800,SZ059917,12/1/1994 12:00:00 AM,1/1/1995 12:00:00 AM,49,,,Branksome,0.3,Poole,,,"Bournemouth, Christchurch and Poole",Canford Cliffs,
BH12 1YY,No,50.725791,-1.916360,406000,91800,SZ059917,1/1/1995 12:00:00 AM,12/1/1995 12:00:00 AM,49,,,Branksome,0.3,Poole,,,"Bournemouth, Christchurch and Poole",Canford Cliffs,
BH12 1ZB,No,50.725791,-1.916360,406000,91800,SZ059917,12/1/1995 12:00:00 AM,12/1/1996 12:00:00 AM,49,,,Branksome,0.3,Poole,,,"Bournemouth, Christchurch and Poole",Canford Cliffs,
BH12 1ZY,No,50.725791,-1.916360,406000,91800,SZ059917,5/1/2000 12:00:00 AM,9/1/2000 12:00:00 AM,49,,,Branksome,0.3,Poole,,,"Bournemouth, Christchurch and Poole",Canford Cliffs,
BH12 2AF,Yes,50.733768,-1.929821,405049,92686,SZ050926,12/1/2014 12:00:00 AM,,36,,,Branksome,1.0,Poole,,,"Bournemouth, Christchurch and Poole",Newtown & Heatherlands,
BH12 2AY,No,50.727596,-1.924858,405400,92000,SZ053920,1/1/1980 12:00:00 AM,12/1/1981 12:00:00 AM,49,,,Branksome,0.4,Poole,,,"Bournemouth, Christchurch and Poole",Penn Hill,
BH12 2AZ,No,50.732996,-1.933351,404800,92600,SZ047925,2/1/1990 12:00:00 AM,12/1/1994 12:00:00 AM,43,,,Branksome,1.2,Poole,,,"Bournemouth, Christchurch and Poole",Newtown & Heatherlands,
BH12 2BA,Yes,50.728812,-1.928270,405159,92135,SZ051921,1/1/1980 12:00:00 AM,,57,51,28,Branksome,0.6,Poole,Bournemouth Water,,"Bournemouth, Christchurch and Poole",Newtown & Heatherlands,
BH12 2BB,Yes,50.729963,-1.927971,405180,92263,SZ051922,1/1/1980 12:00:00 AM,,49,61,25,Branksome,0.7,Poole,Bournemouth Water,,"Bournemouth, Christchurch and Poole",Newtown & Heatherlands,
BH12 2BD,No,50.728993,-1.930367,405011,92155,SZ050921,1/1/1980 12:00:00 AM,12/1/2001 12:00:00 AM,57,,,Branksome,0.8,Poole,,,"Bournemouth, Christchurch and Poole",Newtown & Heatherlands,
BH12 2BE,Yes,50.730293,-1.928344,405154,92300,SZ051922,1/1/1980 12:00:00 AM,,53,98,42,Branksome,0.7,Poole,Bournemouth Water,,"Bournemouth, Christchurch and Poole",Newtown & Heatherlands,
