Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
E1 9AA,No,51.508575,-0.073262,533810,180609,TQ338806,1/1/1980 12:00:00 AM,12/1/1999 12:00:00 AM,13,,,Tower Gateway,0.2,Tower Hamlets,,,Tower Hamlets,St Katharine's & Wapping,
E1 9AB,No,51.507598,-0.073447,533800,180500,TQ337805,1/1/1980 12:00:00 AM,12/1/1984 12:00:00 AM,16,,,Tower Gateway,0.3,Tower Hamlets,,,Tower Hamlets,St Katharine's & Wapping,
E1 9AD,No,51.507574,-0.072007,533900,180500,TQ338804,1/1/1980 12:00:00 AM,12/1/1991 12:00:00 AM,14,,,Tower Gateway,0.4,Tower Hamlets,,,Tower Hamlets,St Katharine's & Wapping,
E1 9AE,No,51.507574,-0.072007,533900,180500,TQ338804,3/1/1983 12:00:00 AM,7/1/1995 12:00:00 AM,14,,,Tower Gateway,0.4,Tower Hamlets,Thames Water,,Tower Hamlets,St Katharine's & Wapping,
E1 9AF,No,51.507574,-0.072007,533900,180500,TQ338804,1/1/1980 12:00:00 AM,12/1/1986 12:00:00 AM,14,,,Tower Gateway,0.4,Tower Hamlets,,,Tower Hamlets,St Katharine's & Wapping,
E1 9AG,No,51.507480,-0.066247,534300,180500,TQ342805,1/1/1980 12:00:00 AM,12/1/1988 12:00:00 AM,17,,,Tower Gateway,0.7,Tower Hamlets,,,Tower Hamlets,St Katharine's & Wapping,
E1 9AH,No,51.505777,-0.072083,533900,180300,TQ338802,1/1/1980 12:00:00 AM,7/1/1995 12:00:00 AM,7,,,Tower Gateway,0.5,Tower Hamlets,,,Tower Hamlets,St Katharine's & Wapping,
E1 9AJ,No,51.507598,-0.073447,533800,180500,TQ337805,1/1/1980 12:00:00 AM,7/1/1995 12:00:00 AM,16,,,Tower Gateway,0.3,Tower Hamlets,,,Tower Hamlets,St Katharine's & Wapping,
E1 9AQ,No,51.508402,-0.067649,534200,180600,TQ341806,1/1/1980 12:00:00 AM,7/1/1995 12:00:00 AM,15,,,Tower Gateway,0.5,Tower Hamlets,Thames Water,,Tower Hamlets,St Katharine's & Wapping,
E1 9AS,No,51.507574,-0.072007,533900,180500,TQ338804,6/1/1998 12:00:00 AM,12/1/1999 12:00:00 AM,14,,,Tower Gateway,0.4,Tower Hamlets,,,Tower Hamlets,St Katharine's & Wapping,
E1 9AT,No,51.507194,-0.071836,533913,180458,TQ339804,1/1/1980 12:00:00 AM,12/1/1999 12:00:00 AM,13,,,Tower Gateway,0.4,Tower Hamlets,,,Tower Hamlets,St Katharine's & Wapping,
E1 9AU,No,51.508024,-0.064393,534427,180564,TQ344805,9/1/1991 12:00:00 AM,12/1/1999 12:00:00 AM,18,,,Shadwell,0.6,Tower Hamlets,,,Tower Hamlets,St Katharine's & Wapping,
E1 9AX,No,51.508280,-0.072251,533881,180578,TQ338805,10/1/1987 12:00:00 AM,12/1/1999 12:00:00 AM,15,,,Tower Gateway,0.3,Tower Hamlets,,,Tower Hamlets,St Katharine's & Wapping,
E1 9AY,No,51.506721,-0.058987,534806,180429,TQ348804,9/1/1991 12:00:00 AM,12/1/1999 12:00:00 AM,7,,,Wapping,0.3,Tower Hamlets,,,Tower Hamlets,St Katharine's & Wapping,
E1 9AZ,No,51.508280,-0.072251,533881,180578,TQ338805,12/1/1994 12:00:00 AM,12/1/1999 12:00:00 AM,15,,,Tower Gateway,0.3,Tower Hamlets,,,Tower Hamlets,St Katharine's & Wapping,
E1 9BA,No,51.508283,-0.060448,534700,180600,TQ347806,8/1/1993 12:00:00 AM,7/1/1995 12:00:00 AM,10,,,Shadwell,0.4,Tower Hamlets,,,Tower Hamlets,St Katharine's & Wapping,
E1 9BB,No,51.508975,-0.060938,534664,180676,TQ346806,1/1/1980 12:00:00 AM,12/1/1999 12:00:00 AM,12,,,Shadwell,0.4,Tower Hamlets,,,Tower Hamlets,St Katharine's & Wapping,
E1 9BD,No,51.506721,-0.058987,534806,180429,TQ348804,7/1/1986 12:00:00 AM,12/1/1999 12:00:00 AM,7,,,Wapping,0.3,Tower Hamlets,,,Tower Hamlets,St Katharine's & Wapping,
E1 9BE,No,51.508997,-0.064496,534417,180672,TQ344806,4/1/1986 12:00:00 AM,12/1/1999 12:00:00 AM,16,,,Shadwell,0.6,Tower Hamlets,,,Tower Hamlets,St Katharine's & Wapping,
E1 9BG,No,51.509176,-0.063307,534499,180694,TQ344806,1/1/1980 12:00:00 AM,12/1/1999 12:00:00 AM,17,,,Shadwell,0.5,Tower Hamlets,,,Tower Hamlets,St Katharine's & Wapping,
E1 9BH,No,51.506721,-0.058987,534806,180429,TQ348804,7/1/1986 12:00:00 AM,12/1/1999 12:00:00 AM,7,,,Wapping,0.3,Tower Hamlets,,,Tower Hamlets,St Katharine's & Wapping,
E1 9BJ,No,51.506721,-0.058987,534806,180429,TQ348804,7/1/1986 12:00:00 AM,12/1/1999 12:00:00 AM,7,,,Wapping,0.3,Tower Hamlets,,,Tower Hamlets,St Katharine's & Wapping,
E1 9BL,No,51.506721,-0.058987,534806,180429,TQ348804,7/1/1986 12:00:00 AM,12/1/1999 12:00:00 AM,7,,,Wapping,0.3,Tower Hamlets,,,Tower Hamlets,St Katharine's & Wapping,
