Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
PO1 4AQ,No,50.808515,-1.088134,464346,101392,SU643013,6/1/2010 12:00:00 AM,8/1/2023 12:00:00 AM,6,,,Portsmouth and Southsea,1.1,Portsmouth,Portsmouth Water,Southern Water,Portsmouth,Nelson,
PO1 4QY,Yes,50.808526,-1.088147,464345,101393,SU643013,6/1/2011 12:00:00 AM,,6,,,Portsmouth and Southsea,1.1,Portsmouth,Portsmouth Water,Southern Water,Portsmouth,Nelson,
PO17 6AR,Yes,50.857615,-1.108871,462819,106834,SU628068,1/1/1980 12:00:00 AM,,117,,,Portchester,1.5,Portsmouth,Portsmouth Water,Southern Water,Portsmouth,Paulsgrove,
PO2 0AA,Yes,50.813835,-1.078264,465034,101992,SU650019,1/1/1980 12:00:00 AM,,10,43,22,Portsmouth and Southsea,1.9,Portsmouth,Portsmouth Water,Southern Water,Portsmouth,Nelson,
PO2 0AB,Yes,50.813876,-1.076645,465148,101998,SU651019,1/1/1980 12:00:00 AM,,9,62,28,Fratton,2.0,Portsmouth,Portsmouth Water,Southern Water,Portsmouth,Nelson,
PO2 0AD,Yes,50.813599,-1.078155,465042,101966,SU650019,1/1/1980 12:00:00 AM,,10,115,44,Portsmouth and Southsea,1.9,Portsmouth,Portsmouth Water,Southern Water,Portsmouth,Nelson,
PO2 0AF,Yes,50.813756,-1.079856,464922,101982,SU649019,4/1/2017 12:00:00 AM,,9,,,Portsmouth and Southsea,1.9,Portsmouth,Portsmouth Water,Southern Water,Portsmouth,Nelson,
PO2 0AG,Yes,50.813912,-1.074345,465310,102004,SU653020,1/1/1980 12:00:00 AM,,9,68,30,Hilsea,1.9,Portsmouth,Portsmouth Water,Southern Water,Portsmouth,Copnor,
PO2 0AH,Yes,50.813709,-1.073696,465356,101982,SU653019,1/1/1980 12:00:00 AM,,8,158,69,Hilsea,1.9,Portsmouth,Portsmouth Water,Southern Water,Portsmouth,Copnor,
PO2 0AJ,Yes,50.814125,-1.070579,465575,102031,SU655020,1/1/1980 12:00:00 AM,,7,86,35,Hilsea,1.8,Portsmouth,Portsmouth Water,Southern Water,Portsmouth,Copnor,
PO2 0AL,Yes,50.814147,-1.068904,465693,102035,SU656020,1/1/1980 12:00:00 AM,,7,34,14,Hilsea,1.7,Portsmouth,Portsmouth Water,Southern Water,Portsmouth,Copnor,
PO2 0AN,Yes,50.814130,-1.067882,465765,102034,SU657020,1/1/1980 12:00:00 AM,,7,23,11,Hilsea,1.7,Portsmouth,Portsmouth Water,Southern Water,Portsmouth,Copnor,
PO2 0AP,Yes,50.813836,-1.065063,465964,102004,SU659020,12/1/1994 12:00:00 AM,,7,9,4,Hilsea,1.7,Portsmouth,Portsmouth Water,Southern Water,Portsmouth,Copnor,
PO2 0AQ,Yes,50.813968,-1.072342,465451,102012,SU654020,1/1/1980 12:00:00 AM,,7,62,30,Hilsea,1.9,Portsmouth,Portsmouth Water,Southern Water,Portsmouth,Copnor,
PO2 0AR,Yes,50.813861,-1.079286,464962,101994,SU649019,9/1/1991 12:00:00 AM,,9,16,11,Portsmouth and Southsea,1.9,Portsmouth,Portsmouth Water,Southern Water,Portsmouth,Nelson,
PO2 0AS,Yes,50.813862,-1.065886,465906,102006,SU659020,1/1/1980 12:00:00 AM,,7,38,14,Hilsea,1.7,Portsmouth,Portsmouth Water,Southern Water,Portsmouth,Copnor,
PO2 0AT,Yes,50.814509,-1.079571,464941,102066,SU649020,7/1/2020 12:00:00 AM,,9,,,Portsmouth and Southsea,1.9,Portsmouth,Portsmouth Water,Southern Water,Portsmouth,Nelson,
PO2 0AU,Yes,50.813887,-1.067859,465767,102007,SU657020,1/1/1980 12:00:00 AM,,7,71,27,Hilsea,1.7,Portsmouth,Portsmouth Water,Southern Water,Portsmouth,Copnor,
PO2 0AW,Yes,50.814099,-1.066279,465878,102032,SU658020,1/1/1980 12:00:00 AM,,7,98,35,Hilsea,1.7,Portsmouth,Portsmouth Water,Southern Water,Portsmouth,Copnor,
PO2 0AX,Yes,50.813878,-1.070286,465596,102004,SU655020,1/1/1980 12:00:00 AM,,7,52,24,Hilsea,1.8,Portsmouth,Portsmouth Water,Southern Water,Portsmouth,Copnor,
PO2 0AY,Yes,50.822185,-1.074536,465285,102924,SU652029,4/1/2019 12:00:00 AM,,7,,,Hilsea,1.3,Portsmouth,,,Portsmouth,Hilsea,
PO2 0AZ,Yes,50.817408,-1.076348,465164,102391,SU651023,3/1/2007 12:00:00 AM,,9,32,12,Hilsea,1.7,Portsmouth,Portsmouth Water,Southern Water,Portsmouth,Hilsea,
PO2 0BA,No,50.813034,-1.081601,464800,101900,SU648019,12/1/1994 12:00:00 AM,12/1/1996 12:00:00 AM,10,,,Portsmouth and Southsea,1.7,Portsmouth,,,Portsmouth,Nelson,
PO2 0BB,No,50.813034,-1.081601,464800,101900,SU648019,8/1/1993 12:00:00 AM,12/1/1994 12:00:00 AM,10,,,Portsmouth and Southsea,1.7,Portsmouth,,,Portsmouth,Nelson,
PO2 0BD,No,50.813034,-1.081601,464800,101900,SU648019,1/1/1993 12:00:00 AM,5/1/1994 12:00:00 AM,10,,,Portsmouth and Southsea,1.7,Portsmouth,,,Portsmouth,Nelson,
PO2 0BF,Yes,50.816795,-1.078589,465007,102321,SU650023,3/1/2023 12:00:00 AM,,9,,,Hilsea,1.9,Portsmouth,,,Portsmouth,Nelson,
PO2 0BG,No,50.813034,-1.081601,464800,101900,SU648019,1/1/1980 12:00:00 AM,12/1/1990 12:00:00 AM,10,,,Portsmouth and Southsea,1.7,Portsmouth,,,Portsmouth,Nelson,
