Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
PO1 1AA,Yes,50.799149,-1.088401,464340,100350,SU643003,9/1/2004 12:00:00 AM,,10,,,Portsmouth and Southsea,0.2,Portsmouth,Portsmouth Water,Southern Water,Portsmouth,Charles Dickens,
PO1 1AB,Yes,50.799149,-1.088401,464340,100350,SU643003,3/1/1988 12:00:00 AM,,10,,,Portsmouth and Southsea,0.2,Portsmouth,Portsmouth Water,Southern Water,Portsmouth,Charles Dickens,
PO1 1AD,No,50.799292,-1.088356,464343,100366,SU643003,12/1/1995 12:00:00 AM,12/1/1999 12:00:00 AM,11,,,Portsmouth and Southsea,0.2,Portsmouth,,,Portsmouth,Charles Dickens,
PO1 1AE,No,50.799149,-1.088401,464340,100350,SU643003,6/1/1996 12:00:00 AM,2/1/2017 12:00:00 AM,10,,,Portsmouth and Southsea,0.2,Portsmouth,,,Portsmouth,Charles Dickens,
PO1 1AF,No,50.799149,-1.088401,464340,100350,SU643003,8/1/2004 12:00:00 AM,8/1/2017 12:00:00 AM,10,,,Portsmouth and Southsea,0.2,Portsmouth,,,Portsmouth,Charles Dickens,
PO1 1AG,No,50.799292,-1.088356,464343,100366,SU643003,6/1/1998 12:00:00 AM,12/1/2002 12:00:00 AM,11,,,Portsmouth and Southsea,0.2,Portsmouth,,,Portsmouth,Charles Dickens,
PO1 1AH,No,50.798703,-1.088977,464300,100300,SU643002,6/1/1997 12:00:00 AM,4/1/2003 12:00:00 AM,8,,,Portsmouth and Southsea,0.1,Portsmouth,Southern Water,,Portsmouth,Charles Dickens,
PO1 1AN,Yes,50.799961,-1.079573,464961,100448,SU649004,5/1/2005 12:00:00 AM,,7,17,9,Fratton,0.6,Portsmouth,Portsmouth Water,Southern Water,Portsmouth,Charles Dickens,
PO1 1AQ,Yes,50.799167,-1.090813,464170,100350,SU641003,9/1/2008 12:00:00 AM,,7,21,5,Portsmouth and Southsea,0.1,Portsmouth,Portsmouth Water,Southern Water,Portsmouth,Charles Dickens,
PO1 1AR,No,50.799292,-1.088356,464343,100366,SU643003,7/1/2002 12:00:00 AM,9/1/2002 12:00:00 AM,11,,,Portsmouth and Southsea,0.2,Portsmouth,,,Portsmouth,Charles Dickens,
PO1 1AS,No,50.799292,-1.088356,464343,100366,SU643003,5/1/1994 12:00:00 AM,2/1/2003 12:00:00 AM,11,,,Portsmouth and Southsea,0.2,Portsmouth,,,Portsmouth,Charles Dickens,
PO1 1AT,Yes,50.799451,-1.091460,464124,100381,SU641003,10/1/2003 12:00:00 AM,,7,,,Portsmouth and Southsea,0.1,Portsmouth,Portsmouth Water,Southern Water,Portsmouth,Charles Dickens,
PO1 1AU,Yes,50.800057,-1.079216,464986,100459,SU649004,2/1/2004 12:00:00 AM,,7,21,10,Fratton,0.6,Portsmouth,Portsmouth Water,Southern Water,Portsmouth,Charles Dickens,
PO1 1AW,Yes,50.801295,-1.077759,465087,100598,SU650005,7/1/2007 12:00:00 AM,,8,9,6,Fratton,0.6,Portsmouth,Portsmouth Water,Southern Water,Portsmouth,Charles Dickens,
PO1 1AX,No,50.798714,-1.090396,464200,100300,SU641002,2/1/1990 12:00:00 AM,12/1/1992 12:00:00 AM,6,,,Portsmouth and Southsea,0.0,Portsmouth,,,Portsmouth,Charles Dickens,
PO1 1AY,No,50.798725,-1.091815,464100,100300,SU640002,1/1/1980 12:00:00 AM,12/1/1981 12:00:00 AM,6,,,Portsmouth and Southsea,0.1,Portsmouth,,,Portsmouth,Charles Dickens,
PO1 1AZ,No,50.799182,-1.090330,464204,100352,SU642003,10/1/1987 12:00:00 AM,7/1/2006 12:00:00 AM,7,,,Portsmouth and Southsea,0.1,Portsmouth,Portsmouth Water,,Portsmouth,Charles Dickens,
PO1 1BA,Yes,50.798391,-1.091537,464120,100263,SU641002,1/1/1980 12:00:00 AM,,6,,,Portsmouth and Southsea,0.0,Portsmouth,Portsmouth Water,Southern Water,Portsmouth,Charles Dickens,
PO1 1BB,No,50.799227,-1.089222,464282,100358,SU642003,1/1/1991 12:00:00 AM,8/1/2004 12:00:00 AM,9,,,Portsmouth and Southsea,0.1,Portsmouth,,,Portsmouth,Charles Dickens,
PO1 1BD,No,50.797815,-1.090413,464200,100200,SU642001,5/1/1994 12:00:00 AM,7/1/1995 12:00:00 AM,6,,,Portsmouth and Southsea,0.1,Portsmouth,,,Portsmouth,Charles Dickens,
PO1 1BE,No,50.798427,-1.088131,464360,100270,SU643002,4/1/1986 12:00:00 AM,6/1/2024 12:00:00 AM,8,,,Portsmouth and Southsea,0.2,Portsmouth,Portsmouth Water,Southern Water,Portsmouth,Charles Dickens,
PO1 1BF,No,50.799024,-1.089751,464245,100335,SU642003,12/1/2008 12:00:00 AM,3/1/2009 12:00:00 AM,8,,,Portsmouth and Southsea,0.1,Portsmouth,,,Portsmouth,Charles Dickens,
PO1 1BG,Yes,50.799513,-1.091331,464133,100388,SU641003,1/1/1980 12:00:00 AM,,7,,,Portsmouth and Southsea,0.1,Portsmouth,Portsmouth Water,Southern Water,Portsmouth,Charles Dickens,
PO1 1BH,Yes,50.800897,-1.089077,464290,100544,SU642005,7/1/2016 12:00:00 AM,,7,,,Portsmouth and Southsea,0.3,Portsmouth,Portsmouth Water,Southern Water,Portsmouth,Charles Dickens,
PO1 1BJ,Yes,50.800081,-1.078847,465012,100462,SU650004,3/1/2004 12:00:00 AM,,7,25,13,Fratton,0.5,Portsmouth,Portsmouth Water,Southern Water,Portsmouth,Charles Dickens,
PO1 1BL,No,50.798725,-1.091815,464100,100300,SU640002,1/1/1980 12:00:00 AM,1/1/1995 12:00:00 AM,6,,,Portsmouth and Southsea,0.1,Portsmouth,,,Portsmouth,Charles Dickens,
PO1 1BN,No,50.799594,-1.091358,464131,100397,SU641003,1/1/1980 12:00:00 AM,12/1/1999 12:00:00 AM,7,,,Portsmouth and Southsea,0.1,Portsmouth,,,Portsmouth,Charles Dickens,
PO1 1BP,No,50.800214,-1.091275,464136,100466,SU641004,12/1/1998 12:00:00 AM,2/1/2006 12:00:00 AM,8,,,Portsmouth and Southsea,0.2,Portsmouth,,,Portsmouth,Charles Dickens,
PO1 1BQ,Yes,50.799592,-1.091245,464139,100397,SU641003,1/1/1980 12:00:00 AM,,7,,,Portsmouth and Southsea,0.1,Portsmouth,Portsmouth Water,Southern Water,Portsmouth,Charles Dickens,
PO1 1BS,Yes,50.800219,-1.082661,464743,100474,SU647004,12/1/1997 12:00:00 AM,,6,25,9,Portsmouth and Southsea,0.6,Portsmouth,Portsmouth Water,Southern Water,Portsmouth,Charles Dickens,
PO1 1BT,Yes,50.800076,-1.090895,464163,100451,SU641004,1/1/1980 12:00:00 AM,,8,,,Portsmouth and Southsea,0.2,Portsmouth,Portsmouth Water,Southern Water,Portsmouth,Charles Dickens,
PO1 1BU,Yes,50.800583,-1.090388,464198,100508,SU641005,1/1/1980 12:00:00 AM,,10,,,Portsmouth and Southsea,0.2,Portsmouth,Portsmouth Water,Southern Water,Portsmouth,Charles Dickens,
PO1 1BW,Yes,50.800430,-1.091541,464117,100490,SU641004,12/1/2015 12:00:00 AM,,7,,,Portsmouth and Southsea,0.2,Portsmouth,Portsmouth Water,Southern Water,Portsmouth,Charles Dickens,
PO1 1BX,Yes,50.800291,-1.090919,464161,100475,SU641004,5/1/2023 12:00:00 AM,,7,,,Portsmouth and Southsea,0.2,Portsmouth,,,Portsmouth,Charles Dickens,
PO1 1BY,Yes,50.800299,-1.090649,464180,100476,SU641004,1/1/1980 12:00:00 AM,,9,,,Portsmouth and Southsea,0.2,Portsmouth,Portsmouth Water,Southern Water,Portsmouth,Charles Dickens,
PO1 1BZ,Yes,50.799179,-1.090288,464207,100352,SU642003,9/1/2018 12:00:00 AM,,7,,,Portsmouth and Southsea,0.1,Portsmouth,,,Portsmouth,Charles Dickens,
PO1 1DA,No,50.799866,-1.091566,464116,100427,SU641004,7/1/1990 12:00:00 AM,7/1/2022 12:00:00 AM,8,,,Portsmouth and Southsea,0.2,Portsmouth,Portsmouth Water,Southern Water,Portsmouth,Charles Dickens,
PO1 1DB,No,50.800966,-1.090877,464163,100550,SU641005,1/1/1980 12:00:00 AM,2/1/2009 12:00:00 AM,10,,,Portsmouth and Southsea,0.3,Portsmouth,,,Portsmouth,Charles Dickens,
PO1 1DD,Yes,50.801004,-1.089968,464227,100555,SU642005,1/1/1980 12:00:00 AM,,10,,,Portsmouth and Southsea,0.3,Portsmouth,Portsmouth Water,Southern Water,Portsmouth,Charles Dickens,
PO1 1DE,Yes,50.800259,-1.091516,464119,100471,SU641004,1/1/1980 12:00:00 AM,,9,17,6,Portsmouth and Southsea,0.2,Portsmouth,Portsmouth Water,Southern Water,Portsmouth,Charles Dickens,
PO1 1DF,No,50.800022,-1.092031,464083,100444,SU640004,1/1/1980 12:00:00 AM,3/1/2009 12:00:00 AM,8,,,Portsmouth and Southsea,0.2,Portsmouth,Portsmouth Water,Southern Water,Portsmouth,Charles Dickens,
PO1 1DG,Yes,50.799107,-1.092574,464046,100342,SU640003,9/1/2017 12:00:00 AM,,9,,,Portsmouth and Southsea,0.1,Portsmouth,Portsmouth Water,Southern Water,Portsmouth,Charles Dickens,
PO1 1DH,Yes,50.800454,-1.092065,464080,100492,SU640004,9/1/2015 12:00:00 AM,,9,101,92,Portsmouth and Southsea,0.2,Portsmouth,Portsmouth Water,Southern Water,Portsmouth,Charles Dickens,
PO1 1DJ,No,50.800214,-1.091275,464136,100466,SU641004,1/1/1980 12:00:00 AM,5/1/2003 12:00:00 AM,8,,,Portsmouth and Southsea,0.2,Portsmouth,Portsmouth Water,,Portsmouth,Charles Dickens,
PO1 1DL,No,50.800214,-1.091275,464136,100466,SU641004,1/1/1980 12:00:00 AM,12/1/1997 12:00:00 AM,8,,,Portsmouth and Southsea,0.2,Portsmouth,,,Portsmouth,Charles Dickens,
PO1 1DN,Yes,50.799107,-1.092574,464046,100342,SU640003,9/1/2017 12:00:00 AM,,6,,,Portsmouth and Southsea,0.1,Portsmouth,Portsmouth Water,Southern Water,Portsmouth,Charles Dickens,
PO1 1DP,No,50.799554,-1.091941,464090,100392,SU640003,1/1/1980 12:00:00 AM,6/1/2000 12:00:00 AM,7,,,Portsmouth and Southsea,0.1,Portsmouth,,,Portsmouth,Charles Dickens,
PO1 1DQ,No,50.799625,-1.091797,464100,100400,SU641004,1/1/1980 12:00:00 AM,12/1/1994 12:00:00 AM,7,,,Portsmouth and Southsea,0.1,Portsmouth,,,Portsmouth,Charles Dickens,
