Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
PR0 2AA,Yes,53.758805,-2.683907,355008,429378,SD550293,9/1/2014 12:00:00 AM,,38,,,Preston (Lancs),1.6,Preston (Preston),United Utilities,,Preston,Fishwick & Frenchwood,Preston South East
PR0 2AD,Yes,53.758805,-2.683907,355008,429378,SD550293,2/1/2013 12:00:00 AM,,38,,,Preston (Lancs),1.6,Preston (Preston),United Utilities,,Preston,Fishwick & Frenchwood,Preston South East
PR0 2AE,Yes,53.758805,-2.683907,355008,429378,SD550293,2/1/2013 12:00:00 AM,,38,,,Preston (Lancs),1.6,Preston (Preston),United Utilities,,Preston,Fishwick & Frenchwood,Preston South East
PR0 2AF,Yes,53.758805,-2.683907,355008,429378,SD550293,2/1/2013 12:00:00 AM,,38,,,Preston (Lancs),1.6,Preston (Preston),United Utilities,,Preston,Fishwick & Frenchwood,Preston South East
PR0 2AG,Yes,53.758805,-2.683907,355008,429378,SD550293,4/1/2013 12:00:00 AM,,38,,,Preston (Lancs),1.6,Preston (Preston),United Utilities,,Preston,Fishwick & Frenchwood,Preston South East
PR0 2AH,Yes,53.758805,-2.683907,355008,429378,SD550293,4/1/2013 12:00:00 AM,,38,,,Preston (Lancs),1.6,Preston (Preston),United Utilities,,Preston,Fishwick & Frenchwood,Preston South East
PR0 2AJ,Yes,53.758805,-2.683907,355008,429378,SD550293,6/1/2014 12:00:00 AM,,38,,,Preston (Lancs),1.6,Preston (Preston),United Utilities,,Preston,Fishwick & Frenchwood,Preston South East
PR0 2AL,Yes,53.758821,-2.683904,355008,429380,SD550293,4/1/2023 12:00:00 AM,,38,,,Preston (Lancs),1.6,Preston (Preston),,,Preston,Fishwick & Frenchwood,Preston South East
PR0 2AN,Yes,53.758821,-2.683904,355008,429380,SD550293,4/1/2023 12:00:00 AM,,38,,,Preston (Lancs),1.6,Preston (Preston),,,Preston,Fishwick & Frenchwood,Preston South East
PR0 2AP,Yes,53.758805,-2.683907,355008,429378,SD550293,5/1/2007 12:00:00 AM,,38,,,Preston (Lancs),1.6,Preston (Preston),United Utilities,,Preston,Fishwick & Frenchwood,Preston South East
PR0 2AQ,Yes,53.758821,-2.683904,355008,429380,SD550293,7/1/2023 12:00:00 AM,,38,,,Preston (Lancs),1.6,Preston (Preston),,,Preston,Fishwick & Frenchwood,Preston South East
PR0 2BP,Yes,53.758805,-2.683907,355008,429378,SD550293,6/1/1999 12:00:00 AM,,38,,,Preston (Lancs),1.6,Preston (Preston),United Utilities,,Preston,Fishwick & Frenchwood,Preston South East
PR0 2EG,No,53.758805,-2.683907,355008,429378,SD550293,6/1/2001 12:00:00 AM,5/1/2011 12:00:00 AM,38,,,Preston (Lancs),1.6,Preston (Preston),,,Preston,Fishwick & Frenchwood,Preston South East
