Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
SS11 7AA,Yes,51.614525,0.523043,574781,193648,TQ747936,1/1/1980 12:00:00 AM,,8,4,1,Wickford,0.3,Runwell,Essex & Suffolk Water,Anglian Water,Basildon,Wickford North,Wickford Crouch
SS11 7AB,Yes,51.614877,0.523814,574833,193689,TQ748936,1/1/1980 12:00:00 AM,,8,24,9,Wickford,0.3,Runwell,Essex & Suffolk Water,Anglian Water,Basildon,Wickford North,Wickford Crouch
SS11 7AD,Yes,51.614492,0.522246,574726,193642,TQ747936,1/1/1980 12:00:00 AM,,9,,,Wickford,0.2,Runwell,Essex & Suffolk Water,Anglian Water,Basildon,Wickford North,Wickford Crouch
SS11 7AE,Yes,51.615780,0.521553,574673,193784,TQ746937,1/1/1980 12:00:00 AM,,13,40,17,Wickford,0.2,Runwell,Essex & Suffolk Water,Anglian Water,Basildon,Wickford North,Wickford Crouch
SS11 7AF,Yes,51.615033,0.521988,574706,193702,TQ747937,1/1/1980 12:00:00 AM,,11,43,18,Wickford,0.2,Runwell,Essex & Suffolk Water,Anglian Water,Basildon,Wickford North,Wickford Crouch
SS11 7AG,Yes,51.615903,0.521067,574639,193797,TQ746937,1/1/1980 12:00:00 AM,,14,65,29,Wickford,0.2,Runwell,Essex & Suffolk Water,Anglian Water,Basildon,Wickford North,Wickford Crouch
SS11 7AH,Yes,51.614059,0.521500,574676,193593,TQ746935,1/1/1980 12:00:00 AM,,11,,,Wickford,0.2,Runwell,Essex & Suffolk Water,Anglian Water,Basildon,Wickford North,Wickford Crouch
SS11 7AJ,Yes,51.613798,0.522742,574763,193566,TQ747935,1/1/1980 12:00:00 AM,,9,,,Wickford,0.3,Runwell,Essex & Suffolk Water,Anglian Water,Basildon,Wickford North,Wickford Crouch
SS11 7AL,No,51.614198,0.522361,574735,193610,TQ747936,1/1/1980 12:00:00 AM,9/1/2013 12:00:00 AM,10,,,Wickford,0.2,Runwell,Essex & Suffolk Water,Anglian Water,Basildon,Wickford North,Wickford Crouch
SS11 7AN,Yes,51.614591,0.523336,574801,193656,TQ748936,6/1/2000 12:00:00 AM,,8,,,Wickford,0.3,Runwell,Essex & Suffolk Water,Anglian Water,Basildon,Wickford North,Wickford Crouch
SS11 7AP,Yes,51.617782,0.516709,574330,193995,TQ743939,1/1/1980 12:00:00 AM,,14,36,16,Wickford,0.4,Runwell,Essex & Suffolk Water,Anglian Water,Basildon,Wickford North,Wickford Crouch
SS11 7AQ,No,51.614308,0.521832,574698,193621,TQ746936,7/1/1986 12:00:00 AM,10/1/2003 12:00:00 AM,10,,,Wickford,0.2,Runwell,Essex & Suffolk Water,Anglian Water,Basildon,Wickford North,Wickford Crouch
SS11 7AR,Yes,51.617213,0.516359,574308,193931,TQ743939,6/1/1981 12:00:00 AM,,14,60,22,Wickford,0.3,Runwell,Essex & Suffolk Water,Anglian Water,Basildon,Wickford North,Wickford Crouch
SS11 7AS,Yes,51.615511,0.520281,574586,193751,TQ745937,1/1/1980 12:00:00 AM,,14,87,39,Wickford,0.1,Runwell,Essex & Suffolk Water,Anglian Water,Basildon,Wickford North,Wickford Crouch
SS11 7AT,Yes,51.615265,0.519356,574523,193721,TQ745937,1/1/1980 12:00:00 AM,,13,3,3,Wickford,0.0,Runwell,Essex & Suffolk Water,Anglian Water,Basildon,Wickford North,Wickford Crouch
SS11 7AU,No,51.615110,0.517572,574400,193700,TQ743936,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,13,,,Wickford,0.1,Wickford,,,Basildon,Wickford Park,Wickford Crouch
SS11 7AW,No,51.614119,0.521851,574700,193600,TQ747936,1/1/1980 12:00:00 AM,12/1/1995 12:00:00 AM,10,,,Wickford,0.2,Runwell,,,Basildon,Wickford North,Wickford Crouch
SS11 7AY,Yes,51.617160,0.517613,574395,193928,TQ743939,1/1/1980 12:00:00 AM,,17,76,32,Wickford,0.3,Runwell,Essex & Suffolk Water,Anglian Water,Basildon,Wickford North,Wickford Crouch
SS11 7AZ,Yes,51.615643,0.520404,574594,193766,TQ745937,1/1/1993 12:00:00 AM,,14,15,8,Wickford,0.1,Runwell,Essex & Suffolk Water,Anglian Water,Basildon,Wickford North,Wickford Crouch
SS11 7BA,Yes,51.617671,0.519533,574526,193989,TQ745939,1/1/1980 12:00:00 AM,,17,92,43,Wickford,0.3,Runwell,Essex & Suffolk Water,Anglian Water,Basildon,Wickford North,Wickford Crouch
SS11 7BB,Yes,51.619700,0.519516,574517,194215,TQ745942,1/1/1980 12:00:00 AM,,17,91,36,Wickford,0.5,Runwell,Essex & Suffolk Water,Anglian Water,Basildon,Wickford North,Wickford Crouch
