Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
TS1 9TD,No,54.565799,-1.156955,454608,519279,NZ546192,3/1/2005 12:00:00 AM,3/1/2007 12:00:00 AM,19,,,South Bank,2.4,Eston,,,Redcar and Cleveland,Teesville,
TS10 1AA,No,54.619225,-1.069421,460189,525295,NZ601252,6/1/2000 12:00:00 AM,2/1/2015 12:00:00 AM,9,,,Redcar Central,0.3,Redcar,,,Redcar and Cleveland,Coatham,
TS10 1AB,Yes,54.618469,-1.071281,460070,525209,NZ600252,1/1/1980 12:00:00 AM,,9,19,15,Redcar Central,0.3,Redcar,Northumbrian Water,,Redcar and Cleveland,Coatham,
TS10 1AD,Yes,54.618115,-1.071181,460077,525170,NZ600251,2/1/2012 12:00:00 AM,,9,,,Redcar Central,0.2,Redcar,Northumbrian Water,,Redcar and Cleveland,Coatham,
TS10 1AE,Yes,54.618636,-1.070843,460098,525228,NZ600252,1/1/1980 12:00:00 AM,,9,12,5,Redcar Central,0.3,Redcar,Northumbrian Water,,Redcar and Cleveland,Coatham,
TS10 1AF,Yes,54.618663,-1.070750,460104,525231,NZ601252,1/1/1980 12:00:00 AM,,9,,,Redcar Central,0.3,Redcar,Northumbrian Water,,Redcar and Cleveland,Coatham,
TS10 1AG,Yes,54.618926,-1.070310,460132,525261,NZ601252,1/1/1980 12:00:00 AM,,10,10,8,Redcar Central,0.3,Redcar,Northumbrian Water,,Redcar and Cleveland,Coatham,
TS10 1AH,Yes,54.619816,-1.069934,460155,525360,NZ601253,1/1/1980 12:00:00 AM,,9,3,3,Redcar Central,0.4,Redcar,Northumbrian Water,,Redcar and Cleveland,Coatham,
TS10 1AJ,Yes,54.618312,-1.070680,460109,525192,NZ601251,10/1/2019 12:00:00 AM,,8,,,Redcar Central,0.2,Redcar,,,Redcar and Cleveland,Coatham,
TS10 1AL,No,54.619705,-1.069890,460158,525348,NZ601253,1/1/1980 12:00:00 AM,3/1/2015 12:00:00 AM,9,,,Redcar Central,0.4,Redcar,,,Redcar and Cleveland,Coatham,
TS10 1AN,Yes,54.619033,-1.069890,460159,525273,NZ601252,1/1/1980 12:00:00 AM,,9,13,7,Redcar Central,0.3,Redcar,Northumbrian Water,,Redcar and Cleveland,Coatham,
TS10 1AP,Yes,54.619517,-1.069600,460177,525327,NZ601253,1/1/1980 12:00:00 AM,,8,,,Redcar Central,0.4,Redcar,Northumbrian Water,,Redcar and Cleveland,Coatham,
TS10 1AQ,Yes,54.619798,-1.070414,460124,525358,NZ601253,1/1/1980 12:00:00 AM,,10,31,18,Redcar Central,0.4,Redcar,Northumbrian Water,,Redcar and Cleveland,Coatham,
