Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
CR3 2PX,No,51.323719,-0.158666,528400,159900,TQ284599,1/1/1980 12:00:00 AM,12/1/1990 12:00:00 AM,147,,,Woodmansterne,0.6,Sutton (Sutton),,,Reigate and Banstead,"Chipstead, Kingswood & Woodmansterne","Banstead, Woodmansterne and Chipstead"
CR3 2PZ,No,51.323719,-0.158666,528400,159900,TQ284599,1/1/1980 12:00:00 AM,12/1/1990 12:00:00 AM,147,,,Woodmansterne,0.6,Sutton (Sutton),,,Reigate and Banstead,"Chipstead, Kingswood & Woodmansterne","Banstead, Woodmansterne and Chipstead"
CR3 2XT,No,51.322034,-0.165910,527900,159700,TQ278596,1/1/1980 12:00:00 AM,12/1/1990 12:00:00 AM,129,,,Woodmansterne,0.9,Chipstead and Woodmansterne,,,Reigate and Banstead,"Chipstead, Kingswood & Woodmansterne","Banstead, Woodmansterne and Chipstead"
CR3 3BN,No,51.316552,-0.160388,528300,159100,TQ283591,1/1/1980 12:00:00 AM,12/1/1990 12:00:00 AM,93,,,Woodmansterne,0.5,Croydon,,,Reigate and Banstead,"Chipstead, Kingswood & Woodmansterne","Banstead, Woodmansterne and Chipstead"
CR3 3BW,No,51.316552,-0.160388,528300,159100,TQ283591,1/1/1980 12:00:00 AM,12/1/1990 12:00:00 AM,93,,,Woodmansterne,0.5,Croydon,,,Reigate and Banstead,"Chipstead, Kingswood & Woodmansterne","Banstead, Woodmansterne and Chipstead"
CR3 3EB,No,51.295769,-0.154047,528800,156800,TQ288568,1/1/1980 12:00:00 AM,12/1/1990 12:00:00 AM,119,,,Chipstead,1.8,Hooley,,,Reigate and Banstead,"Chipstead, Kingswood & Woodmansterne","Banstead, Woodmansterne and Chipstead"
CR3 3EE,No,51.295769,-0.154047,528800,156800,TQ288568,1/1/1980 12:00:00 AM,12/1/1990 12:00:00 AM,119,,,Chipstead,1.8,Hooley,,,Reigate and Banstead,"Chipstead, Kingswood & Woodmansterne","Banstead, Woodmansterne and Chipstead"
CR3 3EF,No,51.295769,-0.154047,528800,156800,TQ288568,1/1/1980 12:00:00 AM,12/1/1990 12:00:00 AM,119,,,Chipstead,1.8,Hooley,,,Reigate and Banstead,"Chipstead, Kingswood & Woodmansterne","Banstead, Woodmansterne and Chipstead"
CR3 3EG,No,51.295769,-0.154047,528800,156800,TQ288568,1/1/1980 12:00:00 AM,12/1/1990 12:00:00 AM,119,,,Chipstead,1.8,Hooley,,,Reigate and Banstead,"Chipstead, Kingswood & Woodmansterne","Banstead, Woodmansterne and Chipstead"
CR3 3EH,No,51.295769,-0.154047,528800,156800,TQ288568,1/1/1980 12:00:00 AM,12/1/1990 12:00:00 AM,119,,,Chipstead,1.8,Hooley,,,Reigate and Banstead,"Chipstead, Kingswood & Woodmansterne","Banstead, Woodmansterne and Chipstead"
