Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
CF32 7AA,Yes,51.601712,-3.542209,293286,190335,SS932903,1/1/1980 12:00:00 AM,,146,69,26,Ton Pentre,6.4,Ogmore Vale,Dwr Cymru Welsh Water,,Bridgend,Ogmore Vale,
CF32 7AB,Yes,51.602091,-3.541253,293353,190376,SS933903,1/1/1980 12:00:00 AM,,148,3,2,Ton Pentre,6.3,Ogmore Vale,Dwr Cymru Welsh Water,,Bridgend,Ogmore Vale,
CF32 7AD,Yes,51.601169,-3.541771,293315,190274,SS933902,1/1/1980 12:00:00 AM,,145,60,33,Ton Pentre,6.4,Ogmore Vale,Dwr Cymru Welsh Water,,Bridgend,Ogmore Vale,
CF32 7AE,Yes,51.600670,-3.541422,293338,190218,SS933902,7/1/2007 12:00:00 AM,,150,3,1,Ton Pentre,6.5,Ogmore Vale,Dwr Cymru Welsh Water,,Bridgend,Ogmore Vale,
CF32 7AF,Yes,51.598712,-3.541139,293353,190000,SS933899,1/1/1980 12:00:00 AM,,144,73,39,Ton Pentre,6.6,Ogmore Vale,Dwr Cymru Welsh Water,,Bridgend,Ogmore Vale,
CF32 7AG,Yes,51.598639,-3.541339,293339,189992,SS933899,1/1/1980 12:00:00 AM,,140,41,21,Ton Pentre,6.7,Ogmore Vale,Dwr Cymru Welsh Water,,Bridgend,Ogmore Vale,
CF32 7AH,Yes,51.597132,-3.540379,293402,189823,SS934898,1/1/1980 12:00:00 AM,,137,13,11,Tondu,6.7,Ogmore Vale,Dwr Cymru Welsh Water,,Bridgend,Ogmore Vale,
CF32 7AJ,Yes,51.604802,-3.541736,293326,190678,SS933906,1/1/1991 12:00:00 AM,,148,44,36,Ton Pentre,6.1,Ogmore Vale,Dwr Cymru Welsh Water,,Bridgend,Ogmore Vale,
CF32 7AL,Yes,51.596508,-3.540617,293384,189754,SS933897,1/1/1980 12:00:00 AM,,132,59,31,Tondu,6.6,Ogmore Vale,Dwr Cymru Welsh Water,,Bridgend,Ogmore Vale,
CF32 7AN,Yes,51.595749,-3.540260,293407,189669,SS934896,1/1/1980 12:00:00 AM,,131,16,5,Tondu,6.6,Ogmore Vale,Dwr Cymru Welsh Water,,Bridgend,Ogmore Vale,
CF32 7AP,Yes,51.597813,-3.540372,293404,189899,SS934898,1/1/1980 12:00:00 AM,,143,29,10,Ton Pentre,6.7,Ogmore Vale,Dwr Cymru Welsh Water,,Bridgend,Ogmore Vale,
CF32 7AQ,Yes,51.613483,-3.540671,293420,191642,SS934916,7/1/2018 12:00:00 AM,,165,,,Ton Pentre,5.4,Ogmore Vale,,,Bridgend,Ogmore Vale,
CF32 7AR,Yes,51.598593,-3.540717,293382,189986,SS933899,1/1/1980 12:00:00 AM,,148,9,5,Ton Pentre,6.6,Ogmore Vale,Dwr Cymru Welsh Water,,Bridgend,Ogmore Vale,
CF32 7AS,Yes,51.600145,-3.540855,293376,190159,SS933901,1/1/1980 12:00:00 AM,,161,84,37,Ton Pentre,6.5,Ogmore Vale,Dwr Cymru Welsh Water,,Bridgend,Ogmore Vale,
CF32 7AT,No,51.601712,-3.540779,293385,190333,SS933903,1/1/1980 12:00:00 AM,9/1/2000 12:00:00 AM,156,,,Ton Pentre,6.4,Ogmore Vale,,,Bridgend,Ogmore Vale,
CF32 7AU,Yes,51.606888,-3.539625,293477,190907,SS934909,1/1/1980 12:00:00 AM,,194,4,1,Ton Pentre,5.9,Ogmore Vale,Dwr Cymru Welsh Water,,Bridgend,Ogmore Vale,
CF32 7AW,Yes,51.596837,-3.539531,293460,189789,SS934897,1/1/1980 12:00:00 AM,,152,99,39,Tondu,6.7,Ogmore Vale,Dwr Cymru Welsh Water,,Bridgend,Ogmore Vale,
