Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
BB1 4AE,Yes,53.787631,-2.452391,370292,432463,SD702324,1/1/1980 12:00:00 AM,,214,16,5,Ramsgreave and Wilpshire,1.9,,United Utilities,,Ribble Valley,Wilpshire & Ramsgreave,Ribble Valley South West
BB1 4AF,Yes,53.785071,-2.464975,369461,432184,SD694321,1/1/1980 12:00:00 AM,,201,7,2,Ramsgreave and Wilpshire,1.0,,United Utilities,,Ribble Valley,Wilpshire & Ramsgreave,Ribble Valley South West
BB1 4AG,Yes,53.782237,-2.464444,369494,431868,SD694318,1/1/1980 12:00:00 AM,,177,35,14,Ramsgreave and Wilpshire,0.9,Blackburn (Blackburn with Darwen),United Utilities,,Ribble Valley,Wilpshire & Ramsgreave,Ribble Valley South West
BB1 4AX,No,53.783995,-2.460654,369745,432062,SD697320,1/1/1980 12:00:00 AM,12/1/2010 12:00:00 AM,188,,,Ramsgreave and Wilpshire,1.2,,United Utilities,,Ribble Valley,Wilpshire & Ramsgreave,Ribble Valley South West
BB1 8NG,Yes,53.772068,-2.490246,367786,430748,SD677307,12/1/1995 12:00:00 AM,,154,17,7,Ramsgreave and Wilpshire,1.2,Blackburn (Blackburn with Darwen),United Utilities,,Ribble Valley,Wilpshire & Ramsgreave,Ribble Valley South West
BB1 8QU,Yes,53.773426,-2.483313,368244,430896,SD682308,1/1/1980 12:00:00 AM,,153,94,35,Ramsgreave and Wilpshire,0.8,Blackburn (Blackburn with Darwen),United Utilities,,Ribble Valley,Wilpshire & Ramsgreave,Ribble Valley South West
BB1 8QX,No,53.773279,-2.484070,368194,430880,SD681308,7/1/1983 12:00:00 AM,12/1/1998 12:00:00 AM,150,,,Ramsgreave and Wilpshire,0.8,Blackburn (Blackburn with Darwen),,,Ribble Valley,Wilpshire & Ramsgreave,Ribble Valley South West
BB1 8QY,Yes,53.773740,-2.487047,367998,430933,SD679309,1/1/1980 12:00:00 AM,,158,8,3,Ramsgreave and Wilpshire,0.9,Blackburn (Blackburn with Darwen),United Utilities,,Ribble Valley,Wilpshire & Ramsgreave,Ribble Valley South West
BB1 8RP,Yes,53.773386,-2.485663,368089,430893,SD680308,7/1/1995 12:00:00 AM,,151,,,Ramsgreave and Wilpshire,0.9,Blackburn (Blackburn with Darwen),United Utilities,,Ribble Valley,Wilpshire & Ramsgreave,Ribble Valley South West
BB1 9AL,Yes,53.797825,-2.497424,367333,433617,SD673336,8/1/2014 12:00:00 AM,,92,,,Ramsgreave and Wilpshire,2.4,,United Utilities,,Ribble Valley,Clayton-le-Dale & Salesbury,Ribble Valley South West
BB1 9AT,Yes,53.783413,-2.477507,368634,432005,SD686320,2/1/2020 12:00:00 AM,,140,,,Ramsgreave and Wilpshire,0.4,Blackburn (Blackburn with Darwen),,,Ribble Valley,Wilpshire & Ramsgreave,Ribble Valley South West
BB1 9BH,Yes,53.779006,-2.480568,368429,431516,SD684315,1/1/1980 12:00:00 AM,,164,117,50,Ramsgreave and Wilpshire,0.2,Blackburn (Blackburn with Darwen),United Utilities,,Ribble Valley,Wilpshire & Ramsgreave,Ribble Valley South West
BB1 9BJ,Yes,53.780012,-2.480686,368422,431628,SD684316,1/1/1980 12:00:00 AM,,167,44,18,Ramsgreave and Wilpshire,0.2,Blackburn (Blackburn with Darwen),United Utilities,,Ribble Valley,Wilpshire & Ramsgreave,Ribble Valley South West
BB1 9BN,Yes,53.779844,-2.482247,368319,431610,SD683316,1/1/1980 12:00:00 AM,,174,33,16,Ramsgreave and Wilpshire,0.3,Blackburn (Blackburn with Darwen),United Utilities,,Ribble Valley,Wilpshire & Ramsgreave,Ribble Valley South West
BB1 9BT,Yes,53.778302,-2.481273,368382,431438,SD683314,1/1/1980 12:00:00 AM,,162,48,20,Ramsgreave and Wilpshire,0.3,Blackburn (Blackburn with Darwen),United Utilities,,Ribble Valley,Wilpshire & Ramsgreave,Ribble Valley South West
BB1 9BU,Yes,53.777864,-2.480646,368423,431389,SD684313,1/1/1980 12:00:00 AM,,158,71,38,Ramsgreave and Wilpshire,0.3,Blackburn (Blackburn with Darwen),United Utilities,,Ribble Valley,Wilpshire & Ramsgreave,Ribble Valley South West
BB1 9BW,Yes,53.779688,-2.483125,368261,431593,SD682315,1/1/1980 12:00:00 AM,,179,39,17,Ramsgreave and Wilpshire,0.3,Blackburn (Blackburn with Darwen),United Utilities,,Ribble Valley,Wilpshire & Ramsgreave,Ribble Valley South West
BB1 9BX,Yes,53.777744,-2.480221,368451,431375,SD684313,1/1/1980 12:00:00 AM,,157,81,44,Ramsgreave and Wilpshire,0.3,Blackburn (Blackburn with Darwen),United Utilities,,Ribble Valley,Wilpshire & Ramsgreave,Ribble Valley South West
BB1 9BY,Yes,53.777937,-2.481347,368377,431397,SD683313,1/1/1980 12:00:00 AM,,159,25,12,Ramsgreave and Wilpshire,0.3,Blackburn (Blackburn with Darwen),United Utilities,,Ribble Valley,Wilpshire & Ramsgreave,Ribble Valley South West
BB1 9BZ,Yes,53.776207,-2.482359,368309,431205,SD683312,1/1/1980 12:00:00 AM,,154,2,1,Ramsgreave and Wilpshire,0.5,,United Utilities,,Ribble Valley,Wilpshire & Ramsgreave,Ribble Valley South West
BB1 9DH,Yes,53.777249,-2.491323,367719,431325,SD677313,1/1/1980 12:00:00 AM,,192,7,3,Ramsgreave and Wilpshire,0.9,,United Utilities,,Ribble Valley,Wilpshire & Ramsgreave,Ribble Valley South West
BB1 9DJ,Yes,53.775767,-2.501989,367015,431165,SD670311,1/1/1980 12:00:00 AM,,222,65,19,Ramsgreave and Wilpshire,1.6,,United Utilities,,Ribble Valley,Wilpshire & Ramsgreave,Ribble Valley South West
BB1 9DL,Yes,53.780047,-2.512131,366350,431646,SD663316,1/1/1980 12:00:00 AM,,165,56,20,Ramsgreave and Wilpshire,2.2,,United Utilities,,Ribble Valley,Mellor,Ribble Valley South West
BB1 9DN,Yes,53.778828,-2.517655,365985,431513,SD659315,1/1/1980 12:00:00 AM,,187,13,6,Ramsgreave and Wilpshire,2.6,,United Utilities,,Ribble Valley,Mellor,Ribble Valley South West
BB1 9DP,Yes,53.787299,-2.513736,366250,432454,SD662324,1/1/1980 12:00:00 AM,,96,26,8,Ramsgreave and Wilpshire,2.5,,United Utilities,,Ribble Valley,Clayton-le-Dale & Salesbury,Ribble Valley South West
BB1 9DQ,Yes,53.777476,-2.489913,367812,431350,SD678313,1/1/1980 12:00:00 AM,,188,33,14,Ramsgreave and Wilpshire,0.8,,United Utilities,,Ribble Valley,Wilpshire & Ramsgreave,Ribble Valley South West
BB1 9DR,Yes,53.789069,-2.512666,366322,432650,SD663326,1/1/1980 12:00:00 AM,,92,23,9,Ramsgreave and Wilpshire,2.5,,United Utilities,,Ribble Valley,Clayton-le-Dale & Salesbury,Ribble Valley South West
BB1 9DS,Yes,53.783190,-2.497904,367290,431989,SD672319,1/1/1980 12:00:00 AM,,139,15,5,Ramsgreave and Wilpshire,1.4,,United Utilities,,Ribble Valley,Wilpshire & Ramsgreave,Ribble Valley South West
BB1 9DT,No,53.783271,-2.502306,367000,432000,SD669320,9/1/1991 12:00:00 AM,12/1/1994 12:00:00 AM,140,,,Ramsgreave and Wilpshire,1.6,,,,Ribble Valley,Wilpshire & Ramsgreave,Ribble Valley South West
BB1 9DW,Yes,53.784428,-2.513384,366271,432134,SD662321,1/1/1980 12:00:00 AM,,104,26,10,Ramsgreave and Wilpshire,2.4,,United Utilities,,Ribble Valley,Mellor,Ribble Valley South West
BB1 9EE,Yes,53.792819,-2.495149,367479,433059,SD674330,1/1/1980 12:00:00 AM,,131,110,41,Ramsgreave and Wilpshire,1.8,Blackburn (Blackburn with Darwen),United Utilities,,Ribble Valley,Clayton-le-Dale & Salesbury,Ribble Valley South West
BB1 9EF,Yes,53.793798,-2.496464,367393,433169,SD673331,1/1/1980 12:00:00 AM,,127,2,1,Ramsgreave and Wilpshire,2.0,Blackburn (Blackburn with Darwen),United Utilities,,Ribble Valley,Clayton-le-Dale & Salesbury,Ribble Valley South West
BB1 9EG,Yes,53.795533,-2.499538,367192,433363,SD671333,1/1/1980 12:00:00 AM,,106,20,9,Ramsgreave and Wilpshire,2.2,Blackburn (Blackburn with Darwen),United Utilities,,Ribble Valley,Clayton-le-Dale & Salesbury,Ribble Valley South West
BB1 9EH,Yes,53.798144,-2.496259,367410,433652,SD674336,1/1/1980 12:00:00 AM,,94,46,23,Ramsgreave and Wilpshire,2.4,,United Utilities,,Ribble Valley,Clayton-le-Dale & Salesbury,Ribble Valley South West
BB1 9EJ,Yes,53.799875,-2.492833,367637,433843,SD676338,1/1/1980 12:00:00 AM,,99,8,4,Ramsgreave and Wilpshire,2.4,,United Utilities,,Ribble Valley,Clayton-le-Dale & Salesbury,Ribble Valley South West
BB1 9EL,Yes,53.800483,-2.492566,367655,433911,SD676339,1/1/1980 12:00:00 AM,,96,6,2,Ramsgreave and Wilpshire,2.5,,United Utilities,,Ribble Valley,Clayton-le-Dale & Salesbury,Ribble Valley South West
BB1 9EN,Yes,53.802079,-2.492373,367669,434088,SD676340,1/1/1980 12:00:00 AM,,87,2,1,Ramsgreave and Wilpshire,2.6,,United Utilities,,Ribble Valley,Clayton-le-Dale & Salesbury,Ribble Valley South West
BB1 9EP,Yes,53.800515,-2.493568,367589,433915,SD675339,1/1/1980 12:00:00 AM,,96,60,21,Ramsgreave and Wilpshire,2.5,,United Utilities,,Ribble Valley,Clayton-le-Dale & Salesbury,Ribble Valley South West
BB1 9EQ,Yes,53.797870,-2.494250,367542,433621,SD675336,1/1/1980 12:00:00 AM,,92,55,21,Ramsgreave and Wilpshire,2.3,,United Utilities,,Ribble Valley,Clayton-le-Dale & Salesbury,Ribble Valley South West
BB1 9ER,Yes,53.802830,-2.486673,368045,434169,SD680341,1/1/1980 12:00:00 AM,,71,8,3,Langho,2.5,,United Utilities,,Ribble Valley,Clayton-le-Dale & Salesbury,Ribble Valley South West
BB1 9ES,Yes,53.803734,-2.487655,367981,434270,SD679342,1/1/1980 12:00:00 AM,,71,26,7,Langho,2.6,,United Utilities,,Ribble Valley,Clayton-le-Dale & Salesbury,Ribble Valley South West
BB1 9ET,Yes,53.803146,-2.495164,367486,434208,SD674342,1/1/1980 12:00:00 AM,,77,35,17,Ramsgreave and Wilpshire,2.8,,United Utilities,,Ribble Valley,Clayton-le-Dale & Salesbury,Ribble Valley South West
BB1 9EU,Yes,53.800277,-2.495753,367445,433889,SD674338,1/1/1980 12:00:00 AM,,88,45,15,Ramsgreave and Wilpshire,2.6,,United Utilities,,Ribble Valley,Clayton-le-Dale & Salesbury,Ribble Valley South West
BB1 9EW,Yes,53.801369,-2.492274,367675,434009,SD676340,1/1/1980 12:00:00 AM,,91,33,15,Ramsgreave and Wilpshire,2.6,,United Utilities,,Ribble Valley,Clayton-le-Dale & Salesbury,Ribble Valley South West
BB1 9EX,Yes,53.795115,-2.507123,366692,433320,SD666333,1/1/1980 12:00:00 AM,,94,104,35,Ramsgreave and Wilpshire,2.6,,United Utilities,,Ribble Valley,Clayton-le-Dale & Salesbury,Ribble Valley South West
BB1 9EY,Yes,53.804102,-2.513685,366267,434323,SD662343,1/1/1980 12:00:00 AM,,78,71,25,Ramsgreave and Wilpshire,3.6,,United Utilities,,Ribble Valley,Clayton-le-Dale & Salesbury,Ribble Valley South West
BB1 9EZ,No,53.802170,-2.496458,367400,434100,SD674340,4/1/1985 12:00:00 AM,12/1/1990 12:00:00 AM,76,,,Ramsgreave and Wilpshire,2.8,,,,Ribble Valley,Clayton-le-Dale & Salesbury,Ribble Valley South West
BB1 9GH,No,53.802170,-2.496458,367400,434100,SD674340,6/1/1998 12:00:00 AM,6/1/1999 12:00:00 AM,76,,,Ramsgreave and Wilpshire,2.8,,,,Ribble Valley,Clayton-le-Dale & Salesbury,Ribble Valley South West
BB1 9HG,Yes,53.790117,-2.485630,368104,432754,SD681327,6/1/2002 12:00:00 AM,,143,7,4,Ramsgreave and Wilpshire,1.2,Blackburn (Blackburn with Darwen),United Utilities,,Ribble Valley,Clayton-le-Dale & Salesbury,Ribble Valley South West
BB1 9HH,Yes,53.790323,-2.489289,367863,432779,SD678327,1/1/1980 12:00:00 AM,,142,100,49,Ramsgreave and Wilpshire,1.4,Blackburn (Blackburn with Darwen),United Utilities,,Ribble Valley,Clayton-le-Dale & Salesbury,Ribble Valley South West
BB1 9HJ,Yes,53.791357,-2.486933,368019,432893,SD680328,1/1/1980 12:00:00 AM,,142,27,14,Ramsgreave and Wilpshire,1.4,Blackburn (Blackburn with Darwen),United Utilities,,Ribble Valley,Clayton-le-Dale & Salesbury,Ribble Valley South West
BB1 9HL,Yes,53.791327,-2.486403,368054,432889,SD680328,1/1/1980 12:00:00 AM,,142,8,5,Ramsgreave and Wilpshire,1.4,Blackburn (Blackburn with Darwen),United Utilities,,Ribble Valley,Clayton-le-Dale & Salesbury,Ribble Valley South West
BB1 9HN,Yes,53.790978,-2.486050,368077,432850,SD680328,1/1/1980 12:00:00 AM,,142,17,8,Ramsgreave and Wilpshire,1.3,Blackburn (Blackburn with Darwen),United Utilities,,Ribble Valley,Clayton-le-Dale & Salesbury,Ribble Valley South West
