Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
OL11 1AA,No,53.607168,-2.146561,390400,412300,SD903122,1/1/1980 12:00:00 AM,12/1/1995 12:00:00 AM,145,,,Rochdale,0.6,Rochdale,,,Rochdale,Kingsway,
OL11 1AB,Yes,53.606490,-2.148355,390281,412225,SD902122,1/1/1980 12:00:00 AM,,144,,,Rochdale,0.5,Rochdale,United Utilities,,Rochdale,Balderstone & Kirkholt,
OL11 1AD,Yes,53.607039,-2.147616,390330,412286,SD903122,8/1/1992 12:00:00 AM,,144,7,3,Rochdale,0.5,Rochdale,United Utilities,,Rochdale,Balderstone & Kirkholt,
OL11 1AE,Yes,53.606330,-2.148386,390279,412207,SD902122,8/1/2003 12:00:00 AM,,144,,,Rochdale,0.6,Rochdale,United Utilities,,Rochdale,Balderstone & Kirkholt,
OL11 1AF,Yes,53.605316,-2.147128,390362,412094,SD903120,1/1/1980 12:00:00 AM,,146,14,7,Rochdale,0.7,Rochdale,United Utilities,,Rochdale,Balderstone & Kirkholt,
OL11 1AG,Yes,53.604768,-2.147036,390368,412033,SD903120,1/1/1980 12:00:00 AM,,145,31,10,Rochdale,0.7,Rochdale,United Utilities,,Rochdale,Balderstone & Kirkholt,
OL11 1AH,Yes,53.609220,-2.150103,390166,412529,SD901125,3/1/2008 12:00:00 AM,,145,,,Rochdale,0.3,Rochdale,,,Rochdale,Milkstone & Deeplish,
OL11 1AJ,Yes,53.606973,-2.158258,389626,412280,SD896122,8/1/2014 12:00:00 AM,,144,,,Rochdale,0.5,Rochdale,,,Rochdale,Milkstone & Deeplish,
OL11 1AL,Yes,53.604372,-2.147050,390367,411989,SD903119,1/1/1980 12:00:00 AM,,144,2,1,Rochdale,0.8,Rochdale,United Utilities,,Rochdale,Balderstone & Kirkholt,
OL11 1AN,Yes,53.605358,-2.147973,390306,412099,SD903120,1/1/1980 12:00:00 AM,,144,12,2,Rochdale,0.7,Rochdale,United Utilities,,Rochdale,Balderstone & Kirkholt,
OL11 1AP,Yes,53.606033,-2.148718,390257,412174,SD902121,1/1/1980 12:00:00 AM,,144,,,Rochdale,0.6,Rochdale,United Utilities,,Rochdale,Balderstone & Kirkholt,
OL11 1AQ,No,53.616562,-2.159321,389558,413347,SD895133,6/1/2000 12:00:00 AM,4/1/2003 12:00:00 AM,128,,,Rochdale,0.8,Rochdale,,,Rochdale,Central Rochdale,
OL11 1AR,Yes,53.605656,-2.148233,390289,412132,SD902121,1/1/1980 12:00:00 AM,,144,19,9,Rochdale,0.6,Rochdale,United Utilities,,Rochdale,Balderstone & Kirkholt,
OL11 1AS,Yes,53.605574,-2.148731,390256,412123,SD902121,8/1/2010 12:00:00 AM,,144,20,5,Rochdale,0.6,Rochdale,United Utilities,,Rochdale,Balderstone & Kirkholt,
OL11 1AT,Yes,53.606523,-2.158891,389584,412230,SD895122,6/1/2014 12:00:00 AM,,144,,,Rochdale,0.5,Rochdale,,,Rochdale,Milkstone & Deeplish,
OL11 1AU,Yes,53.604981,-2.148654,390261,412057,SD902120,1/1/1980 12:00:00 AM,,143,42,14,Rochdale,0.7,Rochdale,United Utilities,,Rochdale,Balderstone & Kirkholt,
OL11 1AW,Yes,53.606044,-2.147418,390343,412175,SD903121,1/1/1980 12:00:00 AM,,145,54,44,Rochdale,0.6,Rochdale,United Utilities,,Rochdale,Balderstone & Kirkholt,
OL11 1AX,Yes,53.605171,-2.148216,390290,412078,SD902120,1/1/1980 12:00:00 AM,,144,49,23,Rochdale,0.7,Rochdale,United Utilities,,Rochdale,Balderstone & Kirkholt,
OL11 1AY,Yes,53.605502,-2.149426,390210,412115,SD902121,12/1/1994 12:00:00 AM,,143,22,7,Rochdale,0.6,Rochdale,United Utilities,,Rochdale,Balderstone & Kirkholt,
OL11 1AZ,Yes,53.604605,-2.147519,390336,412015,SD903120,6/1/1997 12:00:00 AM,,144,,,Rochdale,0.7,Rochdale,United Utilities,,Rochdale,Balderstone & Kirkholt,
OL11 1BA,Yes,53.604110,-2.148258,390287,411960,SD902119,1/1/1980 12:00:00 AM,,142,29,11,Rochdale,0.8,Rochdale,United Utilities,,Rochdale,Balderstone & Kirkholt,
OL11 1BB,Yes,53.604308,-2.148077,390299,411982,SD902119,1/1/1980 12:00:00 AM,,143,48,20,Rochdale,0.8,Rochdale,United Utilities,,Rochdale,Balderstone & Kirkholt,
OL11 1BD,Yes,53.604324,-2.148075,390299,411984,SD902119,5/1/2024 12:00:00 AM,,143,,,Rochdale,0.8,Rochdale,,,Rochdale,Balderstone & Kirkholt,
OL11 1BE,No,53.604308,-2.148077,390299,411982,SD902119,7/1/2000 12:00:00 AM,9/1/2000 12:00:00 AM,143,,,Rochdale,0.8,Rochdale,,,Rochdale,Balderstone & Kirkholt,
OL11 1BF,No,53.604470,-2.148062,390300,412000,SD903120,1/1/1995 12:00:00 AM,6/1/1996 12:00:00 AM,143,,,Rochdale,0.7,Rochdale,,,Rochdale,Balderstone & Kirkholt,
OL11 1BG,No,53.606269,-2.146557,390400,412200,SD904121,12/1/1996 12:00:00 AM,1/1/2002 12:00:00 AM,146,,,Rochdale,0.6,Rochdale,,,Rochdale,Kingsway,
