Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
ME1 1AA,Yes,51.386104,0.507423,574570,168212,TQ745682,2/1/1990 12:00:00 AM,,8,1,1,Rochester,0.2,Rochester,Southern Water,,Medway,Rochester West & Borstal,
ME1 1AB,No,51.386148,0.507440,574571,168217,TQ745682,12/1/2000 12:00:00 AM,7/1/2002 12:00:00 AM,7,,,Rochester,0.2,Rochester,,,Medway,Rochester West & Borstal,
ME1 1AD,Yes,51.382509,0.504337,574369,167805,TQ743678,7/1/1986 12:00:00 AM,,18,39,13,Rochester,0.5,Rochester,Southern Water,,Medway,Rochester East & Warren Wood,
ME1 1AE,Yes,51.385963,0.506007,574472,168193,TQ744681,4/1/2003 12:00:00 AM,,11,54,32,Rochester,0.3,Rochester,Southern Water,,Medway,Rochester West & Borstal,
ME1 1AF,Yes,51.386218,0.505877,574462,168221,TQ744682,8/1/1992 12:00:00 AM,,11,26,21,Rochester,0.3,Rochester,Southern Water,,Medway,Rochester West & Borstal,
ME1 1AG,Yes,51.382281,0.505345,574440,167782,TQ744677,9/1/1991 12:00:00 AM,,17,33,28,Rochester,0.5,Rochester,Southern Water,,Medway,Rochester East & Warren Wood,
ME1 1AH,No,51.402707,0.482881,572800,170000,TQ727700,1/1/1993 12:00:00 AM,6/1/1996 12:00:00 AM,74,,,Strood (Kent),1.4,Rochester,,,Medway,Strood North & Frindsbury,
ME1 1AJ,No,51.386148,0.507440,574571,168217,TQ745682,1/1/1995 12:00:00 AM,6/1/1997 12:00:00 AM,7,,,Rochester,0.2,Rochester,,,Medway,Rochester West & Borstal,
ME1 1AL,No,51.386148,0.507440,574571,168217,TQ745682,12/1/2000 12:00:00 AM,7/1/2002 12:00:00 AM,7,,,Rochester,0.2,Rochester,,,Medway,Rochester West & Borstal,
ME1 1AN,No,51.386148,0.507440,574571,168217,TQ745682,8/1/1993 12:00:00 AM,2/1/2006 12:00:00 AM,7,,,Rochester,0.2,Rochester,,,Medway,Rochester West & Borstal,
ME1 1AP,No,51.402707,0.482881,572800,170000,TQ727700,8/1/1993 12:00:00 AM,7/1/1995 12:00:00 AM,74,,,Strood (Kent),1.4,Rochester,,,Medway,Strood North & Frindsbury,
ME1 1AQ,No,51.384912,0.503836,574325,168071,TQ743680,12/1/1996 12:00:00 AM,12/1/1997 12:00:00 AM,22,,,Rochester,0.5,Rochester,,,Medway,Rochester West & Borstal,
ME1 1AR,No,51.384912,0.503836,574325,168071,TQ743680,7/1/1995 12:00:00 AM,12/1/1997 12:00:00 AM,22,,,Rochester,0.5,Rochester,,,Medway,Rochester West & Borstal,
ME1 1AS,Yes,51.390804,0.501700,574154,168721,TQ741687,6/1/1998 12:00:00 AM,,10,5,4,Strood (Kent),0.6,Rochester,Southern Water,,Medway,Rochester West & Borstal,
ME1 1AT,No,51.386148,0.507440,574571,168217,TQ745682,12/1/2001 12:00:00 AM,10/1/2003 12:00:00 AM,7,,,Rochester,0.2,Rochester,,,Medway,Rochester West & Borstal,
ME1 1AU,No,51.385001,0.503884,574328,168081,TQ743680,2/1/1990 12:00:00 AM,12/1/1998 12:00:00 AM,22,,,Rochester,0.4,Rochester,,,Medway,Rochester West & Borstal,
