Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
S13 9EL,No,53.382685,-1.370047,442000,387500,SK420875,3/1/1983 12:00:00 AM,5/1/1994 12:00:00 AM,47,,,Woodhouse,2.3,Waverley and Catcliffe,,,Rotherham,Rother Vale,
S13 9NH,No,53.380839,-1.361055,442600,387300,SK425872,1/1/1980 12:00:00 AM,1/1/1995 12:00:00 AM,26,,,Woodhouse,1.9,,,,Rotherham,Rother Vale,
S13 9NJ,No,53.378159,-1.364101,442400,387000,SK424869,1/1/1980 12:00:00 AM,1/1/1995 12:00:00 AM,25,,,Woodhouse,1.7,,,,Rotherham,Rother Vale,
S30 3YA,No,53.446978,-1.439818,437303,394614,SK373946,1/1/1980 12:00:00 AM,6/1/1997 12:00:00 AM,85,,,Chapeltown (South Yorkshire),2.4,,,,Rotherham,Keppel,
S35 9AA,Yes,53.443874,-1.435418,437598,394271,SK375942,2/1/2018 12:00:00 AM,,61,,,Chapeltown (South Yorkshire),2.9,,,,Rotherham,Keppel,
S35 9YA,Yes,53.446679,-1.439355,437334,394581,SK373945,6/1/1997 12:00:00 AM,,82,5,2,Chapeltown (South Yorkshire),2.5,,Yorkshire Water,,Rotherham,Keppel,
S60 1AA,Yes,53.429157,-1.358344,442732,392677,SK427926,1/1/1980 12:00:00 AM,,34,,,Rotherham Central,0.4,Rotherham,Yorkshire Water,,Rotherham,Boston Castle,
S60 1AB,Yes,53.425850,-1.370103,441954,392302,SK419923,1/1/1980 12:00:00 AM,,26,7,3,Rotherham Central,1.0,Rotherham,Yorkshire Water,,Rotherham,Rotherham West,
S60 1AD,No,53.429157,-1.358344,442732,392677,SK427926,5/1/2011 12:00:00 AM,4/1/2017 12:00:00 AM,34,,,Rotherham Central,0.4,Rotherham,,,Rotherham,Boston Castle,
S60 1AE,Yes,53.429064,-1.360875,442564,392665,SK425926,12/1/2011 12:00:00 AM,,28,,,Rotherham Central,0.4,Rotherham,Yorkshire Water,,Rotherham,Boston Castle,
S60 1AF,Yes,53.426602,-1.366268,442208,392388,SK422923,1/1/1980 12:00:00 AM,,28,,,Rotherham Central,0.7,Rotherham,Yorkshire Water,,Rotherham,Rotherham West,
S60 1AG,No,53.431260,-1.363219,442406,392908,SK424929,3/1/1988 12:00:00 AM,7/1/2000 12:00:00 AM,28,,,Rotherham Central,0.2,Rotherham,Yorkshire Water,,Rotherham,Boston Castle,
S60 1AH,No,53.429157,-1.358344,442732,392677,SK427926,1/1/1980 12:00:00 AM,9/1/2001 12:00:00 AM,34,,,Rotherham Central,0.4,Rotherham,,,Rotherham,Boston Castle,
S60 1AJ,Yes,53.429607,-1.358203,442741,392727,SK427927,1/1/1980 12:00:00 AM,,34,,,Rotherham Central,0.3,Rotherham,Yorkshire Water,,Rotherham,Boston Castle,
S60 1AL,No,53.429375,-1.360327,442600,392700,SK426927,2/1/1990 12:00:00 AM,12/1/1992 12:00:00 AM,29,,,Rotherham Central,0.3,Rotherham,,,Rotherham,Boston Castle,
S60 1AN,Yes,53.429818,-1.357432,442792,392751,SK427927,4/1/1985 12:00:00 AM,,37,,,Rotherham Central,0.3,Rotherham,Yorkshire Water,,Rotherham,Boston Castle,
S60 1AP,Yes,53.429178,-1.357156,442811,392680,SK428926,1/1/1980 12:00:00 AM,,40,,,Rotherham Central,0.4,Rotherham,Yorkshire Water,,Rotherham,Boston Castle,
S60 1AQ,No,53.426704,-1.361812,442504,392402,SK425924,1/1/1980 12:00:00 AM,2/1/2009 12:00:00 AM,27,,,Rotherham Central,0.6,Rotherham,Yorkshire Water,,Rotherham,Boston Castle,
S60 1AR,Yes,53.428872,-1.357084,442816,392646,SK428926,10/1/1987 12:00:00 AM,,41,,,Rotherham Central,0.4,Rotherham,Yorkshire Water,,Rotherham,Boston Castle,
S60 1AS,Yes,53.428594,-1.357314,442801,392615,SK428926,1/1/1980 12:00:00 AM,,39,1,1,Rotherham Central,0.5,Rotherham,Yorkshire Water,,Rotherham,Boston Castle,
S60 1AT,No,53.426670,-1.358863,442700,392400,SK426923,7/1/1983 12:00:00 AM,12/1/1996 12:00:00 AM,31,,,Rotherham Central,0.6,Rotherham,,,Rotherham,Boston Castle,
S60 1AU,No,53.426670,-1.358863,442700,392400,SK426923,2/1/1990 12:00:00 AM,12/1/1991 12:00:00 AM,31,,,Rotherham Central,0.6,Rotherham,,,Rotherham,Boston Castle,
S60 1AW,No,53.429402,-1.357106,442814,392705,SK428927,1/1/1980 12:00:00 AM,4/1/2001 12:00:00 AM,41,,,Rotherham Central,0.4,Rotherham,,,Rotherham,Boston Castle,
S60 1AX,Yes,53.428155,-1.357457,442792,392566,SK427925,1/1/1980 12:00:00 AM,,35,1,1,Rotherham Central,0.5,Rotherham,Yorkshire Water,,Rotherham,Boston Castle,
S60 1AY,No,53.427569,-1.358849,442700,392500,SK427925,7/1/1990 12:00:00 AM,12/1/1991 12:00:00 AM,31,,,Rotherham Central,0.5,Rotherham,,,Rotherham,Boston Castle,
