Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
HA2 6EJ,Yes,51.587969,-0.364101,513430,188947,TQ134889,1/1/1980 12:00:00 AM,,52,94,34,North Harrow,0.4,Harrow,Affinity Water,Thames Water,Harrow,Pinner,
HA2 6EL,Yes,51.588482,-0.364140,513426,189004,TQ134890,1/1/1980 12:00:00 AM,,53,71,25,North Harrow,0.4,Harrow,Affinity Water,Thames Water,Harrow,Pinner,
HA2 6EN,Yes,51.589281,-0.368377,513131,189086,TQ131890,1/1/1980 12:00:00 AM,,55,113,37,North Harrow,0.7,Harrow,Affinity Water,Thames Water,Harrow,Pinner,
HA2 6EP,Yes,51.589697,-0.364666,513387,189138,TQ133891,1/1/1980 12:00:00 AM,,54,91,29,North Harrow,0.6,Harrow,Affinity Water,Thames Water,Harrow,Pinner,
HA2 6ER,No,51.587553,-0.364549,513400,188900,TQ133889,1/1/1980 12:00:00 AM,12/1/1995 12:00:00 AM,52,,,North Harrow,0.4,Harrow,,,Harrow,Pinner,
HA2 6EW,Yes,51.589512,-0.367712,513176,189113,TQ131891,1/1/1980 12:00:00 AM,,56,101,33,North Harrow,0.6,Harrow,Affinity Water,Thames Water,Harrow,Pinner,
HA2 6EZ,Yes,51.589908,-0.366456,513262,189159,TQ132891,2/1/1990 12:00:00 AM,,56,88,44,North Harrow,0.6,Harrow,Affinity Water,Thames Water,Harrow,Pinner,
HA2 6HQ,No,51.591148,-0.364420,513400,189300,TQ133893,1/1/1980 12:00:00 AM,12/1/1985 12:00:00 AM,57,,,North Harrow,0.7,Harrow,,,Harrow,Pinner,
HA2 6PA,No,51.604549,-0.358162,513800,190800,TQ137908,10/1/1984 12:00:00 AM,5/1/1994 12:00:00 AM,62,,,Headstone Lane,0.2,Harrow,,,Harrow,Hatch End,
HA2 7DW,No,51.576641,-0.370078,513044,187678,TQ130876,7/1/1995 12:00:00 AM,12/1/2008 12:00:00 AM,50,,,Rayners Lane,0.2,Harrow,,,Harrow,Pinner South,
HA2 7ES,Yes,51.576311,-0.370249,513033,187641,TQ130876,6/1/1997 12:00:00 AM,,51,17,10,Rayners Lane,0.1,Harrow,Affinity Water,Thames Water,Harrow,Pinner South,
HA2 7HA,Yes,51.576622,-0.369992,513050,187676,TQ130876,6/1/2015 12:00:00 AM,,50,,,Rayners Lane,0.2,Harrow,Affinity Water,Thames Water,Harrow,Pinner South,
HA2 7HG,Yes,51.576897,-0.369679,513071,187707,TQ130877,9/1/2014 12:00:00 AM,,49,,,Rayners Lane,0.2,Harrow,Affinity Water,Thames Water,Harrow,Pinner South,
HA2 7HH,Yes,51.576622,-0.369992,513050,187676,TQ130876,1/1/1980 12:00:00 AM,,50,,,Rayners Lane,0.2,Harrow,Affinity Water,Thames Water,Harrow,Pinner South,
HA2 7HJ,Yes,51.576249,-0.370157,513040,187634,TQ130876,1/1/1980 12:00:00 AM,,52,11,4,Rayners Lane,0.1,Harrow,Affinity Water,Thames Water,Harrow,Pinner South,
HA2 7HL,No,51.576311,-0.370234,513034,187641,TQ130876,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,51,,,Rayners Lane,0.1,Harrow,,,Harrow,Pinner South,
HA2 7HN,No,51.575949,-0.370738,513000,187600,TQ129875,1/1/1980 12:00:00 AM,12/1/1986 12:00:00 AM,51,,,Rayners Lane,0.1,Harrow,,,Harrow,Pinner South,
HA2 7HU,Yes,51.578068,-0.369190,513102,187838,TQ131878,1/1/1980 12:00:00 AM,,48,86,35,Rayners Lane,0.3,Harrow,Affinity Water,Thames Water,Harrow,Pinner South,
HA2 7LU,Yes,51.577573,-0.370297,513027,187781,TQ130877,1/1/1980 12:00:00 AM,,47,32,13,Rayners Lane,0.2,Harrow,Affinity Water,Thames Water,Harrow,Pinner South,
HA2 7LX,Yes,51.577239,-0.370208,513034,187744,TQ130877,1/1/1980 12:00:00 AM,,48,31,10,Rayners Lane,0.2,Harrow,Affinity Water,Thames Water,Harrow,Pinner South,
HA2 7LY,No,51.576848,-0.370706,513000,187700,TQ129877,1/1/1980 12:00:00 AM,12/1/1986 12:00:00 AM,49,,,Rayners Lane,0.2,Harrow,,,Harrow,Pinner South,
HA2 7QL,Yes,51.586969,-0.373029,512814,188822,TQ128888,1/1/1980 12:00:00 AM,,59,121,37,North Harrow,0.8,Harrow,Affinity Water,Thames Water,Harrow,Pinner South,
HA2 7QN,Yes,51.586651,-0.373430,512787,188786,TQ127887,1/1/1980 12:00:00 AM,,58,81,30,North Harrow,0.8,Harrow,Affinity Water,Thames Water,Harrow,Pinner South,
HA2 7QX,No,51.586794,-0.374680,512700,188800,TQ127887,6/1/1998 12:00:00 AM,9/1/2000 12:00:00 AM,60,,,Pinner,0.8,Harrow,,,Harrow,Pinner South,
HA2 7RB,Yes,51.587937,-0.370814,512965,188933,TQ129889,1/1/1980 12:00:00 AM,,56,127,43,North Harrow,0.7,Harrow,Affinity Water,Thames Water,Harrow,Pinner South,
HA2 7RE,Yes,51.585982,-0.367319,513212,188721,TQ132887,1/1/1980 12:00:00 AM,,52,71,23,North Harrow,0.4,Harrow,Affinity Water,Thames Water,Harrow,Pinner South,
HA2 7RG,Yes,51.587713,-0.371320,512931,188907,TQ129889,1/1/1980 12:00:00 AM,,57,125,41,North Harrow,0.7,Harrow,Affinity Water,Thames Water,Harrow,Pinner South,
HA2 7RH,Yes,51.585384,-0.372147,512879,188647,TQ128886,1/1/1980 12:00:00 AM,,50,82,24,North Harrow,0.7,Harrow,Affinity Water,Thames Water,Harrow,Pinner South,
HA2 7RJ,Yes,51.585700,-0.373550,512781,188680,TQ127886,1/1/1980 12:00:00 AM,,53,33,17,North Harrow,0.8,Harrow,Affinity Water,Thames Water,Harrow,Pinner South,
HA2 7RL,Yes,51.585770,-0.371967,512891,188690,TQ128886,1/1/1980 12:00:00 AM,,51,25,11,North Harrow,0.7,Harrow,Affinity Water,Thames Water,Harrow,Pinner South,
HA2 7RN,Yes,51.586212,-0.370299,513005,188742,TQ130887,1/1/1980 12:00:00 AM,,51,33,10,North Harrow,0.6,Harrow,Affinity Water,Thames Water,Harrow,Pinner South,
HA2 7RP,Yes,51.587277,-0.372498,512850,188857,TQ128888,1/1/1980 12:00:00 AM,,59,109,39,North Harrow,0.7,Harrow,Affinity Water,Thames Water,Harrow,Pinner South,
HA2 7RQ,Yes,51.586068,-0.369459,513064,188727,TQ130887,1/1/1980 12:00:00 AM,,51,45,16,North Harrow,0.5,Harrow,Affinity Water,Thames Water,Harrow,Pinner South,
HA2 7RW,Yes,51.587336,-0.371601,512912,188865,TQ129888,1/1/1980 12:00:00 AM,,57,130,43,North Harrow,0.7,Harrow,Affinity Water,Thames Water,Harrow,Pinner South,
HA2 7RY,No,51.587693,-0.374648,512700,188900,TQ127888,9/1/1998 12:00:00 AM,9/1/2000 12:00:00 AM,59,,,Pinner,0.7,Harrow,,,Harrow,Pinner South,
HA2 7TX,No,51.590289,-0.367338,513200,189200,TQ131891,7/1/1986 12:00:00 AM,12/1/1988 12:00:00 AM,57,,,North Harrow,0.7,Harrow,,,Harrow,Pinner,
HA3 6FB,Yes,51.605264,-0.358894,513748,190878,TQ137908,10/1/2016 12:00:00 AM,,62,,,Headstone Lane,0.3,Harrow,Affinity Water,Thames Water,Harrow,Hatch End,
HA3 6LJ,Yes,51.605796,-0.354088,514079,190945,TQ140909,1/1/1980 12:00:00 AM,,68,146,55,Headstone Lane,0.4,Harrow,Affinity Water,Thames Water,Harrow,Hatch End,
HA3 6NE,No,51.604529,-0.356719,513900,190800,TQ138908,1/1/1980 12:00:00 AM,12/1/1985 12:00:00 AM,64,,,Headstone Lane,0.2,Harrow,,,Harrow,Hatch End,
HA3 6NL,No,51.603650,-0.358194,513800,190700,TQ138906,1/1/1980 12:00:00 AM,12/1/1981 12:00:00 AM,62,,,Headstone Lane,0.1,Harrow,,,Harrow,Hatch End,
HA3 6NN,No,51.603650,-0.358194,513800,190700,TQ138906,2/1/1990 12:00:00 AM,12/1/1991 12:00:00 AM,62,,,Headstone Lane,0.1,Harrow,,,Harrow,Hatch End,
HA3 6NP,Yes,51.604281,-0.357002,513881,190772,TQ138907,1/1/1980 12:00:00 AM,,64,24,9,Headstone Lane,0.2,Harrow,Affinity Water,Thames Water,Harrow,Hatch End,
HA3 6NR,Yes,51.606605,-0.357040,513873,191030,TQ138910,1/1/1980 12:00:00 AM,,65,,,Headstone Lane,0.4,Harrow,Affinity Water,Thames Water,Harrow,Hatch End,
HA3 6NS,Yes,51.604930,-0.358394,513783,190842,TQ137908,1/1/1980 12:00:00 AM,,62,29,8,Headstone Lane,0.3,Harrow,Affinity Water,Thames Water,Harrow,Hatch End,
HA3 6NT,Yes,51.605103,-0.359211,513726,190860,TQ137908,1/1/1980 12:00:00 AM,,61,58,22,Headstone Lane,0.3,Harrow,Affinity Water,Thames Water,Harrow,Hatch End,
HA3 6NU,No,51.604957,-0.359736,513690,190843,TQ136908,1/1/1980 12:00:00 AM,2/1/2017 12:00:00 AM,61,,,Headstone Lane,0.3,Harrow,Affinity Water,Thames Water,Harrow,Hatch End,
HA3 6NW,Yes,51.604324,-0.357946,513816,190775,TQ138907,1/1/1980 12:00:00 AM,,63,,,Headstone Lane,0.2,Harrow,Affinity Water,Thames Water,Harrow,Hatch End,
HA3 6NX,Yes,51.604943,-0.359982,513673,190841,TQ136908,1/1/1980 12:00:00 AM,,61,17,8,Headstone Lane,0.3,Harrow,Affinity Water,Thames Water,Harrow,Hatch End,
