Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
G44 4LE,Yes,55.820538,-4.233518,260163,660845,NS601608,1/1/1980 12:00:00 AM,,31,69,32,Croftfoot,0.4,Rutherglen,Scottish Water,,South Lanarkshire,Rutherglen Central and North,
G44 4NA,Yes,55.822758,-4.234266,260124,661093,NS601610,1/1/1980 12:00:00 AM,,31,54,24,Croftfoot,0.6,Rutherglen,Scottish Water,,South Lanarkshire,Rutherglen Central and North,
G44 4NF,Yes,55.823278,-4.233306,260186,661149,NS601611,1/1/1980 12:00:00 AM,,29,49,20,Croftfoot,0.6,Rutherglen,Scottish Water,,South Lanarkshire,Rutherglen Central and North,
G71 5QF,No,55.819593,-4.083326,269568,660446,NS695604,12/1/1996 12:00:00 AM,2/1/2006 12:00:00 AM,47,,,Uddingston,0.5,Uddingston,Scottish Water,,South Lanarkshire,Bothwell and Uddingston,
G71 5UZ,No,55.819593,-4.083326,269568,660446,NS695604,12/1/2001 12:00:00 AM,6/1/2008 12:00:00 AM,47,,,Uddingston,0.5,Uddingston,Scottish Water,,South Lanarkshire,Bothwell and Uddingston,
G71 5WX,No,55.819610,-4.083391,269564,660448,NS695604,6/1/2002 12:00:00 AM,7/1/2018 12:00:00 AM,47,,,Uddingston,0.5,Uddingston,Scottish Water,,South Lanarkshire,Bothwell and Uddingston,
G71 5XA,No,55.819593,-4.083326,269568,660446,NS695604,6/1/2000 12:00:00 AM,5/1/2009 12:00:00 AM,47,,,Uddingston,0.5,Uddingston,Scottish Water,,South Lanarkshire,Bothwell and Uddingston,
G71 5XB,No,55.819593,-4.083326,269568,660446,NS695604,6/1/2000 12:00:00 AM,5/1/2007 12:00:00 AM,47,,,Uddingston,0.5,Uddingston,Scottish Water,,South Lanarkshire,Bothwell and Uddingston,
G71 5XD,No,55.819593,-4.083326,269568,660446,NS695604,12/1/2000 12:00:00 AM,6/1/2008 12:00:00 AM,47,,,Uddingston,0.5,Uddingston,Scottish Water,,South Lanarkshire,Bothwell and Uddingston,
G71 5YA,No,55.819593,-4.083326,269568,660446,NS695604,12/1/1996 12:00:00 AM,2/1/2003 12:00:00 AM,47,,,Uddingston,0.5,Uddingston,Scottish Water,,South Lanarkshire,Bothwell and Uddingston,
G71 5YB,No,55.819593,-4.083326,269568,660446,NS695604,6/1/2008 12:00:00 AM,2/1/2009 12:00:00 AM,47,,,Uddingston,0.5,Uddingston,Scottish Water,,South Lanarkshire,Bothwell and Uddingston,
G71 5YD,No,55.819593,-4.083326,269568,660446,NS695604,12/1/1998 12:00:00 AM,12/1/1999 12:00:00 AM,47,,,Uddingston,0.5,Uddingston,Scottish Water,,South Lanarkshire,Bothwell and Uddingston,
G71 5YE,No,55.819593,-4.083326,269568,660446,NS695604,5/1/2002 12:00:00 AM,10/1/2005 12:00:00 AM,47,,,Uddingston,0.5,Uddingston,Scottish Water,,South Lanarkshire,Bothwell and Uddingston,
G71 5YF,No,55.819593,-4.083326,269568,660446,NS695604,5/1/2002 12:00:00 AM,8/1/2005 12:00:00 AM,47,,,Uddingston,0.5,Uddingston,Scottish Water,,South Lanarkshire,Bothwell and Uddingston,
G71 5YG,No,55.819610,-4.083391,269564,660448,NS695604,5/1/2004 12:00:00 AM,5/1/2019 12:00:00 AM,47,,,Uddingston,0.5,Uddingston,Scottish Water,,South Lanarkshire,Bothwell and Uddingston,
G71 6ET,Yes,55.820197,-4.065947,270659,660481,NS706604,1/1/1980 12:00:00 AM,,39,0,0,Uddingston,1.3,Uddingston,Scottish Water,,South Lanarkshire,Bothwell and Uddingston,
