Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
M17 1AA,No,53.471198,-2.283182,381300,397200,SJ812972,1/1/1980 12:00:00 AM,12/1/1996 12:00:00 AM,27,,,Salford Crescent,1.8,Salford,,,Salford,Quays,
M17 1AJ,No,53.481200,-2.280431,381487,398312,SJ814983,6/1/1997 12:00:00 AM,6/1/2003 12:00:00 AM,41,,,Salford Crescent,0.7,Salford,,,Salford,Pendleton & Charlestown,
M17 1BF,No,53.481200,-2.280431,381487,398312,SJ814983,1/1/1995 12:00:00 AM,2/1/2019 12:00:00 AM,41,,,Salford Crescent,0.7,Salford,,,Salford,Pendleton & Charlestown,
M17 1BP,No,53.481200,-2.280431,381487,398312,SJ814983,7/1/1995 12:00:00 AM,6/1/2009 12:00:00 AM,41,,,Salford Crescent,0.7,Salford,United Utilities,,Salford,Pendleton & Charlestown,
M17 1BZ,No,53.481200,-2.280431,381487,398312,SJ814983,1/1/1992 12:00:00 AM,9/1/2001 12:00:00 AM,41,,,Salford Crescent,0.7,Salford,,,Salford,Pendleton & Charlestown,
M17 1EP,No,53.481200,-2.280431,381487,398312,SJ814983,12/1/1999 12:00:00 AM,12/1/2018 12:00:00 AM,41,,,Salford Crescent,0.7,Salford,United Utilities,,Salford,Pendleton & Charlestown,
M17 1ER,No,53.471198,-2.283182,381300,397200,SJ812972,1/1/1980 12:00:00 AM,12/1/1996 12:00:00 AM,27,,,Salford Crescent,1.8,Salford,United Utilities,,Salford,Quays,
M17 1FW,No,53.481200,-2.280431,381487,398312,SJ814983,1/1/1995 12:00:00 AM,9/1/2001 12:00:00 AM,41,,,Salford Crescent,0.7,Salford,,,Salford,Pendleton & Charlestown,
M17 1FY,No,53.481200,-2.280431,381487,398312,SJ814983,6/1/1999 12:00:00 AM,3/1/2006 12:00:00 AM,41,,,Salford Crescent,0.7,Salford,,,Salford,Pendleton & Charlestown,
M17 1GD,No,53.481200,-2.280431,381487,398312,SJ814983,6/1/2000 12:00:00 AM,6/1/2003 12:00:00 AM,41,,,Salford Crescent,0.7,Salford,,,Salford,Pendleton & Charlestown,
M17 1GE,No,53.481200,-2.280431,381487,398312,SJ814983,1/1/2008 12:00:00 AM,10/1/2010 12:00:00 AM,41,,,Salford Crescent,0.7,Salford,,,Salford,Pendleton & Charlestown,
M17 1GH,No,53.481200,-2.280431,381487,398312,SJ814983,10/1/2009 12:00:00 AM,1/1/2010 12:00:00 AM,41,,,Salford Crescent,0.7,Salford,,,Salford,Pendleton & Charlestown,
M17 1GZ,No,53.481200,-2.280431,381487,398312,SJ814983,4/1/1987 12:00:00 AM,1/1/2008 12:00:00 AM,41,,,Salford Crescent,0.7,Salford,,,Salford,Pendleton & Charlestown,
M17 1JG,Yes,53.481200,-2.280431,381487,398312,SJ814983,12/1/2000 12:00:00 AM,,41,,,Salford Crescent,0.7,Salford,,,Salford,Pendleton & Charlestown,
M17 1JJ,No,53.481200,-2.280431,381487,398312,SJ814983,12/1/1997 12:00:00 AM,6/1/2008 12:00:00 AM,41,,,Salford Crescent,0.7,Salford,,,Salford,Pendleton & Charlestown,
M17 1JN,No,53.481200,-2.280431,381487,398312,SJ814983,6/1/1996 12:00:00 AM,4/1/2002 12:00:00 AM,41,,,Salford Crescent,0.7,Salford,,,Salford,Pendleton & Charlestown,
M17 1JQ,No,53.481200,-2.280431,381487,398312,SJ814983,12/1/1997 12:00:00 AM,12/1/2001 12:00:00 AM,41,,,Salford Crescent,0.7,Salford,,,Salford,Pendleton & Charlestown,
M17 1JR,No,53.481200,-2.280431,381487,398312,SJ814983,12/1/2000 12:00:00 AM,3/1/2006 12:00:00 AM,41,,,Salford Crescent,0.7,Salford,,,Salford,Pendleton & Charlestown,
M17 1NL,No,53.481200,-2.280431,381487,398312,SJ814983,12/1/1995 12:00:00 AM,2/1/2019 12:00:00 AM,41,,,Salford Crescent,0.7,Salford,,,Salford,Pendleton & Charlestown,
M17 1NT,No,53.481200,-2.280431,381487,398312,SJ814983,1/1/1992 12:00:00 AM,3/1/2006 12:00:00 AM,41,,,Salford Crescent,0.7,Salford,,,Salford,Pendleton & Charlestown,
M17 1PT,No,53.481200,-2.280431,381487,398312,SJ814983,6/1/2001 12:00:00 AM,5/1/2003 12:00:00 AM,41,,,Salford Crescent,0.7,Salford,,,Salford,Pendleton & Charlestown,
M17 1PW,No,53.481200,-2.280431,381487,398312,SJ814983,6/1/1998 12:00:00 AM,9/1/2007 12:00:00 AM,41,,,Salford Crescent,0.7,Salford,,,Salford,Pendleton & Charlestown,
M17 1RB,No,53.481200,-2.280431,381487,398312,SJ814983,7/1/1990 12:00:00 AM,9/1/2001 12:00:00 AM,41,,,Salford Crescent,0.7,Salford,,,Salford,Pendleton & Charlestown,
M17 1RU,No,53.481200,-2.280431,381487,398312,SJ814983,1/1/1980 12:00:00 AM,6/1/2008 12:00:00 AM,41,,,Salford Crescent,0.7,Salford,United Utilities,,Salford,Pendleton & Charlestown,
M17 1RX,No,53.476074,-2.310214,379508,397750,SJ795977,6/1/2007 12:00:00 AM,7/1/2007 12:00:00 AM,22,,,Eccles (Manchester),1.9,,,,Salford,Weaste & Seedley,
M17 1RZ,No,53.481200,-2.280431,381487,398312,SJ814983,4/1/1987 12:00:00 AM,9/1/2001 12:00:00 AM,41,,,Salford Crescent,0.7,Salford,,,Salford,Pendleton & Charlestown,
M17 1SL,Yes,53.481200,-2.280431,381487,398312,SJ814983,4/1/1986 12:00:00 AM,,41,,,Salford Crescent,0.7,Salford,,,Salford,Pendleton & Charlestown,
M17 1WG,No,53.481200,-2.280431,381487,398312,SJ814983,11/1/2007 12:00:00 AM,12/1/2009 12:00:00 AM,41,,,Salford Crescent,0.7,Salford,,,Salford,Pendleton & Charlestown,
M17 1WJ,No,53.481200,-2.280431,381487,398312,SJ814983,10/1/2007 12:00:00 AM,12/1/2010 12:00:00 AM,41,,,Salford Crescent,0.7,Salford,,,Salford,Pendleton & Charlestown,
M17 1WP,No,53.481200,-2.280431,381487,398312,SJ814983,9/1/2006 12:00:00 AM,9/1/2007 12:00:00 AM,41,,,Salford Crescent,0.7,Salford,,,Salford,Pendleton & Charlestown,
M17 1WQ,Yes,53.481200,-2.280431,381487,398312,SJ814983,10/1/2007 12:00:00 AM,,41,,,Salford Crescent,0.7,Salford,,,Salford,Pendleton & Charlestown,
M17 1WU,No,53.481200,-2.280431,381487,398312,SJ814983,4/1/2005 12:00:00 AM,6/1/2008 12:00:00 AM,41,,,Salford Crescent,0.7,Salford,,,Salford,Pendleton & Charlestown,
M17 1WW,No,53.481200,-2.280431,381487,398312,SJ814983,8/1/2005 12:00:00 AM,9/1/2009 12:00:00 AM,41,,,Salford Crescent,0.7,Salford,,,Salford,Pendleton & Charlestown,
M17 1WX,No,53.481200,-2.280431,381487,398312,SJ814983,3/1/2003 12:00:00 AM,6/1/2008 12:00:00 AM,41,,,Salford Crescent,0.7,Salford,,,Salford,Pendleton & Charlestown,
M17 1WY,No,53.481200,-2.280431,381487,398312,SJ814983,12/1/2007 12:00:00 AM,1/1/2008 12:00:00 AM,41,,,Salford Crescent,0.7,Salford,,,Salford,Pendleton & Charlestown,
M17 1WZ,No,53.481200,-2.280431,381487,398312,SJ814983,7/1/2002 12:00:00 AM,1/1/2006 12:00:00 AM,41,,,Salford Crescent,0.7,Salford,,,Salford,Pendleton & Charlestown,
M17 1XA,No,53.481200,-2.280431,381487,398312,SJ814983,6/1/2001 12:00:00 AM,2/1/2006 12:00:00 AM,41,,,Salford Crescent,0.7,Salford,,,Salford,Pendleton & Charlestown,
M17 1XB,No,53.481200,-2.280431,381487,398312,SJ814983,6/1/2002 12:00:00 AM,5/1/2004 12:00:00 AM,41,,,Salford Crescent,0.7,Salford,,,Salford,Pendleton & Charlestown,
M17 1XW,No,53.481200,-2.280431,381487,398312,SJ814983,1/1/2008 12:00:00 AM,2/1/2009 12:00:00 AM,41,,,Salford Crescent,0.7,Salford,,,Salford,Pendleton & Charlestown,
M17 1XX,No,53.481200,-2.280431,381487,398312,SJ814983,12/1/1998 12:00:00 AM,10/1/2002 12:00:00 AM,41,,,Salford Crescent,0.7,Salford,,,Salford,Pendleton & Charlestown,
M17 1ZX,No,53.481200,-2.280431,381487,398312,SJ814983,8/1/2004 12:00:00 AM,8/1/2007 12:00:00 AM,41,,,Salford Crescent,0.7,Salford,,,Salford,Pendleton & Charlestown,
M17 1ZY,No,53.481200,-2.280431,381487,398312,SJ814983,10/1/2003 12:00:00 AM,2/1/2006 12:00:00 AM,41,,,Salford Crescent,0.7,Salford,,,Salford,Pendleton & Charlestown,
