Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
L10 3LN,Yes,53.491564,-2.950437,337039,399849,SJ370998,2/1/1990 12:00:00 AM,,8,,,Old Roan,0.5,Bootle (Sefton),United Utilities,,Sefton,Park,
L10 3LP,No,53.491119,-2.951015,337000,399800,SJ370998,6/1/1998 12:00:00 AM,6/1/1999 12:00:00 AM,8,,,Old Roan,0.5,Bootle (Sefton),,,Sefton,Park,
L10 3LR,No,53.491119,-2.951015,337000,399800,SJ370998,6/1/1998 12:00:00 AM,12/1/1999 12:00:00 AM,8,,,Old Roan,0.5,Bootle (Sefton),,,Sefton,Park,
L10 3LS,No,53.491119,-2.951015,337000,399800,SJ370998,12/1/1998 12:00:00 AM,6/1/1999 12:00:00 AM,8,,,Old Roan,0.5,Bootle (Sefton),,,Sefton,Park,
L21 9PN,No,53.495130,-3.009894,333100,400300,SD330003,9/1/1991 12:00:00 AM,1/1/1995 12:00:00 AM,18,,,Blundellsands and Crosby,2.1,Crosby (Sefton),,,Sefton,Manor,
L21 9PS,No,53.495130,-3.009894,333100,400300,SD330003,12/1/1998 12:00:00 AM,12/1/1999 12:00:00 AM,18,,,Blundellsands and Crosby,2.1,Crosby (Sefton),,,Sefton,Manor,
L21 9PW,No,53.495130,-3.009894,333100,400300,SD330003,12/1/1994 12:00:00 AM,12/1/1996 12:00:00 AM,18,,,Blundellsands and Crosby,2.1,Crosby (Sefton),,,Sefton,Manor,
L22 2AD,Yes,53.481901,-3.036855,331290,398854,SJ312988,1/1/1980 12:00:00 AM,,13,62,31,Blundellsands and Crosby,0.7,Crosby (Sefton),United Utilities,,Sefton,Blundellsands,
L22 2AH,Yes,53.482271,-3.037768,331230,398896,SJ312988,1/1/1980 12:00:00 AM,,12,19,9,Blundellsands and Crosby,0.6,Crosby (Sefton),United Utilities,,Sefton,Blundellsands,
L22 2AJ,Yes,53.483243,-3.037641,331240,399004,SJ312990,1/1/1980 12:00:00 AM,,12,114,43,Blundellsands and Crosby,0.5,Crosby (Sefton),United Utilities,,Sefton,Blundellsands,
