Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
BR6 7NZ,Yes,51.326055,0.104167,546705,160652,TQ467606,1/1/1980 12:00:00 AM,,165,4,1,Knockholt,2.9,,Thames Water,,Sevenoaks,"Halstead, Knockholt and Badgers Mount",Sevenoaks West
BR6 7PJ,Yes,51.354499,0.145325,549480,163898,TQ494638,1/1/1980 12:00:00 AM,,151,15,6,Knockholt,1.4,Well Hill,Thames Water,,Sevenoaks,Crockenhill and Well Hill,Sevenoaks North & Darent Valley
BR6 7PL,Yes,51.357219,0.148528,549694,164207,TQ496642,1/1/1980 12:00:00 AM,,158,35,11,Knockholt,1.8,Well Hill,Thames Water,,Sevenoaks,Crockenhill and Well Hill,Sevenoaks North & Darent Valley
BR6 7PN,Yes,51.355039,0.145280,549475,163958,TQ494639,8/1/2004 12:00:00 AM,,149,2,1,Knockholt,1.4,Well Hill,Thames Water,,Sevenoaks,Crockenhill and Well Hill,Sevenoaks North & Darent Valley
BR6 7PP,Yes,51.353037,0.150054,549814,163745,TQ498637,1/1/1980 12:00:00 AM,,160,33,14,Knockholt,1.6,Well Hill,Thames Water,,Sevenoaks,Crockenhill and Well Hill,Sevenoaks North & Darent Valley
BR6 7PR,Yes,51.356010,0.148771,549715,164073,TQ497640,1/1/1980 12:00:00 AM,,164,52,20,Knockholt,1.7,Well Hill,Thames Water,,Sevenoaks,Crockenhill and Well Hill,Sevenoaks North & Darent Valley
BR6 7PS,Yes,51.355014,0.147647,549640,163960,TQ496639,1/1/1980 12:00:00 AM,,164,8,2,Knockholt,1.6,Well Hill,Thames Water,,Sevenoaks,Crockenhill and Well Hill,Sevenoaks North & Darent Valley
BR6 7PT,Yes,51.358250,0.151174,549875,164327,TQ498643,1/1/1980 12:00:00 AM,,156,6,2,Knockholt,2.0,Well Hill,Thames Water,,Sevenoaks,Crockenhill and Well Hill,Sevenoaks North & Darent Valley
BR6 7PU,Yes,51.359258,0.150117,549798,164437,TQ497644,1/1/1980 12:00:00 AM,,157,7,4,Knockholt,2.0,Well Hill,Thames Water,,Sevenoaks,Crockenhill and Well Hill,Sevenoaks North & Darent Valley
BR6 7PW,Yes,51.356965,0.146733,549570,164175,TQ495641,2/1/1990 12:00:00 AM,,150,6,1,Knockholt,1.7,Well Hill,Thames Water,,Sevenoaks,Crockenhill and Well Hill,Sevenoaks North & Darent Valley
BR6 7PX,Yes,51.360609,0.159776,550466,164607,TQ504646,1/1/1980 12:00:00 AM,,135,23,10,Knockholt,2.6,,Thames Water,,Sevenoaks,Crockenhill and Well Hill,Sevenoaks North & Darent Valley
BR6 7PY,Yes,51.361283,0.159807,550466,164682,TQ504646,1/1/1980 12:00:00 AM,,132,14,5,Knockholt,2.6,,Thames Water,,Sevenoaks,Crockenhill and Well Hill,Sevenoaks North & Darent Valley
