Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
S1 1FE,No,53.390310,-1.458650,436100,388300,SK361882,2/1/1990 12:00:00 AM,12/1/1991 12:00:00 AM,55,,,Sheffield,1.4,Sheffield,,,Sheffield,Burngreave,
S1 1FF,No,53.390310,-1.458650,436100,388300,SK361882,7/1/1990 12:00:00 AM,6/1/1996 12:00:00 AM,55,,,Sheffield,1.4,Sheffield,,,Sheffield,Burngreave,
S1 1FJ,No,53.404657,-1.450948,436600,389900,SK365898,2/1/1984 12:00:00 AM,12/1/1991 12:00:00 AM,81,,,Meadowhall,2.9,Sheffield,,,Sheffield,Burngreave,
S3 8AA,Yes,53.395804,-1.485485,434311,388898,SK343888,3/1/1983 12:00:00 AM,,57,,,Sheffield,2.5,Sheffield,Yorkshire Water,,Sheffield,Hillsborough,
S3 8AB,Yes,53.397131,-1.484717,434361,389046,SK343890,1/1/1980 12:00:00 AM,,59,,,Sheffield,2.6,Sheffield,Yorkshire Water,,Sheffield,Hillsborough,
S3 8AD,No,53.396722,-1.485639,434300,389000,SK342890,4/1/1987 12:00:00 AM,12/1/1991 12:00:00 AM,57,,,Sheffield,2.6,Sheffield,,,Sheffield,Hillsborough,
S3 8AE,No,53.396722,-1.485639,434300,389000,SK342890,1/1/1980 12:00:00 AM,9/1/2007 12:00:00 AM,57,,,Sheffield,2.6,Sheffield,,,Sheffield,Hillsborough,
S3 8AG,Yes,53.399006,-1.483837,434418,389255,SK344892,1/1/1980 12:00:00 AM,,73,,,Sheffield,2.7,Sheffield,Yorkshire Water,,Sheffield,Hillsborough,
S3 8AH,No,53.395056,-1.482862,434486,388816,SK344888,1/1/1980 12:00:00 AM,2/1/2020 12:00:00 AM,56,,,Sheffield,2.3,Sheffield,Yorkshire Water,,Sheffield,Hillsborough,
S3 8AL,Yes,53.397985,-1.484842,434352,389141,SK343891,11/1/2007 12:00:00 AM,,62,,,Sheffield,2.7,Sheffield,Yorkshire Water,,Sheffield,Hillsborough,
S3 8AQ,No,53.394918,-1.484157,434400,388800,SK343888,6/1/1999 12:00:00 AM,6/1/2000 12:00:00 AM,57,,,Sheffield,2.4,Sheffield,,,Sheffield,Hillsborough,
S3 8AR,No,53.394019,-1.484168,434400,388700,SK343887,1/1/1980 12:00:00 AM,7/1/1995 12:00:00 AM,58,,,Sheffield,2.3,Sheffield,,,Sheffield,Hillsborough,
S3 8AS,Yes,53.394614,-1.478506,434776,388769,SK347887,1/1/1980 12:00:00 AM,,57,,,Sheffield,2.1,Sheffield,Yorkshire Water,,Sheffield,Hillsborough,
S3 8AT,Yes,53.393456,-1.478746,434761,388640,SK347886,1/1/1980 12:00:00 AM,,53,3,2,Sheffield,2.0,Sheffield,Yorkshire Water,,Sheffield,Hillsborough,
S3 8AU,Yes,53.393917,-1.479402,434717,388691,SK347886,1/1/1980 12:00:00 AM,,53,,,Sheffield,2.1,Sheffield,Yorkshire Water,,Sheffield,Hillsborough,
S3 8AW,Yes,53.395077,-1.483719,434429,388818,SK344888,1/1/1980 12:00:00 AM,,57,,,Sheffield,2.4,Sheffield,Yorkshire Water,,Sheffield,Hillsborough,
S3 8AX,No,53.396241,-1.486697,434230,388946,SK342889,1/1/1980 12:00:00 AM,1/1/2003 12:00:00 AM,55,,,Sheffield,2.6,Sheffield,Yorkshire Water,,Sheffield,Hillsborough,
S3 8BA,No,53.393892,-1.477688,434831,388689,SK348886,12/1/2000 12:00:00 AM,1/1/2016 12:00:00 AM,57,,,Sheffield,2.0,Sheffield,,,Sheffield,Hillsborough,
S3 8BE,No,53.393551,-1.477843,434821,388651,SK348886,1/1/1980 12:00:00 AM,12/1/1999 12:00:00 AM,55,,,Sheffield,2.0,Sheffield,,,Sheffield,Hillsborough,
S3 8DG,Yes,53.392416,-1.479450,434715,388524,SK347885,1/1/1980 12:00:00 AM,,54,,,Sheffield,2.0,Sheffield,Yorkshire Water,,Sheffield,Hillsborough,
S3 8DN,No,53.392910,-1.479204,434731,388579,SK347885,1/1/1980 12:00:00 AM,1/1/2003 12:00:00 AM,53,,,Sheffield,2.0,Sheffield,,,Sheffield,Hillsborough,
S3 8FN,Yes,53.395650,-1.483201,434463,388882,SK344888,2/1/2020 12:00:00 AM,,55,,,Sheffield,2.4,Sheffield,,,Sheffield,Hillsborough,
S3 8GX,No,53.391230,-1.463150,435800,388400,SK357884,6/1/1981 12:00:00 AM,7/1/1995 12:00:00 AM,85,,,Sheffield,1.4,Sheffield,,,Sheffield,Burngreave,
S3 9AA,Yes,53.399905,-1.469568,435366,389362,SK353893,1/1/1980 12:00:00 AM,,126,92,32,Sheffield,2.5,Sheffield,Yorkshire Water,,Sheffield,Burngreave,
S3 9AB,Yes,53.399930,-1.468951,435407,389365,SK354893,1/1/1980 12:00:00 AM,,122,61,27,Sheffield,2.5,Sheffield,Yorkshire Water,,Sheffield,Burngreave,
S3 9AD,Yes,53.400556,-1.466326,435581,389436,SK355894,1/1/1980 12:00:00 AM,,116,98,40,Sheffield,2.5,Sheffield,Yorkshire Water,,Sheffield,Burngreave,
S3 9AE,Yes,53.401275,-1.468378,435444,389515,SK354895,1/1/1980 12:00:00 AM,,131,69,25,Sheffield,2.6,Sheffield,Yorkshire Water,,Sheffield,Burngreave,
S3 9AF,Yes,53.401141,-1.466604,435562,389501,SK355895,1/1/1980 12:00:00 AM,,124,21,7,Sheffield,2.6,Sheffield,Yorkshire Water,,Sheffield,Burngreave,
S3 9AG,Yes,53.400212,-1.467759,435486,389397,SK354893,1/1/1980 12:00:00 AM,,119,72,32,Sheffield,2.5,Sheffield,Yorkshire Water,,Sheffield,Burngreave,
S3 9AH,Yes,53.400279,-1.466751,435553,389405,SK355894,1/1/1980 12:00:00 AM,,115,38,15,Sheffield,2.5,Sheffield,Yorkshire Water,,Sheffield,Burngreave,
S3 9AJ,Yes,53.401378,-1.465263,435651,389528,SK356895,1/1/1980 12:00:00 AM,,120,61,28,Sheffield,2.6,Sheffield,Yorkshire Water,,Sheffield,Burngreave,
S3 9AL,Yes,53.402044,-1.465375,435643,389602,SK356896,1/1/1980 12:00:00 AM,,125,55,26,Sheffield,2.7,Sheffield,Yorkshire Water,,Sheffield,Burngreave,
S3 9AN,Yes,53.402019,-1.463871,435743,389600,SK357895,1/1/1980 12:00:00 AM,,121,54,36,Sheffield,2.6,Sheffield,Yorkshire Water,,Sheffield,Burngreave,
S3 9AP,Yes,53.396275,-1.467823,435485,388959,SK354889,2/1/1984 12:00:00 AM,,101,12,7,Sheffield,2.0,Sheffield,Yorkshire Water,,Sheffield,Burngreave,
S3 9AQ,Yes,53.397821,-1.467804,435485,389131,SK354891,1/1/1980 12:00:00 AM,,103,49,31,Sheffield,2.2,Sheffield,Yorkshire Water,,Sheffield,Burngreave,
S3 9AR,No,53.397053,-1.468882,435414,389045,SK354890,1/1/1980 12:00:00 AM,11/1/2014 12:00:00 AM,101,1,1,Sheffield,2.1,Sheffield,Yorkshire Water,,Sheffield,Burngreave,
S3 9AS,Yes,53.399506,-1.466700,435557,389319,SK355893,1/1/1980 12:00:00 AM,,110,4,3,Sheffield,2.4,Sheffield,Yorkshire Water,,Sheffield,Burngreave,
S3 9AT,Yes,53.400213,-1.466015,435602,389398,SK356893,1/1/1980 12:00:00 AM,,113,25,13,Sheffield,2.5,Sheffield,Yorkshire Water,,Sheffield,Burngreave,
S3 9AU,Yes,53.401187,-1.464664,435691,389507,SK356895,1/1/1980 12:00:00 AM,,118,48,20,Sheffield,2.6,Sheffield,Yorkshire Water,,Sheffield,Burngreave,
S3 9AW,Yes,53.396644,-1.467804,435486,389000,SK354890,1/1/1980 12:00:00 AM,,102,5,4,Sheffield,2.1,Sheffield,Yorkshire Water,,Sheffield,Burngreave,
S3 9AX,No,53.397942,-1.466720,435557,389145,SK355891,1/1/1980 12:00:00 AM,11/1/2014 12:00:00 AM,101,,,Sheffield,2.2,Sheffield,Yorkshire Water,,Sheffield,Burngreave,
S3 9AY,Yes,53.399557,-1.465978,435605,389325,SK356893,1/1/1980 12:00:00 AM,,109,29,9,Sheffield,2.4,Sheffield,Yorkshire Water,,Sheffield,Burngreave,
S3 9AZ,Yes,53.398371,-1.466068,435600,389193,SK355891,1/1/1980 12:00:00 AM,,102,46,17,Sheffield,2.3,Sheffield,Yorkshire Water,,Sheffield,Burngreave,
S3 9BA,Yes,53.399069,-1.465397,435644,389271,SK356892,1/1/1980 12:00:00 AM,,105,13,4,Sheffield,2.3,Sheffield,Yorkshire Water,,Sheffield,Burngreave,
S3 9BB,Yes,53.399536,-1.467512,435503,389322,SK355893,1/1/1980 12:00:00 AM,,113,59,31,Sheffield,2.4,Sheffield,Yorkshire Water,,Sheffield,Burngreave,
S3 9BD,Yes,53.399135,-1.466043,435601,389278,SK356892,7/1/1986 12:00:00 AM,,107,33,20,Sheffield,2.3,Sheffield,Yorkshire Water,,Sheffield,Burngreave,
S3 9BE,Yes,53.393317,-1.467740,435493,388630,SK354886,11/1/2017 12:00:00 AM,,103,,,Sheffield,1.7,Sheffield,,,Sheffield,Burngreave,
S3 9BF,Yes,53.401817,-1.464942,435672,389577,SK356895,10/1/2021 12:00:00 AM,,122,,,Sheffield,2.6,Sheffield,,,Sheffield,Burngreave,
S3 9BG,Yes,53.396745,-1.468344,435450,389011,SK354890,5/1/2023 12:00:00 AM,,99,,,Sheffield,2.1,Sheffield,,,Sheffield,Burngreave,
S3 9DA,Yes,53.393309,-1.459830,436019,388633,SK360886,1/1/1980 12:00:00 AM,,73,78,29,Sheffield,1.7,Sheffield,Yorkshire Water,,Sheffield,Burngreave,
S3 9DB,Yes,53.394370,-1.461907,435880,388750,SK358887,1/1/1980 12:00:00 AM,,85,22,8,Sheffield,1.8,Sheffield,Yorkshire Water,,Sheffield,Burngreave,
S3 9DD,Yes,53.393912,-1.459958,436010,388700,SK360887,1/1/1980 12:00:00 AM,,75,85,33,Sheffield,1.7,Sheffield,Yorkshire Water,,Sheffield,Burngreave,
S3 9DE,Yes,53.395686,-1.462718,435825,388896,SK358888,1/1/1980 12:00:00 AM,,87,73,30,Sheffield,1.9,Sheffield,Yorkshire Water,,Sheffield,Burngreave,
S3 9DF,Yes,53.395564,-1.463501,435773,388882,SK357888,1/1/1980 12:00:00 AM,,89,102,29,Sheffield,1.9,Sheffield,Yorkshire Water,,Sheffield,Burngreave,
S3 9DG,Yes,53.397414,-1.465283,435653,389087,SK356890,1/1/1980 12:00:00 AM,,100,78,37,Sheffield,2.1,Sheffield,Yorkshire Water,,Sheffield,Burngreave,
S3 9DH,Yes,53.397878,-1.464495,435705,389139,SK357891,1/1/1980 12:00:00 AM,,102,126,21,Sheffield,2.2,Sheffield,Yorkshire Water,,Sheffield,Burngreave,
S3 9DJ,No,53.398434,-1.466067,435600,389200,SK356892,1/1/1980 12:00:00 AM,1/1/1995 12:00:00 AM,102,,,Sheffield,2.3,Sheffield,,,Sheffield,Burngreave,
S3 9DL,Yes,53.399239,-1.465320,435649,389290,SK356892,1/1/1980 12:00:00 AM,,106,54,19,Sheffield,2.3,Sheffield,Yorkshire Water,,Sheffield,Burngreave,
S3 9DN,Yes,53.396899,-1.462582,435833,389031,SK358890,1/1/1980 12:00:00 AM,,94,111,32,Sheffield,2.1,Sheffield,Yorkshire Water,,Sheffield,Burngreave,
S3 9DP,Yes,53.396108,-1.462547,435836,388943,SK358889,1/1/1980 12:00:00 AM,,89,100,29,Sheffield,2.0,Sheffield,Yorkshire Water,,Sheffield,Burngreave,
S3 9DQ,Yes,53.395860,-1.461407,435912,388916,SK359889,1/1/1980 12:00:00 AM,,88,103,28,Sheffield,2.0,Sheffield,Yorkshire Water,,Sheffield,Burngreave,
S3 9DR,Yes,53.394739,-1.463993,435741,388790,SK357887,1/1/1980 12:00:00 AM,,93,11,7,Sheffield,1.8,Sheffield,Yorkshire Water,,Sheffield,Burngreave,
S3 9DS,Yes,53.394795,-1.462593,435834,388797,SK358887,1/1/1980 12:00:00 AM,,86,5,1,Sheffield,1.8,Sheffield,Yorkshire Water,,Sheffield,Burngreave,
S3 9DT,Yes,53.395051,-1.463447,435777,388825,SK357888,1/1/1980 12:00:00 AM,,88,38,14,Sheffield,1.9,Sheffield,Yorkshire Water,,Sheffield,Burngreave,
S3 9DU,Yes,53.395413,-1.464014,435739,388865,SK357888,2/1/1984 12:00:00 AM,,92,16,6,Sheffield,1.9,Sheffield,Yorkshire Water,,Sheffield,Burngreave,
S3 9DW,Yes,53.395288,-1.464241,435724,388851,SK357888,1/1/1980 12:00:00 AM,,93,2,2,Sheffield,1.9,Sheffield,Yorkshire Water,,Sheffield,Burngreave,
S3 9DX,Yes,53.394092,-1.464031,435739,388718,SK357887,1/1/1980 12:00:00 AM,,95,12,6,Sheffield,1.8,Sheffield,Yorkshire Water,,Sheffield,Burngreave,
S3 9DY,Yes,53.394291,-1.464329,435719,388740,SK357887,2/1/1984 12:00:00 AM,,95,8,4,Sheffield,1.8,Sheffield,Yorkshire Water,,Sheffield,Burngreave,
S3 9EA,Yes,53.393472,-1.462114,435867,388650,SK358886,1/1/1980 12:00:00 AM,,90,8,6,Sheffield,1.7,Sheffield,Yorkshire Water,,Sheffield,Burngreave,
S3 9EB,Yes,53.393484,-1.460850,435951,388652,SK359886,1/1/1980 12:00:00 AM,,81,17,5,Sheffield,1.7,Sheffield,Yorkshire Water,,Sheffield,Burngreave,
S3 9ED,No,53.392162,-1.458537,436106,388506,SK361885,1/1/1980 12:00:00 AM,1/1/2009 12:00:00 AM,67,,,Sheffield,1.6,Sheffield,Yorkshire Water,,Sheffield,Burngreave,
S3 9EE,Yes,53.392465,-1.460051,436005,388539,SK360885,1/1/1980 12:00:00 AM,,76,32,6,Sheffield,1.6,Sheffield,Yorkshire Water,,Sheffield,Burngreave,
S3 9EF,Yes,53.393117,-1.463156,435798,388610,SK357886,1/1/1980 12:00:00 AM,,94,4,1,Sheffield,1.7,Sheffield,Yorkshire Water,,Sheffield,Burngreave,
S3 9EG,Yes,53.392743,-1.460003,436008,388570,SK360885,1/1/1980 12:00:00 AM,,75,56,14,Sheffield,1.6,Sheffield,Yorkshire Water,,Sheffield,Burngreave,
S3 9EH,Yes,53.393267,-1.462523,435840,388627,SK358886,1/1/1980 12:00:00 AM,,92,63,23,Sheffield,1.7,Sheffield,Yorkshire Water,,Sheffield,Burngreave,
S3 9EJ,Yes,53.393341,-1.465003,435675,388634,SK356886,1/1/1980 12:00:00 AM,,92,43,19,Sheffield,1.7,Sheffield,Yorkshire Water,,Sheffield,Burngreave,
S3 9EL,Yes,53.393799,-1.466892,435549,388684,SK355886,1/1/1980 12:00:00 AM,,98,12,7,Sheffield,1.8,Sheffield,Yorkshire Water,,Sheffield,Burngreave,
S3 9EN,No,53.393054,-1.469142,435400,388600,SK353885,1/1/1980 12:00:00 AM,12/1/1991 12:00:00 AM,90,,,Sheffield,1.7,Sheffield,,,Sheffield,Burngreave,
S3 9EP,Yes,53.394775,-1.468128,435466,388792,SK354887,1/1/1980 12:00:00 AM,,100,81,21,Sheffield,1.9,Sheffield,Yorkshire Water,,Sheffield,Burngreave,
S3 9EQ,No,53.393953,-1.469131,435400,388700,SK353887,1/1/1980 12:00:00 AM,12/1/1991 12:00:00 AM,94,,,Sheffield,1.8,Sheffield,,,Sheffield,Burngreave,
S3 9ER,No,53.394852,-1.469120,435400,388800,SK353888,1/1/1980 12:00:00 AM,12/1/1991 12:00:00 AM,94,,,Sheffield,1.9,Sheffield,,,Sheffield,Burngreave,
S3 9ES,No,53.394852,-1.469120,435400,388800,SK353888,1/1/1980 12:00:00 AM,12/1/1991 12:00:00 AM,94,,,Sheffield,1.9,Sheffield,,,Sheffield,Burngreave,
S3 9GA,No,53.392834,-1.468242,435460,388576,SK354885,1/1/1980 12:00:00 AM,11/1/2004 12:00:00 AM,94,,,Sheffield,1.7,Sheffield,Yorkshire Water,,Sheffield,Burngreave,
S3 9GB,No,53.393079,-1.468721,435428,388603,SK354886,1/1/1980 12:00:00 AM,7/1/2004 12:00:00 AM,93,,,Sheffield,1.7,Sheffield,,,Sheffield,Burngreave,
S3 9GD,Yes,53.395029,-1.468531,435439,388820,SK354888,1/1/1980 12:00:00 AM,,98,37,8,Sheffield,1.9,Sheffield,Yorkshire Water,,Sheffield,Burngreave,
S3 9GE,No,53.394383,-1.468855,435418,388748,SK354887,1/1/1980 12:00:00 AM,7/1/2004 12:00:00 AM,97,,,Sheffield,1.9,Sheffield,,,Sheffield,Burngreave,
S3 9GF,No,53.393251,-1.469004,435409,388622,SK354886,1/1/1980 12:00:00 AM,11/1/2004 12:00:00 AM,92,,,Sheffield,1.7,Sheffield,,,Sheffield,Burngreave,
S3 9GG,No,53.392448,-1.468383,435451,388533,SK354885,1/1/1980 12:00:00 AM,7/1/2004 12:00:00 AM,88,,,Sheffield,1.6,Sheffield,,,Sheffield,Burngreave,
S3 9GH,No,53.392247,-1.469543,435374,388510,SK353885,1/1/1980 12:00:00 AM,9/1/2007 12:00:00 AM,78,,,Sheffield,1.6,Sheffield,Yorkshire Water,,Sheffield,Burngreave,
S3 9GJ,No,53.392895,-1.469685,435364,388582,SK353885,1/1/1980 12:00:00 AM,5/1/2004 12:00:00 AM,84,,,Sheffield,1.7,Sheffield,Yorkshire Water,,Sheffield,Burngreave,
S3 9GL,No,53.393488,-1.469603,435369,388648,SK353886,1/1/1980 12:00:00 AM,5/1/2004 12:00:00 AM,88,,,Sheffield,1.8,Sheffield,Yorkshire Water,,Sheffield,Burngreave,
S3 9GP,No,53.395131,-1.469266,435390,388831,SK353888,1/1/1980 12:00:00 AM,7/1/2004 12:00:00 AM,93,,,Sheffield,1.9,Sheffield,,,Sheffield,Burngreave,
S3 9GQ,No,53.395453,-1.468947,435411,388867,SK354888,1/1/1980 12:00:00 AM,7/1/2004 12:00:00 AM,96,,,Sheffield,2.0,Sheffield,,,Sheffield,Burngreave,
S3 9GR,No,53.394141,-1.469023,435407,388721,SK354887,1/1/1980 12:00:00 AM,5/1/2004 12:00:00 AM,96,,,Sheffield,1.8,Sheffield,,,Sheffield,Burngreave,
S3 9GS,Yes,53.395630,-1.468328,435452,388887,SK354888,1/1/1980 12:00:00 AM,,99,64,12,Sheffield,2.0,Sheffield,Yorkshire Water,,Sheffield,Burngreave,
