Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
S12 2AU,Yes,53.353443,-1.408217,439488,384225,SK394842,1/1/1980 12:00:00 AM,,136,,,Darnall,3.5,Sheffield,Severn Trent,Yorkshire Water,Sheffield,Birley,
S12 2AX,Yes,53.353019,-1.407953,439506,384178,SK395841,1/1/1980 12:00:00 AM,,145,29,10,Darnall,3.5,Sheffield,Severn Trent,,Sheffield,Birley,
S12 2AY,Yes,53.359861,-1.417414,438870,384934,SK388849,1/1/1980 12:00:00 AM,,177,112,49,Darnall,2.8,Sheffield,Yorkshire Water,,Sheffield,Richmond,
S12 2DB,No,53.350702,-1.410118,439364,383919,SK393839,1/1/1980 12:00:00 AM,2/1/2020 12:00:00 AM,156,,,Darnall,3.8,Sheffield,Severn Trent,Yorkshire Water,Sheffield,Birley,
S12 2DT,Yes,53.353572,-1.407164,439558,384240,SK395842,7/1/2002 12:00:00 AM,,133,2,1,Darnall,3.5,Sheffield,Yorkshire Water,,Sheffield,Birley,
S12 2DY,No,53.352227,-1.390026,440700,384100,SK407841,9/1/1991 12:00:00 AM,6/1/1996 12:00:00 AM,100,,,Woodhouse,2.5,,,,Sheffield,Birley,
S12 2DZ,No,53.352227,-1.390026,440700,384100,SK407841,3/1/1988 12:00:00 AM,12/1/1990 12:00:00 AM,100,,,Woodhouse,2.5,,,,Sheffield,Birley,
S12 2JN,Yes,53.346335,-1.423471,438479,383426,SK384834,1/1/1980 12:00:00 AM,,185,103,48,Darnall,4.3,Sheffield,Yorkshire Water,,Sheffield,Birley,
S12 2JP,Yes,53.347843,-1.421123,438634,383595,SK386835,1/1/1980 12:00:00 AM,,168,67,34,Darnall,4.1,Sheffield,Yorkshire Water,,Sheffield,Birley,
S12 2LA,Yes,53.343796,-1.428162,438169,383141,SK381831,1/1/1980 12:00:00 AM,,206,66,20,Sheffield,4.4,Sheffield,Yorkshire Water,,Sheffield,Birley,
S12 3AA,Yes,53.343489,-1.402272,439893,383121,SK398831,1/1/1980 12:00:00 AM,,196,31,17,Woodhouse,3.7,Sheffield,Severn Trent,Yorkshire Water,Sheffield,Birley,
S12 3AB,Yes,53.343123,-1.402637,439869,383080,SK398830,1/1/1980 12:00:00 AM,,198,42,17,Woodhouse,3.8,Sheffield,Severn Trent,Yorkshire Water,Sheffield,Birley,
S12 3AD,Yes,53.344837,-1.401968,439912,383271,SK399832,1/1/1980 12:00:00 AM,,188,67,29,Woodhouse,3.6,Sheffield,Severn Trent,Yorkshire Water,Sheffield,Birley,
S12 3AE,Yes,53.344402,-1.395891,440317,383226,SK403832,1/1/1980 12:00:00 AM,,170,69,45,Woodhouse,3.3,Sheffield,Severn Trent,Yorkshire Water,Sheffield,Birley,
S12 3AF,Yes,53.344659,-1.398906,440116,383253,SK401832,1/1/1980 12:00:00 AM,,179,69,33,Woodhouse,3.5,Sheffield,Severn Trent,Yorkshire Water,Sheffield,Birley,
S12 3AG,Yes,53.343417,-1.402003,439911,383113,SK399831,1/1/1980 12:00:00 AM,,196,21,13,Woodhouse,3.7,Sheffield,Severn Trent,Yorkshire Water,Sheffield,Birley,
S12 3AH,Yes,53.344577,-1.402137,439901,383242,SK399832,1/1/1980 12:00:00 AM,,190,25,14,Woodhouse,3.6,Sheffield,Severn Trent,Yorkshire Water,Sheffield,Birley,
S12 3AJ,Yes,53.343584,-1.399552,440074,383133,SK400831,1/1/1980 12:00:00 AM,,189,100,39,Woodhouse,3.6,Sheffield,Severn Trent,Yorkshire Water,Sheffield,Birley,
S12 3AL,Yes,53.343824,-1.401036,439975,383159,SK399831,1/1/1980 12:00:00 AM,,191,118,50,Woodhouse,3.6,Sheffield,Severn Trent,Yorkshire Water,Sheffield,Birley,
S12 3AN,Yes,53.341561,-1.401323,439958,382907,SK399829,1/1/1980 12:00:00 AM,,195,92,41,Woodhouse,3.8,Sheffield,Severn Trent,Yorkshire Water,Sheffield,Birley,
S12 3AP,Yes,53.343497,-1.398322,440156,383124,SK401831,1/1/1980 12:00:00 AM,,183,82,35,Woodhouse,3.5,Sheffield,Severn Trent,Yorkshire Water,Sheffield,Birley,
S12 3AQ,Yes,53.343381,-1.396671,440266,383112,SK402831,1/1/1980 12:00:00 AM,,176,74,32,Woodhouse,3.4,Sheffield,Severn Trent,Yorkshire Water,Sheffield,Birley,
S12 3AR,Yes,53.342576,-1.399296,440092,383021,SK400830,1/1/1980 12:00:00 AM,,189,75,33,Woodhouse,3.6,Sheffield,Severn Trent,Yorkshire Water,Sheffield,Birley,
S12 3AS,Yes,53.342024,-1.396855,440255,382961,SK402829,1/1/1980 12:00:00 AM,,178,63,29,Woodhouse,3.6,Sheffield,Severn Trent,Yorkshire Water,Sheffield,Birley,
S12 3AT,Yes,53.341172,-1.398850,440123,382865,SK401828,1/1/1980 12:00:00 AM,,184,57,25,Woodhouse,3.7,Sheffield,Severn Trent,Yorkshire Water,Sheffield,Birley,
S12 3AU,Yes,53.341459,-1.398876,440121,382897,SK401828,1/1/1980 12:00:00 AM,,185,52,21,Woodhouse,3.7,Sheffield,Severn Trent,Yorkshire Water,Sheffield,Birley,
S12 3AW,Yes,53.342405,-1.397556,440208,383003,SK402830,1/1/1980 12:00:00 AM,,180,27,12,Woodhouse,3.6,Sheffield,Severn Trent,Yorkshire Water,Sheffield,Birley,
S12 3AX,Yes,53.341812,-1.399246,440096,382936,SK400829,1/1/1980 12:00:00 AM,,188,102,40,Woodhouse,3.7,Sheffield,Severn Trent,Yorkshire Water,Sheffield,Birley,
S12 3AY,Yes,53.342056,-1.395894,440319,382965,SK403829,1/1/1980 12:00:00 AM,,174,28,14,Woodhouse,3.5,Sheffield,Severn Trent,Yorkshire Water,Sheffield,Birley,
S12 3AZ,Yes,53.342721,-1.396034,440309,383039,SK403830,1/1/1980 12:00:00 AM,,175,29,12,Woodhouse,3.5,Sheffield,Severn Trent,Yorkshire Water,Sheffield,Birley,
S12 3BA,Yes,53.340908,-1.398268,440162,382836,SK401828,1/1/1980 12:00:00 AM,,181,68,27,Woodhouse,3.7,Sheffield,Severn Trent,Yorkshire Water,Sheffield,Birley,
S12 3BB,No,53.342378,-1.394087,440439,383002,SK404830,1/1/1980 12:00:00 AM,6/1/2012 12:00:00 AM,166,18,6,Woodhouse,3.4,,Severn Trent,Yorkshire Water,Sheffield,Birley,
S12 3BD,No,53.342178,-1.393594,440472,382980,SK404829,1/1/1980 12:00:00 AM,5/1/2011 12:00:00 AM,165,,,Woodhouse,3.4,,Severn Trent,Yorkshire Water,Sheffield,Birley,
S12 3BE,No,53.340977,-1.392560,440542,382847,SK405828,1/1/1980 12:00:00 AM,4/1/2008 12:00:00 AM,158,,,Woodhouse,3.4,,Severn Trent,Yorkshire Water,Sheffield,Birley,
S12 3BF,Yes,53.341269,-1.391504,440612,382880,SK406828,2/1/2014 12:00:00 AM,,154,,,Woodhouse,3.4,Sheffield,,,Sheffield,Birley,
S12 3BG,No,53.341634,-1.392656,440535,382920,SK405829,1/1/1980 12:00:00 AM,4/1/2007 12:00:00 AM,160,,,Woodhouse,3.4,Sheffield,Severn Trent,Yorkshire Water,Sheffield,Birley,
S12 3BH,No,53.343332,-1.394239,440428,383108,SK404831,1/1/1980 12:00:00 AM,10/1/2014 12:00:00 AM,167,18,7,Woodhouse,3.3,,Severn Trent,Yorkshire Water,Sheffield,Birley,
S12 3BJ,Yes,53.343651,-1.396832,440255,383142,SK402831,7/1/2015 12:00:00 AM,,175,,,Woodhouse,3.4,Sheffield,,,Sheffield,Birley,
S12 3BL,No,53.341719,-1.393601,440472,382929,SK404829,1/1/1980 12:00:00 AM,2/1/2009 12:00:00 AM,164,,,Woodhouse,3.4,,Severn Trent,Yorkshire Water,Sheffield,Birley,
S12 3BN,Yes,53.341757,-1.395552,440342,382932,SK403829,1/1/1980 12:00:00 AM,,172,16,6,Woodhouse,3.5,Sheffield,Severn Trent,Yorkshire Water,Sheffield,Birley,
S12 3BP,Yes,53.340317,-1.396985,440248,382771,SK402827,1/1/1980 12:00:00 AM,,174,12,4,Woodhouse,3.7,Sheffield,Severn Trent,Yorkshire Water,Sheffield,Birley,
