Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
BD10 8DF,Yes,53.825770,-1.738466,417313,436643,SE173366,4/1/2012 12:00:00 AM,,199,,,Frizinghall,2.1,Bradford,Yorkshire Water,,Bradford,Windhill and Wrose,
BD10 8QH,Yes,53.827134,-1.737151,417399,436795,SE173367,1/1/1980 12:00:00 AM,,191,79,36,Frizinghall,2.2,Bradford,Yorkshire Water,,Bradford,Windhill and Wrose,
BD10 8QJ,Yes,53.826076,-1.738646,417301,436677,SE173366,1/1/1980 12:00:00 AM,,199,29,14,Frizinghall,2.1,Bradford,Yorkshire Water,,Bradford,Windhill and Wrose,
BD10 8QL,Yes,53.827026,-1.737030,417407,436783,SE174367,1/1/1980 12:00:00 AM,,192,18,7,Frizinghall,2.2,Bradford,Yorkshire Water,,Bradford,Windhill and Wrose,
BD10 8QW,Yes,53.825703,-1.736552,417439,436636,SE174366,1/1/1980 12:00:00 AM,,194,18,12,Frizinghall,2.2,Bradford,Yorkshire Water,,Bradford,Windhill and Wrose,
BD10 8SA,Yes,53.824991,-1.735387,417516,436557,SE175365,1/1/1980 12:00:00 AM,,192,29,13,Frizinghall,2.3,Bradford,Yorkshire Water,,Bradford,Windhill and Wrose,
BD10 8SB,Yes,53.825118,-1.735979,417477,436571,SE174365,1/1/1980 12:00:00 AM,,193,45,16,Frizinghall,2.2,Bradford,Yorkshire Water,,Bradford,Windhill and Wrose,
BD10 8SD,Yes,53.826058,-1.735537,417506,436676,SE175366,11/1/2017 12:00:00 AM,,192,,,Frizinghall,2.3,Bradford,Yorkshire Water,,Bradford,Windhill and Wrose,
BD10 8TL,Yes,53.828260,-1.738283,417324,436920,SE173369,7/1/1990 12:00:00 AM,,191,76,28,Frizinghall,2.2,Bradford,Yorkshire Water,,Bradford,Windhill and Wrose,
BD10 8TX,Yes,53.830614,-1.746625,416774,437180,SE167371,1/1/1980 12:00:00 AM,,201,8,3,Shipley (Yorks),1.8,Bradford,Yorkshire Water,,Bradford,Windhill and Wrose,
BD10 8TY,Yes,53.830930,-1.747201,416736,437215,SE167372,1/1/1980 12:00:00 AM,,203,7,3,Shipley (Yorks),1.7,Bradford,Yorkshire Water,,Bradford,Windhill and Wrose,
BD10 8TZ,Yes,53.827296,-1.741510,417112,436812,SE171368,7/1/1983 12:00:00 AM,,196,,,Frizinghall,2.0,Bradford,Yorkshire Water,,Bradford,Windhill and Wrose,
BD10 8UJ,Yes,53.838480,-1.751350,416460,438054,SE164380,1/1/1980 12:00:00 AM,,122,35,15,Baildon,1.3,Shipley (Bradford),Yorkshire Water,,Bradford,Windhill and Wrose,
BD10 8UL,Yes,53.838004,-1.751717,416436,438001,SE164380,1/1/1980 12:00:00 AM,,126,21,8,Baildon,1.4,Shipley (Bradford),Yorkshire Water,,Bradford,Windhill and Wrose,
BD10 8WA,Yes,53.838297,-1.749998,416549,438034,SE165380,12/1/1995 12:00:00 AM,,127,140,52,Baildon,1.3,Shipley (Bradford),Yorkshire Water,,Bradford,Windhill and Wrose,
BD10 8WB,Yes,53.836535,-1.749614,416575,437838,SE165378,12/1/1995 12:00:00 AM,,148,111,51,Baildon,1.5,Shipley (Bradford),Yorkshire Water,,Bradford,Windhill and Wrose,
BD10 8WD,Yes,53.837614,-1.749774,416564,437958,SE165379,12/1/1995 12:00:00 AM,,135,55,26,Baildon,1.4,Shipley (Bradford),Yorkshire Water,,Bradford,Windhill and Wrose,
BD10 8WF,Yes,53.839263,-1.747576,416708,438142,SE167381,12/1/1995 12:00:00 AM,,123,61,19,Baildon,1.3,Bradford,Yorkshire Water,,Bradford,Windhill and Wrose,
BD10 8WG,Yes,53.837898,-1.748314,416660,437990,SE166379,12/1/1995 12:00:00 AM,,135,30,13,Baildon,1.4,Shipley (Bradford),Yorkshire Water,,Bradford,Windhill and Wrose,
BD10 8WH,Yes,53.837854,-1.748876,416623,437985,SE166379,12/1/1995 12:00:00 AM,,135,73,27,Baildon,1.4,Shipley (Bradford),Yorkshire Water,,Bradford,Windhill and Wrose,
BD10 8WJ,Yes,53.836883,-1.748548,416645,437877,SE166378,12/1/1998 12:00:00 AM,,147,42,20,Baildon,1.5,Shipley (Bradford),Yorkshire Water,,Bradford,Windhill and Wrose,
BD13 3RY,Yes,53.810416,-1.877015,408196,434910,SE081349,1/1/1980 12:00:00 AM,,286,19,6,Bingley,5.0,,Yorkshire Water,,Bradford,Bingley Rural,
BD13 3SB,Yes,53.809259,-1.879737,408017,434781,SE080347,1/1/1980 12:00:00 AM,,287,11,5,Bingley,5.2,,Yorkshire Water,,Bradford,Bingley Rural,
BD13 3SD,Yes,53.806988,-1.882066,407864,434528,SE078345,1/1/1980 12:00:00 AM,,270,11,4,Bingley,5.5,,Yorkshire Water,,Bradford,Bingley Rural,
BD13 3SE,Yes,53.800762,-1.876147,408255,433836,SE082338,1/1/1980 12:00:00 AM,,288,8,4,Bingley,5.9,,Yorkshire Water,,Bradford,Bingley Rural,
BD13 3SG,Yes,53.796767,-1.872318,408508,433392,SE085333,1/1/1980 12:00:00 AM,,299,9,4,Bingley,6.2,,Yorkshire Water,,Bradford,Bingley Rural,
BD13 3SJ,Yes,53.792943,-1.876899,408207,432966,SE082329,1/1/1980 12:00:00 AM,,312,70,31,Bingley,6.7,Thornton (Bradford),Yorkshire Water,,Bradford,Bingley Rural,
BD13 4AA,Yes,53.801150,-1.896932,406886,433877,SE068338,1/1/1980 12:00:00 AM,,288,5,3,Bingley,6.6,Denholme,Yorkshire Water,,Bradford,Bingley Rural,
BD13 4AB,Yes,53.796840,-1.890855,407287,433398,SE072333,5/1/2008 12:00:00 AM,,297,40,18,Bingley,6.7,,Yorkshire Water,,Bradford,Bingley Rural,
BD13 4AD,Yes,53.801788,-1.895913,406953,433948,SE069339,1/1/1980 12:00:00 AM,,292,10,5,Bingley,6.5,Denholme,Yorkshire Water,,Bradford,Bingley Rural,
BD13 4AE,Yes,53.801707,-1.896247,406931,433939,SE069339,1/1/1980 12:00:00 AM,,291,27,15,Bingley,6.5,Denholme,Yorkshire Water,,Bradford,Bingley Rural,
BD13 4AF,Yes,53.802047,-1.895092,407007,433977,SE070339,6/1/1981 12:00:00 AM,,292,15,11,Bingley,6.4,Denholme,Yorkshire Water,,Bradford,Bingley Rural,
BD13 4AG,Yes,53.801940,-1.895533,406978,433965,SE069339,6/1/1981 12:00:00 AM,,292,26,24,Bingley,6.4,Denholme,Yorkshire Water,,Bradford,Bingley Rural,
BD13 4AH,No,53.800218,-1.899834,406695,433773,SE066337,1/1/1980 12:00:00 AM,1/1/2003 12:00:00 AM,281,,,Bingley,6.8,Denholme,,,Bradford,Bingley Rural,
BD13 4AJ,Yes,53.801645,-1.897113,406874,433932,SE068339,1/1/1980 12:00:00 AM,,292,41,23,Bingley,6.5,Denholme,Yorkshire Water,,Bradford,Bingley Rural,
BD13 4AL,Yes,53.802156,-1.896398,406921,433989,SE069339,1/1/1980 12:00:00 AM,,296,23,10,Bingley,6.5,Denholme,Yorkshire Water,,Bradford,Bingley Rural,
BD13 4AN,Yes,53.802632,-1.895607,406973,434042,SE069340,1/1/1980 12:00:00 AM,,298,28,11,Bingley,6.4,Denholme,Yorkshire Water,,Bradford,Bingley Rural,
BD13 4AP,Yes,53.802778,-1.897581,406843,434058,SE068340,1/1/1980 12:00:00 AM,,305,91,34,Bingley,6.4,Denholme,Yorkshire Water,,Bradford,Bingley Rural,
