Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
ME10 1AA,Yes,51.340369,0.732667,590430,163687,TQ904636,1/1/1980 12:00:00 AM,,20,4,1,Sittingbourne,0.2,Sittingbourne,Southern Water,,Swale,Chalkwell,Sittingbourne North
ME10 1AB,Yes,51.340729,0.732571,590422,163727,TQ904637,1/1/1980 12:00:00 AM,,19,,,Sittingbourne,0.2,Sittingbourne,Southern Water,,Swale,Chalkwell,Sittingbourne North
ME10 1AD,No,51.340528,0.730807,590300,163700,TQ902637,5/1/1994 12:00:00 AM,7/1/1995 12:00:00 AM,18,,,Sittingbourne,0.3,Sittingbourne,,,Swale,Homewood,Sittingbourne South
ME10 1AE,No,51.339243,0.734579,590568,163567,TQ905635,12/1/2000 12:00:00 AM,7/1/2006 12:00:00 AM,21,,,Sittingbourne,0.3,Sittingbourne,,,Swale,Homewood,Sittingbourne South
ME10 1AF,Yes,51.340675,0.730672,590290,163716,TQ902637,2/1/1990 12:00:00 AM,,18,27,20,Sittingbourne,0.3,Sittingbourne,Southern Water,,Swale,Homewood,Sittingbourne South
ME10 1AG,Yes,51.338044,0.728937,590180,163419,TQ901634,12/1/2000 12:00:00 AM,,23,19,13,Sittingbourne,0.6,Sittingbourne,Southern Water,,Swale,Homewood,Sittingbourne South
ME10 1AH,No,51.339243,0.734579,590568,163567,TQ905635,6/1/2001 12:00:00 AM,12/1/2002 12:00:00 AM,21,,,Sittingbourne,0.3,Sittingbourne,,,Swale,Homewood,Sittingbourne South
ME10 1AJ,Yes,51.340608,0.731616,590356,163711,TQ903637,1/1/1980 12:00:00 AM,,19,1,1,Sittingbourne,0.3,Sittingbourne,Southern Water,,Swale,Homewood,Sittingbourne South
ME10 1AL,Yes,51.340690,0.731176,590325,163719,TQ903637,1/1/1980 12:00:00 AM,,18,1,1,Sittingbourne,0.3,Sittingbourne,Southern Water,,Swale,Homewood,Sittingbourne South
ME10 1AN,Yes,51.340879,0.729308,590194,163735,TQ901637,1/1/1980 12:00:00 AM,,17,16,9,Sittingbourne,0.4,Sittingbourne,Southern Water,,Swale,Homewood,Sittingbourne South
ME10 1AP,Yes,51.340787,0.732043,590385,163732,TQ903637,1/1/1980 12:00:00 AM,,19,7,3,Sittingbourne,0.2,Sittingbourne,Southern Water,,Swale,Chalkwell,Sittingbourne North
ME10 1AQ,Yes,51.339214,0.734379,590554,163563,TQ905635,1/1/1995 12:00:00 AM,,21,,,Sittingbourne,0.3,Sittingbourne,Southern Water,,Swale,Homewood,Sittingbourne South
ME10 1AR,Yes,51.341022,0.730537,590279,163754,TQ902637,1/1/1980 12:00:00 AM,,16,2,2,Sittingbourne,0.3,Sittingbourne,Southern Water,,Swale,Chalkwell,Sittingbourne North
ME10 1AS,Yes,51.341276,0.729574,590211,163780,TQ902637,1/1/1980 12:00:00 AM,,16,,,Sittingbourne,0.4,Sittingbourne,Southern Water,,Swale,Chalkwell,Sittingbourne North
ME10 1AT,Yes,51.341924,0.728794,590154,163850,TQ901638,7/1/2010 12:00:00 AM,,17,,,Sittingbourne,0.4,Sittingbourne,Southern Water,,Swale,Chalkwell,Sittingbourne North
ME10 1AU,Yes,51.341981,0.729788,590223,163859,TQ902638,1/1/1980 12:00:00 AM,,14,71,37,Sittingbourne,0.3,Sittingbourne,Southern Water,,Swale,Chalkwell,Sittingbourne North
ME10 1AW,Yes,51.340688,0.732798,590438,163723,TQ904637,1/1/1980 12:00:00 AM,,19,,,Sittingbourne,0.2,Sittingbourne,Southern Water,,Swale,Chalkwell,Sittingbourne North
ME10 1AX,Yes,51.342808,0.729823,590222,163951,TQ902639,1/1/1980 12:00:00 AM,,14,70,36,Sittingbourne,0.3,Sittingbourne,Southern Water,,Swale,Chalkwell,Sittingbourne North
ME10 1AY,Yes,51.342382,0.729209,590181,163902,TQ901639,1/1/1980 12:00:00 AM,,16,35,17,Sittingbourne,0.4,Sittingbourne,Southern Water,,Swale,Chalkwell,Sittingbourne North
ME10 1AZ,No,51.339243,0.734579,590568,163567,TQ905635,12/1/2000 12:00:00 AM,4/1/2009 12:00:00 AM,21,,,Sittingbourne,0.3,Sittingbourne,,,Swale,Homewood,Sittingbourne South
ME10 1BA,Yes,51.342719,0.728714,590145,163938,TQ901639,1/1/1980 12:00:00 AM,,18,42,18,Sittingbourne,0.4,Sittingbourne,Southern Water,,Swale,Chalkwell,Sittingbourne North
ME10 1BB,Yes,51.342645,0.727573,590066,163927,TQ900639,1/1/1980 12:00:00 AM,,19,140,46,Sittingbourne,0.5,Sittingbourne,Southern Water,,Swale,Chalkwell,Sittingbourne North
ME10 1BD,Yes,51.343342,0.726595,589995,164002,TQ899640,1/1/1980 12:00:00 AM,,17,31,10,Sittingbourne,0.6,Sittingbourne,Southern Water,,Swale,Chalkwell,Sittingbourne North
ME10 1BE,Yes,51.342144,0.728620,590141,163874,TQ901638,3/1/1988 12:00:00 AM,,17,14,12,Sittingbourne,0.4,Sittingbourne,Southern Water,,Swale,Chalkwell,Sittingbourne North
ME10 1BF,Yes,51.343183,0.728395,590121,163989,TQ901639,1/1/2004 12:00:00 AM,,18,13,9,Sittingbourne,0.5,Sittingbourne,Southern Water,,Swale,Chalkwell,Sittingbourne North
ME10 1BG,Yes,51.341698,0.729211,590184,163826,TQ901638,3/1/1988 12:00:00 AM,,16,31,29,Sittingbourne,0.4,Sittingbourne,Southern Water,,Swale,Chalkwell,Sittingbourne North
