Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
BB18 6JH,Yes,53.929972,-2.164416,389302,448218,SD893482,12/1/1997 12:00:00 AM,,151,,,Gargrave,6.6,,Yorkshire Water,,Pendle,Earby & Coates,Pendle Rural
BB18 6JR,Yes,53.922805,-2.122499,392053,447415,SD920474,12/1/1997 12:00:00 AM,,245,3,1,Gargrave,6.3,,,,North Yorkshire,Skipton West & West Craven,Airedale
BB18 6LB,Yes,53.919369,-2.120719,392169,447032,SD921470,12/1/1997 12:00:00 AM,,197,3,1,Gargrave,6.6,,,,North Yorkshire,Skipton West & West Craven,Airedale
BB18 6LG,No,53.912668,-2.106466,393104,446285,SD931462,12/1/1997 12:00:00 AM,12/1/2019 12:00:00 AM,314,2,1,Cononley,6.2,,,,North Yorkshire,Skipton West & West Craven,Airedale
BB8 6JR,No,53.925680,-2.118773,392298,447734,SD922477,1/1/1980 12:00:00 AM,8/1/1997 12:00:00 AM,243,,,Gargrave,5.9,,,,North Yorkshire,Skipton West & West Craven,Airedale
BB8 6LB,No,53.919369,-2.120719,392169,447032,SD921470,1/1/1980 12:00:00 AM,8/1/1997 12:00:00 AM,197,,,Gargrave,6.6,,,,North Yorkshire,Skipton West & West Craven,Airedale
BB8 6LG,No,53.912668,-2.106466,393104,446285,SD931462,1/1/1980 12:00:00 AM,8/1/1997 12:00:00 AM,314,,,Cononley,6.2,,,,North Yorkshire,Skipton West & West Craven,Airedale
BD20 7AA,Yes,53.905520,-1.981474,401315,445485,SE013454,7/1/2007 12:00:00 AM,,92,,,Cononley,2.4,Cross Hills,Yorkshire Water,,North Yorkshire,"Glusburn, Cross Hills & Sutton-in-Craven",South Craven
BD20 7AB,No,53.901624,-1.982659,401237,445051,SE012450,1/1/1980 12:00:00 AM,10/1/2005 12:00:00 AM,98,,,Steeton and Silsden,2.5,Cross Hills,,,North Yorkshire,"Glusburn, Cross Hills & Sutton-in-Craven",South Craven
BD20 7AD,Yes,53.903825,-1.981486,401314,445296,SE013452,1/1/1980 12:00:00 AM,,95,23,9,Steeton and Silsden,2.4,Cross Hills,Yorkshire Water,,North Yorkshire,"Glusburn, Cross Hills & Sutton-in-Craven",South Craven
BD20 7AE,Yes,53.892592,-1.992006,400623,444046,SE006440,6/1/2011 12:00:00 AM,,115,6,5,Cononley,3.1,Sutton-in-Craven,Yorkshire Water,,North Yorkshire,"Glusburn, Cross Hills & Sutton-in-Craven",South Craven
