Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
LN10 6AB,Yes,53.155350,-0.294671,514130,363382,TF141633,5/1/2014 12:00:00 AM,,4,,,Metheringham,6.7,,Anglian Water,,North Kesteven,Metheringham Rural,Metheringham Rural
LN10 6XH,Yes,53.154688,-0.295550,514073,363307,TF140633,9/1/1991 12:00:00 AM,,4,45,18,Metheringham,6.6,,Anglian Water,,North Kesteven,Metheringham Rural,Metheringham Rural
LN10 6XJ,Yes,53.164920,-0.268424,515859,364489,TF158644,1/1/1980 12:00:00 AM,,3,14,8,Metheringham,8.7,,Anglian Water,,North Kesteven,Metheringham Rural,Metheringham Rural
LN10 6XL,Yes,53.147737,-0.268625,515892,362577,TF158625,1/1/1980 12:00:00 AM,,3,20,9,Metheringham,8.2,,Anglian Water,,North Kesteven,Billinghay Rural,Metheringham Rural
LN10 6XN,Yes,53.139084,-0.279719,515173,361597,TF151615,1/1/1980 12:00:00 AM,,3,11,6,Metheringham,7.4,,Anglian Water,,North Kesteven,Billinghay Rural,Metheringham Rural
LN10 6XP,Yes,53.135665,-0.263397,516274,361243,TF162612,1/1/1980 12:00:00 AM,,3,19,8,Metheringham,8.5,,Anglian Water,,North Kesteven,Billinghay Rural,Metheringham Rural
LN10 6XR,Yes,53.140197,-0.252781,516972,361764,TF169617,1/1/1980 12:00:00 AM,,3,11,5,Metheringham,9.2,,Anglian Water,,North Kesteven,Billinghay Rural,Metheringham Rural
LN10 6XS,Yes,53.119771,-0.227847,518696,359533,TF186595,1/1/1980 12:00:00 AM,,4,26,10,Metheringham,11.1,,Anglian Water,,North Kesteven,Billinghay Rural,Metheringham Rural
LN10 6XT,Yes,53.127274,-0.229989,518532,360364,TF185603,1/1/1980 12:00:00 AM,,5,8,5,Metheringham,10.8,,Anglian Water,,North Kesteven,Billinghay Rural,Metheringham Rural
LN10 6XU,Yes,53.135894,-0.239798,517852,361307,TF178613,1/1/1980 12:00:00 AM,,4,31,11,Metheringham,10.1,,Anglian Water,,North Kesteven,Billinghay Rural,Metheringham Rural
