Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
SL0 0XU,No,51.508271,-0.584618,498325,179765,SU983797,12/1/1999 12:00:00 AM,2/1/2019 12:00:00 AM,31,,,Slough,0.6,Slough,Thames Water,,Slough,Slough Central,
SL0 0ZH,No,51.508271,-0.584618,498325,179765,SU983797,1/1/2004 12:00:00 AM,3/1/2017 12:00:00 AM,31,,,Slough,0.6,Slough,,,Slough,Slough Central,
SL0 0ZQ,No,51.508271,-0.584618,498325,179765,SU983797,8/1/2003 12:00:00 AM,2/1/2019 12:00:00 AM,31,,,Slough,0.6,Slough,Thames Water,,Slough,Slough Central,
SL0 1AD,Yes,51.508271,-0.584618,498325,179765,SU983797,1/1/2009 12:00:00 AM,,31,,,Slough,0.6,Slough,,,Slough,Slough Central,
SL0 1AE,Yes,51.508272,-0.584601,498326,179765,SU983797,12/1/2022 12:00:00 AM,,31,,,Slough,0.6,Slough,,,Slough,Slough Central,
SL0 1AF,No,51.508271,-0.584618,498325,179765,SU983797,9/1/2011 12:00:00 AM,2/1/2019 12:00:00 AM,31,,,Slough,0.6,Slough,,,Slough,Slough Central,
SL0 1AJ,No,51.508271,-0.584618,498325,179765,SU983797,8/1/2010 12:00:00 AM,2/1/2019 12:00:00 AM,31,,,Slough,0.6,Slough,,,Slough,Slough Central,
SL0 1AL,No,51.508271,-0.584618,498325,179765,SU983797,9/1/2010 12:00:00 AM,5/1/2015 12:00:00 AM,31,,,Slough,0.6,Slough,,,Slough,Slough Central,
SL0 1AP,No,51.508271,-0.584618,498325,179765,SU983797,8/1/2011 12:00:00 AM,9/1/2014 12:00:00 AM,31,,,Slough,0.6,Slough,,,Slough,Slough Central,
SL0 9PZ,No,51.508271,-0.584618,498325,179765,SU983797,4/1/1987 12:00:00 AM,8/1/2015 12:00:00 AM,31,,,Slough,0.6,Slough,,,Slough,Slough Central,
SL0 9RR,Yes,51.507187,-0.529435,502157,179720,TQ021797,1/1/1980 12:00:00 AM,,27,12,8,Langley,0.9,Slough,Thames Water,,Slough,Langley Meads,
SL0 9UZ,No,51.508271,-0.584618,498325,179765,SU983797,1/1/2007 12:00:00 AM,2/1/2019 12:00:00 AM,31,,,Slough,0.6,Slough,,,Slough,Slough Central,
SL0 9WX,No,51.508271,-0.584618,498325,179765,SU983797,6/1/2009 12:00:00 AM,7/1/2014 12:00:00 AM,31,,,Slough,0.6,Slough,,,Slough,Slough Central,
SL0 9XS,No,51.507187,-0.529435,502157,179720,TQ021797,12/1/2000 12:00:00 AM,7/1/2001 12:00:00 AM,27,,,Langley,0.9,Slough,,,Slough,Langley Meads,
SL0 9YJ,No,51.508271,-0.584618,498325,179765,SU983797,12/1/2000 12:00:00 AM,2/1/2019 12:00:00 AM,31,,,Slough,0.6,Slough,,,Slough,Slough Central,
SL0 9YP,No,51.508271,-0.584618,498325,179765,SU983797,6/1/1999 12:00:00 AM,7/1/2023 12:00:00 AM,31,,,Slough,0.6,Slough,,,Slough,Slough Central,
SL0 9YU,No,51.508271,-0.584618,498325,179765,SU983797,12/1/1995 12:00:00 AM,2/1/2019 12:00:00 AM,31,,,Slough,0.6,Slough,,,Slough,Slough Central,
SL1 0AA,No,51.508271,-0.584618,498325,179765,SU983797,7/1/2015 12:00:00 AM,8/1/2016 12:00:00 AM,31,,,Slough,0.6,Slough,,,Slough,Slough Central,
SL1 0AB,Yes,51.508272,-0.584601,498326,179765,SU983797,10/1/2021 12:00:00 AM,,31,,,Slough,0.6,Slough,,,Slough,Slough Central,
