Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
B14 4LJ,Yes,52.406846,-1.868849,409019,278768,SP090787,1/1/1980 12:00:00 AM,,153,29,6,Shirley,1.6,Solihull,Severn Trent,,Solihull,Shirley West,
B14 4LL,Yes,52.405614,-1.868617,409035,278631,SP090786,1/1/1980 12:00:00 AM,,153,47,18,Shirley,1.6,Solihull,Severn Trent,,Solihull,Shirley West,
B26 1JS,Yes,52.456735,-1.800667,413642,284328,SP136843,1/1/1980 12:00:00 AM,,127,110,52,Acocks Green,1.5,Solihull,Severn Trent,,Solihull,Lyndon,
B27 6NX,Yes,52.444632,-1.809549,413042,282980,SP130829,1/1/1980 12:00:00 AM,,117,10,6,Olton,0.8,Birmingham,Severn Trent,,Solihull,Olton,
B27 6NY,No,52.444784,-1.809357,413055,282997,SP130829,1/1/1980 12:00:00 AM,6/1/2020 12:00:00 AM,117,,,Olton,0.8,Solihull,Severn Trent,,Solihull,Olton,
B27 6NZ,Yes,52.444406,-1.809271,413061,282955,SP130829,1/1/1980 12:00:00 AM,,117,,,Olton,0.7,Solihull,,,Solihull,Olton,
B27 6PB,Yes,52.443114,-1.810409,412984,282811,SP129828,1/1/1980 12:00:00 AM,,115,32,14,Olton,0.7,Solihull,Severn Trent,,Solihull,Olton,
B27 6PD,Yes,52.443388,-1.810005,413011,282842,SP130828,1/1/1980 12:00:00 AM,,116,12,7,Olton,0.7,Solihull,Severn Trent,,Solihull,Olton,
B27 6PE,Yes,52.443136,-1.809682,413033,282814,SP130828,1/1/1980 12:00:00 AM,,116,11,8,Olton,0.6,Solihull,Severn Trent,,Solihull,Olton,
B27 6PF,Yes,52.442716,-1.809234,413064,282767,SP130827,1/1/1980 12:00:00 AM,,115,81,44,Olton,0.6,Solihull,Severn Trent,,Solihull,Olton,
B27 6PR,Yes,52.443017,-1.812013,412875,282800,SP128827,1/1/1980 12:00:00 AM,,117,4,4,Olton,0.7,Birmingham,Severn Trent,,Solihull,Olton,
B27 6RL,Yes,52.449048,-1.805778,413297,283472,SP132834,9/1/1991 12:00:00 AM,,112,17,7,Acocks Green,0.9,Solihull,Severn Trent,,Solihull,Lyndon,
B27 6RP,Yes,52.447909,-1.807166,413203,283345,SP132833,1/1/1980 12:00:00 AM,,115,104,44,Acocks Green,0.8,Solihull,Severn Trent,,Solihull,Lyndon,
B27 6RR,Yes,52.445538,-1.808383,413121,283081,SP131830,1/1/1980 12:00:00 AM,,114,38,14,Olton,0.8,Solihull,Severn Trent,,Solihull,Olton,
B27 7AE,Yes,52.435946,-1.814647,412698,282013,SP126820,1/1/1980 12:00:00 AM,,119,65,51,Olton,0.8,Solihull,Severn Trent,,Solihull,Olton,
B27 7AF,Yes,52.436069,-1.812705,412830,282027,SP128820,1/1/1980 12:00:00 AM,,122,118,63,Olton,0.6,Solihull,Severn Trent,,Solihull,Olton,
B27 7AG,Yes,52.437761,-1.815810,412618,282215,SP126822,1/1/1980 12:00:00 AM,,118,3,2,Olton,0.8,Birmingham,Severn Trent,,Solihull,Olton,
B27 7AH,Yes,52.435496,-1.816437,412576,281963,SP125819,1/1/1980 12:00:00 AM,,120,59,26,Olton,0.9,Solihull,Severn Trent,,Solihull,Olton,
B27 7AJ,Yes,52.433833,-1.816326,412584,281778,SP125817,1/1/1980 12:00:00 AM,,121,45,21,Olton,1.0,Solihull,Severn Trent,,Solihull,Olton,
B27 7AL,Yes,52.432515,-1.816529,412571,281631,SP125816,1/1/1980 12:00:00 AM,,122,,,Olton,1.1,Solihull,Severn Trent,,Solihull,Olton,
B27 7AN,Yes,52.431806,-1.817488,412506,281552,SP125815,1/1/1980 12:00:00 AM,,124,44,21,Olton,1.2,Solihull,Severn Trent,,Solihull,Olton,
B27 7AP,Yes,52.429648,-1.822983,412133,281311,SP121813,1/1/1980 12:00:00 AM,,134,116,40,Olton,1.6,Solihull,Severn Trent,,Solihull,Olton,
B27 7AW,Yes,52.430577,-1.819332,412381,281415,SP123814,1/1/1980 12:00:00 AM,,127,88,32,Olton,1.3,Solihull,Severn Trent,,Solihull,Olton,
B28 9AL,Yes,52.425302,-1.826515,411894,280827,SP118808,5/1/2009 12:00:00 AM,,141,8,4,Hall Green,1.8,Solihull,,,Solihull,Olton,
B28 9NG,Yes,52.424756,-1.828267,411775,280766,SP117807,1/1/1980 12:00:00 AM,,143,78,32,Hall Green,1.8,Solihull,Severn Trent,,Solihull,Olton,
B28 9NJ,Yes,52.426004,-1.826968,411863,280905,SP118809,1/1/1980 12:00:00 AM,,140,15,7,Hall Green,1.8,Solihull,Severn Trent,,Solihull,Olton,
B28 9NL,Yes,52.426849,-1.827126,411852,280999,SP118809,1/1/1980 12:00:00 AM,,139,45,21,Hall Green,1.7,Solihull,Severn Trent,,Solihull,Olton,
B28 9NS,Yes,52.427307,-1.826536,411892,281050,SP118810,1/1/1980 12:00:00 AM,,138,19,8,Hall Green,1.7,Solihull,Severn Trent,,Solihull,Olton,
B28 9NT,Yes,52.428322,-1.826150,411918,281163,SP119811,1/1/1980 12:00:00 AM,,137,52,20,Hall Green,1.6,Solihull,Severn Trent,,Solihull,Olton,
