Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
CM13 3EL,Yes,51.566348,0.330561,561627,187848,TQ616878,1/1/1980 12:00:00 AM,,7,4,2,West Horndon,0.7,,Essex & Suffolk Water,Anglian Water,Thurrock,Orsett,
CM13 3FY,Yes,51.565855,0.357491,563495,187853,TQ634878,4/1/2020 12:00:00 AM,,13,,,West Horndon,1.2,,,,Thurrock,Orsett,
CM13 3HE,Yes,51.560059,0.337482,562129,187164,TQ621871,1/1/1980 12:00:00 AM,,5,20,8,West Horndon,0.9,,Essex & Suffolk Water,Anglian Water,Thurrock,Orsett,
CM13 3HF,No,51.563055,0.338661,562200,187500,TQ621875,1/1/1992 12:00:00 AM,7/1/1995 12:00:00 AM,4,,,West Horndon,0.6,,,,Thurrock,Orsett,
CM13 3HG,Yes,51.566480,0.335691,561982,187874,TQ619878,1/1/1980 12:00:00 AM,,8,3,2,West Horndon,0.4,,Essex & Suffolk Water,Anglian Water,Thurrock,Orsett,
CM13 3HH,Yes,51.566719,0.339354,562235,187909,TQ622879,1/1/1980 12:00:00 AM,,8,2,1,West Horndon,0.2,West Horndon,Essex & Suffolk Water,Anglian Water,Thurrock,Orsett,
CM13 3HJ,Yes,51.567382,0.339633,562252,187983,TQ622879,1/1/1980 12:00:00 AM,,10,6,2,West Horndon,0.1,West Horndon,Essex & Suffolk Water,Anglian Water,Thurrock,Orsett,
CM13 3HQ,No,51.565808,0.335916,562000,187800,TQ619878,7/1/1995 12:00:00 AM,12/1/1996 12:00:00 AM,7,,,West Horndon,0.4,,,,Thurrock,Orsett,
CM13 3LX,Yes,51.562667,0.361741,563801,187508,TQ638875,1/1/1980 12:00:00 AM,,9,10,4,West Horndon,1.6,,Essex & Suffolk Water,Anglian Water,Thurrock,Orsett,
CM13 3XG,No,51.567547,0.338892,562200,188000,TQ622880,9/1/1991 12:00:00 AM,7/1/1995 12:00:00 AM,9,,,West Horndon,0.1,,,,Thurrock,Orsett,
CM13 3XH,No,51.567547,0.338892,562200,188000,TQ622880,1/1/1980 12:00:00 AM,12/1/1990 12:00:00 AM,9,,,West Horndon,0.1,,,,Thurrock,Orsett,
CM13 3XN,No,51.567547,0.338892,562200,188000,TQ622880,4/1/1987 12:00:00 AM,12/1/1990 12:00:00 AM,9,,,West Horndon,0.1,,,,Thurrock,Orsett,
CM13 3XP,No,51.567547,0.338892,562200,188000,TQ622880,6/1/1981 12:00:00 AM,7/1/1995 12:00:00 AM,9,,,West Horndon,0.1,,,,Thurrock,Orsett,
CM13 3XQ,No,51.567547,0.338892,562200,188000,TQ622880,1/1/1980 12:00:00 AM,12/1/1990 12:00:00 AM,9,,,West Horndon,0.1,,,,Thurrock,Orsett,
CM13 3XR,No,51.567547,0.338892,562200,188000,TQ622880,6/1/1981 12:00:00 AM,7/1/1995 12:00:00 AM,9,,,West Horndon,0.1,,,,Thurrock,Orsett,
RM14 3BF,Yes,51.545038,0.394579,566141,185622,TQ661856,12/1/2009 12:00:00 AM,,42,9,3,Laindon,3.2,,Anglian Water,,Thurrock,Orsett,
RM14 3BJ,Yes,51.548053,0.369754,564409,185901,TQ644859,5/1/2017 12:00:00 AM,,8,,,West Horndon,3.0,Bulphan,Essex & Suffolk Water,Anglian Water,Thurrock,Orsett,
RM14 3BN,Yes,51.547795,0.349489,563005,185827,TQ630858,12/1/2018 12:00:00 AM,,7,,,West Horndon,2.3,,,,Thurrock,Orsett,
RM14 3BP,Yes,51.542131,0.339044,562301,185174,TQ623851,3/1/2019 12:00:00 AM,,23,,,West Horndon,2.9,,,,Thurrock,Orsett,
RM14 3EB,Yes,51.547226,0.402916,566711,185884,TQ667858,1/1/2020 12:00:00 AM,,20,,,Laindon,2.7,Basildon,,,Thurrock,Orsett,
RM14 3ED,Yes,51.547990,0.403375,566740,185970,TQ667859,12/1/2021 12:00:00 AM,,40,,,Laindon,2.6,Basildon,,,Thurrock,Orsett,
RM14 3EE,Yes,51.555436,0.392399,565952,186773,TQ659867,3/1/2021 12:00:00 AM,,22,,,Laindon,2.6,,,,Thurrock,Orsett,
RM14 3EF,Yes,51.546897,0.403187,566731,185848,TQ667858,10/1/2020 12:00:00 AM,,39,,,Laindon,2.7,Basildon,,,Thurrock,Orsett,
RM14 3EG,Yes,51.546322,0.402681,566698,185783,TQ666857,8/1/2020 12:00:00 AM,,42,,,Laindon,2.8,Basildon,,,Thurrock,Orsett,
RM14 3EN,Yes,51.550087,0.371937,564553,186132,TQ645861,7/1/2022 12:00:00 AM,,11,,,West Horndon,2.9,Bulphan,,,Thurrock,Orsett,
RM14 3PD,Yes,51.565241,0.316855,560681,187695,TQ606876,1/1/1980 12:00:00 AM,,9,4,1,West Horndon,1.7,,Essex & Suffolk Water,,Thurrock,Orsett,
RM14 3RE,Yes,51.539225,0.339948,562374,184853,TQ623848,6/1/1999 12:00:00 AM,,6,9,2,West Horndon,3.2,,Anglian Water,,Thurrock,Orsett,
RM14 3RH,Yes,51.540435,0.325661,561379,184956,TQ613849,1/1/1980 12:00:00 AM,,5,16,8,Ockendon,3.2,,Essex & Suffolk Water,Anglian Water,Thurrock,Orsett,
RM14 3RJ,Yes,51.545701,0.336847,562136,185566,TQ621855,1/1/1980 12:00:00 AM,,6,10,4,West Horndon,2.5,,Essex & Suffolk Water,,Thurrock,Orsett,
RM14 3RL,Yes,51.548071,0.354595,563358,185869,TQ633858,1/1/1980 12:00:00 AM,,6,19,9,West Horndon,2.4,,Essex & Suffolk Water,,Thurrock,Orsett,
RM14 3RP,Yes,51.548438,0.348268,562918,185896,TQ629858,1/1/1980 12:00:00 AM,,6,5,3,West Horndon,2.2,,Essex & Suffolk Water,,Thurrock,Orsett,
RM14 3RR,Yes,51.548764,0.348731,562949,185933,TQ629859,1/1/1980 12:00:00 AM,,6,5,3,West Horndon,2.2,,Essex & Suffolk Water,,Thurrock,Orsett,
RM14 3RS,Yes,51.548456,0.349163,562980,185900,TQ629858,1/1/1980 12:00:00 AM,,6,7,4,West Horndon,2.2,,Essex & Suffolk Water,,Thurrock,Orsett,
RM14 3RT,Yes,51.548714,0.364553,564046,185963,TQ640859,1/1/1980 12:00:00 AM,,9,54,23,West Horndon,2.7,Bulphan,Essex & Suffolk Water,Anglian Water,Thurrock,Orsett,
RM14 3RU,Yes,51.548098,0.362501,563906,185890,TQ639858,1/1/1980 12:00:00 AM,,9,48,16,West Horndon,2.7,Bulphan,Essex & Suffolk Water,,Thurrock,Orsett,
RM14 3RX,Yes,51.546682,0.361822,563864,185731,TQ638857,1/1/1980 12:00:00 AM,,9,110,32,West Horndon,2.8,Bulphan,Essex & Suffolk Water,Anglian Water,Thurrock,Orsett,
RM14 3SA,Yes,51.545268,0.361504,563847,185573,TQ638855,1/1/1980 12:00:00 AM,,7,19,8,West Horndon,2.9,Bulphan,Essex & Suffolk Water,,Thurrock,Orsett,
RM14 3SB,Yes,51.546948,0.363913,564008,185765,TQ640857,1/1/1980 12:00:00 AM,,9,90,32,West Horndon,2.8,Bulphan,Essex & Suffolk Water,,Thurrock,Orsett,
RM14 3SD,Yes,51.545679,0.362506,563915,185621,TQ639856,1/1/1980 12:00:00 AM,,8,38,14,West Horndon,2.9,Bulphan,Essex & Suffolk Water,,Thurrock,Orsett,
RM14 3SJ,Yes,51.548695,0.366340,564170,185965,TQ641859,1/1/1980 12:00:00 AM,,9,14,6,West Horndon,2.8,Bulphan,Essex & Suffolk Water,,Thurrock,Orsett,
RM14 3SL,Yes,51.553725,0.365346,564083,186522,TQ640865,1/1/1980 12:00:00 AM,,11,24,8,West Horndon,2.3,Bulphan,Essex & Suffolk Water,,Thurrock,Orsett,
RM14 3SP,Yes,51.553585,0.360348,563737,186495,TQ637864,1/1/1980 12:00:00 AM,,9,39,16,West Horndon,2.1,Bulphan,Essex & Suffolk Water,,Thurrock,Orsett,
RM14 3SR,Yes,51.553180,0.366948,564196,186465,TQ641864,1/1/1980 12:00:00 AM,,11,,,West Horndon,2.4,Bulphan,Essex & Suffolk Water,,Thurrock,Orsett,
RM14 3SS,Yes,51.552252,0.369814,564398,186368,TQ643863,1/1/1980 12:00:00 AM,,10,6,2,West Horndon,2.7,Bulphan,Essex & Suffolk Water,,Thurrock,Orsett,
RM14 3ST,Yes,51.551703,0.369252,564361,186306,TQ643863,1/1/1980 12:00:00 AM,,10,16,6,West Horndon,2.7,Bulphan,Essex & Suffolk Water,,Thurrock,Orsett,
RM14 3SU,Yes,51.550828,0.369524,564383,186209,TQ643862,1/1/1980 12:00:00 AM,,10,7,3,West Horndon,2.8,Bulphan,Essex & Suffolk Water,,Thurrock,Orsett,
RM14 3SW,Yes,51.552953,0.369692,564387,186446,TQ643864,4/1/2013 12:00:00 AM,,11,,,West Horndon,2.6,Bulphan,Essex & Suffolk Water,Anglian Water,Thurrock,Orsett,
RM14 3SX,Yes,51.550363,0.373827,564683,186167,TQ646861,1/1/1980 12:00:00 AM,,13,1,1,West Horndon,3.0,,Essex & Suffolk Water,,Thurrock,Orsett,
RM14 3TA,Yes,51.551167,0.378081,564975,186266,TQ649862,1/1/1980 12:00:00 AM,,12,5,2,West Horndon,3.2,,Essex & Suffolk Water,,Thurrock,Orsett,
