Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
CB1 3ES,Yes,52.192383,0.177070,548908,257138,TL489571,5/1/2022 12:00:00 AM,,13,,,Cambridge,2.7,Cambridge (Cambridge),,,Cambridge,Cherry Hinton,Cherry Hinton
CB1 3EX,Yes,52.194953,0.175997,548826,257422,TL488574,4/1/2013 12:00:00 AM,,18,,,Cambridge,2.6,Cambridge (Cambridge),Cambridge Water,Anglian Water,Cambridge,Cherry Hinton,Cherry Hinton
CB1 3FF,Yes,52.197028,0.170478,548442,257642,TL484576,3/1/2019 12:00:00 AM,,13,,,Cambridge,2.3,Cambridge (Cambridge),,,Cambridge,Cherry Hinton,Cherry Hinton
CB1 3FG,Yes,52.196372,0.169977,548410,257568,TL484575,6/1/2019 12:00:00 AM,,12,,,Cambridge,2.2,Cambridge (Cambridge),,,Cambridge,Cherry Hinton,Cherry Hinton
CB1 3FP,Yes,52.195234,0.182886,549296,257467,TL492574,2/1/2022 12:00:00 AM,,12,,,Cambridge,3.1,,,,Cambridge,Cherry Hinton,Cherry Hinton
CB1 3GL,Yes,52.196115,0.174912,548748,257549,TL487575,6/1/2001 12:00:00 AM,,17,53,20,Cambridge,2.6,Cambridge (Cambridge),Cambridge Water,Anglian Water,Cambridge,Cherry Hinton,Cherry Hinton
CB1 3HD,Yes,52.195120,0.174249,548706,257437,TL487574,8/1/1993 12:00:00 AM,,21,,,Cambridge,2.5,Cambridge (Cambridge),Cambridge Water,Anglian Water,Cambridge,Cherry Hinton,Cherry Hinton
CB1 3HQ,Yes,52.196464,0.171095,548486,257580,TL484575,1/1/1980 12:00:00 AM,,19,35,18,Cambridge,2.3,Cambridge (Cambridge),Cambridge Water,Anglian Water,Cambridge,Cherry Hinton,Cherry Hinton
CB1 3JF,Yes,52.192886,0.172999,548628,257186,TL486571,1/1/1980 12:00:00 AM,,20,37,15,Cambridge,2.4,Cambridge (Cambridge),Cambridge Water,Anglian Water,Cambridge,Cherry Hinton,Cherry Hinton
CB1 3JG,Yes,52.193130,0.173918,548690,257215,TL486572,1/1/1980 12:00:00 AM,,21,50,16,Cambridge,2.5,Cambridge (Cambridge),Cambridge Water,Anglian Water,Cambridge,Cherry Hinton,Cherry Hinton
CB1 3JH,Yes,52.195831,0.171048,548485,257510,TL484575,8/1/2018 12:00:00 AM,,20,1,1,Cambridge,2.3,Cambridge (Cambridge),,,Cambridge,Cherry Hinton,Cherry Hinton
CB1 3JL,Yes,52.193654,0.174265,548712,257274,TL487572,1/1/1980 12:00:00 AM,,22,80,26,Cambridge,2.5,Cambridge (Cambridge),Cambridge Water,Anglian Water,Cambridge,Cherry Hinton,Cherry Hinton
CB1 3JN,Yes,52.193555,0.176689,548878,257268,TL488572,1/1/1980 12:00:00 AM,,19,83,25,Cambridge,2.7,Cambridge (Cambridge),Cambridge Water,Anglian Water,Cambridge,Cherry Hinton,Cherry Hinton
CB1 3JP,Yes,52.191937,0.174211,548714,257083,TL487570,1/1/1980 12:00:00 AM,,20,54,21,Cambridge,2.5,Cambridge (Cambridge),Cambridge Water,Anglian Water,Cambridge,Cherry Hinton,Cherry Hinton
CB1 3JQ,Yes,52.192882,0.172706,548608,257185,TL486571,1/1/1980 12:00:00 AM,,20,111,43,Cambridge,2.4,Cambridge (Cambridge),Cambridge Water,Anglian Water,Cambridge,Cherry Hinton,Cherry Hinton
CB1 3JR,Yes,52.192100,0.176589,548876,257106,TL488571,1/1/1980 12:00:00 AM,,21,49,18,Cambridge,2.7,Cambridge (Cambridge),Cambridge Water,Anglian Water,Cambridge,Cherry Hinton,Cherry Hinton
