Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
GL12 7EH,Yes,51.600327,-2.290457,379979,189094,ST799890,1/1/2008 12:00:00 AM,,180,2,1,Yate,11.8,,Severn Trent,,Stroud,Kingswood,Wotton-under-Edge
GL12 7FA,Yes,51.601805,-2.336839,376767,189272,ST767892,9/1/2021 12:00:00 AM,,106,,,Yate,9.5,Hillesley,,,Stroud,Kingswood,Wotton-under-Edge
GL12 7PY,Yes,51.648505,-2.303874,379072,194456,ST790944,1/1/1980 12:00:00 AM,,232,6,5,Cam and Dursley,8.6,,Severn Trent,,Cotswold,Grumbolds Ash with Avening,Tetbury
GL12 7PZ,Yes,51.638388,-2.311349,378550,193333,ST785933,1/1/1980 12:00:00 AM,,203,16,6,Cam and Dursley,9.4,,Severn Trent,,Cotswold,Grumbolds Ash with Avening,Tetbury
GL12 7QA,Yes,51.638142,-2.299610,379362,193302,ST793933,1/1/1980 12:00:00 AM,,164,25,8,Cam and Dursley,9.7,,Severn Trent,,Cotswold,Grumbolds Ash with Avening,Tetbury
GL12 7QB,Yes,51.633068,-2.299841,379344,192738,ST793927,1/1/1980 12:00:00 AM,,102,5,3,Cam and Dursley,10.2,,Severn Trent,,Cotswold,Grumbolds Ash with Avening,Tetbury
GL12 7QR,Yes,51.625559,-2.314537,378323,191907,ST783919,1/1/1980 12:00:00 AM,,93,2,1,Cam and Dursley,10.7,,Severn Trent,,Cotswold,Grumbolds Ash with Avening,Tetbury
GL12 7QT,Yes,51.617060,-2.334370,376946,190968,ST769909,1/1/1980 12:00:00 AM,,95,66,26,Yate,10.9,,Bristol Water,,Stroud,Kingswood,Wotton-under-Edge
GL12 7QU,Yes,51.621906,-2.356416,375422,191514,ST754915,1/1/1980 12:00:00 AM,,47,41,15,Yate,10.5,,Severn Trent,,Stroud,Kingswood,Wotton-under-Edge
GL12 7QX,Yes,51.608340,-2.364241,374873,190008,ST748900,1/1/1980 12:00:00 AM,,78,16,6,Yate,8.9,,Bristol Water,,Stroud,Kingswood,Wotton-under-Edge
GL12 7QY,Yes,51.605225,-2.347683,376018,189656,ST760896,1/1/1980 12:00:00 AM,,70,18,6,Yate,9.3,,Bristol Water,,Stroud,Kingswood,Wotton-under-Edge
GL12 7QZ,Yes,51.602608,-2.351211,375772,189366,ST757893,1/1/1980 12:00:00 AM,,87,2,1,Yate,8.9,,Severn Trent,,Stroud,Kingswood,Wotton-under-Edge
