Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
BH13 7EE,Yes,50.688908,-1.957422,403104,87696,SZ031876,6/1/1997 12:00:00 AM,,3,39,12,Parkstone (Dorset),3.8,,Wessex Water,,Dorset,South East Purbeck,
BH15 1EE,No,50.689846,-1.965972,402500,87800,SZ024878,1/1/1980 12:00:00 AM,6/1/1997 12:00:00 AM,17,,,Poole,3.5,,,,Dorset,South East Purbeck,
BH15 1EF,Yes,50.686251,-2.016984,398896,87400,SY988873,1/1/1980 12:00:00 AM,,12,2,1,Hamworthy,4.3,,,,Dorset,South East Purbeck,
BH19 1AA,Yes,50.609403,-1.959189,402984,78855,SZ029788,1/1/1980 12:00:00 AM,,4,,,Corfe Castle,7.5,Swanage,,,Dorset,Swanage,
BH19 1AB,Yes,50.609241,-1.957790,403083,78837,SZ030788,1/1/1980 12:00:00 AM,,5,23,13,Corfe Castle,7.6,Swanage,Wessex Water,,Dorset,Swanage,
BH19 1AD,Yes,50.609610,-1.958878,403006,78878,SZ030788,1/1/1980 12:00:00 AM,,4,19,8,Corfe Castle,7.5,Swanage,Wessex Water,,Dorset,Swanage,
BH19 1AE,Yes,50.609537,-1.957875,403077,78870,SZ030788,1/1/1980 12:00:00 AM,,5,10,4,Corfe Castle,7.6,Swanage,Wessex Water,,Dorset,Swanage,
BH19 1AF,Yes,50.609880,-1.958963,403000,78908,SZ029789,1/1/1980 12:00:00 AM,,4,12,10,Corfe Castle,7.5,Swanage,Wessex Water,,Dorset,Swanage,
BH19 1AG,No,50.609861,-1.958595,403026,78906,SZ030789,1/1/1980 12:00:00 AM,6/1/2009 12:00:00 AM,5,,,Corfe Castle,7.5,Swanage,Wessex Water,,Dorset,Swanage,
BH19 1AH,Yes,50.611624,-1.959258,402979,79102,SZ029791,1/1/1980 12:00:00 AM,,7,1,1,Corfe Castle,7.4,Swanage,Wessex Water,,Dorset,Swanage,
