Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
BT24 8GY,Yes,54.361847,-5.909795,146096,503307,NW460033,3/1/2007 12:00:00 AM,,113,,,,,,Northern Ireland Water,,"Newry, Mourne and Down",Ballyward,
BT24 8JL,Yes,54.393562,-5.922564,145463,506879,NW454068,12/1/1984 12:00:00 AM,,149,35,11,,,,Northern Ireland Water,,"Newry, Mourne and Down",Ballyward,
BT24 8JP,Yes,54.380396,-5.927139,145085,505432,NW450054,12/1/1984 12:00:00 AM,,123,15,5,,,,Northern Ireland Water,,"Newry, Mourne and Down",Ballyward,
BT24 8JR,Yes,54.383707,-5.919552,145598,505773,NW455057,12/1/1984 12:00:00 AM,,132,46,17,,,,Northern Ireland Water,,"Newry, Mourne and Down",Ballyward,
BT24 8JU,Yes,54.370737,-5.929750,144855,504368,NW448043,12/1/1984 12:00:00 AM,,151,22,10,,,,Northern Ireland Water,,"Newry, Mourne and Down",Ballyward,
BT24 8JX,Yes,54.378981,-5.938432,144343,505316,NW443053,12/1/1984 12:00:00 AM,,149,27,8,,,,Northern Ireland Water,,"Newry, Mourne and Down",Ballyward,
BT24 8JY,Yes,54.374577,-5.942546,144049,504841,NW440048,12/1/1984 12:00:00 AM,,180,47,15,,,,Northern Ireland Water,,"Newry, Mourne and Down",Ballyward,
BT24 8JZ,Yes,54.361103,-5.927604,144935,503289,NW449032,12/1/1984 12:00:00 AM,,174,45,18,,,,Northern Ireland Water,,"Newry, Mourne and Down",Ballyward,
BT24 8LA,Yes,54.367597,-5.942126,144032,504063,NW440040,12/1/1984 12:00:00 AM,,167,,,,,,Northern Ireland Water,,"Newry, Mourne and Down",Ballyward,
BT24 8LY,Yes,54.355216,-5.841429,150495,502325,NW504023,12/1/1984 12:00:00 AM,,72,57,18,,,,Northern Ireland Water,,"Newry, Mourne and Down",Ballydugan,
BT24 8NG,Yes,54.353849,-5.872713,148455,502285,NW484022,12/1/1984 12:00:00 AM,,106,178,56,,,,Northern Ireland Water,,"Newry, Mourne and Down",Ballydugan,
BT24 8NJ,Yes,54.343947,-5.887020,147465,501235,NW474012,12/1/1984 12:00:00 AM,,111,10,5,,,,Northern Ireland Water,,"Newry, Mourne and Down",Ballydugan,
BT24 8NN,Yes,54.356800,-5.885206,147662,502657,NW476026,12/1/1984 12:00:00 AM,,95,16,6,,,,Northern Ireland Water,,"Newry, Mourne and Down",Ballydugan,
BT24 8NP,Yes,54.345467,-5.893786,147035,501428,NW470014,12/1/1984 12:00:00 AM,,119,41,17,,,,Northern Ireland Water,,"Newry, Mourne and Down",Ballydugan,
BT24 8NR,Yes,54.337399,-5.890724,147184,500520,NW471005,12/1/1984 12:00:00 AM,,105,12,4,,,,Northern Ireland Water,,"Newry, Mourne and Down",Ballydugan,
BT24 8NS,Yes,54.332348,-5.882449,147691,499929,SB476999,12/1/1984 12:00:00 AM,,100,79,29,,,,Northern Ireland Water,,"Newry, Mourne and Down",Ballydugan,
BT24 8NT,Yes,54.342105,-5.853958,149602,500912,NW496009,12/1/1984 12:00:00 AM,,83,70,22,,,,Northern Ireland Water,,"Newry, Mourne and Down",Ballydugan,
BT24 8NU,Yes,54.331306,-5.862131,149005,499740,SB490997,12/1/1984 12:00:00 AM,,93,102,34,,,,Northern Ireland Water,,"Newry, Mourne and Down",Ballydugan,
BT24 8NX,Yes,54.346518,-5.863587,149003,501437,NW490014,12/1/1984 12:00:00 AM,,126,,,,,,Northern Ireland Water,,"Newry, Mourne and Down",Ballydugan,
BT24 8PB,Yes,54.325622,-5.879613,147834,499171,SB478991,12/1/1984 12:00:00 AM,,105,,,,,,Northern Ireland Water,,"Newry, Mourne and Down",Ballydugan,
BT24 8PY,Yes,54.357131,-5.902604,146534,502757,NW465027,12/1/1984 12:00:00 AM,,110,22,6,,,,Northern Ireland Water,,"Newry, Mourne and Down",Ballyward,
BT24 8PZ,Yes,54.354825,-5.912106,145903,502535,NW459025,12/1/1984 12:00:00 AM,,121,60,15,,,,Northern Ireland Water,,"Newry, Mourne and Down",Ballyward,
BT24 8QE,Yes,54.359970,-5.913983,145812,503113,NW458031,12/1/1984 12:00:00 AM,,129,31,9,,,,Northern Ireland Water,,"Newry, Mourne and Down",Ballyward,
BT24 8QF,Yes,54.354997,-5.896652,146907,502498,NW469024,12/1/1984 12:00:00 AM,,96,25,10,,,,Northern Ireland Water,,"Newry, Mourne and Down",Ballyward,
BT24 8QG,Yes,54.349647,-5.900048,146654,501915,NW466019,12/1/1984 12:00:00 AM,,123,38,12,,,,Northern Ireland Water,,"Newry, Mourne and Down",Ballyward,
BT24 8QJ,Yes,54.346992,-5.913810,145743,501670,NW457016,12/1/1984 12:00:00 AM,,156,15,6,,,,Northern Ireland Water,,"Newry, Mourne and Down",Ballyward,
BT24 8QL,Yes,54.338651,-5.917308,145465,500755,NW454007,12/1/1984 12:00:00 AM,,183,,,,,,Northern Ireland Water,,"Newry, Mourne and Down",Ballyward,
BT24 8QN,Yes,54.334737,-5.935265,144274,500385,NW442003,12/1/1984 12:00:00 AM,,188,39,13,,,,Northern Ireland Water,,"Newry, Mourne and Down",Ballyward,
BT24 8QP,Yes,54.333194,-5.942769,143776,500241,NW437002,12/1/1984 12:00:00 AM,,217,,,,,,Northern Ireland Water,,"Newry, Mourne and Down",Ballyward,
BT24 8QQ,Yes,54.346736,-5.914592,145691,501644,NW456016,12/1/1984 12:00:00 AM,,158,67,24,,,,Northern Ireland Water,,"Newry, Mourne and Down",Ballyward,
