Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
PE10 0BD,Yes,52.787535,-0.263198,517225,322520,TF172225,1/1/1980 12:00:00 AM,,4,5,2,Spalding,7.1,,Anglian Water,,South Holland,Pinchbeck and Surfleet,Spalding Elloe
PE10 0DW,Yes,52.752199,-0.291684,515397,318544,TF153185,1/1/1980 12:00:00 AM,,4,1,1,Spalding,9.9,,Anglian Water,,South Holland,Crowland and Deeping St Nicholas,Spalding Elloe
PE11 1AA,No,52.786395,-0.153382,524633,322578,TF246225,1/1/1980 12:00:00 AM,6/1/2001 12:00:00 AM,8,,,Spalding,0.4,Spalding,,,South Holland,Spalding St John's,Spalding South
PE11 1AB,No,52.786755,-0.153441,524628,322618,TF246226,1/1/1980 12:00:00 AM,8/1/2021 12:00:00 AM,9,,,Spalding,0.3,Spalding,Anglian Water,,South Holland,Spalding Castle,Spalding Elloe
PE11 1AD,No,52.787094,-0.153234,524641,322656,TF246226,4/1/1987 12:00:00 AM,2/1/2004 12:00:00 AM,9,,,Spalding,0.3,Spalding,,,South Holland,Spalding Castle,Spalding Elloe
PE11 1AE,Yes,52.786500,-0.152997,524659,322590,TF246225,1/1/1980 12:00:00 AM,,8,26,15,Spalding,0.4,Spalding,Anglian Water,,South Holland,Spalding Castle,Spalding Elloe
PE11 1AF,Yes,52.786217,-0.152727,524678,322559,TF246225,1/1/1980 12:00:00 AM,,8,10,4,Spalding,0.4,Spalding,Anglian Water,,South Holland,Spalding St John's,Spalding South
PE11 1AG,Yes,52.786129,-0.152474,524695,322550,TF246225,1/1/1980 12:00:00 AM,,6,,,Spalding,0.4,Spalding,Anglian Water,,South Holland,Spalding St John's,Spalding South
PE11 1AH,No,52.787094,-0.153234,524641,322656,TF246226,9/1/1991 12:00:00 AM,2/1/2008 12:00:00 AM,9,,,Spalding,0.3,Spalding,,,South Holland,Spalding Castle,Spalding Elloe
PE11 1AJ,Yes,52.793754,-0.168170,523615,323371,TF236233,1/1/1995 12:00:00 AM,,4,61,20,Spalding,0.9,Spalding,Anglian Water,,South Holland,Spalding Wygate,Spalding West
PE11 1AL,Yes,52.791260,-0.162742,523988,323103,TF239231,1/1/2007 12:00:00 AM,,4,23,7,Spalding,0.5,Spalding,Anglian Water,,South Holland,Spalding Wygate,Spalding West
PE11 1AN,Yes,52.785970,-0.151343,524772,322534,TF247225,1/1/1980 12:00:00 AM,,8,2,1,Spalding,0.5,Spalding,Anglian Water,,South Holland,Spalding St John's,Spalding South
PE11 1AP,No,52.785655,-0.150937,524800,322500,TF248224,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,8,,,Spalding,0.5,Spalding,,,South Holland,Spalding St John's,Spalding South
PE11 1AQ,No,52.786577,-0.152381,524700,322600,TF247225,1/1/1980 12:00:00 AM,8/1/1997 12:00:00 AM,9,,,Spalding,0.4,Spalding,,,South Holland,Spalding Castle,Spalding Elloe
PE11 1AR,No,52.787458,-0.154109,524581,322695,TF245226,1/1/1980 12:00:00 AM,10/1/2016 12:00:00 AM,8,,,Spalding,0.2,Spalding,Anglian Water,,South Holland,Spalding Castle,Spalding Elloe
PE11 1AS,Yes,52.785412,-0.150903,524803,322473,TF248224,1/1/1980 12:00:00 AM,,9,16,8,Spalding,0.6,Spalding,Anglian Water,,South Holland,Spalding St John's,Spalding South
PE11 1AT,Yes,52.786272,-0.151627,524752,322567,TF247225,1/1/1980 12:00:00 AM,,9,10,5,Spalding,0.5,Spalding,Anglian Water,,South Holland,Spalding Castle,Spalding Elloe
PE11 1AU,No,52.786554,-0.150899,524800,322600,TF248226,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,10,,,Spalding,0.5,Spalding,,,South Holland,Spalding Castle,Spalding Elloe
PE11 1AW,No,52.785662,-0.150804,524809,322501,TF248225,1/1/1980 12:00:00 AM,8/1/2010 12:00:00 AM,8,,,Spalding,0.5,Spalding,,,South Holland,Spalding St John's,Spalding South
PE11 1AX,No,52.789046,-0.161412,524084,322859,TF240228,12/1/1995 12:00:00 AM,4/1/2003 12:00:00 AM,4,,,Spalding,0.3,Spalding,,,South Holland,Spalding St John's,Spalding West
PE11 1AY,Yes,52.786634,-0.152947,524662,322605,TF246226,1/1/1980 12:00:00 AM,,9,19,11,Spalding,0.4,Spalding,Anglian Water,,South Holland,Spalding Castle,Spalding Elloe
PE11 1AZ,Yes,52.785338,-0.150773,524812,322465,TF248224,1/1/1980 12:00:00 AM,,8,,,Spalding,0.6,Spalding,Anglian Water,,South Holland,Spalding St John's,Spalding South
PE11 1BA,No,52.786623,-0.155345,524500,322600,TF245225,1/1/1980 12:00:00 AM,7/1/1995 12:00:00 AM,7,,,Spalding,0.3,Spalding,,,South Holland,Spalding St John's,Spalding South
PE11 1BB,Yes,52.786804,-0.154067,524586,322622,TF245226,2/1/2017 12:00:00 AM,,8,,,Spalding,0.3,Spalding,Anglian Water,,South Holland,Spalding St John's,Spalding South
PE11 1BD,No,52.787201,-0.154357,524565,322666,TF245226,1/1/1980 12:00:00 AM,3/1/2008 12:00:00 AM,8,,,Spalding,0.2,Spalding,,,South Holland,Spalding St John's,Spalding South
PE11 1BE,Yes,52.787561,-0.153793,524602,322707,TF246227,1/1/1980 12:00:00 AM,,8,2,1,Spalding,0.2,Spalding,Anglian Water,,South Holland,Spalding Castle,Spalding Elloe
PE11 1BF,Yes,52.789018,-0.164854,523852,322850,TF238228,1/1/2007 12:00:00 AM,,3,162,71,Spalding,0.5,Spalding,Anglian Water,,South Holland,Spalding Monks House,Spalding West
PE11 1BG,Yes,52.787621,-0.153583,524616,322714,TF246227,1/1/1980 12:00:00 AM,,8,,,Spalding,0.3,Spalding,Anglian Water,,South Holland,Spalding Castle,Spalding Elloe
PE11 1BH,Yes,52.787332,-0.153303,524636,322682,TF246226,1/1/1980 12:00:00 AM,,9,,,Spalding,0.3,Spalding,Anglian Water,,South Holland,Spalding Castle,Spalding Elloe
PE11 1BJ,No,52.787499,-0.153825,524600,322700,TF246227,1/1/1980 12:00:00 AM,7/1/1995 12:00:00 AM,8,,,Spalding,0.3,Spalding,,,South Holland,Spalding Castle,Spalding Elloe
PE11 1BL,No,52.786899,-0.153420,524629,322634,TF246226,1/1/1980 12:00:00 AM,8/1/2010 12:00:00 AM,9,,,Spalding,0.3,Spalding,,,South Holland,Spalding Castle,Spalding Elloe
PE11 1BN,Yes,52.786971,-0.152680,524679,322643,TF246226,1/1/1980 12:00:00 AM,,9,20,10,Spalding,0.3,Spalding,Anglian Water,,South Holland,Spalding Castle,Spalding Elloe
PE11 1BP,Yes,52.787597,-0.154181,524576,322710,TF245227,1/1/1980 12:00:00 AM,,8,33,15,Spalding,0.2,Spalding,Anglian Water,,South Holland,Spalding Castle,Spalding Elloe
PE11 1BQ,No,52.803781,-0.147513,524979,324522,TF249245,12/1/1995 12:00:00 AM,6/1/2008 12:00:00 AM,3,,,Spalding,1.8,Pinchbeck,,,South Holland,Pinchbeck and Surfleet,Spalding Elloe
PE11 1BS,Yes,52.788129,-0.152527,524686,322772,TF246227,1/1/1980 12:00:00 AM,,8,,,Spalding,0.3,Spalding,Anglian Water,,South Holland,Spalding Castle,Spalding Elloe
PE11 1BT,Yes,52.788017,-0.153655,524610,322758,TF246227,1/1/1980 12:00:00 AM,,8,21,17,Spalding,0.2,Spalding,Anglian Water,,South Holland,Spalding Castle,Spalding Elloe
PE11 1BU,No,52.787928,-0.153703,524607,322748,TF246227,1/1/1980 12:00:00 AM,10/1/2001 12:00:00 AM,8,,,Spalding,0.2,Spalding,,,South Holland,Spalding Castle,Spalding Elloe
PE11 1BW,No,52.787457,-0.153441,524626,322696,TF246226,12/1/2001 12:00:00 AM,8/1/2004 12:00:00 AM,8,,,Spalding,0.3,Spalding,,,South Holland,Spalding Castle,Spalding Elloe
PE11 1BX,No,52.787522,-0.155307,524500,322700,TF245227,1/1/1980 12:00:00 AM,12/1/1996 12:00:00 AM,7,,,Spalding,0.2,Spalding,,,South Holland,Spalding Castle,Spalding Elloe
PE11 1BY,No,52.788420,-0.155269,524500,322800,TF245227,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,8,,,Spalding,0.1,Spalding,,,South Holland,Spalding Castle,Spalding Elloe
PE11 1BZ,No,52.786623,-0.154159,524580,322602,TF245226,1/1/1980 12:00:00 AM,6/1/2003 12:00:00 AM,8,,,Spalding,0.3,Spalding,,,South Holland,Spalding St John's,Spalding South
PE11 1DA,Yes,52.789248,-0.152228,524703,322897,TF247228,1/1/1980 12:00:00 AM,,7,,,Spalding,0.3,Spalding,Anglian Water,,South Holland,Spalding Castle,Spalding Elloe
PE11 1DB,No,52.803781,-0.147513,524979,324522,TF249245,1/1/1980 12:00:00 AM,6/1/2008 12:00:00 AM,3,,,Spalding,1.8,Pinchbeck,,,South Holland,Pinchbeck and Surfleet,Spalding Elloe
PE11 1DD,No,52.786031,-0.150788,524809,322542,TF248225,1/1/1980 12:00:00 AM,6/1/2000 12:00:00 AM,8,,,Spalding,0.5,Spalding,,,South Holland,Spalding Castle,Spalding Elloe
PE11 1DE,No,52.785679,-0.152419,524700,322500,TF247225,1/1/1995 12:00:00 AM,12/1/1995 12:00:00 AM,7,,,Spalding,0.5,Spalding,,,South Holland,Spalding St John's,Spalding South
PE11 1DF,Yes,52.784858,-0.161904,524063,322392,TF240223,10/1/2018 12:00:00 AM,,5,,,Spalding,0.6,Spalding,,,South Holland,Spalding St John's,Spalding South
PE11 1DG,No,52.788374,-0.152305,524700,322800,TF246228,1/1/1980 12:00:00 AM,7/1/1995 12:00:00 AM,7,,,Spalding,0.3,Spalding,,,South Holland,Spalding Castle,Spalding Elloe
PE11 1DH,Yes,52.788735,-0.151063,524783,322842,TF247228,1/1/1980 12:00:00 AM,,8,,,Spalding,0.4,Spalding,Anglian Water,,South Holland,Spalding Castle,Spalding Elloe
PE11 1DJ,No,52.788891,-0.161878,524053,322841,TF240228,1/1/1993 12:00:00 AM,12/1/1997 12:00:00 AM,4,,,Spalding,0.3,Spalding,,,South Holland,Spalding St John's,Spalding West
PE11 1DL,Yes,52.788549,-0.150656,524811,322822,TF248228,1/1/1980 12:00:00 AM,,9,4,3,Spalding,0.4,Spalding,Anglian Water,,South Holland,Spalding Castle,Spalding Elloe
PE11 1DN,Yes,52.788271,-0.151291,524769,322790,TF247227,1/1/1980 12:00:00 AM,,8,5,3,Spalding,0.4,Spalding,Anglian Water,,South Holland,Spalding Castle,Spalding Elloe
PE11 1DP,Yes,52.786351,-0.149395,524902,322580,TF249225,12/1/1996 12:00:00 AM,,9,10,8,Spalding,0.6,Spalding,Anglian Water,,South Holland,Spalding St Mary's,Spalding East
PE11 1DQ,Yes,52.788580,-0.151500,524754,322824,TF247228,1/1/1980 12:00:00 AM,,7,2,1,Spalding,0.4,Spalding,Anglian Water,,South Holland,Spalding Castle,Spalding Elloe
