Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
DY12 1SU,Yes,52.438256,-2.326272,377917,282304,SO779823,1/1/1980 12:00:00 AM,,157,1,1,Kidderminster,8.4,,Severn Trent,,Shropshire,Alveley and Claverley,
DY12 2LT,Yes,52.385161,-2.339045,377021,276402,SO770764,1/1/1980 12:00:00 AM,,50,1,1,Kidderminster,6.8,,Severn Trent,,Shropshire,Cleobury Mortimer,
DY12 3AB,Yes,52.387943,-2.334306,377345,276710,SO773767,1/1/1980 12:00:00 AM,,73,15,6,Kidderminster,6.5,,Severn Trent,,Shropshire,Cleobury Mortimer,
DY12 3AD,Yes,52.392886,-2.344277,376669,277263,SO766772,1/1/1980 12:00:00 AM,,114,3,2,Kidderminster,7.2,,Severn Trent,,Shropshire,Cleobury Mortimer,
DY12 3AE,Yes,52.390329,-2.345624,376576,276979,SO765769,1/1/1980 12:00:00 AM,,103,135,73,Kidderminster,7.3,,Severn Trent,,Shropshire,Cleobury Mortimer,
DY12 3AF,Yes,52.393590,-2.346443,376522,277342,SO765773,1/1/1980 12:00:00 AM,,114,5,2,Kidderminster,7.4,,Severn Trent,,Shropshire,Cleobury Mortimer,
DY12 3AG,Yes,52.398261,-2.359839,375613,277866,SO756778,1/1/1980 12:00:00 AM,,100,39,16,Kidderminster,8.4,,Severn Trent,,Shropshire,Cleobury Mortimer,
DY12 3AL,Yes,52.401296,-2.371236,374839,278208,SO748782,1/1/1980 12:00:00 AM,,115,21,11,Kidderminster,9.2,,Severn Trent,,Shropshire,Cleobury Mortimer,
DY12 3AN,Yes,52.409699,-2.391609,373458,279150,SO734791,1/1/1980 12:00:00 AM,,150,14,7,Kidderminster,10.8,,Severn Trent,,Shropshire,Cleobury Mortimer,
DY12 3AP,Yes,52.412956,-2.406884,372421,279518,SO724795,1/1/1980 12:00:00 AM,,145,7,3,Kidderminster,11.8,,Severn Trent,,Shropshire,Cleobury Mortimer,
DY12 3AQ,Yes,52.399791,-2.366741,375144,278039,SO751780,1/1/1980 12:00:00 AM,,99,28,10,Kidderminster,8.9,,Severn Trent,,Shropshire,Cleobury Mortimer,
DY12 3AR,Yes,52.415697,-2.413543,371970,279825,SO719798,1/1/1980 12:00:00 AM,,133,7,3,Kidderminster,12.4,,Severn Trent,,Shropshire,Cleobury Mortimer,
DY12 3AS,Yes,52.419229,-2.416414,371777,280219,SO717802,1/1/1980 12:00:00 AM,,127,,,Kidderminster,12.7,,Severn Trent,,Shropshire,Cleobury Mortimer,
DY12 3AT,Yes,52.418605,-2.414894,371880,280149,SO718801,12/1/2001 12:00:00 AM,,126,17,8,Kidderminster,12.5,,Severn Trent,,Shropshire,Cleobury Mortimer,
DY12 3AU,Yes,52.420654,-2.426482,371093,280382,SO710803,1/1/1980 12:00:00 AM,,125,5,2,Kidderminster,13.4,,Severn Trent,,Shropshire,Cleobury Mortimer,
DY12 3AW,Yes,52.411197,-2.396550,373123,279318,SO731793,1/1/1980 12:00:00 AM,,142,7,5,Kidderminster,11.1,,Severn Trent,,Shropshire,Cleobury Mortimer,
DY12 3AX,Yes,52.418909,-2.415455,371842,280183,SO718801,1/1/1991 12:00:00 AM,,127,5,4,Kidderminster,12.6,,Severn Trent,,Shropshire,Cleobury Mortimer,
