Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
PL1 1AU,No,50.364425,-4.104385,250426,53731,SX504537,2/1/1984 12:00:00 AM,2/1/2006 12:00:00 AM,8,,,Plymouth,3.1,Plymouth,,,Plymouth,Plymstock Radford,
PL1 1BG,No,50.365584,-4.105463,250353,53862,SX503538,6/1/2000 12:00:00 AM,2/1/2019 12:00:00 AM,5,,,Plymouth,3.0,Plymouth,South West Water,,Plymouth,Plymstock Radford,
PL1 1DR,No,50.364425,-4.104385,250426,53731,SX504537,5/1/2009 12:00:00 AM,10/1/2011 12:00:00 AM,8,,,Plymouth,3.1,Plymouth,,,Plymouth,Plymstock Radford,
PL1 1EJ,No,50.365584,-4.105463,250353,53862,SX503538,12/1/1998 12:00:00 AM,2/1/2019 12:00:00 AM,5,,,Plymouth,3.0,Plymouth,South West Water,,Plymouth,Plymstock Radford,
PL1 1FJ,No,50.365584,-4.105463,250353,53862,SX503538,7/1/1995 12:00:00 AM,2/1/2019 12:00:00 AM,5,,,Plymouth,3.0,Plymouth,South West Water,,Plymouth,Plymstock Radford,
PL1 1FY,No,50.364425,-4.104385,250426,53731,SX504537,8/1/1993 12:00:00 AM,6/1/2008 12:00:00 AM,8,,,Plymouth,3.1,Plymouth,,,Plymouth,Plymstock Radford,
PL1 1GA,No,50.364425,-4.104385,250426,53731,SX504537,6/1/1999 12:00:00 AM,11/1/2005 12:00:00 AM,8,,,Plymouth,3.1,Plymouth,,,Plymouth,Plymstock Radford,
PL1 1GY,No,50.365584,-4.105463,250353,53862,SX503538,10/1/2014 12:00:00 AM,1/1/2018 12:00:00 AM,5,,,Plymouth,3.0,Plymouth,South West Water,,Plymouth,Plymstock Radford,
PL1 1HB,Yes,50.365584,-4.105463,250353,53862,SX503538,1/1/1980 12:00:00 AM,,5,,,Plymouth,3.0,Plymouth,South West Water,,Plymouth,Plymstock Radford,
PL1 1LX,No,50.365584,-4.105463,250353,53862,SX503538,8/1/2008 12:00:00 AM,8/1/2012 12:00:00 AM,5,,,Plymouth,3.0,Plymouth,,,Plymouth,Plymstock Radford,
PL1 1QS,No,50.364425,-4.104385,250426,53731,SX504537,9/1/2005 12:00:00 AM,8/1/2010 12:00:00 AM,8,,,Plymouth,3.1,Plymouth,South West Water,,Plymouth,Plymstock Radford,
PL1 1TX,No,50.365584,-4.105463,250353,53862,SX503538,6/1/1998 12:00:00 AM,3/1/2015 12:00:00 AM,5,,,Plymouth,3.0,Plymouth,,,Plymouth,Plymstock Radford,
PL1 1UP,No,50.364425,-4.104385,250426,53731,SX504537,1/1/1980 12:00:00 AM,6/1/2008 12:00:00 AM,8,,,Plymouth,3.1,Plymouth,,,Plymouth,Plymstock Radford,
PL1 1WG,Yes,50.365569,-4.105492,250351,53860,SX503538,11/1/2019 12:00:00 AM,,5,,,Plymouth,3.0,Plymouth,South West Water,,Plymouth,Plymstock Radford,
PL1 1WW,No,50.365584,-4.105463,250353,53862,SX503538,1/1/2005 12:00:00 AM,2/1/2019 12:00:00 AM,5,,,Plymouth,3.0,Plymouth,South West Water,,Plymouth,Plymstock Radford,
PL1 1WY,Yes,50.365569,-4.105492,250351,53860,SX503538,3/1/2019 12:00:00 AM,,5,,,Plymouth,3.0,Plymouth,South West Water,,Plymouth,Plymstock Radford,
PL1 1WZ,Yes,50.365569,-4.105492,250351,53860,SX503538,8/1/2023 12:00:00 AM,,5,,,Plymouth,3.0,Plymouth,South West Water,,Plymouth,Plymstock Radford,
PL1 1XB,No,50.365569,-4.105492,250351,53860,SX503538,7/1/2019 12:00:00 AM,8/1/2021 12:00:00 AM,5,,,Plymouth,3.0,Plymouth,South West Water,,Plymouth,Plymstock Radford,
PL1 1XY,No,50.365584,-4.105463,250353,53862,SX503538,12/1/1996 12:00:00 AM,2/1/2019 12:00:00 AM,5,,,Plymouth,3.0,Plymouth,South West Water,,Plymouth,Plymstock Radford,
PL1 1YA,No,50.365584,-4.105463,250353,53862,SX503538,6/1/2001 12:00:00 AM,2/1/2019 12:00:00 AM,5,,,Plymouth,3.0,Plymouth,South West Water,,Plymouth,Plymstock Radford,
PL1 1YH,No,50.365584,-4.105463,250353,53862,SX503538,6/1/1997 12:00:00 AM,2/1/2019 12:00:00 AM,5,,,Plymouth,3.0,Plymouth,South West Water,,Plymouth,Plymstock Radford,
PL1 1YN,No,50.365584,-4.105463,250353,53862,SX503538,6/1/2000 12:00:00 AM,2/1/2019 12:00:00 AM,5,,,Plymouth,3.0,Plymouth,South West Water,,Plymouth,Plymstock Radford,
PL1 1ZQ,No,50.365584,-4.105463,250353,53862,SX503538,4/1/2004 12:00:00 AM,2/1/2019 12:00:00 AM,5,,,Plymouth,3.0,Plymouth,South West Water,,Plymouth,Plymstock Radford,
PL1 1ZU,No,50.364425,-4.104385,250426,53731,SX504537,2/1/2004 12:00:00 AM,3/1/2008 12:00:00 AM,8,,,Plymouth,3.1,Plymouth,,,Plymouth,Plymstock Radford,
PL1 2WB,No,50.365584,-4.105463,250353,53862,SX503538,6/1/2002 12:00:00 AM,1/1/2013 12:00:00 AM,5,,,Plymouth,3.0,Plymouth,,,Plymouth,Plymstock Radford,
