Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
BA11 2PX,Yes,51.256547,-2.247382,382833,150849,ST828508,1/1/1980 12:00:00 AM,,63,1,1,Dilton Marsh,2.9,,Wessex Water,,Wiltshire,Ethandune,
BA11 2QA,Yes,51.256183,-2.241003,383278,150808,ST832508,1/1/1980 12:00:00 AM,,57,10,2,Dilton Marsh,2.4,,,,Wiltshire,Ethandune,
BA11 2RR,Yes,51.250579,-2.248242,382771,150186,ST827501,9/1/2008 12:00:00 AM,,61,4,1,Dilton Marsh,2.8,,Bristol Water,,Wiltshire,Ethandune,
BA11 6QL,Yes,51.294899,-2.278797,380657,155123,ST806551,6/1/2001 12:00:00 AM,,50,6,1,Avoncliff,5.0,,,,Wiltshire,Southwick,
BA12 0AA,Yes,51.209477,-2.179722,387542,145601,ST875456,1/1/1980 12:00:00 AM,,119,31,16,Warminster,0.4,Warminster,Wessex Water,,Wiltshire,Warminster North & Rural,
BA12 0AB,Yes,51.208912,-2.178947,387596,145538,ST875455,1/1/1980 12:00:00 AM,,119,86,37,Warminster,0.3,Warminster,Wessex Water,,Wiltshire,Warminster North & Rural,
BA12 0AD,Yes,51.231182,-2.186065,387105,148016,ST871480,1/1/1980 12:00:00 AM,,130,16,6,Dilton Marsh,2.5,,Wessex Water,,Wiltshire,Warminster North & Rural,
BA12 0AE,Yes,51.230545,-2.190775,386776,147946,ST867479,1/1/1980 12:00:00 AM,,135,63,24,Dilton Marsh,2.4,,Wessex Water,,Wiltshire,Warminster North & Rural,
BA12 0AF,Yes,51.182197,-2.104447,392796,142557,ST927425,5/1/2010 12:00:00 AM,,96,8,5,Warminster,5.7,Heytesbury,Wessex Water,,Wiltshire,Wylye Valley,
BA12 0AG,Yes,51.229835,-2.193459,386588,147867,ST865478,1/1/1980 12:00:00 AM,,135,33,19,Dilton Marsh,2.4,,Wessex Water,,Wiltshire,Warminster North & Rural,
BA12 0AH,Yes,51.227870,-2.193757,386567,147649,ST865476,1/1/1980 12:00:00 AM,,129,11,5,Dilton Marsh,2.5,,Wessex Water,,Wiltshire,Warminster North & Rural,
BA12 0AJ,Yes,51.230570,-2.192379,386664,147949,ST866479,1/1/1980 12:00:00 AM,,134,23,12,Dilton Marsh,2.3,,Wessex Water,,Wiltshire,Warminster North & Rural,
BA12 0AL,Yes,51.217988,-2.185176,387163,146548,ST871465,1/1/1980 12:00:00 AM,,123,4,1,Warminster,1.4,,Wessex Water,,Wiltshire,Warminster North & Rural,
BA12 0AN,Yes,51.211498,-2.181047,387450,145826,ST874458,1/1/1980 12:00:00 AM,,125,68,27,Warminster,0.6,Warminster,Wessex Water,,Wiltshire,Warminster North & Rural,
BA12 0AP,Yes,51.212838,-2.180866,387463,145975,ST874459,1/1/1980 12:00:00 AM,,146,4,1,Warminster,0.7,Warminster,Wessex Water,,Wiltshire,Warminster North & Rural,
BA12 0AQ,Yes,51.229358,-2.196198,386397,147815,ST863478,1/1/1980 12:00:00 AM,,134,79,34,Dilton Marsh,2.3,,Wessex Water,,Wiltshire,Warminster North & Rural,
BA12 0AR,Yes,51.209527,-2.176415,387773,145606,ST877456,1/1/1980 12:00:00 AM,,132,104,54,Warminster,0.3,Warminster,Wessex Water,,Wiltshire,Warminster North & Rural,
BA12 0AS,Yes,51.211384,-2.166802,388445,145811,ST884458,1/1/1980 12:00:00 AM,,130,58,16,Warminster,0.9,,,,Wiltshire,Warminster North & Rural,
BA12 0AT,Yes,51.230680,-2.191162,386749,147961,ST867479,1/1/1980 12:00:00 AM,,135,22,8,Dilton Marsh,2.3,,Wessex Water,,Wiltshire,Warminster North & Rural,
BA12 0AU,Yes,51.211308,-2.175663,387826,145804,ST878458,1/1/1980 12:00:00 AM,,149,37,18,Warminster,0.5,Warminster,Wessex Water,,Wiltshire,Warminster North & Rural,
BA12 0AW,Yes,51.213624,-2.184004,387244,146063,ST872460,1/1/1980 12:00:00 AM,,127,42,15,Warminster,0.9,Warminster,Wessex Water,,Wiltshire,Warminster North & Rural,
BA12 0AX,Yes,51.210154,-2.178035,387660,145676,ST876456,1/1/1980 12:00:00 AM,,126,2,1,Warminster,0.4,Warminster,Wessex Water,,Wiltshire,Warminster North & Rural,
BA12 0AY,Yes,51.214779,-2.169921,388228,146189,ST882461,1/1/1980 12:00:00 AM,,140,8,3,Warminster,1.0,,,,Wiltshire,Warminster North & Rural,
