Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
SS0 0EH,No,51.543523,0.712370,588180,186223,TQ881862,6/1/2000 12:00:00 AM,2/1/2006 12:00:00 AM,28,,,Southend Victoria,0.2,Southend-on-Sea,,,Southend-on-Sea,Victoria,
SS0 0ET,No,51.543523,0.712370,588180,186223,TQ881862,6/1/2007 12:00:00 AM,7/1/2007 12:00:00 AM,28,,,Southend Victoria,0.2,Southend-on-Sea,,,Southend-on-Sea,Victoria,
SS0 0FZ,No,51.543523,0.712370,588180,186223,TQ881862,12/1/2000 12:00:00 AM,3/1/2002 12:00:00 AM,28,,,Southend Victoria,0.2,Southend-on-Sea,,,Southend-on-Sea,Victoria,
SS0 0GG,No,51.543523,0.712370,588180,186223,TQ881862,12/1/2000 12:00:00 AM,6/1/2008 12:00:00 AM,28,,,Southend Victoria,0.2,Southend-on-Sea,,,Southend-on-Sea,Victoria,
SS0 0GS,No,51.543523,0.712370,588180,186223,TQ881862,12/1/1997 12:00:00 AM,5/1/2009 12:00:00 AM,28,,,Southend Victoria,0.2,Southend-on-Sea,,,Southend-on-Sea,Victoria,
SS0 0QU,No,51.543523,0.712370,588180,186223,TQ881862,8/1/1992 12:00:00 AM,4/1/2002 12:00:00 AM,28,,,Southend Victoria,0.2,Southend-on-Sea,,,Southend-on-Sea,Victoria,
SS0 0RF,No,51.543523,0.712370,588180,186223,TQ881862,1/1/1995 12:00:00 AM,2/1/2006 12:00:00 AM,28,,,Southend Victoria,0.2,Southend-on-Sea,,,Southend-on-Sea,Victoria,
SS0 0SQ,No,51.543523,0.712370,588180,186223,TQ881862,6/1/1999 12:00:00 AM,6/1/2012 12:00:00 AM,28,,,Southend Victoria,0.2,Southend-on-Sea,,,Southend-on-Sea,Victoria,
SS0 0TH,No,51.543523,0.712370,588180,186223,TQ881862,6/1/1997 12:00:00 AM,7/1/2013 12:00:00 AM,28,,,Southend Victoria,0.2,Southend-on-Sea,,,Southend-on-Sea,Victoria,
SS0 0TX,No,51.543523,0.712370,588180,186223,TQ881862,12/1/2000 12:00:00 AM,2/1/2006 12:00:00 AM,28,,,Southend Victoria,0.2,Southend-on-Sea,,,Southend-on-Sea,Victoria,
