Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
EN2 7HH,Yes,51.649834,-0.110095,530848,196251,TQ308962,1/1/1980 12:00:00 AM,,44,29,12,Grange Park,1.2,Enfield,Thames Water,,Enfield,Oakwood,
EN2 7HQ,Yes,51.650232,-0.110757,530801,196294,TQ308962,1/1/1980 12:00:00 AM,,43,61,20,Grange Park,1.3,Enfield,Thames Water,,Enfield,Oakwood,
EN2 7HX,Yes,51.651808,-0.121577,530048,196450,TQ300964,1/1/1980 12:00:00 AM,,66,2,1,Oakwood,0.8,Enfield,Thames Water,,Enfield,Oakwood,
EN2 7HY,No,51.651817,-0.121562,530049,196451,TQ300964,1/1/1980 12:00:00 AM,11/1/2001 12:00:00 AM,66,,,Oakwood,0.8,Enfield,Thames Water,,Enfield,Oakwood,
EN2 7JL,Yes,51.651472,-0.121953,530023,196412,TQ300964,1/1/1980 12:00:00 AM,,69,35,11,Oakwood,0.8,Enfield,Thames Water,,Enfield,Oakwood,
EN2 7JN,Yes,51.651113,-0.120854,530100,196374,TQ301963,1/1/1980 12:00:00 AM,,63,45,19,Oakwood,0.9,Enfield,Thames Water,,Enfield,Oakwood,
EN2 7JP,Yes,51.650533,-0.118291,530279,196314,TQ302963,1/1/1980 12:00:00 AM,,53,54,21,Oakwood,1.0,Enfield,Thames Water,,Enfield,Oakwood,
EN2 7JR,Yes,51.650424,-0.116011,530437,196306,TQ304963,1/1/1980 12:00:00 AM,,49,88,30,Oakwood,1.1,Enfield,Thames Water,,Enfield,Oakwood,
EN2 7JS,Yes,51.649768,-0.116038,530437,196233,TQ304962,1/1/1980 12:00:00 AM,,47,25,7,Oakwood,1.1,Enfield,Thames Water,,Enfield,Oakwood,
EN2 7JT,Yes,51.649679,-0.117184,530358,196221,TQ303962,1/1/1980 12:00:00 AM,,49,35,15,Oakwood,1.0,Enfield,Thames Water,,Enfield,Oakwood,
EN2 7JU,Yes,51.648995,-0.117169,530361,196145,TQ303961,1/1/1980 12:00:00 AM,,48,8,3,Oakwood,1.0,Enfield,Thames Water,,Enfield,Oakwood,
EN2 7JW,Yes,51.650806,-0.119638,530185,196342,TQ301963,1/1/1980 12:00:00 AM,,57,45,19,Oakwood,0.9,Enfield,Thames Water,,Enfield,Oakwood,
EN2 7JX,Yes,51.646989,-0.116908,530385,195922,TQ303959,1/1/1980 12:00:00 AM,,53,22,8,Oakwood,1.0,Enfield,Thames Water,,Enfield,Oakwood,
EN2 7JY,Yes,51.647152,-0.117737,530327,195939,TQ303959,1/1/1980 12:00:00 AM,,52,50,19,Oakwood,1.0,Enfield,Thames Water,,Enfield,Oakwood,
EN2 7JZ,Yes,51.648720,-0.115706,530463,196117,TQ304961,1/1/1980 12:00:00 AM,,46,62,21,Oakwood,1.1,Enfield,Thames Water,,Enfield,Oakwood,
EN2 7LA,Yes,51.648441,-0.115154,530502,196087,TQ305960,1/1/1980 12:00:00 AM,,48,46,17,Oakwood,1.2,Enfield,Thames Water,,Enfield,Oakwood,
EN2 7LB,Yes,51.649168,-0.111163,530776,196175,TQ307961,1/1/1980 12:00:00 AM,,50,88,29,Grange Park,1.2,Enfield,Thames Water,,Enfield,Oakwood,
EN2 7LD,Yes,51.649507,-0.111539,530749,196212,TQ307962,1/1/1980 12:00:00 AM,,47,46,16,Grange Park,1.2,Enfield,Thames Water,,Enfield,Oakwood,
EN2 7LE,Yes,51.649468,-0.109691,530877,196211,TQ308962,1/1/1980 12:00:00 AM,,47,22,7,Grange Park,1.1,Enfield,Thames Water,,Enfield,Oakwood,
EN2 7LH,Yes,51.649315,-0.125930,529754,196165,TQ297961,1/1/1980 12:00:00 AM,,80,50,19,Oakwood,0.4,Enfield,Thames Water,,Enfield,Oakwood,
EN2 7LJ,Yes,51.649180,-0.126471,529717,196149,TQ297961,1/1/1980 12:00:00 AM,,80,45,21,Oakwood,0.4,Enfield,Thames Water,,Enfield,Oakwood,
EN2 7LL,Yes,51.648968,-0.124499,529854,196129,TQ298961,1/1/1980 12:00:00 AM,,75,40,13,Oakwood,0.5,Enfield,Thames Water,,Enfield,Oakwood,
