Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
AL1 1AA,No,51.749084,-0.341337,514600,206900,TL146068,2/1/1990 12:00:00 AM,5/1/1994 12:00:00 AM,98,,,St Albans Abbey,0.5,St Albans,,,St Albans,Verulam,St. Albans South
AL1 1AB,No,51.747828,-0.301865,517328,206823,TL173068,1/1/2004 12:00:00 AM,1/1/2004 12:00:00 AM,96,,,St Albans City,1.8,St Albans,,,St Albans,Hill End,St. Albans East
AL1 1AD,No,51.747828,-0.301865,517328,206823,TL173068,8/1/1992 12:00:00 AM,3/1/2008 12:00:00 AM,96,,,St Albans City,1.8,St Albans,,,St Albans,Hill End,St. Albans East
AL1 1AE,No,51.747828,-0.301865,517328,206823,TL173068,11/1/2007 12:00:00 AM,7/1/2015 12:00:00 AM,96,,,St Albans City,1.8,St Albans,,,St Albans,Hill End,St. Albans East
AL1 1AF,No,51.749084,-0.341337,514600,206900,TL146068,7/1/1995 12:00:00 AM,12/1/1996 12:00:00 AM,98,,,St Albans Abbey,0.5,St Albans,,,St Albans,Verulam,St. Albans South
AL1 1AG,Yes,51.745290,-0.328628,515487,206498,TL154064,12/1/1996 12:00:00 AM,,91,14,6,St Albans City,0.6,St Albans,Affinity Water,Thames Water,St Albans,Sopwell,St. Albans South
AL1 1AH,No,51.744888,-0.327556,515562,206455,TL155064,12/1/1996 12:00:00 AM,12/1/1999 12:00:00 AM,89,,,St Albans City,0.6,St Albans,,,St Albans,Sopwell,St. Albans South
AL1 1AJ,Yes,51.744498,-0.328599,515491,206410,TL154064,12/1/1996 12:00:00 AM,,85,124,51,St Albans City,0.7,St Albans,Affinity Water,Thames Water,St Albans,Sopwell,St. Albans South
AL1 1AL,No,51.747828,-0.301865,517328,206823,TL173068,12/1/1996 12:00:00 AM,9/1/2005 12:00:00 AM,96,,,St Albans City,1.8,St Albans,,,St Albans,Hill End,St. Albans East
AL1 1AN,No,51.744484,-0.329498,515429,206407,TL154064,6/1/1997 12:00:00 AM,12/1/1999 12:00:00 AM,86,,,St Albans City,0.7,St Albans,,,St Albans,Sopwell,St. Albans South
AL1 1AP,No,51.744484,-0.329498,515429,206407,TL154064,6/1/1997 12:00:00 AM,12/1/1999 12:00:00 AM,86,,,St Albans City,0.7,St Albans,,,St Albans,Sopwell,St. Albans South
