Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
L34 2AA,Yes,53.433995,-2.785006,347944,393311,SJ479933,7/1/2020 12:00:00 AM,,74,,,Eccleston Park,0.5,Prescot,,,St. Helens,Eccleston,
L34 2AH,Yes,53.434887,-2.788771,347695,393413,SJ476934,7/1/2023 12:00:00 AM,,77,,,Eccleston Park,0.7,Prescot,,,St. Helens,Eccleston,
L34 2GA,Yes,53.433447,-2.776974,348477,393244,SJ484932,6/1/2004 12:00:00 AM,,70,42,18,Eccleston Park,0.4,St Helens (St. Helens),United Utilities,,St. Helens,Eccleston,
L34 2GD,Yes,53.433286,-2.781081,348204,393229,SJ482932,1/1/1993 12:00:00 AM,,73,22,10,Eccleston Park,0.3,Prescot,United Utilities,,St. Helens,Eccleston,
L34 2GH,No,53.431217,-2.782608,348100,393000,SJ481929,8/1/1992 12:00:00 AM,1/1/1995 12:00:00 AM,74,,,Eccleston Park,0.2,Prescot,,,St. Helens,Eccleston,
L34 2QA,Yes,53.434173,-2.792054,347476,393336,SJ474933,1/1/1980 12:00:00 AM,,79,19,9,Eccleston Park,0.9,Prescot,United Utilities,,St. Helens,Eccleston,
L34 2QB,Yes,53.434982,-2.786952,347816,393422,SJ478934,1/1/1980 12:00:00 AM,,75,72,29,Eccleston Park,0.7,Prescot,United Utilities,,St. Helens,Eccleston,
L34 2QD,Yes,53.435224,-2.781598,348172,393445,SJ481934,1/1/1980 12:00:00 AM,,75,69,40,Eccleston Park,0.5,Prescot,United Utilities,,St. Helens,Eccleston,
L34 2QE,Yes,53.433964,-2.791359,347522,393312,SJ475933,1/1/1980 12:00:00 AM,,79,36,13,Eccleston Park,0.8,Prescot,United Utilities,,St. Helens,Eccleston,
L34 2QF,No,53.433854,-2.791688,347500,393300,SJ474933,1/1/1980 12:00:00 AM,12/1/1981 12:00:00 AM,79,,,Eccleston Park,0.8,Prescot,,,St. Helens,Eccleston,
L34 2QG,Yes,53.434408,-2.786701,347832,393358,SJ478933,1/1/1980 12:00:00 AM,,76,52,22,Eccleston Park,0.6,Prescot,United Utilities,,St. Helens,Eccleston,
L34 2QH,Yes,53.434545,-2.779523,348309,393368,SJ483933,1/1/1980 12:00:00 AM,,73,16,7,Eccleston Park,0.4,Prescot,United Utilities,,St. Helens,Eccleston,
L34 2QJ,No,53.434783,-2.787189,347800,393400,SJ478934,1/1/1980 12:00:00 AM,12/1/1994 12:00:00 AM,76,,,Eccleston Park,0.6,Prescot,,,St. Helens,Eccleston,
L34 2QL,Yes,53.433027,-2.782160,348132,393201,SJ481932,1/1/1980 12:00:00 AM,,76,102,23,Eccleston Park,0.3,Prescot,United Utilities,,St. Helens,Eccleston,
L34 2QN,Yes,53.432737,-2.789349,347654,393174,SJ476931,1/1/1980 12:00:00 AM,,77,35,13,Eccleston Park,0.7,Prescot,United Utilities,,St. Helens,Eccleston,
L34 2QP,Yes,53.432919,-2.783210,348062,393190,SJ480931,1/1/1980 12:00:00 AM,,78,61,23,Eccleston Park,0.3,Prescot,United Utilities,,St. Helens,Eccleston,
L34 2QQ,Yes,53.434735,-2.782131,348136,393391,SJ481933,1/1/1980 12:00:00 AM,,74,64,30,Eccleston Park,0.5,Prescot,United Utilities,,St. Helens,Eccleston,
L34 2QR,Yes,53.432732,-2.780574,348237,393167,SJ482931,1/1/1980 12:00:00 AM,,73,17,7,Eccleston Park,0.2,Prescot,United Utilities,,St. Helens,Eccleston,
