Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
TR10 9DX,Yes,50.164882,-5.179901,172996,34268,SW729342,1/1/1980 12:00:00 AM,,185,22,9,Penryn (Cornwall),4.9,,South West Water,,Cornwall,"Crowan, Sithney & Wendron",
TR10 9DY,Yes,50.163454,-5.186437,172523,34129,SW725341,1/1/1980 12:00:00 AM,,193,10,4,Penryn (Cornwall),5.4,,South West Water,,Cornwall,"Crowan, Sithney & Wendron",
TR10 9DZ,Yes,50.163026,-5.181689,172860,34067,SW728340,1/1/1980 12:00:00 AM,,194,46,20,Penryn (Cornwall),5.1,,South West Water,,Cornwall,"Crowan, Sithney & Wendron",
TR10 9EA,Yes,50.161367,-5.184463,172654,33891,SW726338,1/1/1980 12:00:00 AM,,205,30,13,Penryn (Cornwall),5.3,,South West Water,,Cornwall,"Crowan, Sithney & Wendron",
TR10 9EB,Yes,50.162185,-5.183447,172730,33979,SW727339,1/1/1980 12:00:00 AM,,202,10,5,Penryn (Cornwall),5.2,,South West Water,,Cornwall,"Crowan, Sithney & Wendron",
TR10 9ED,Yes,50.158207,-5.186816,172471,33547,SW724335,1/1/1980 12:00:00 AM,,198,13,5,Penryn (Cornwall),5.5,,South West Water,,Cornwall,"Crowan, Sithney & Wendron",
TR10 9EE,Yes,50.158728,-5.185870,172541,33602,SW725336,1/1/1980 12:00:00 AM,,199,5,3,Penryn (Cornwall),5.5,,South West Water,,Cornwall,"Crowan, Sithney & Wendron",
TR10 9EF,Yes,50.156047,-5.188842,172316,33313,SW723333,1/1/1980 12:00:00 AM,,186,24,7,Penryn (Cornwall),5.7,,South West Water,,Cornwall,"Crowan, Sithney & Wendron",
TR10 9EG,Yes,50.155585,-5.191220,172144,33269,SW721332,1/1/1980 12:00:00 AM,,187,20,8,Penryn (Cornwall),5.9,,South West Water,,Cornwall,"Crowan, Sithney & Wendron",
TR10 9EH,Yes,50.150883,-5.195037,171849,32758,SW718327,1/1/1980 12:00:00 AM,,180,13,6,Penryn (Cornwall),6.3,,South West Water,,Cornwall,"Crowan, Sithney & Wendron",
TR10 9EJ,Yes,50.151454,-5.198443,171608,32832,SW716328,1/1/1980 12:00:00 AM,,182,19,6,Penryn (Cornwall),6.5,,South West Water,,Cornwall,"Crowan, Sithney & Wendron",
TR10 9EQ,Yes,50.153764,-5.193325,171985,33073,SW719330,1/1/1980 12:00:00 AM,,184,16,5,Penryn (Cornwall),6.1,,South West Water,,Cornwall,"Crowan, Sithney & Wendron",
TR10 9ES,Yes,50.154632,-5.192207,172069,33166,SW720331,6/1/1999 12:00:00 AM,,186,6,3,Penryn (Cornwall),6.0,,South West Water,,Cornwall,"Crowan, Sithney & Wendron",
TR10 9FH,Yes,50.163303,-5.184025,172694,34105,SW726341,3/1/2018 12:00:00 AM,,195,,,Penryn (Cornwall),5.2,,,,Cornwall,"Crowan, Sithney & Wendron",
TR10 9FJ,Yes,50.162916,-5.184350,172669,34063,SW726340,3/1/2018 12:00:00 AM,,198,,,Penryn (Cornwall),5.2,,,,Cornwall,"Crowan, Sithney & Wendron",
TR10 9LP,Yes,50.164441,-5.188443,172384,34245,SW723342,1/1/1980 12:00:00 AM,,181,13,4,Penryn (Cornwall),5.5,,South West Water,,Cornwall,"Crowan, Sithney & Wendron",
TR10 9NB,Yes,50.162391,-5.184504,172656,34005,SW726340,3/1/1988 12:00:00 AM,,202,49,18,Penryn (Cornwall),5.3,,South West Water,,Cornwall,"Crowan, Sithney & Wendron",
TR10 9ND,No,50.162325,-5.185283,172600,34000,SW726340,2/1/1990 12:00:00 AM,12/1/1994 12:00:00 AM,202,,,Penryn (Cornwall),5.3,,,,Cornwall,"Crowan, Sithney & Wendron",
TR10 9YA,No,50.162325,-5.185283,172600,34000,SW726340,7/1/1995 12:00:00 AM,6/1/1996 12:00:00 AM,202,,,Penryn (Cornwall),5.3,,,,Cornwall,"Crowan, Sithney & Wendron",
TR10 9YB,No,50.162325,-5.185283,172600,34000,SW726340,12/1/1994 12:00:00 AM,7/1/1995 12:00:00 AM,202,,,Penryn (Cornwall),5.3,,,,Cornwall,"Crowan, Sithney & Wendron",
TR10 9YD,No,50.162325,-5.185283,172600,34000,SW726340,12/1/1994 12:00:00 AM,12/1/1995 12:00:00 AM,202,,,Penryn (Cornwall),5.3,,,,Cornwall,"Crowan, Sithney & Wendron",
TR10 9YE,No,50.162325,-5.185283,172600,34000,SW726340,1/1/1995 12:00:00 AM,7/1/1995 12:00:00 AM,202,,,Penryn (Cornwall),5.3,,,,Cornwall,"Crowan, Sithney & Wendron",
TR10 9YW,No,50.162325,-5.185283,172600,34000,SW726340,6/1/2000 12:00:00 AM,10/1/2000 12:00:00 AM,202,,,Penryn (Cornwall),5.3,,,,Cornwall,"Crowan, Sithney & Wendron",
TR11 3SW,No,50.149330,-5.199819,171500,32600,SW715325,3/1/1983 12:00:00 AM,12/1/1994 12:00:00 AM,172,,,Penryn (Cornwall),6.7,,,,Cornwall,"Crowan, Sithney & Wendron",
