Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
CW3 9PT,Yes,52.972118,-2.328703,378023,341691,SJ780416,1/1/1980 12:00:00 AM,,159,46,21,Stoke-On-Trent,10.7,Madeley Park,Severn Trent,,Newcastle-under-Lyme,Maer & Whitmore,Newcastle Rural
ST15 0BF,Yes,52.887116,-2.182162,387840,332200,SJ878321,2/1/2003 12:00:00 AM,,112,30,13,Stone (Staffs),3.0,,Severn Trent,,Stafford,Eccleshall,Eccleshall
ST15 0BZ,Yes,52.886524,-2.179616,388011,332134,SJ880321,1/1/1980 12:00:00 AM,,110,34,10,Stone (Staffs),2.9,,Severn Trent,,Stafford,Eccleshall,Eccleshall
ST15 0EU,Yes,52.884344,-2.170513,388623,331890,SJ886318,7/1/1995 12:00:00 AM,,116,,,Stone (Staffs),2.9,Cold Norton (Stafford),,,Stafford,Eccleshall,Eccleshall
ST15 0GR,Yes,52.888304,-2.223722,385044,332340,SJ850323,5/1/2016 12:00:00 AM,,95,,,Stone (Staffs),5.1,Coldmeece,Severn Trent,,Stafford,Eccleshall,Eccleshall
ST15 0NS,Yes,52.876049,-2.194403,387013,330971,SJ870309,1/1/1980 12:00:00 AM,,95,31,13,Stone (Staffs),4.5,,Severn Trent,,Stafford,Eccleshall,Eccleshall
ST15 0NT,Yes,52.867574,-2.192984,387106,330028,SJ871300,1/1/1980 12:00:00 AM,,91,26,10,Stone (Staffs),5.2,,Severn Trent,,Stafford,Eccleshall,Eccleshall
ST15 0NU,Yes,52.867142,-2.193324,387083,329980,SJ870299,1/1/1980 12:00:00 AM,,92,14,8,Stone (Staffs),5.2,,Severn Trent,,Stafford,Eccleshall,Eccleshall
ST15 0NX,Yes,52.866729,-2.192831,387116,329934,SJ871299,1/1/1980 12:00:00 AM,,92,30,11,Stone (Staffs),5.3,,Severn Trent,,Stafford,Eccleshall,Eccleshall
ST15 0NY,Yes,52.866218,-2.192086,387166,329877,SJ871298,1/1/1980 12:00:00 AM,,92,21,9,Stone (Staffs),5.3,,Severn Trent,,Stafford,Eccleshall,Eccleshall
ST15 0NZ,Yes,52.862003,-2.185844,387585,329407,SJ875294,1/1/1980 12:00:00 AM,,87,29,16,Stone (Staffs),5.5,,Severn Trent,,Stafford,Eccleshall,Eccleshall
ST15 0PA,Yes,52.858012,-2.185530,387605,328963,SJ876289,1/1/1980 12:00:00 AM,,86,5,2,Stone (Staffs),6.0,,Severn Trent,,Stafford,Eccleshall,Eccleshall
ST15 0PB,Yes,52.865598,-2.192277,387153,329808,SJ871298,1/1/1980 12:00:00 AM,,92,11,11,Stone (Staffs),5.4,,Severn Trent,,Stafford,Eccleshall,Eccleshall
