Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
DL1 3BQ,Yes,54.542577,-1.485467,433386,516490,NZ333164,9/1/2008 12:00:00 AM,,60,1,1,Dinsdale,3.3,,Northumbrian Water,,Darlington,Sadberge & Middleton St George,
DL1 3JA,Yes,54.561511,-1.526998,430685,518578,NZ306185,1/1/1980 12:00:00 AM,,76,22,7,North Road (Darlington),3.3,,Northumbrian Water,,Darlington,Sadberge & Middleton St George,
DL1 3JD,Yes,54.551314,-1.529552,430527,517442,NZ305174,1/1/1980 12:00:00 AM,,64,3,1,North Road (Darlington),2.3,,Northumbrian Water,,Darlington,Sadberge & Middleton St George,
DL1 3JE,No,54.551804,-1.522240,431000,517500,NZ309174,1/1/1980 12:00:00 AM,12/1/1981 12:00:00 AM,64,,,North Road (Darlington),2.7,,,,Darlington,Sadberge & Middleton St George,
DL1 3JF,Yes,54.554140,-1.513137,431587,517764,NZ315177,1/1/1980 12:00:00 AM,,64,9,3,North Road (Darlington),3.3,,Northumbrian Water,,Darlington,Sadberge & Middleton St George,
DL1 3JG,Yes,54.556509,-1.509438,431824,518029,NZ318180,1/1/1980 12:00:00 AM,,56,38,15,North Road (Darlington),3.7,,Northumbrian Water,,Darlington,Sadberge & Middleton St George,
DL1 3JH,No,54.556229,-1.505180,432100,518000,NZ320179,1/1/1980 12:00:00 AM,12/1/1981 12:00:00 AM,49,,,North Road (Darlington),3.9,,,,Darlington,Sadberge & Middleton St George,
DL1 3JJ,Yes,54.544436,-1.510773,431747,516685,NZ317166,1/1/1980 12:00:00 AM,,48,2,2,North Road (Darlington),2.9,Darlington,Northumbrian Water,,Darlington,Sadberge & Middleton St George,
DL1 3JL,Yes,54.542938,-1.509808,431811,516519,NZ318165,1/1/1980 12:00:00 AM,,50,23,11,North Road (Darlington),2.9,Darlington,Northumbrian Water,,Darlington,Sadberge & Middleton St George,
DL1 3JN,Yes,54.541956,-1.509124,431856,516410,NZ318164,1/1/1980 12:00:00 AM,,49,13,4,North Road (Darlington),3.0,Darlington,Northumbrian Water,,Darlington,Sadberge & Middleton St George,
