Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
ST10 1RG,Yes,52.967260,-1.953785,403201,341101,SK032411,1/1/1980 12:00:00 AM,,198,11,2,Blythe Bridge,7.6,,Severn Trent,,Staffordshire Moorlands,Checkley,Cheadle and Checkley
ST10 1RJ,Yes,52.975759,-1.940659,404082,342047,SK040420,1/1/1980 12:00:00 AM,,199,10,4,Blythe Bridge,8.5,,Severn Trent,,Staffordshire Moorlands,Checkley,Cheadle and Checkley
ST10 1RQ,Yes,52.961060,-1.937255,404312,340412,SK043404,12/1/1994 12:00:00 AM,,197,3,1,Blythe Bridge,8.7,,,,Staffordshire Moorlands,Checkley,Cheadle and Checkley
ST10 1RR,Yes,52.980686,-1.942320,403970,342595,SK039425,7/1/2013 12:00:00 AM,,213,,,Blythe Bridge,8.5,,,,Staffordshire Moorlands,Checkley,Cheadle and Checkley
ST10 2NS,Yes,52.968842,-2.008876,399501,341276,SJ995412,1/1/1992 12:00:00 AM,,214,1,1,Blythe Bridge,3.9,,Severn Trent,,Staffordshire Moorlands,Checkley,Cheadle and Checkley
ST10 2NT,Yes,52.973920,-2.021328,398665,341841,SJ986418,1/1/1980 12:00:00 AM,,223,14,5,Blythe Bridge,3.1,,Severn Trent,,Staffordshire Moorlands,Checkley,Cheadle and Checkley
ST10 2NU,Yes,52.979833,-2.028299,398197,342499,SJ981424,1/1/1980 12:00:00 AM,,227,99,35,Blythe Bridge,2.9,,Severn Trent,,Staffordshire Moorlands,Forsbrook,Caverswall
ST10 2NX,Yes,52.982036,-2.026887,398292,342744,SJ982427,1/1/1980 12:00:00 AM,,214,21,5,Blythe Bridge,3.1,,Severn Trent,,Staffordshire Moorlands,Forsbrook,Caverswall
ST10 2NY,Yes,52.981709,-2.037997,397546,342708,SJ975427,1/1/1980 12:00:00 AM,,228,7,2,Blythe Bridge,2.5,,Severn Trent,,Staffordshire Moorlands,Forsbrook,Caverswall
ST10 2NZ,Yes,52.982934,-2.030612,398042,342844,SJ980428,1/1/1980 12:00:00 AM,,228,23,12,Blythe Bridge,2.9,,Severn Trent,,Staffordshire Moorlands,Forsbrook,Caverswall
