Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
B64 5QG,Yes,52.486648,-2.066101,395608,287639,SO956876,9/1/1991 12:00:00 AM,,128,32,14,Old Hill,1.9,Rowley Regis,South Staffordshire Water,Severn Trent,Dudley,Netherton & Holly Hall,
B64 5QH,Yes,52.487843,-2.066353,395591,287772,SO955877,9/1/1991 12:00:00 AM,,133,127,60,Old Hill,2.0,Rowley Regis,South Staffordshire Water,Severn Trent,Dudley,Netherton & Holly Hall,
B64 5QQ,Yes,52.487025,-2.067015,395546,287681,SO955876,9/1/1991 12:00:00 AM,,128,95,36,Old Hill,1.9,Rowley Regis,South Staffordshire Water,Severn Trent,Dudley,Netherton & Holly Hall,
DY1 1QY,No,52.505158,-2.095718,393600,289700,SO935896,1/1/1980 12:00:00 AM,12/1/1991 12:00:00 AM,182,,,Tipton,3.5,Dudley (Dudley),,,Dudley,Netherton & Holly Hall,
DY1 2DB,No,52.505157,-2.097191,393500,289700,SO934897,1/1/1980 12:00:00 AM,7/1/1995 12:00:00 AM,183,,,Tipton,3.5,Dudley (Dudley),South Staffordshire Water,,Dudley,Netherton & Holly Hall,
DY1 2DH,Yes,52.503523,-2.101896,393180,289519,SO931895,1/1/1980 12:00:00 AM,,170,137,74,Cradley Heath,3.8,Dudley (Dudley),South Staffordshire Water,Severn Trent,Dudley,Netherton & Holly Hall,
DY1 2DQ,Yes,52.504379,-2.099408,393349,289614,SO933896,1/1/1980 12:00:00 AM,,175,36,24,Tipton,3.7,Dudley (Dudley),South Staffordshire Water,Severn Trent,Dudley,Netherton & Holly Hall,
DY1 2EF,Yes,52.495718,-2.112718,392444,288652,SO924886,1/1/1980 12:00:00 AM,,163,100,37,Cradley Heath,3.3,Dudley (Dudley),South Staffordshire Water,Severn Trent,Dudley,Netherton & Holly Hall,
DY1 2EG,Yes,52.497194,-2.111794,392507,288816,SO925888,1/1/1980 12:00:00 AM,,168,67,25,Cradley Heath,3.4,Dudley (Dudley),South Staffordshire Water,Severn Trent,Dudley,Netherton & Holly Hall,
DY1 2EJ,Yes,52.498164,-2.112415,392465,288924,SO924889,1/1/1980 12:00:00 AM,,167,39,24,Cradley Heath,3.5,Dudley (Dudley),South Staffordshire Water,Severn Trent,Dudley,Netherton & Holly Hall,
DY1 2EL,Yes,52.499014,-2.110994,392562,289018,SO925890,1/1/1980 12:00:00 AM,,168,86,31,Cradley Heath,3.5,Dudley (Dudley),South Staffordshire Water,Severn Trent,Dudley,Netherton & Holly Hall,
DY1 2EN,No,52.500652,-2.108966,392700,289200,SO926892,8/1/1992 12:00:00 AM,1/1/1995 12:00:00 AM,172,,,Cradley Heath,3.7,Dudley (Dudley),,,Dudley,Netherton & Holly Hall,
