Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
BT16 0UF,No,54.593632,-5.763146,156998,528561,NW569285,12/1/1984 12:00:00 AM,6/1/1998 12:00:00 AM,77,,,,,,Northern Ireland Water,,Ards and North Down,Scrabo,
BT16 0UZ,No,54.588535,-5.764509,156880,527999,NW568279,12/1/1984 12:00:00 AM,6/1/1998 12:00:00 AM,78,,,,,,Northern Ireland Water,,Ards and North Down,Scrabo,
BT16 0XF,No,54.562728,-5.797773,154577,525245,NW545252,12/1/1984 12:00:00 AM,6/1/1998 12:00:00 AM,64,,,,,,Northern Ireland Water,,Lisburn and Castlereagh,Ballyhanwood,
BT16 1SU,Yes,54.595630,-5.774055,156306,528821,NW563288,4/1/2013 12:00:00 AM,,59,,,,,,Northern Ireland Water,,Lisburn and Castlereagh,Carrowreagh,
BT16 1UE,Yes,54.597658,-5.769549,156609,529031,NW566290,6/1/1998 12:00:00 AM,,61,22,8,,,,Northern Ireland Water,,Ards and North Down,Scrabo,
BT16 1UF,Yes,54.592907,-5.764316,156919,528485,NW569284,6/1/1998 12:00:00 AM,,80,12,2,,,,Northern Ireland Water,,Ards and North Down,Scrabo,
BT16 1XB,Yes,54.573651,-5.779878,155798,526397,NW557263,6/1/1998 12:00:00 AM,,19,51,20,,,,Northern Ireland Water,,Ards and North Down,Comber West,
BT16 1XD,Yes,54.570771,-5.789468,155162,526111,NW551261,6/1/1998 12:00:00 AM,,41,48,18,,,,Northern Ireland Water,,Lisburn and Castlereagh,Ballyhanwood,
BT19 2QB,No,54.623169,-5.638882,165193,531423,NW651314,12/1/1984 12:00:00 AM,12/1/1991 12:00:00 AM,40,,,,,,Northern Ireland Water,,Ards and North Down,Ballygrainey,
BT19 2QD,No,54.614641,-5.634731,165411,530461,NW654304,12/1/1984 12:00:00 AM,12/1/1991 12:00:00 AM,33,,,,,,Northern Ireland Water,,Ards and North Down,Loughries,
BT19 2QE,No,54.613424,-5.613902,166749,530256,NW667302,12/1/1984 12:00:00 AM,12/1/1991 12:00:00 AM,29,,,,,,Northern Ireland Water,,Ards and North Down,Loughries,
BT19 2QF,No,54.622965,-5.623873,166160,531350,NW661313,12/1/1984 12:00:00 AM,12/1/1991 12:00:00 AM,27,,,,,,Northern Ireland Water,,Ards and North Down,Loughries,
BT19 7QB,Yes,54.623531,-5.636739,165333,531456,NW653314,1/1/1992 12:00:00 AM,,49,24,7,,,,Northern Ireland Water,,Ards and North Down,Loughries,
BT19 7QD,Yes,54.614274,-5.634319,165436,530418,NW654304,1/1/1992 12:00:00 AM,,39,46,17,,,,Northern Ireland Water,,Ards and North Down,Loughries,
BT19 7QE,Yes,54.614037,-5.614934,166686,530327,NW666303,1/1/1992 12:00:00 AM,,30,,,,,,Northern Ireland Water,,Ards and North Down,Loughries,
BT19 7QF,Yes,54.623363,-5.625832,166036,531401,NW660314,1/1/1992 12:00:00 AM,,34,47,11,,,,Northern Ireland Water,,Ards and North Down,Loughries,
BT21 0NA,Yes,54.608125,-5.599970,167618,529620,NW676296,12/1/1984 12:00:00 AM,,42,,,,,,Northern Ireland Water,,Ards and North Down,Loughries,
BT22 1AA,Yes,54.455461,-5.488822,173949,512281,NW739122,12/1/1984 12:00:00 AM,,13,10,5,,,,Northern Ireland Water,,Ards and North Down,Portavogie,
BT22 1AB,Yes,54.461964,-5.475729,174833,512962,NW748129,12/1/1984 12:00:00 AM,,9,36,12,,,,Northern Ireland Water,,Ards and North Down,Portavogie,
