Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
SN1 1BY,Yes,51.565598,-1.786059,414926,185213,SU149852,4/1/1986 12:00:00 AM,,104,,,Swindon (Wilts),0.0,Swindon (Swindon),Thames Water,,Swindon,Rodbourne Cheney,
SN1 1DQ,Yes,51.565733,-1.785628,414956,185228,SU149852,1/1/1980 12:00:00 AM,,104,,,Swindon (Wilts),0.0,Swindon (Swindon),Thames Water,,Swindon,Rodbourne Cheney,
SN1 1FL,No,51.566184,-1.792245,414497,185277,SU144852,12/1/1997 12:00:00 AM,10/1/2014 12:00:00 AM,104,,,Swindon (Wilts),0.5,Swindon (Swindon),,,Swindon,Rodbourne Cheney,
SN1 1FY,No,51.566184,-1.792245,414497,185277,SU144852,12/1/2000 12:00:00 AM,10/1/2014 12:00:00 AM,104,,,Swindon (Wilts),0.5,Swindon (Swindon),,,Swindon,Rodbourne Cheney,
SN1 1NS,No,51.566184,-1.792245,414497,185277,SU144852,12/1/1997 12:00:00 AM,8/1/2014 12:00:00 AM,104,,,Swindon (Wilts),0.5,Swindon (Swindon),,,Swindon,Rodbourne Cheney,
SN1 1WD,No,51.566184,-1.792245,414497,185277,SU144852,6/1/2002 12:00:00 AM,10/1/2014 12:00:00 AM,104,,,Swindon (Wilts),0.5,Swindon (Swindon),,,Swindon,Rodbourne Cheney,
SN1 1YY,No,51.637247,-1.709515,420200,193200,SU201932,1/1/1993 12:00:00 AM,5/1/1994 12:00:00 AM,106,,,Swindon (Wilts),9.5,Highworth,,,Swindon,Blunsdon and Highworth,
SN1 1YZ,No,51.637247,-1.709515,420200,193200,SU201932,1/1/1980 12:00:00 AM,12/1/1985 12:00:00 AM,106,,,Swindon (Wilts),9.5,Highworth,,,Swindon,Blunsdon and Highworth,
SN1 2FB,Yes,51.571708,-1.760320,416708,185898,SU167858,10/1/2020 12:00:00 AM,,105,,,Swindon (Wilts),1.9,Stratton St Margaret,,,Swindon,St Margaret and South Marston,
SN1 2NL,No,51.574411,-1.754647,417100,186200,SU171862,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,101,,,Swindon (Wilts),2.4,Stratton St Margaret,,,Swindon,St Margaret and South Marston,
SN1 2NY,Yes,51.570081,-1.760918,416667,185717,SU166857,1/1/1980 12:00:00 AM,,103,39,14,Swindon (Wilts),1.8,Stratton St Margaret,Thames Water,,Swindon,St Margaret and South Marston,
SN1 2PA,Yes,51.569386,-1.759250,416783,185640,SU167856,8/1/1992 12:00:00 AM,,101,5,1,Swindon (Wilts),1.9,Stratton St Margaret,Thames Water,,Swindon,St Margaret and South Marston,
SN1 2PL,No,51.573508,-1.753209,417200,186100,SU172860,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,101,,,Swindon (Wilts),2.4,Stratton St Margaret,,,Swindon,St Margaret and South Marston,
SN1 2PN,Yes,51.571972,-1.757878,416877,185928,SU168859,1/1/1980 12:00:00 AM,,102,106,40,Swindon (Wilts),2.0,Stratton St Margaret,Thames Water,,Swindon,St Margaret and South Marston,
SN1 2PR,Yes,51.571561,-1.759453,416768,185882,SU167858,1/1/1980 12:00:00 AM,,102,118,42,Swindon (Wilts),1.9,Stratton St Margaret,Thames Water,,Swindon,St Margaret and South Marston,
SN1 2PS,No,51.573514,-1.756095,417000,186100,SU170860,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,101,,,Swindon (Wilts),2.2,Stratton St Margaret,,,Swindon,St Margaret and South Marston,
SN1 2PT,No,51.573514,-1.756095,417000,186100,SU170860,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,101,,,Swindon (Wilts),2.2,Stratton St Margaret,,,Swindon,St Margaret and South Marston,
SN1 2QD,No,51.569927,-1.760443,416700,185700,SU166857,4/1/1987 12:00:00 AM,12/1/1992 12:00:00 AM,102,,,Swindon (Wilts),1.8,Stratton St Margaret,,,Swindon,St Margaret and South Marston,
SN1 2QZ,No,51.569927,-1.760443,416700,185700,SU166857,1/1/1992 12:00:00 AM,12/1/1992 12:00:00 AM,102,,,Swindon (Wilts),1.8,Stratton St Margaret,,,Swindon,St Margaret and South Marston,
SN1 2RB,No,51.569927,-1.760443,416700,185700,SU166857,1/1/1991 12:00:00 AM,12/1/1991 12:00:00 AM,102,,,Swindon (Wilts),1.8,Stratton St Margaret,,,Swindon,St Margaret and South Marston,
SN1 2RG,No,51.569927,-1.760443,416700,185700,SU166857,1/1/1991 12:00:00 AM,12/1/1992 12:00:00 AM,102,,,Swindon (Wilts),1.8,Stratton St Margaret,,,Swindon,St Margaret and South Marston,
SN1 2RH,No,51.569927,-1.760443,416700,185700,SU166857,1/1/1991 12:00:00 AM,12/1/1992 12:00:00 AM,102,,,Swindon (Wilts),1.8,Stratton St Margaret,,,Swindon,St Margaret and South Marston,
SN1 2RJ,No,51.569927,-1.760443,416700,185700,SU166857,1/1/1991 12:00:00 AM,12/1/1992 12:00:00 AM,102,,,Swindon (Wilts),1.8,Stratton St Margaret,,,Swindon,St Margaret and South Marston,
SN1 2RL,No,51.569927,-1.760443,416700,185700,SU166857,1/1/1991 12:00:00 AM,12/1/1992 12:00:00 AM,102,,,Swindon (Wilts),1.8,Stratton St Margaret,,,Swindon,St Margaret and South Marston,
SN1 2RN,No,51.569927,-1.760443,416700,185700,SU166857,1/1/1991 12:00:00 AM,12/1/1992 12:00:00 AM,102,,,Swindon (Wilts),1.8,Stratton St Margaret,,,Swindon,St Margaret and South Marston,
