Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
SN1 1AA,No,51.563686,-1.787885,414800,185000,SU148850,2/1/1990 12:00:00 AM,6/1/1997 12:00:00 AM,102,,,Swindon (Wilts),0.3,Swindon (Swindon),Thames Water,,Swindon,Central,
SN1 1AB,No,51.563873,-1.787134,414852,185021,SU148850,6/1/2002 12:00:00 AM,8/1/2006 12:00:00 AM,103,,,Swindon (Wilts),0.2,Swindon (Swindon),,,Swindon,Central,
SN1 1AD,No,51.562911,-1.782277,415189,184915,SU151849,3/1/1988 12:00:00 AM,2/1/2007 12:00:00 AM,105,,,Swindon (Wilts),0.4,Swindon (Swindon),Thames Water,,Swindon,Central,
SN1 1AE,Yes,51.565090,-1.783207,415124,185157,SU151851,9/1/2009 12:00:00 AM,,102,44,25,Swindon (Wilts),0.2,Swindon (Swindon),Thames Water,,Swindon,Central,
SN1 1AF,Yes,51.561700,-1.783051,415136,184780,SU151847,8/1/2021 12:00:00 AM,,107,,,Swindon (Wilts),0.5,Swindon (Swindon),,,Swindon,Central,
SN1 1AG,Yes,51.560861,-1.786531,414895,184686,SU148846,3/1/2018 12:00:00 AM,,106,,,Swindon (Wilts),0.5,Swindon (Swindon),,,Swindon,Central,
SN1 1AH,Yes,51.558975,-1.782717,415160,184477,SU151844,9/1/2019 12:00:00 AM,,111,,,Swindon (Wilts),0.7,Swindon (Swindon),,,Swindon,Central,
SN1 1AL,Yes,51.559074,-1.782674,415163,184488,SU151844,4/1/2020 12:00:00 AM,,111,,,Swindon (Wilts),0.7,Swindon (Swindon),,,Swindon,Central,
SN1 1AP,Yes,51.563039,-1.782655,415163,184929,SU151849,10/1/2021 12:00:00 AM,,111,,,Swindon (Wilts),0.3,Swindon (Swindon),,,Swindon,Central,
SN1 1BA,Yes,51.562234,-1.784938,415005,184839,SU150848,1/1/1980 12:00:00 AM,,104,,,Swindon (Wilts),0.4,Swindon (Swindon),Thames Water,,Swindon,Central,
SN1 1BB,Yes,51.561909,-1.784348,415046,184803,SU150848,1/1/1980 12:00:00 AM,,106,1,1,Swindon (Wilts),0.4,Swindon (Swindon),Thames Water,,Swindon,Central,
SN1 1BD,Yes,51.563440,-1.786559,414892,184973,SU148849,7/1/2006 12:00:00 AM,,103,,,Swindon (Wilts),0.2,Swindon (Swindon),Thames Water,,Swindon,Central,
SN1 1BE,Yes,51.563190,-1.787296,414841,184945,SU148849,10/1/2002 12:00:00 AM,,102,41,22,Swindon (Wilts),0.3,Swindon (Swindon),Thames Water,,Swindon,Central,
SN1 1BF,Yes,51.562564,-1.783724,415089,184876,SU150848,12/1/1995 12:00:00 AM,,106,,,Swindon (Wilts),0.3,Swindon (Swindon),Thames Water,,Swindon,Central,
SN1 1BG,No,51.561882,-1.785009,415000,184800,SU149847,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,105,,,Swindon (Wilts),0.4,Swindon (Swindon),,,Swindon,Central,
SN1 1BH,No,51.561882,-1.785009,415000,184800,SU149847,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,105,,,Swindon (Wilts),0.4,Swindon (Swindon),,,Swindon,Central,
SN1 1BL,Yes,51.561976,-1.786613,414889,184810,SU148848,1/1/1980 12:00:00 AM,,104,1,1,Swindon (Wilts),0.4,Swindon (Swindon),Thames Water,,Swindon,Central,
SN1 1BN,No,51.562099,-1.785787,414946,184824,SU149848,1/1/1980 12:00:00 AM,3/1/2007 12:00:00 AM,104,,,Swindon (Wilts),0.4,Swindon (Swindon),Thames Water,,Swindon,Central,
SN1 1BP,Yes,51.562218,-1.786150,414921,184837,SU149848,1/1/1980 12:00:00 AM,,103,,,Swindon (Wilts),0.4,Swindon (Swindon),Thames Water,,Swindon,Central,
SN1 1BQ,No,51.561882,-1.785009,415000,184800,SU149847,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,105,,,Swindon (Wilts),0.4,Swindon (Swindon),,,Swindon,Central,
SN1 1BS,No,51.562784,-1.786447,414900,184900,SU148849,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,103,,,Swindon (Wilts),0.3,Swindon (Swindon),,,Swindon,Central,
SN1 1BT,Yes,51.563290,-1.787887,414800,184956,SU148849,1/1/1980 12:00:00 AM,,102,7,3,Swindon (Wilts),0.3,Swindon (Swindon),Thames Water,,Swindon,Central,
SN1 1BU,Yes,51.562741,-1.787013,414861,184895,SU148848,1/1/1980 12:00:00 AM,,102,,,Swindon (Wilts),0.3,Swindon (Swindon),Thames Water,,Swindon,Central,
