Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
CW10 0JD,Yes,53.197694,-2.424208,371758,366819,SJ717668,1/1/1980 12:00:00 AM,,37,2,1,Winsford,4.8,,United Utilities,,Cheshire West and Chester,Shakerley,
CW10 0JT,Yes,53.183600,-2.400155,373356,365242,SJ733652,1/1/1980 12:00:00 AM,,46,7,2,Holmes Chapel,3.7,,United Utilities,,Cheshire West and Chester,Shakerley,
CW10 0JX,Yes,53.183404,-2.377498,374870,365212,SJ748652,1/1/1980 12:00:00 AM,,54,10,3,Holmes Chapel,2.5,,United Utilities,,Cheshire West and Chester,Shakerley,
CW10 0JY,Yes,53.182345,-2.391451,373937,365099,SJ739650,1/1/1980 12:00:00 AM,,47,9,3,Holmes Chapel,3.3,,United Utilities,,Cheshire West and Chester,Shakerley,
CW10 0LD,Yes,53.175023,-2.403367,373136,364289,SJ731642,1/1/1980 12:00:00 AM,,46,14,4,Sandbach,2.8,,United Utilities,,Cheshire West and Chester,Shakerley,
CW10 0QQ,Yes,53.190445,-2.414481,372403,366009,SJ724660,9/1/2016 12:00:00 AM,,39,,,Holmes Chapel,4.3,,,,Cheshire West and Chester,Shakerley,
CW10 9LA,Yes,53.205541,-2.458241,369490,367706,SJ694677,1/1/1980 12:00:00 AM,,36,8,3,Winsford,2.9,,United Utilities,,Cheshire West and Chester,Shakerley,
CW10 9LB,Yes,53.218290,-2.455128,369707,369123,SJ697691,1/1/1980 12:00:00 AM,,36,5,2,Winsford,4.1,,United Utilities,,Cheshire West and Chester,Shakerley,
CW10 9LD,Yes,53.211832,-2.451510,369944,368403,SJ699684,1/1/1980 12:00:00 AM,,37,2,1,Winsford,3.7,,United Utilities,,Cheshire West and Chester,Shakerley,
CW10 9LE,Yes,53.204726,-2.445702,370327,367610,SJ703676,1/1/1980 12:00:00 AM,,39,19,7,Winsford,3.6,,United Utilities,,Cheshire West and Chester,Shakerley,
CW10 9LH,Yes,53.199013,-2.437349,370881,366971,SJ708669,1/1/1980 12:00:00 AM,,34,29,9,Winsford,3.9,,United Utilities,,Cheshire West and Chester,Shakerley,
CW10 9LJ,Yes,53.203442,-2.427527,371540,367460,SJ715674,1/1/1980 12:00:00 AM,,27,4,1,Winsford,4.7,,United Utilities,,Cheshire West and Chester,Shakerley,
CW10 9LL,Yes,53.206560,-2.427842,371521,367807,SJ715678,1/1/1980 12:00:00 AM,,39,2,1,Winsford,4.8,,United Utilities,,Cheshire West and Chester,Shakerley,
CW10 9LN,Yes,53.206788,-2.417411,372218,367828,SJ722678,1/1/1980 12:00:00 AM,,42,24,9,Holmes Chapel,4.5,,United Utilities,,Cheshire West and Chester,Shakerley,
CW10 9LQ,No,53.198386,-2.434065,371100,366900,SJ710668,12/1/1997 12:00:00 AM,6/1/1999 12:00:00 AM,35,,,Winsford,4.1,,,,Cheshire West and Chester,Shakerley,
CW10 9NB,Yes,53.231343,-2.407176,372917,370556,SJ729705,1/1/1980 12:00:00 AM,,47,4,2,Plumley,4.9,Byley,United Utilities,,Cheshire West and Chester,Shakerley,
CW10 9ND,Yes,53.233248,-2.407419,372902,370768,SJ729707,1/1/1980 12:00:00 AM,,46,3,2,Plumley,4.7,Byley,United Utilities,,Cheshire West and Chester,Shakerley,
CW10 9NE,Yes,53.231600,-2.411330,372640,370586,SJ726705,1/1/1980 12:00:00 AM,,47,19,7,Plumley,4.8,,United Utilities,,Cheshire West and Chester,Shakerley,
CW10 9NF,Yes,53.223509,-2.416448,372293,369688,SJ722696,1/1/1980 12:00:00 AM,,45,24,10,Holmes Chapel,5.1,,United Utilities,,Cheshire West and Chester,Shakerley,
CW10 9NG,Yes,53.220310,-2.413873,372463,369331,SJ724693,1/1/1980 12:00:00 AM,,47,10,4,Holmes Chapel,4.8,,United Utilities,,Cheshire West and Chester,Shakerley,
CW10 9NH,Yes,53.214795,-2.422954,371853,368721,SJ718687,1/1/1980 12:00:00 AM,,44,5,2,Holmes Chapel,5.1,,United Utilities,,Cheshire West and Chester,Shakerley,
CW10 9NJ,Yes,53.214930,-2.425502,371683,368737,SJ716687,1/1/1980 12:00:00 AM,,44,11,3,Holmes Chapel,5.3,,United Utilities,,Cheshire West and Chester,Shakerley,
CW10 9NL,Yes,53.218946,-2.420974,371988,369182,SJ719691,1/1/1980 12:00:00 AM,,45,6,3,Holmes Chapel,5.2,,United Utilities,,Cheshire West and Chester,Shakerley,
CW10 9NN,Yes,53.221498,-2.421208,371974,369466,SJ719694,1/1/1980 12:00:00 AM,,45,12,5,Holmes Chapel,5.3,,United Utilities,,Cheshire West and Chester,Shakerley,
CW10 9NP,Yes,53.230505,-2.433249,371176,370473,SJ711704,1/1/1980 12:00:00 AM,,41,4,1,Lostock Gralam,4.6,,United Utilities,,Cheshire West and Chester,Shakerley,
CW10 9NR,Yes,53.228895,-2.443766,370473,370298,SJ704702,1/1/1980 12:00:00 AM,,37,6,1,Lostock Gralam,4.5,,,,Cheshire West and Chester,Shakerley,
CW10 9NS,Yes,53.221749,-2.443270,370501,369503,SJ705695,1/1/1980 12:00:00 AM,,38,32,9,Winsford,4.9,,United Utilities,,Cheshire West and Chester,Shakerley,
CW10 9NT,Yes,53.213332,-2.419329,372094,368557,SJ720685,1/1/1980 12:00:00 AM,,47,,,Holmes Chapel,4.8,,United Utilities,,Cheshire West and Chester,Shakerley,
