Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
EX14 9RE,Yes,50.894717,-3.139998,319921,111201,ST199112,1/1/1980 12:00:00 AM,,250,3,2,Honiton,11.4,,Wessex Water,,Somerset,Blackdown & Neroche,Blackdown and Neroche
TA1 1AA,Yes,51.023442,-3.109646,322271,125483,ST222254,2/1/1990 12:00:00 AM,,21,,,Taunton,0.5,Taunton,,,Somerset,Bishop's Hull & Taunton West,Bishop's Hull and Taunton West
TA1 1AB,No,51.016187,-3.102772,322741,124669,ST227246,1/1/1980 12:00:00 AM,8/1/2015 12:00:00 AM,21,,,Taunton,0.8,Taunton,Wessex Water,,Somerset,Bishop's Hull & Taunton West,Bishop's Hull and Taunton West
TA1 1AD,Yes,51.017316,-3.108003,322376,124800,ST223248,9/1/2007 12:00:00 AM,,19,88,43,Taunton,0.8,Taunton,Wessex Water,,Somerset,Bishop's Hull & Taunton West,Bishop's Hull and Taunton West
TA1 1AE,Yes,51.018631,-3.102089,322793,124940,ST227249,8/1/2008 12:00:00 AM,,17,28,21,Taunton,0.5,Taunton,Wessex Water,,Somerset,Taunton East,Taunton East
TA1 1AF,Yes,51.020922,-3.112751,322049,125206,ST220252,6/1/2008 12:00:00 AM,,20,10,4,Taunton,0.7,Taunton,Wessex Water,,Somerset,Bishop's Hull & Taunton West,Bishop's Hull and Taunton West
TA1 1AG,Yes,51.021358,-3.116026,321820,125258,ST218252,10/1/2009 12:00:00 AM,,19,15,4,Taunton,1.0,Taunton,Wessex Water,,Somerset,Bishop's Hull & Taunton West,Bishop's Hull and Taunton West
TA1 1AH,Yes,51.020510,-3.111601,322129,125159,ST221251,5/1/2009 12:00:00 AM,,20,28,10,Taunton,0.7,Taunton,Wessex Water,,Somerset,Bishop's Hull & Taunton West,Bishop's Hull and Taunton West
TA1 1AJ,Yes,51.021242,-3.102721,322753,125231,ST227252,11/1/2008 12:00:00 AM,,17,13,4,Taunton,0.2,Taunton,Wessex Water,,Somerset,Taunton East,Taunton East
TA1 1AL,Yes,51.022626,-3.094142,323357,125376,ST233253,2/1/2012 12:00:00 AM,,17,,,Taunton,0.6,Taunton,Wessex Water,,Somerset,Taunton East,Taunton East
TA1 1AN,Yes,51.022847,-3.093620,323394,125400,ST233254,4/1/2012 12:00:00 AM,,16,,,Taunton,0.6,Taunton,Wessex Water,,Somerset,Taunton East,Taunton East
TA1 1AP,Yes,51.019971,-3.099184,322999,125086,ST229250,7/1/2012 12:00:00 AM,,15,,,Taunton,0.4,Taunton,,,Somerset,Taunton East,Taunton East
TA1 1AR,Yes,51.022835,-3.095829,323239,125401,ST232254,7/1/2015 12:00:00 AM,,19,,,Taunton,0.5,Taunton,,,Somerset,Taunton East,Taunton East
TA1 1AS,Yes,51.020615,-3.098110,323075,125156,ST230251,4/1/2016 12:00:00 AM,,16,,,Taunton,0.4,Taunton,Wessex Water,,Somerset,Taunton East,Taunton East
TA1 1AT,Yes,51.022259,-3.093415,323407,125334,ST234253,9/1/2016 12:00:00 AM,,15,,,Taunton,0.7,Taunton,Wessex Water,,Somerset,Taunton East,Taunton East
TA1 1AU,No,51.017155,-3.094541,323320,124768,ST233247,12/1/2015 12:00:00 AM,6/1/2019 12:00:00 AM,17,,,Taunton,0.9,Taunton,,,Somerset,Taunton East,Taunton East
TA1 1AW,Yes,51.017966,-3.112846,322037,124877,ST220248,3/1/2017 12:00:00 AM,,16,,,Taunton,0.9,,,,Somerset,Bishop's Hull & Taunton West,Bishop's Hull and Taunton West
TA1 1AX,Yes,51.022409,-3.099521,322979,125357,ST229253,7/1/2017 12:00:00 AM,,19,,,Taunton,0.2,Taunton,,,Somerset,Taunton East,Taunton East
TA1 1AY,Yes,51.019929,-3.097338,323128,125079,ST231250,7/1/2017 12:00:00 AM,,17,,,Taunton,0.5,Taunton,,,Somerset,Taunton East,Taunton East
TA1 1AZ,Yes,51.020355,-3.113707,321981,125144,ST219251,1/1/1995 12:00:00 AM,,20,100,45,Taunton,0.8,Taunton,Wessex Water,,Somerset,Bishop's Hull & Taunton West,Bishop's Hull and Taunton West
TA1 1BA,Yes,51.021475,-3.104666,322617,125259,ST226252,1/1/1980 12:00:00 AM,,19,59,23,Taunton,0.2,Taunton,Wessex Water,,Somerset,Bishop's Hull & Taunton West,Bishop's Hull and Taunton West
TA1 1BB,Yes,51.021279,-3.104855,322603,125237,ST226252,1/1/1980 12:00:00 AM,,18,69,32,Taunton,0.3,Taunton,Wessex Water,,Somerset,Bishop's Hull & Taunton West,Bishop's Hull and Taunton West
TA1 1BD,Yes,51.022030,-3.105891,322532,125322,ST225253,1/1/1980 12:00:00 AM,,20,36,17,Taunton,0.3,Taunton,Wessex Water,,Somerset,Bishop's Hull & Taunton West,Bishop's Hull and Taunton West
TA1 1BE,No,51.022674,-3.106248,322508,125394,ST225253,1/1/1980 12:00:00 AM,5/1/2003 12:00:00 AM,19,,,Taunton,0.3,Taunton,,,Somerset,Bishop's Hull & Taunton West,Bishop's Hull and Taunton West
TA1 1BF,No,51.023451,-3.109703,322267,125484,ST222254,6/1/2001 12:00:00 AM,12/1/2001 12:00:00 AM,21,,,Taunton,0.5,Taunton,,,Somerset,Bishop's Hull & Taunton West,Bishop's Hull and Taunton West
TA1 1BG,Yes,51.022604,-3.106974,322457,125387,ST224253,1/1/1980 12:00:00 AM,,19,,,Taunton,0.3,Taunton,Wessex Water,,Somerset,Bishop's Hull & Taunton West,Bishop's Hull and Taunton West
TA1 1BH,Yes,51.022941,-3.107974,322387,125426,ST223254,1/1/1980 12:00:00 AM,,20,,,Taunton,0.4,Taunton,Wessex Water,,Somerset,Bishop's Hull & Taunton West,Bishop's Hull and Taunton West
TA1 1BJ,Yes,51.022829,-3.106010,322525,125411,ST225254,6/1/2002 12:00:00 AM,,20,,,Taunton,0.2,Taunton,Wessex Water,,Somerset,Bishop's Hull & Taunton West,Bishop's Hull and Taunton West
TA1 1BL,No,51.023451,-3.109703,322267,125484,ST222254,12/1/2001 12:00:00 AM,3/1/2006 12:00:00 AM,21,,,Taunton,0.5,Taunton,,,Somerset,Bishop's Hull & Taunton West,Bishop's Hull and Taunton West
TA1 1BN,Yes,51.022226,-3.106993,322455,125345,ST224253,1/1/1980 12:00:00 AM,,19,24,9,Taunton,0.3,Taunton,Wessex Water,,Somerset,Bishop's Hull & Taunton West,Bishop's Hull and Taunton West
TA1 1BP,No,51.020754,-3.104820,322605,125179,ST226251,1/1/1980 12:00:00 AM,4/1/2002 12:00:00 AM,18,,,Taunton,0.3,Taunton,,,Somerset,Bishop's Hull & Taunton West,Bishop's Hull and Taunton West
TA1 1BQ,No,51.021828,-3.106342,322500,125300,ST225253,1/1/1980 12:00:00 AM,12/1/1996 12:00:00 AM,20,,,Taunton,0.3,Taunton,,,Somerset,Bishop's Hull & Taunton West,Bishop's Hull and Taunton West
TA1 1BS,Yes,51.021687,-3.106025,322522,125284,ST225252,1/1/1980 12:00:00 AM,,20,41,19,Taunton,0.3,Taunton,Wessex Water,,Somerset,Bishop's Hull & Taunton West,Bishop's Hull and Taunton West
TA1 1BT,Yes,51.020495,-3.105626,322548,125151,ST225251,1/1/1980 12:00:00 AM,,18,,,Taunton,0.4,Taunton,Wessex Water,,Somerset,Bishop's Hull & Taunton West,Bishop's Hull and Taunton West
TA1 1BU,Yes,51.021679,-3.107303,322432,125284,ST224252,1/1/1980 12:00:00 AM,,20,58,24,Taunton,0.4,Taunton,Wessex Water,,Somerset,Bishop's Hull & Taunton West,Bishop's Hull and Taunton West
TA1 1BW,Yes,51.020936,-3.105075,322587,125199,ST225251,1/1/1980 12:00:00 AM,,18,35,21,Taunton,0.3,Taunton,Wessex Water,,Somerset,Bishop's Hull & Taunton West,Bishop's Hull and Taunton West
TA1 1BX,Yes,51.021988,-3.107458,322422,125319,ST224253,1/1/1980 12:00:00 AM,,20,33,12,Taunton,0.4,Taunton,Wessex Water,,Somerset,Bishop's Hull & Taunton West,Bishop's Hull and Taunton West
TA1 1BY,Yes,51.022260,-3.108163,322373,125350,ST223253,1/1/1980 12:00:00 AM,,21,11,4,Taunton,0.4,Taunton,Wessex Water,,Somerset,Bishop's Hull & Taunton West,Bishop's Hull and Taunton West
TA1 1BZ,Yes,51.023129,-3.111364,322150,125450,ST221254,1/1/1980 12:00:00 AM,,22,45,13,Taunton,0.6,Taunton,Wessex Water,,Somerset,Bishop's Hull & Taunton West,Bishop's Hull and Taunton West
